,Name,Rating,Link,Distance,Location,About
0,"Paradise Beach, Pondicherry",4.4,https://www.holidify.com/places/pondicherry/paradise-beach-sightseeing-3267.html,4 km  from city center,,"Also known as the Plage Paradiso, Paradise Beach is situated in Chunnambar, close to Pondicherry town. Adorned with the golden sand, this famous and highly sought after beach is always swaying with cold sea breeze."
1,Aurobindo Ashram,3.8,https://www.holidify.com/places/pondicherry/aurobindo-ashram-sightseeing-3252.html,3 km  from city center,,"The Sri Aurobindo Ashram, a spiritual community or ashram located in Pondicherry, is the outcome of a small community of disciples who had gathered around Sri Aurobindo after he retired from politics and settled in Pondicherry in 1910. On 24 November 1926, after a major spiritual realization, Sri Aurobindo withdrew from public view in order to continue his spiritual work. At this time he handed over the full responsibility for the inner and outer lives of the spiritual aspirants and the ashram to his spiritual collaborator, the Mother earlier known as Mirra Alfassa. This date is therefore generally known as the founding-day of the ashram."
2,Auroville,,https://www.holidify.com/places/auroville/,3 out of 44  places to visit in Pondicherry,,"Auroville is one of those towns which appear to come to life right out of fiction. In the union territory of Pondicherry, this township runs on the principles of peace, harmony, sustainable living and 'divine consciousness' which was the philosophy of the Mother of Sri Aurobindo Society, Mirra Alfassa. This universal township was inaugurated on 28 February 1968 with the agenda that it will be a place with people willing enough to make this a hub of uninterrupted education and progress, regardless of their caste, creed, nationality or race. Called the city of dawn, this place is the epitome of tranquility and proves as the perfect escape for the ones in search of peace."
3,Scuba Diving in Pondicherry,3.5,https://www.holidify.com/places/pondicherry/scuba-diving-in-pondicherry-sightseeing-8225.html,2 km  from city center,,
4,Arikamedu,3.8,https://www.holidify.com/places/pondicherry/arikamedu-sightseeing-3251.html,2 km  from city center,,Arikamedu are the ruins which carried the remnants of the Roman trade in India. Recent excavations have brought out wine jars and ancient roman coins hinting on the Roman links in the ancient history of Pondicherry.
5,Cafes in Pondicherry,,https://www.holidify.com/pages/cafes-in-pondicherry-332.html,6 out of 44  places to visit in Pondicherry,,"Pondicherry is widely known for its cheap alcohol and if you are a connoisseur, then it is an excellent place for you to visit as it serves a wide variety of gourmet food. It definitely has the best cafes around and offers a great cuisine. If you always dreamt of sitting in a French café and sipping a cup of coffee or taking a bite but are unable to visit France, then Pondy should be on your checklist. It has the best French cafes in India."
6,Seaside Promenade,3.6,https://www.holidify.com/places/pondicherry/seaside-promenade-sightseeing-8042.html,3 km  from city center,,"One of the things that does justice to Pondicherry's French Roots is its beautiful Seaside Promenade. The area is well maintained, clean and beautiful and you can actually feel foam spray on your face while sipping a cooler in one of the many cafes at the promenade. Whether you're visiting during the sunny day or the starry night, the Seaside Promenade is equally feel good."
7,Promenade Beach,3.8,https://www.holidify.com/places/pondicherry/pondicherry-beach-sightseeing-3268.html,12 km  from city center,,Pondicherry beach is a different kind of beach with less sand and more rocks. It offers a very peaceful place to its tourists and visitors to sit and enjoy the waves.
8,Serenity Beach,,https://www.holidify.com/places/pondicherry/serenity-beach-sightseeing-121326.html,7 km  from city center,,"Located at a distance of 10 kms, on the outskirts on Puducherry in Kottakuppam, Serenity Beach gets its name from the Spa-Resort-Inn located at the spot with the same name. Originally, the beach was called Thanthirayan Kuppam Beach or plain Kottakuppam Beach."
9,Cycling in Pondicherry,,https://www.holidify.com/places/pondicherry/cycling-in-pondicherry-sightseeing-1253716.html,10 out of 44  places to visit in Pondicherry,,"One of the most exciting and picturesque things to do in Pondicherry is to tour the beautiful territory on traditional vintage bicycles. You can also go for guided tours around the stunning French Quarters, charming mustard streets, colonial villas and vibrant Tamil settlements. Besides a very picturesque view of the lovely alleys and narrow lanes, you can also marvel at the gorgeous architecture of the French colonial settlements."
10,Auroville Beach,,https://www.holidify.com/places/auroville/auroville-beach-sightseeing-4102.html,9 km  from city center,,"Auroville Beach, also known as the Auro Beach is located in Pondicherry. It is a part of the Auroville Ashram and is situated about 10 kilometres away. The beach is about 12 kilometres away from Pondicherry and lies on the right-hand side of East Coast Road. Auro Beach is one of the most popular beaches in Pondicherry. It attracts a lot of tourists and locals. The beach stays true to its form and doesn't have a lot of establishments that provide food or snacks. The Ashram has maintained its serenity and ensured that it is not tampered or changed a lot due to human encroachment."
11,Chunnambar Boat House,3.8,https://www.holidify.com/places/pondicherry/chunnambar-boat-house-sightseeing-3258.html,3 km  from city center,,"Chunambar is a quaint little hamlet located along Cuddalore Main Road, around 8 km from Pondicherry. This serene town is visited by tourists for its beach, which is know as Paradise Beach, situated near the mouth of the backwater. With pristine sand and crystallized water, it is a perfect place for one to spend a day out playing water sports and bathing in the sun. A short cruise is also organized for the visitors which gives them a fantastic overall view of the serene beauty of the waters. One can also spot dolphins playing around in the water making it a must-visit for the nature lovers."
12,Basilica of the Sacred Heart of Jesus,3.6,https://www.holidify.com/places/pondicherry/basilica-of-the-sacred-heart-of-jesus-sightseeing-3254.html,2 km  from city center,,"This Gothic style building is a highly revered place of worship in Pondicherry. Visitors comprising of both tourists as well as devotees, who are staunch believers, visit to offer their prayers to the All Mighty here."
13,Water Sports in Pondicherry,4.0,https://www.holidify.com/places/pondicherry/water-sports-in-pondicherry-sightseeing-8294.html,4 km  from city center,,"With a unique, peaceful coastal beauty to it, Pondicherry is quickly becoming every beach lovers' favourite hideout. A number of water sports options along its white sandy beaches are another reason for travellers to love Pondy, as it is lovingly known."
14,"Botanical Garden, Pondicherry",3.2,https://www.holidify.com/places/pondicherry/botanical-garden-sightseeing-3256.html,2 km  from city center,,"A popular tourist attraction of Pondicherry, Botanical Garden was established by C.S. Perrotet in the year 1862. The garden is home to several exotic varieties of rare plants as well as an aquarium."
15,Pondicherry Lighthouse,,https://www.holidify.com/places/pondicherry/pondicherry-lighthouse-sightseeing-1253674.html,16 out of 44  places to visit in Pondicherry,,"The Lighthouse is one of the remarkable landmarks in Pondicherry. The French Riviera of the East, Pondy has two lighthouses, an old one and the new one. Where the former has been closed for public appearance the latter serves as the spot for giving its visitors the most amazing bird's eye view of the city."
16,Jawahar Toy Museum,3.3,https://www.holidify.com/places/pondicherry/jawahar-toy-museum-sightseeing-3263.html,3 km  from city center,,"An ideal place for kids, Jawahar Toy Museum is a well maintained place situated at the old light house building near Gandhi Maidan. The museum houses a wide range of dolls and toys collected from all over the country."
17,Raj Niwas,3.3,https://www.holidify.com/places/pondicherry/raj-niwas-sightseeing-3270.html,3 km  from city center,,"Previously known as Palais du Government, Raj Niwas is an eighteenth century building presently serving as the residence of Lieutenant Governor of Pondicherry."
