,Name,Rating,Link,Distance,Location,About
0,Shaniwar Wada,4.3,https://www.holidify.com/places/pune/shaniwar-wada-sightseeing-3313.html,0 km  from city center,,"Standing tall in its full glory, Shaniwar Wada was once a stately mansion. Built as a dwelling for Peshwas, its foundation was laid by Bajirao I in year 1730 AD. Today it gives a chance to peak into its great past."
1,Aga Khan Palace,4.4,https://www.holidify.com/places/pune/aga-khan-palace-sightseeing-3297.html,6 km  from city center,,"Aga Khan Palace is well known both for its architectural excellence as well as its historical significance. Spread over a vast land of 19 acres, the palace is now the headquarters of the Gandhi National memorial society. Here, making khadi is still one of the prime activities."
2,Dagdusheth Halwai Ganpati Temple,,https://www.holidify.com/places/pune/dagdusheth-halwai-ganpati-temple-sightseeing-122386.html,0 km  from city center,,"A divine place of worship devoted to Lord Ganapati, Shreemant Dagdusheth Halwai Ganapati temple is extremely famous for its religious festivities and is located in Pune, Maharashtra. The temple receives a considerable crowd of devotees every day who come to attend the daily pooja, abhisheka and the Arti of Lord Ganesh. The idol of Lord Ganapati is 2.2 meters high and 1 meter wide and is adorned with almost 40 kilos of gold. The temple receives offerings of gold and money from Lord Ganapati’s devotees every day which goes into the temple’s trust. The temple is open daily from 6 am to 11 pm."
3,Osho Ashram,4.2,https://www.holidify.com/places/pune/osho-ashram-sightseeing-3307.html,4 km  from city center,,"The Ashram is a tranquil place which brings you to you own centers of peace, meditation & oneness. The ideologies of Osho also can be found here."
4,Vetal Tekdi,,https://www.holidify.com/places/pune/vetal-hill-sightseeing-1253680.html,4 km  from city center,,"Vetal Tekdi is one of Pune's most well-known landmarks. It envelops the entire city and is a stunning place to spend an evening or an early morning.  It is known by various names such as Hanuman Tekdi, MIT Tekdi, and Pashan Tekdi."
5,Lal Mahal,,https://www.holidify.com/places/pune/lal-mahal-sightseeing-122395.html,0 km  from city center,,"Lal Mahal located near Shaniwar Wada in Pune is a historic landmark of the 16th century. Subject to innumerable attacks and initial revival, the palace has significant stories to tell. It was first restored by Shivaji’s father Shahaji Bhosle for his family to stay in the 1630s. From being a childhood home for Shivaji to taking Shaistekhan head-on, this red coloured structure is an architectural marvel depicting craftsmanship and culture of that time."
6,Raja Dinakar Kelkar Museum,3.2,https://www.holidify.com/places/pune/raj-dinakar-kelkar-museum-sightseeing-3311.html,1 km  from city center,,"The museum is built in Rajasthani style and is a worth a visit, while in the city. It adorns artifacts from D.G. Kelkar and other paintings of Lord Ganesha & some fine specimens of ancient pottery and paintings."
7,National Defence Academy,,https://www.holidify.com/places/pune/national-defence-academy-sightseeing-122385.html,12 km  from city center,,"The National Defence Academy, also known as NDA is an academy for Indian armed services and is located 20 kilometres away from Pune. Members from the three defence services: The Indian Army, Indian Navy and Indian Air Force train together until they are sent for their separate commissioning. The NDA campus is in Khadakwasla, South-West of Pune and the campus area is around 7000 acres. One of the reasons why the campus location was chosen was because of its proximity to the Khadakwasla lake. The academy is often called an ideal combination of perfection and heroism. Therefore, anyone who is aspiring to join the defence, this is one opportunity to witness true patriotic spirit."
8,Vishrambaug Wada,3.2,https://www.holidify.com/places/pune/vishrambaug-waada-sightseeing-3318.html,1 km  from city center,,"Known for its beautiful wooden facades, only the remains and ruins of the beautiful palace can be seen today. This incomplete instances too, give you a fair idea about the ancient Marathi culture and its elements."
9,Katraj Snake Park,4.2,https://www.holidify.com/places/pune/katraj-snake-park-sightseeing-3302.html,7 km  from city center,,It has a temple and many rare species of snakes. A brown Palm Civet & a King Cobra are its main attractions. One can also chance upon birds & turtles in the area
10,Pune Okayama Friendship Garden,,https://www.holidify.com/places/pune/pune-okayama-friendship-garden-sightseeing-122390.html,4 km  from city center,,"Welcome to the Japanese Garden in Pune. One of its kinds, the Pune Okayama Friendship Garden is the largest Japanese garden outside of Japan, in Asia. Also called the Pu. La. Deshpande Udyan, it was named after the famous Marathi writer and humorist, Pu La Deshpande who received the Padma Bhushan in 1990. This garden reflects on the Indo-Japanese relationship, as it is inspired by the 300-year old Okayama Korakuen Garden in Japan."
11,Joshi's Museum of Miniature Railways,,https://www.holidify.com/places/pune/joshis-museum-of-miniature-railways-sightseeing-1253725.html,4 km  from city center,,"Situated in the Erandwane suburb of Pune, Joshi's Museum of Miniature Railways is a unique museum hosting an array of miniature trains, trams, steam engines, flyovers etc. The museum has various well- designed intricate layouts of cities replete with buildings and lights, roads and train tracks. The functioning is controlled by an amusing light and sound track."
12,Nightlife in Pune,3.5,https://www.holidify.com/pages/nightlife-of-pune-1488.html,1 km  from city center,,"Pune sports a glittering instance of nightlife culture. The city nightlife continues till the wee hours of night and there are many pubs, bars and discotheques for the urban crowd. There are also some eating joints which serve food for the late night cravings."
13,Parvati Hill Temple,3.2,https://www.holidify.com/places/pune/parvati-hill-temple-sightseeing-3309.html,4 km  from city center,,"Once the private shrine of the Peshwas, the temple was built in the 17th century by Balaji Baji Rao. 108 steep flights above, is the temple on a hillock from where one can behold some of the most beautiful views of the city."
