,Name,Rating,Link,Distance,Location,About
0,Sri Jagannath Puri Temple,3.6,https://www.holidify.com/places/puri/sri-jagannath-puri-temple-sightseeing-3327.html,2 km  from city center,,"Shree Jagannath Puri temple, one of the most majestic monuments of Odisha, was built by a famous king of Ganga Dynasty Ananta Varman Chodaganga Deva. This stunning Vaishnava temple, dating back to 12th century, enshrines Lord Jagannath, Devi Subhadra and Balabhadra."
1,Chilika Lake,4.2,https://www.holidify.com/places/puri/chilika-lake-sightseeing-3319.html,53 km  from city center,,"Chilika Lake is the biggest inland salt-water lake. Situated 50 km away from Puri, this lake is a major tourist attraction in Odisha. Set amidst a beautiful landscape full of lush greenery, the Chilika Lake also has a beautiful island laden with trees."
2,Puri Beach,4.2,https://www.holidify.com/places/puri/puri-beach-sightseeing-3326.html,4 km  from city center,,"Puri Beach is a fine coastline of Bay of Bengal with sun gleaming on the pristine waters of the beach. Located at a mere distance of 35 kms from the Sun Temple, the place is ideal for holiday makers looking for some solitude."
3,Jagannath Rath Yatra,4.2,https://www.holidify.com/places/puri/jagannath-rath-yatra-sightseeing-3321.html,2 km  from city center,,"Ratha Yatra, or the Chariot Festival, is a Hindu festival associated with the god Jagannath held annually at Puri, in Orrisa, India, celebrated on Ashadha Shukla Dwitiya, the second day in bright fortnight of Ashadha month. The festival commemorates Jagannath's, (another name for Lord Shiva) annual visit to Gundicha Temple via Mausi Maa Temple, which is significant as his aunt's home, near Balagandi Chaka, Puri. As part of Ratha Yatra, the deities of Jagannath, Balabhadra and Subhadra are taken out in a procession to Gundicha Temple, which then stay there for nine days. The deities or Ratha Yatra then are brought back to the Main temple."
4,Narendra Tank,3.2,https://www.holidify.com/places/puri/narendra-tank-sightseeing-3325.html,1 km  from city center,,Narendra Tank is one of the largest tanks in Odisha and is believed to have been built during the 15th century. This tank is considered holy and has a lot of small and big temples surrounding it. There is an island in the middle of the lake with a small temple called Chandana Mandapa.
5,Lakshmi Temple,3.2,https://www.holidify.com/places/puri/lakshmi-temple-sightseeing-3322.html,2 km  from city center,,"Situated near the Jagannath Temple, this is a very important temple owing to the beliefs around the history of this structure. It is believed that the marriage of Lord Shiva and Goddess Parvati happened on the sixth day of the fortnight of Jyeshta and they were invited to this temple by Goddess Lakshmi."
6,Raghurajpur Artist Village,,https://www.holidify.com/places/puri/raghurajpur-artist-village-sightseeing-122399.html,8 km  from city center,,"Raghurajpur village is a heritage crafts village near Puri, known for Pattachitra paintings, as well as other art forms like palm leaf engraving, wood and stone carvings, papier mache and Gotipua folk dance, the predecessor of classical Odissi dance style. The village is also the only place where the traditional decoration for Lord Jagannath's throne, called Patas, is made. The art-enriched village owes its culture to an era as early as 5 BCE."
7,Markandeswara Temple,3.2,https://www.holidify.com/places/puri/markandeswara-temple-sightseeing-3324.html,47 km  from city center,,"Assumed to have been constructed during the 13th century, Markandeswara temple is known for its magnificent architectural and artistic essence. The entrance of the temple is adorned with a figure of Nataraja with ten arms."
8,Swargadwar Beach,,https://www.holidify.com/places/puri/swargadwar-beach-sightseeing-122400.html,3 km  from city center,,"Running along the main Marine Drive of Puri, right in front of the Swargadwar Crematorium, the ever-so-famous beach of Puri is the throbbing heartbeat of the city. Crowded with visitors throughout the year, the Swargadwar Beach is dotted with numerous stalls selling local handmade products, seashells, and jewelleries. A whole morning goes away by splashing and bathing at the safe, sandy beach, while the evenings are kept for enjoying the oceanic view and tea and snacks from the many stalls."
9,Astaranga Beach,,https://www.holidify.com/places/konark/astaranga-beach-sightseeing-124664.html,49 km  from city center,,Astaranga meaning “colourful sunset” is a magnificent beach located in the state of Orissa. As the name suggests this beach is famous for the picturesque views that it provides during the sunset. The sky takes on vivid hues and the blue water in juxtaposition of it makes the whole place look magical.
