,Name,Rating,Link,Distance,Location,About
0,Pushkar Lake,4.3,https://www.holidify.com/places/pushkar/pushkar-lake-sightseeing-3332.html,0 km  from city center,,This is one of the holiest lakes of India. People come from all over the country to wash off their sins in this lake. There are about 500 or so odd temples placed around this lake.
1,Varaha Temple,3.5,https://www.holidify.com/places/pushkar/varaha-temple-sightseeing-3336.html,0 km  from city center,,"The largest and the most ancient temple of Pushkar, Varaha Temple is dedicated to Varaha The Boar which is the third incarnation (avatar) of Lord Vishnu. The Varaha temple houses an image of lord Vishnu in the incarnation of wild boar."
2,Pushkar Mela 2020,,https://www.holidify.com/places/pushkar/pushkar-fair-sightseeing-1253686.html,3 out of 20  places to visit in Pushkar,,"India's greatest tribal gathering, Pushkar Mela is held annually in November from Karthik Ekadashi to Karthik Purnima as per the Hindu calendar. It is a grand travel experience held on a vast scale. People visit the fair to witness the beauty of Rajasthani Culture. Attracting more than 400,000 tourists, funky competitions like 'Matka Tod', 'Longest Moustache', and 'Bridal Competitions', are held during the annual Pushkar Fair. Spread over five days, more than 11,000 cattle, horses and camels are part of this visual spectacle."
3,Savitri Temple,3.2,https://www.holidify.com/places/pushkar/savitri-temple-sightseeing-3334.html,2 km  from city center,,"Savitri temple is located atop the Savitri Hill. The one and half hour climb to the temple is hard and strenuous. Both, idols of Brahma's first wife Savitri and his second consort Gayatri are present here, though Savitri is always worshipped first."
4,Mahadev Temple,,https://www.holidify.com/places/pushkar/mahadev-temple-sightseeing-1257509.html,5 out of 20  places to visit in Pushkar,,"Located on the banks of Pushkar Lake in the heart of the city, Mahadev Temple- also known as Apteshwar Mahadev Temple, is a popular Hindu pilgrimage site in the city of Pushkar. Enshrined by Lord Shiva, the temple was built in the 19th century and boasts of a spectacular architectural style. Constructed in white marbles, the temple house a five faced idol of Lord Mahadev- four of its faces represent the four directions that they face, while the fifth one looks upwards and is a symbol of purity and spiritual progress. The five faces are called Sadyojat, Vamdev, Aghor, Tatpurush and Ishan."
5,Merta City,3.7,https://www.holidify.com/places/pushkar/merta-city-sightseeing-3330.html,55 km  from city center,,"Renowned for its temples and bravura palaces, Merta City is an attraction in itself. There are several unique attractions viz the Meera Bai Temple (four hundred years old), Aurangzeb Mosque and Bhanwal Mata Temple in the Merta City. (br) Users make use of the shortest route map from merta city to pushkar during their travel. Browse the website of Shortest Route and enter to and from locations in the boxes provided. Click to search and get the road route between merta city to pushkar. Users are able to find out the shortest road from merta city to pushkar. This shortest route finder tool helps users in reducing the travel time to their travel points."
6,Naga Pahar,,https://www.holidify.com/places/pushkar/naga-pahar-sightseeing-122864.html,0 km  from city center,,"Naga Pahar is located between Pushkar Lake and Ajmer and is believed to be where Agastya Muni lived. The Naag Kund is believed to have existed on the Naga Pahar. The Kund was home to Vatu, Lord Brahma's son who stayed on the hill after he was punished by Chyavan Rishi for being a mischief-maker. The attraction, thus, has religious significance, and is also famous for trekking and spiritual walks. Locals believe that the height of the hillock has been decreasing over the years and it will eventually vanish some day in the future."
7,"Rose Garden, Pushkar",,https://www.holidify.com/places/pushkar/rose-garden-sightseeing-122868.html,2 km  from city center,,Rose Garden is a delightful attraction in the deserts of Rajasthan. Some of the rose species are grown by the local farmers while some are sourced from various parts of the world. One can find a wide variety of colourful and fragrant roses here.
8,Singh Sabha Gurudwara,3.2,https://www.holidify.com/places/pushkar/singh-sabha-gurudwara-sightseeing-3335.html,28 km  from city center,,The Gurudwara was made to commemorate the visit of Guru Nanak Dev to Pushkar. This place is also known as the Guru Nanak Dharamshala.
9,Pushkar Bazar,,https://www.holidify.com/places/pushkar/pushkar-bazar-sightseeing-122865.html,0 km  from city center,,"Pushkar Bazar is where one can find a variety of traditional Rajasthani products including apparel, accessories, jewellery, decor items and items for daily use. It is the best market to buy the local leather work, puppets and the bangles made in the region. This is where the colours of Rajasthan can be found in a variety that is awe-inspiring."
10,"Rangji Temple, Pushkar",3.2,https://www.holidify.com/places/pushkar/rangji-temple-sightseeing-3333.html,0 km  from city center,,"Rangji temple is a reflection of South Indian architectural style with glimpses of Mughal design as well. It is in the top three temples of Pushkar dedicated to one of the incarnations of Vishnu, Rangji. The temple is a major attraction for south Indian pilgrims."
11,Sarafa Bazar,,https://www.holidify.com/places/pushkar/sarafa-bazar-sightseeing-1257508.html,12 out of 20  places to visit in Pushkar,,"Strewn about with colourful goods, garments and accessories with pocket sized shops tucked next to each other on the side of the pathways, Sarafa Bazaar is one of the most popular markets in Pushkar which is a common favourite among shopaholics, tourists and pilgrims as well. The most common items available in the market are handicrafts, textiles, leather goods, embroidered Camel covers, and colourful idols of different gods and goddesses. Another very popular item sold at the market is stone studded bangles, that are a specialty of Rajasthan."
12,Kishangarh,,https://www.holidify.com/places/pushkar/kishangarh-sightseeing-122866.html,32 km  from city center,,"Kishangarh is famous for its art, forts and the marble mines. Tourists can find explore the splendid Kuchaman Fort and the Phool Mahal Palace. The attraction also has the serene Gundaloo Lake where one can find various species of birds. Tourists can also purchase marble artefacts as gifts and souvenirs."
13,Man Mahal,,https://www.holidify.com/places/pushkar/man-mahal-sightseeing-122867.html,1 km  from city center,,"Built as the royal residence of Man Singh, Man Mahal is a stunning work of architecture. From the top of the grand palace, one can get a splendid view of the surroundings. The reflections of the temples in Pushkar in the Pushkar Lake is a mesmerising sight rendering it a perfect site for photography."
14,Brahma Temple,4.4,https://www.holidify.com/places/pushkar/brahma-temple-sightseeing-3329.html,0 km  from city center,,"Brahma Sarovar is an ancient water tank sacred to Hinduism in Thanesar, in the state of Haryana, North India. Hinduism stresses on having a bath in the sarovar for internal and external sanctity, purity and bliss forever. Most religious places have water tanks or sarovars in the vicinity of  temple or gurdwara."
15,Apteshwar Temple,3.2,https://www.holidify.com/places/pushkar/apteshwar-temple-sightseeing-3328.html,0 km  from city center,,"Dedicated to Lord Mahadev (Shiva), the Apteshwar Temple is actually an underground shrine. One of the most visited temples in Rajasthan, Apteshwar Temple is a perfect blend of splendid architecture and spiritual importance thus attracting both tourists as well as devotees."
16,Atmeshwar Temple,,https://www.holidify.com/places/pushkar/atmeshwar-temple-sightseeing-122863.html,0 km  from city center,,Atmeshwar Temple is a famous religious attraction that is dedicated to Lord Shiva. The Shivalinga is located a few feet below the ground level. A narrow hallway leads to the shrine. The Shivalinga is seen encircled by a serpent (the Naga) made of copper.
17,Camping in Pushkar,,https://www.holidify.com/places/pushkar/camping-in-pushkar-sightseeing-1257510.html,18 out of 20  places to visit in Pushkar,,"Boasting of surreal scenic beauty of the Thar desert and known to be an important pilgrimage centre of the Hindus, Pushkar is thronged by hundreds of tourists every year besides the regular pilgrims. The town has a lot to offer to its guests and desert camping is one of the top activities on the list. Boasting of Aravalli Hills in the backdrop and the magnanimous gorgeous desert in the vicinity, the town is an oasis of natural beauty and vibrant culture. And the same scenic beauty alongwith the beautiful starlit sky makes the activity even more exciting. The unique charm and charisma of the small town makes it an ideal camping destination."
18,Pap Mochani Temple,,https://www.holidify.com/places/pushkar/pap-mochani-temple-sightseeing-122862.html,1 km  from city center,,Pap Mochani Temple is one of the most famous attractions in the state. Its presiding deity is Goddess Gayatri who is believed to be a powerful Goddess who can absolve one's sins. It is also associated with the Legend of the Mahabharata - Ashwatthama is believed to have visited the temple to seek salvation. The traditional Hindu temple architecture also draws tourists in large numbers.
19,Camel Safari in Pushkar,,https://www.holidify.com/places/pushkar/camel-safari-in-pushkar-sightseeing-1257347.html,20 out of 20  places to visit in Pushkar,,"The golden deserts of Pushkar can be best explored in a camel safari. While it is a common myth that the best camel safaris are available in Jaisalmer, not a lot know that Pushkar offers some of the most amazing sand dunes and mesmerising views of the sunrise/ sunsets. And while you are out there, exploring the shimmering golden sands, you can also enjoy a spectacular view of the mountains and Aravalli hills in the backdrop. What is more, you will also be allowed to pass through tiny dainty villages and can get a sneak peek into the rustic lifestyle of the locals."
