,Name,Rating,Link,Distance,Location,About
0,Rafting in Rishikesh,4.0,https://www.holidify.com/places/rishikesh/rafting-in-rishikesh-sightseeing-8204.html,2 km  from city center,,"River Rafting along the Ganges is one of the most popular things to do in Rishikesh. Offered under professional guidance, rafting packages are available for all types of rafting enthusiasts. Rafting in Rishikesh is divided into 5 Grades based on level of difficulty."
1,Lakshman Jhula,4.5,https://www.holidify.com/places/rishikesh/laxman-jhula-sightseeing-3428.html,7 km  from city center,,"The Lakshman Jhula is a famous hanging bridge across the river Ganga connecting Tapovan in the Tehri Garhwal and Jonk in the Pauri Garhwal. It is a famous landmark of Rishikesh. Sadly, it has been closed permanently owing to the risk to the safety and security. A new glass bridge is set to come up adjacent to Lakshman Jhula."
2,Triveni Ghat,4.3,https://www.holidify.com/places/rishikesh/triveni-ghat-sightseeing-3432.html,4 km  from city center,,"Triveni Ghat is a confluence of three holy rivers of India - Ganga, Yamuna and Saraswati. One of the biggest and most famous ghats in Rishikesh, it is also one of the most revered sacred bathing spots. Triveni Ghat is where the famous Ganga Aarti takes place every evening."
3,The Beatles Ashram,,https://www.holidify.com/places/rishikesh/the-beatles-ashram-sightseeing-123918.html,5 km  from city center,,"Originally known as Maharishi Mahesh Yogi Ashram, the Beatles Ashram is where The Beatles stayed and studied meditation in Rishikesh. The ashram is now an eco-friendly tourist attraction located in the Rajaji National Park and offers a serene ambience located close to the mesmerising River Ganga."
4,"Ganga Aarti, Rishikesh",,https://www.holidify.com/places/rishikesh/ganga-aarti-sightseeing-123916.html,4 km  from city center,,"Ganga Aarti is the most auspicious and holiest ritual performed on the ghats of Rishikesh every evening. Although the aarti is performed at several ghats, the most popular ones are performed at Parmath Niketan Ghat and Triveni Ghat. It is a soulful ceremony with floating diyas offered to Ganga."
5,Cliff Jumping,,https://www.holidify.com/places/rishikesh/cliff-jumping-sightseeing-1253781.html,6 out of 53  places to visit in Rishikesh,,Cliff Jumping is a popular adventure activity in Rishikesh. It primarily involves jumping from a 30-40ft high cliff in icy cold water. The most well-known cliff jumping site in Rishikesh is the lower part of Brahmapuri Stretch.
6,Camping,,https://www.holidify.com/places/rishikesh/camping-sightseeing-122874.html,7 km  from city center,,"Camping along the banks of Ganga is a popular thing to do in Rishikesh. Numerous camping sites are located on the banks, and beaches here serve as great locations to indulge in various sports. During the day, a lot of adventure sports are organised for the travellers."
7,Neelkantha Mahadeva Temple,3.8,https://www.holidify.com/places/rishikesh/neelkantha-mahadeva-temple-sightseeing-3429.html,7 km  from city center,,"Neelkanth Mahadev Temple is one of the most revered Hindu sites dedicated to Lord Shiva. Located in the Pauri Garhwal region, the temple is around 7km from Swarg Ashram. It is one of the most popular Shiva temples and is visited by devotees from all over the world."
8,Ram Jhula,,https://www.holidify.com/places/rishikesh/ram-jhula-sightseeing-123920.html,6 km  from city center,,"An iconic landmark, Ram Jhula is a suspension bridge that runs across the sacred River Ganga connecting Shivananda Nagar to Swargashram. The bridge spans 750 feet and is a splendid work of engineering that offers a splendid bird's eye view of the mighty Ganges and the serene nature at the foothills of the Himalayas."
9,"Shivpuri, Rishikesh",,https://www.holidify.com/places/rishikesh/shivpuri-sightseeing-123919.html,13 km  from city center,,"Shivpuri is a picturesque town located on the foothills of Himalayas near Rishikesh. It has a thrilling rafting stretch amidst beautiful natural surroundings and is, therefore, famous for River Rafting. It also has a number of camps that draw tourists for a weekend getaway from nearby cities."
10,Kaudiyala,3.3,https://www.holidify.com/places/rishikesh/kaudiyala-sightseeing-3427.html,22 km  from city center,,"At 380 m high, Kaudiyala is a popular rock climbing destination surrounded by dense forests. It also offers white river rafting tracks, and the sports is organized by the camping facilities around the place."
11,Flying Fox,,https://www.holidify.com/places/rishikesh/flying-fox-sightseeing-1253779.html,12 out of 53  places to visit in Rishikesh,,Flying Fox is an exciting adventure sports and top thrilling things to do in Rishikesh. You are harnessed to a rope and literally sent 'flying' on a cable. The speed is accelerated or slowed down through machinery.
12,Bungee Jumping in Rishikesh,4.0,https://www.holidify.com/places/rishikesh/bungee-jumping-in-rishikesh-sightseeing-8189.html,13 km  from city center,,"One of the top exciting adventure sports in Rishikesh is Bungee Jumping. It involves jumping off from a very tall structure (usually a building), flying freely in the air in the air before being restrained and pulled up. This activity can also be carried out from hot air balloons or helicopters."
13,Jadh Ganga Trek,3.5,https://www.holidify.com/places/rishikesh/jadh-ganga-trek-sightseeing-8187.html,42 km  from city center,,"The Jadh Ganga Trek is regarded as one of the most strenuous and difficult trek of north Uttarakhand. It involves traversing through Aglar valley followed by going over Nag Tibba ridge, and ultimately Nelang in Jadh Ganga. To make it more exciting, many adventurists go further towards Mana Pass and Saraswati Tal and finally terminating the trek at Badrinath Temple."
14,Kuari Pass,3.5,https://www.holidify.com/places/rishikesh/kuari-pass-sightseeing-8265.html,131 km  from city center,,"The Kuari Pass is an alpine meadow pass, attracting backpackers and trekkers from around the globe. The beautiful camping grounds of Gulling, Chitrakantha & Tali are the key attraction of the trek. The trails leading from Tali Top to Kuari Pass gives an impression of doing a full scaled Himalayan alpine expedition in truck loads of snow."
15,Neer Garh Waterfall,,https://www.holidify.com/places/rishikesh/neer-garh-waterfall-sightseeing-123922.html,10 km  from city center,,Neer Garh Waterfall is a beautiful narrow stream of cool water cascading down a rocky terrain in the midst of a dense green forest. It requires trekking a distance of about a kilometre through the forest and down a cliff to reach the waterfall. The trail is exciting and a perfect activity to do before entering the waters for a cool soothing dip in one of its pools.
16,Swarg Ashram,,https://www.holidify.com/places/rishikesh/swarg-ashram-sightseeing-123923.html,5 km  from city center,,Swarg Ashram is a spiritual abode built in the memory of Swami Vishudhanand who was fondly known as Kali Kamli Wala as he was always seen wearing a black coloured blanket. The ashram is a famous yoga and meditation centre located on the banks of holy Ganga.
17,Jumpin Heights,,https://www.holidify.com/places/rishikesh/jumpin-heights-sightseeing-123925.html,13 km  from city center,,"Jumpin Heights is a famous extreme adventure zone in Rishikesh perfect attraction for adventure freaks seeking to get their adrenalin pumping. Bungee Jumping, Flying Fox and Giant Swing are some of the adventure activities popular here."
18,"Bharat Mandir, Rishikesh",3.4,https://www.holidify.com/places/rishikesh/bharat-mandir-sightseeing-3425.html,2 km  from city center,,"Founded by Adiguru Shankaracharya in 12th century, the Bharat Mandir is one of the most sacred and famous temples in Rishikesh. The presiding deity is Lord Vishnu carved out of a single piece of Saligram. The inner canopy of the temple contains Shree Yanthra."
19,Rishi Kund,,https://www.holidify.com/places/rishikesh/rishi-kund-sightseeing-123924.html,0 km  from city center,,"Rishi Kund is a natural hot spring pond which is considered as a sacred water body. Locals also believe that Lord Rama had bathed in the kund during his exile and that the rivers, Ganges and Yamuna meet each other at this point."
20,Geeta Bhawan,3.6,https://www.holidify.com/places/rishikesh/geeta-bhawan-sightseeing-3426.html,6 km  from city center,,"The Geeta Bhawan is a vast and spacious ashram located on the banks of Ganga in Swargashram. It is renowned as an important institution that preserves Hindu literature since it houses the Gita, which symbolizes the Hindu Vedas and epics. The Geeta Bhawan is visited by a large number of people each year."
21,Muni ki Reti,,https://www.holidify.com/places/rishikesh/muni-ki-reti-sightseeing-123928.html,5 km  from city center,,"Muni ki Reti is a religiously important pilgrim centre near Rishikesh considered as the gateway for the pilgrimage of Char Dham. It, therefore, has a number of ashrams providing basic facilities for the pilgrims to help them on their spiritual journey."
22,Piran Kaliyar Sharif,3.5,https://www.holidify.com/places/rishikesh/piran-kaliyar-sharif-sightseeing-8138.html,37 km  from city center,,"The resting place of the Sufi saint Alauddin Ali Ahmed Sabir, Piran Kaliyar Sharif is a famous dargah located in Kaliyari village near Haridwar. It is one of the most important Muslim shrines in the India."
23,Byasi,,https://www.holidify.com/places/rishikesh/byasi-sightseeing-122878.html,18 km  from city center,,"Located at 30 kms from Rishikesh, Byasi is a tiny village on the banks of river Ganges in Uttarakhand. The quaint little village popular for water sports and adventure tourism, river rafting and camping."
24,Omkarananda Ashram,,https://www.holidify.com/places/rishikesh/omkarananda-ashram-sightseeing-122875.html,6 km  from city center,,"Omkarananda Ashram is home to Patanjala Yoga Kendra yoga centre. Located in the Muni-ki-Reti area of Rishikesh, it holds a magnificent view next to the holy waters of Ganga. It follows and teaches the Iyengar Yoga which is guided by world-renowned Shri Guruji, B.K.S. Iyengar."
25,Tera Manzil Temple,,https://www.holidify.com/places/rishikesh/tera-manzil-temple-sightseeing-122877.html,7 km  from city center,,"Trimbakeshwar Temple or Tera Manzil Temple is the thirteen storey temple situated on the banks of Ganges. Located right opposite the Lakshman Jhula, it enshrine several deities under one roof. Popular for its striking architecture, the temple also offers panoramic landscape view from the top of its 13th floor."
26,Sivananda Ashram,3.9,https://www.holidify.com/places/rishikesh/sivananda-ashram-sightseeing-3431.html,74 km  from city center,,"The Shivanand Ashram serves as the abode of Saint Swami Shivanand and is a popular religious yoga and meditation centre. Situated near the Ganges, the ashram is a beautiful and very calm place to be. The satsangs, feast and yoga sessions are well arranged, and the ashram is beautifully maintained."
27,Kunjapuri Devi Temple,,https://www.holidify.com/places/rishikesh/kunjapuri-devi-temple-sightseeing-122876.html,11 km  from city center,,"Perched atop the Kunjapuri hill, Kunjapuri Devi temple is a revered Hindu place of worship dedicated to Goddess Parvati. Besides being one of the fifty two Shaktipeethas, the shrine is popular for its mesmerising locale which offers a beautiful panoramic view of the Shivalik range and the majestic peaks of Chaukhamba and Bandarpunch."
28,"Raghunath Temple, Rishikesh",,https://www.holidify.com/places/rishikesh/raghunath-temple-sightseeing-122879.html,3 km  from city center,,"Raghunath Temple is a revered Hindu temple situated near the Triveni Ghat. Dedicated to Lord Rama and his wife Mata Sita, the shrine holds significant religious importance. The temple premises also house a tiny pond (kund) which is known as Rishikund."
29,Swami Dayananda Ashram,,https://www.holidify.com/places/rishikesh/swami-dayananda-ashram-sightseeing-122880.html,5 km  from city center,,"Situated near Purani Jhadi in Rishikesh, Swami Dayanand Ashram was established in 1960s by Swami Dayanand Saraswati. The centre facilitates yoga and meditation practices and a tiny temple in the complex is meant to offer pooja."
30,Parmarth Niketan Ashram,,https://www.holidify.com/places/rishikesh/parmarth-niketan-ashram-sightseeing-123917.html,6 km  from city center,,"Parmarth Niketan is an ashram located in Rishikesh on the foothills of the Himalayas along the banks of the holy Ganges. It is visited by thousands of pilgrims all over the world to learn Yoga, Ayurveda, and Meditation. Satsang, Kirtans, Ganga Arti, Spiritual and Cultural programs and lectures are also organised here daily."
31,Yoga Centres,,https://www.holidify.com/places/rishikesh/yoga-centres-sightseeing-123921.html,6 km  from city center,,"Rishikesh is a major hub of Yoga Centres in India. The serene location so close to nature, the unpolluted air, its highly religious & spiritual significance and a good number of Yoga institutes ensure a soulful and a healthy vacation away from the chaotic, fast-paced, stressful lives."
32,Spa & Wellness,,https://www.holidify.com/places/rishikesh/spa--wellness-sightseeing-123927.html,8 km  from city center,,Spa & Wellness centres in Rishikesh offer a variety of therapies including rejuvenation and relaxation treatments. The centres offer extensive treatments and massages with the help of traditional Ayurveda and Yoga along with other spiritual stress-relieving activities.
33,Cooking Classes,,https://www.holidify.com/places/rishikesh/cooking-classes-sightseeing-123926.html,7 km  from city center,,Enrolling in Cooking Classes in Rishikesh is the best way to learn and master the art of Indian cuisine. Most of these classes specialise in authentic vegetarian dishes made with fresh produce sourced from the region. Some classes may also include a visit to a local family to explore their kitchen and get a gist of the traditional methods of cooking.
34,Vashista Gufa,,https://www.holidify.com/places/rishikesh/vashista-gufa-sightseeing-123929.html,16 km  from city center,,"Vashishta Gufa is an ancient cave where the human son of Lord Brahma, Sage Vashishta meditated. A legend states that the sage was extremely depressed after losing all his children and decided to commit suicide, but River Ganga didn't allow him to die. He, therefore, decided to stay and meditate in the cave."
35,Andhra Ashram,,https://www.holidify.com/places/rishikesh/andhra-ashram-sightseeing-123931.html,4 km  from city center,,Andhra Ashram is a unique ashram managed and run by a bunch of South Indians in Rishikesh. It houses Sree Chandramouleshwara and Sree Venkateswaravari Temples and a number of south Indian festivals are celebrated here.
36,Anand Prakash Ashram,,https://www.holidify.com/places/rishikesh/anand-prakash-ashram-sightseeing-123930.html,7 km  from city center,,"Anand Prakash Ashram is a perfect sanctuary for spiritual seekers that functions on holistic, non-sectarian teachings, also known as Akhanda Yoga. It provides necessary facilities, healthy environment and appropriate guidance to nourish the body and soul through Yoga."
