,Name,Rating,Link,Distance,Location,About
0,The Ridge,4.4,https://www.holidify.com/places/shimla/ridge-sightseeing-3506.html,0 km  from city center,,"This is the most popular point in Shimla. Located on the Mall road, at the heart of Shimla, this is a much loved and enjoyed stretch here, where visitors come and soak themselves in the views of surrounding areas."
1,Kufri,3.6,https://www.holidify.com/places/kufri/,9 km  from city center,,"While in Shimla, visit its colder, higher and less crowded cousin, Kufri just 13 km away from the main town. The views and sceneries here only get better, and the landscapes more flattering, a bit untouched with the tourist rush."
2,Chail,3.6,https://www.holidify.com/places/chail/,15 km  from city center,,"This small village in Himachali is situated at a height of 2250 m above sea level and is known as a hiker's paradise. Surrounded by lush greenery and mesmerizing views from such a great height, Chail is bound to give a tourist a memorable travelling experience to a tourist."
3,Kalka Shimla Toy Train,3.6,https://www.holidify.com/places/shimla/kalka-shimla-toy-train-sightseeing-3512.html,3 km  from city center,,"An enjoyable train ride through much of Kalka and Shimla and a little of what the British left behind, this is a must try experience, while here. This route is one of the most picturesque train routes in the world and it passes through more than a hundred tunnels It is a narrow gauge train route and it connects Kalka to Shimla."
4,Tattapani,3.3,https://www.holidify.com/places/tattapani/,22 km  from city center,,"Literally meaning hot water in Hindi, Tattapani is a small village located 51km away from Shimla. This place is famous for hot water springs and the famous Shiva caves."
5,"Mall Road, Shimla",3.9,https://www.holidify.com/places/shimla/mall-road-sightseeing-3502.html,0 km  from city center,,"Shopping in Shimla revolves around the heart of the town- The Mall Road. One can shop for local handicrafts, shawls, woolens, exquisite jewelry etc. here."
6,Shimla Christ Church,3.6,https://www.holidify.com/places/shimla/christ-church-sightseeing-3492.html,0 km  from city center,,"Located at the Mall Road itself, this church is the second oldest church in North India. The interiors and the neo-gothic architecture are very beautiful and appealing making this church one of the most important attractions in Shimla."
7,Ice Skating in Shimla,,https://www.holidify.com/places/shimla/ice-skating-sightseeing-121080.html,0 km  from city center,,"Ice Skating is a famous sport in the beautiful city of Shimla. The Shimla Ice Skating Rink is well-known because it is a naturally formed rink and is also the largest and the only naturally formed arena found in South Asia. Ice skating is thus a favourite sport for one and all here, especially during winters."
8,Jakhu Temple,3.6,https://www.holidify.com/places/shimla/jakhoo-temple-sightseeing-3500.html,1 km  from city center,,"This temple has the world's largest Hanuman statue, which is visible from most parts of Shimla. Visit the temple, to view this statue upright and strain your neck a bit admiring its magnificence."
9,Green Valley,3.8,https://www.holidify.com/places/shimla/green-valley-sightseeing-3494.html,5 km  from city center,,The Green valley is approximately five minutes from a bus stand  on the way to Kufri a beautiful mountain range. The valley is gods gift to the beautiful city of shimla. The greenary and beauty of the place is mesmerising and makes you forget you everything else.
10,Mashobra,3.3,https://www.holidify.com/places/mashobra/,6 km  from city center,,"This is a small and relatively less explored town, at a distance of mere 10 km from main Shimla. Tourists come here to relax and unwind in the lap of nature where the richness in flora and fauna is in abundance."
11,Naldehra,3.8,https://www.holidify.com/places/shimla/naldehra-sightseeing-3504.html,9 km  from city center,,"Naldehra is located around 22 km from Shimla and is famous for the Naldehra Golf Club. Situated at an altitude of 2200 m, this is a 18 hole golf course and is among one of the best golf courses in India."
12,Himachal State Museum,3.3,https://www.holidify.com/places/shimla/himachal-state-museum-sightseeing-3496.html,2 km  from city center,,"The Himachal State Museum is located on the Mall Road and has unique collectibles like ancient coins, paintings and other handicraft items, the aesthetics of which are influenced by the Pahari form of art."
13,Skiing in Kufri,4.3,https://www.holidify.com/places/kufri/skiing-in-kufri-sightseeing-5083.html,9 km  from city center,,Kufri tends to be a hub of much activity and enjoyment in winters. Skiing is a popular sport here and the town also hosts a winter sports festival in February. A number of setups here provide both training and facilities for skiing.
14,Wake & Bake,,https://www.holidify.com/places/shimla/wake--bake--sightseeing-1253811.html,15 out of 45  places to visit in Shimla,,"Cafe Wake & Bake is another one of the famous cafes in the tinsel town. With world class coffee, pancakes and bacon, the cafe attracts tourists in large numbers. Boasting of surreal picturesque views outside the window and artsy ones indoors, having a delicious breakfast here is one of the best things to do in Shimla."
15,Cafe Simla Times,,https://www.holidify.com/places/shimla/cafe-simla-times-sightseeing-1253808.html,0 km  from city center,,"Famous for its mouth watering wood fired pizzas, gourmet burgers, world cuisine meal platters, sumptuous shakes and fuzzy cocktails, this quaint cafe in Shimla is one of the best place to go to for  meal or a snack or just to hang out in picture perfect ambiance and cozy setting. Boasting of wonderful art and decor, the cafe also offers surreal panoramic vistas outside the windows."
16,Cafe Hide Out,,https://www.holidify.com/places/shimla/cafe-hide-out--sightseeing-1253812.html,0 km  from city center,,"Cafe Hide Out is one other wonderful cafes in Shimla popular for its delicious snacks and even better coffee. Situated on the first floor near The Mall, the place is run by two brothers and offer finger licking food. In addition to that, the food is priced at fairly cheap rates and is a must stop cafe when in Shimla."
17,Theog,3.5,https://www.holidify.com/places/shimla/theog-sightseeing-8155.html,17 km  from city center,,"A quiet escape, one of the less crowded attractions of the state, Theog in Himachal Pradesh, warmly wrapped in the arms of the mighty Himalayas, has everything a popular hill station can give you minus the tourist rush."
18,Annandale,,https://www.holidify.com/places/shimla/annandale-sightseeing-121056.html,2 km  from city center,,"Annadale is a famous attraction in Shimla having a splendid Golf Course, a Playground, a Cactus Museum and an Indian Army Museum. All these aspects make Annadale a beautiful attraction for holidaying and rejuvenation purposes."
19,Indian Institute of Advanced Studies,3.7,https://www.holidify.com/places/shimla/institute-of-advanced-studies-sightseeing-3499.html,3 km  from city center,,The Indian Institute of Advanced Studies located on the Observatory Hill is a majestic structure made with Victorian-style architecture. It has now been converted into an educational institution which offer post-doctoral courses.
20,Scandal Point,3.3,https://www.holidify.com/places/shimla/scandal-point-sightseeing-3507.html,0 km  from city center,,"The Scandal Point is located on the Mall Road. It owes its interesting name to the fact that the King of Patiala abducted the daughter of the Viceroy, because he fell in love with her, from this very place."
21,Himalayan Bird Park,3.3,https://www.holidify.com/places/shimla/himalayan-bird-park-sightseeing-3497.html,2 km  from city center,,"Walk through this park, to browse through a modest, yet colorful and vibrant collection of the Himachal state bird, the Monal Pheasant."
22,Lakkar Bazar,3.3,https://www.holidify.com/places/shimla/lakkar-bazar-sightseeing-3493.html,0 km  from city center,,"Shopping in Shimla revolves around the heart of the town- The Mall Road. One can shop for local handicrafts, shawls, woolens, exquisite jewelry etc. here."
23,Shimla Reserve Forest Sanctuary,3.3,https://www.holidify.com/places/shimla/shimla-reserve-forest-sanctuary-sightseeing-3508.html,7 km  from city center,,"Popularly for its rare variety of flora and fauna, this wildlife Sanctuary is a must-visit for all wildlife enthusiast. Animals such as jackals, barking deer, monkeys and leopards are commonly sighted here."
