,Name,Rating,Link,Distance,Location,About
0,Shri Sai Baba Sansthan Temple,3.6,https://www.holidify.com/places/shirdi/shri-sai-baba-sansthan-temple-sightseeing-3526.html,1 km  from city center,,"The Sansthan Temple is one of the most famous and significant of shrines in India. Dedicated to Sai baba, Devotees can avail all facilities of a holy place from darshan lines, donation counters, prasad lines, railway booking counters to dinning halls."
1,Shani Shingnapur,4.2,https://www.holidify.com/places/shirdi/shani-shingnapur-sightseeing-3525.html,58 km  from city center,,"One of the most interesting villages of Maharashtra, this one has no doors in any of the houses or shops to its name. People, here believe that their Lord Shaneshwar is always protecting them from all the evils.



The village is mere 65 kms away from Shirdi and therefore is one of the most visited places on the trip to Shirdi. Only male devotees are allowed in the premises near the idol to worship their lord."
2,Samadhi Mandir,3.5,https://www.holidify.com/places/shirdi/samadhi-mandir-sightseeing-3524.html,1 km  from city center,,"Samadhi Mandir is owned and constructed by a millionaire from Nagpur, who was an ardent devotee of Sai baba. The devotee wanted to install an idol of Lord Murlidhar and therefore Sai baba declared himself as one."
3,Gurusthan,3.6,https://www.holidify.com/places/shirdi/gurusthan-sightseeing-3520.html,1 km  from city center,,Gurusthan is the place where Sai Baba first appeared to the world as a 16 year old boy. The place is situated under a Neem tree. It also has a shrine on which Sai baba's portrait is placed with a Shivalingam and the Nandi bull right in front of it.
4,Dwarkamai,3.7,https://www.holidify.com/places/shirdi/dwarkamai-sightseeing-3519.html,1 km  from city center,,"Dwarkamai is one of the treasures of Shirdi for the devotees. They say that Dwarkamai is the heart of Shirdi, the place where the great Sai Baba spent a significant part of his life including his last moments. It is a treasure to all of Baba's devotees because it was the home of, as they like to call him, God on Earth."
5,Lendi Baug,3.2,https://www.holidify.com/places/shirdi/lendi-baug-sightseeing-3523.html,1 km  from city center,,The beautiful garden is situated at Shirdi-Manmade State highway. Sai Baba used to spend a lot of his time here watering the plants daily in the mornings and evenings.
6,Jangli Maharaj Ashram,3.2,https://www.holidify.com/places/shirdi/jangli-maharaj-ashram-sightseeing-3521.html,7 km  from city center,,"Located on Shirdi-manmade state highway, the ashram is 7km away from Shirdi. Managed and maintained by Spiritual Guru Om Gurudev, it is also a co-educational residential school for children."
7,Dixit Wada Museum,3.2,https://www.holidify.com/places/shirdi/dixit-wada-museum-sightseeing-3518.html,1 km  from city center,,"The Wada museum is located in the vicinity of the Shri Sai Baba Sansthan trust that showcases vintage pictures of Sai baba with his followers. 
It also displays his leather padukas, long robes and a smoking pipe along with gramophone records, bathing stone and cooking utensils, among others."
8,Chavadi,3.2,https://www.holidify.com/places/shirdi/chavadi-sightseeing-3516.html,1 km  from city center,,"During his last years, Sai baba used to spend alternate nights at Chavadi. The place is located near Dwarkamai mosque from where the procession of Sai baba along with his followers was carried out in a palki."
9,Wet n Joy Waterpark,3.3,https://www.holidify.com/places/shirdi/wet-n-joy-waterpark-sightseeing-11764.html,1 km  from city center,,"Although most famous for its shrine dedicated to Sai Baba, Shirdi also houses the Shirdi Water Park. This destination has a number of thrilling rides and activities which are equally enjoyable for children and adults alike. Located about 5 kilometres away from Shirdi in Nighoj Village, this destination is a much-needed respite from the heat and is a fun filled way to spend some time with near and dear ones."
10,Thursday Palki procession,3.2,https://www.holidify.com/places/shirdi/thursday-palki-procession-sightseeing-3527.html,1 km  from city center,,"During the days when Sainath lived alternate nights in Chavadi, he was taken there in a palki procession from Dwarkamai masjid. 
The same procession that took place then is also carried out even today on every Thursday with the same excitement and veneration."
