,Name,Rating,Link,Distance,Location,About
0,Dal Lake,4.4,https://www.holidify.com/places/srinagar/dal-lake-sightseeing-3648.html,7 km  from city center,,The famous Dal Lake is the second-largest lake in Jammu & Kashmir. The mirror-like lake reflects the peaks of the Pir Panjal mountains while the colourful shikaras (gondolas) float around. The houseboats and shikaras are its main attractions.
1,Shalimar Bagh,4.3,https://www.holidify.com/places/srinagar/shalimar-bagh-sightseeing-3658.html,10 km  from city center,,"Shalimar Bagh is the largest of the three Mughal gardens in Srinagar.  It is now a public park and is known as the ""crown of Srinagar"". The chini khanas or arched niches placed behind waterfalls and the chinar trees are the highlights here."
2,Wular Lake,3.8,https://www.holidify.com/places/srinagar/wular-lake-sightseeing-3662.html,37 km  from city center,,"The famed Wular lake is India's largest freshwater lake. An experience unparalleled, it is home to several species of birds and thus haven for bird watchers. It is also popular for boating, water sports and water skiing"
3,Shikara Ride,3.6,https://www.holidify.com/places/srinagar/shikara-ride-sightseeing-3660.html,4 km  from city center,,The paramount reason why people come to Srinagar is for the relaxing and memorable Shikara rides. Taking the ride across the scenic Dal Lake at the backdrop of the majestic slow clad Himalaya's is indeed an experience in itself both enjoyable and unparallel.
4,Baramulla,3.8,https://www.holidify.com/places/srinagar/baramulla-sightseeing-3641.html,44 km  from city center,,"A famous tourist destination located close to Srinagar, Baramulla's charm lies in its untouched beauty. Enveloped by the Himalayas on all sides and resting on the banks of the River Jhelum, this city has been endowed with a quietly scenic landscape."
5,Nishat Bagh,4.3,https://www.holidify.com/places/srinagar/nishat-bagh-sightseeing-3656.html,9 km  from city center,,"The Nishat Bagh is a 12 terraced garden which is the second-largest Mughal garden in Kashmir after Shalimar Bagh. It has a splendid Mughal central water channel with several fountains, which is surrounded by tall Chinar trees."
6,Chashme Shahi,3.3,https://www.holidify.com/places/srinagar/chashme-shahi-sightseeing-3644.html,8 km  from city center,,"Chashme Shahi is one of the three Mughal gardens in Srinagar. It is a terraced garden dotted with walkways, colourful plants and pools of water. It is famous for its natural spring known as Rupa Bhawani."
7,Hazratbal Shrine,4.3,https://www.holidify.com/places/srinagar/hazratbal-shrine-sightseeing-3649.html,53 km  from city center,,The Hazratbal Shrine is the holiest Muslim shrine and mosque in Kashmir. It houses a relic known as Moi-e-Muqqadas which is believed to be a sacred hair of Prophet Muhammad's beard.
8,Yusmarg,3.5,https://www.holidify.com/places/srinagar/yusmarg-sightseeing-8107.html,31 km  from city center,,"At a distance of 47 kms from Srinagar, Yusmarg is the quietest place out of all tourist destinations in Kashmir which is also an amazing trek spot. It is one of the most romantic places in the state."
9,Stay in a Houseboat,,https://www.holidify.com/places/srinagar/stay-in-a-houseboat-sightseeing-1254269.html,10 out of 38  places to visit in Srinagar,,"Staying in a houseboat amidst pristine waters of the Dal Lake, is one of the most essential things to do in Srinagar. Made in wood and adorned in a typical Kashmir style decor, the houseboats are a perfect way to experience the quintessential local life in the luxurious way."
10,Indira Gandhi Memorial Tulip Garden,3.3,https://www.holidify.com/places/srinagar/indira-gandhi-memorial-tulip-garden-sightseeing-3650.html,8 km  from city center,,"Indira Gandhi Memorial Tulip Garden is the largest tulip garden in Asia which is set in the foothills of the Zabarwan mountain range in Srinagar. Formerly known as Model Floriculture Center, it overlooks the mesmerising Dal Lake. The Tulip Festival held here is the highlight which attracts tourists from the world over."
11,Salim Ali National Park,,https://www.holidify.com/places/srinagar/salim-ali-national-park-sightseeing-1253640.html,12 out of 38  places to visit in Srinagar,,"Located in Srinagar, Salim Ali National Park is a national park housing beautiful mangrove shrubbery habitat for several endangered animals and birds alike. Officially named in commemoration of ornithologist Salim Ali in 1986, this national park is spread across an expanse of 9 km."
12,Shankaracharya Temple,3.8,https://www.holidify.com/places/srinagar/shankaracharya-temple-sightseeing-3659.html,4 km  from city center,,"The Shankaracharya Temple in Srinagar, located on top of the Shankaracharya Hill, is dedicated to Lord Shiva and is one of the oldest shrines in Kashmir. Situated at a height of about 1100 feet on the south-east of the city, this sacred temple offers splendid views of the valley and the snow clad mountains of the Pir Panjal range."
13,Jamia Masjid Srinagar,3.3,https://www.holidify.com/places/srinagar/jamia-masjid-sightseeing-3651.html,5 km  from city center,,"Jamia Masjid is a 600-year-old mosque in Srinagar, located in the Nowhatta area amidst the bustle of local bazaars. The tranquil mosque is known for its unique architecture, the highlight being the 378 wooden Deodar pillars. The mosque becomes especially crowded on Fridays."
14,Char Chinar,3.3,https://www.holidify.com/places/srinagar/char-chinar-sightseeing-3643.html,7 km  from city center,,"Char Chinar is an island in the Dal Lake of Srinagar, surrounded by the Chinar trees on all four sides of it. Also known as Char Chinari (char chinari means four sides) and Rupa Lank, it was constructed by Murad Baksh, the brother of Mughal emperor Aurangzeb. The Char Chinar is best explored during a shikara ride in the Dal Lake."
15,Pari Mahal,3.3,https://www.holidify.com/places/srinagar/pari-mahal-sightseeing-3657.html,7 km  from city center,,"The House of Fairies or Pari Mahal is a historic monument placed above the beautiful Chashma Shahi Gardens near Srinagar. A well-laid spacious garden surrounds this structure, which was once a Buddhist monastery and later served as a school of astrology promoted by the eldest son of Shah Jahan, Dara Shikoh."
16,Shopping in Srinagar,3.0,https://www.holidify.com/pages/shopping-in-srinagar-386.html,4 km  from city center,,"Srinagar is the place to shop for all that Kashmir is famous for. Essentials include Cashmere Shawls, leather products, carpets, rugs, mats, dry fruits and more."
17,Tarsar Marsar Trek,3.5,https://www.holidify.com/places/srinagar/tarsar-marsar-trek-sightseeing-8205.html,33 km  from city center,,"A trek that not only gives you a thrill of adventure but also a glimpse of nature’s beauty so spell bounding is one of the most memorable trips of Tarsar Marsar Trek. Nestled in the lap of Aru Valley of Kashmir, the trail is of quite a magnificence adorned with variety of landscapes."
18,Dachigam National Park,3.3,https://www.holidify.com/places/dachigam-national-park/,23 km  from city center,,"Situated 22km from the main town of Srinagar, Dachigam National Park is known for housing rare Kashmir stag which is the only species of red deer in India. Other animals that can be spotted here includes Himalayan brown bear to Pygmy Owlets to the predators, the leopards."
19,Kheer Bhawani Temple,,https://www.holidify.com/places/srinagar/kheer-bhawani-temple-sightseeing-122963.html,17 km  from city center,,"Situated in Tul Mulla village near Srinagar, Kheer Bhavani Temple is dedicated to Hindu Goddess Bhavani- the incarnation of Goddess Parvathy. The temple was originally named Bhavani Mandir but eventually came to be known as Kheer Bhavani due to the delicious rice pudding offered as prasad. It is built over a holy water spring in between tall chinar trees."
20,Badamwari Garden,,https://www.holidify.com/places/srinagar/badamwari-garden-sightseeing-122964.html,4 km  from city center,,"Believed to have been built during 14th century, Badamwari Garden is a piece of heaven tucked away in Srinagar. Sprawling over the hills of Koh-e-Maran, the enchanting garden is replete with vibrantly blooming bushes and shrubbery. It is houses a magnificent dome at the centre and has trails carved for tourists to walk on."
21,Apple Orchards in Srinagar,,https://www.holidify.com/places/srinagar/apple-orchards-sightseeing-122967.html,12 km  from city center,,"Srinagar is counted among the most beautiful places of India owing to its lush green orchards, free flowing rivers and paradisal locales. Also, 80% of the country's apple supplies are managed from here. So, visit the emerald carpeted meadows full of green trees sprinkled with shiny red apples and let the picture perfect scene be etched in your memory forever."
22,Burzhama Ruins,,https://www.holidify.com/places/srinagar/burzhama-ruins-sightseeing-122969.html,11 km  from city center,,"Burzhama Ruins is situated in Burzahom in Srinagar. It is archaeological excavation site where numerous relics and remnants have been discovered suggesting the existence of an ancient settlement hundreds of years before. The excavations include skeletons, pottery, dwelling pits, mud brick houses and bone and stone tools."
23,Challi Point,3.3,https://www.holidify.com/places/srinagar/challi-point-sightseeing-3642.html,4 km  from city center,,"Challi Point is one of the most trendy and popular places in Srinagar. With the Dal lake in the backdrop, this place bustles with both tourists and locals spending some enjoyable time amidst breathtaking sceneries."
24,Nehru Garden Srinagar,3.3,https://www.holidify.com/places/srinagar/nehru-garden-sightseeing-3655.html,5 km  from city center,,"Providing the best view of the Dal lake is Nehru Garden, a botanical garden in Srinagar. It was built in 1969 in the memory of Pandit Jawaharlal Nehru. The Nehru Garden is popular for housing a collection of rare Kashmiri tropical plants. Other things to see include 15000 ornamental plants and a collection of oak trees."
25,Chinar Park,3.4,https://www.holidify.com/places/srinagar/chinar-park-sightseeing-3645.html,2 km  from city center,,"Chinar park is a recent addition to the tourism scene in Srinagar. Housing three island, old Chinar trees, flowers, musical fountains, kiosks, an open air theater for cultural programs and swings, the park is quickly making its way to the list of favorites of the town."
26,Hari Parbat,,https://www.holidify.com/places/srinagar/hari-parbat-sightseeing-122973.html,3 km  from city center,,"The majestic mountain overlooking the city of Srinagar is called Hari Parbat. Besides the famous Hari Parbat Fort, the mountain also has various Hindu and Muslim shrines and even a Gurudwara here. This park was open to public visitation only In 2014.  Today, visitors can set up picnics here. The fort is in turn fortified by mountains and water bodies."
27,Khanqah of Shah Hamdan,3.3,https://www.holidify.com/places/srinagar/khanqah-of-shah-hamdan-sightseeing-3652.html,2 km  from city center,,"Built on the sandy banks of the Jhelum river in Srinagar, is the Khanqah Of Shah Hamda. It is bustling with activity and people on the sixth day of Dul-Haj (the last month of the Islamic Lunar calendar), on the death anniversary of Mir Syed Ali Hamdani."
28,Anantnag,3.3,https://www.holidify.com/places/anantnag/,51 km  from city center,,"The capital of commerce of J&K, Anantnag is filled with hot springs, lakes, temples and shrines. The place is known for its religious tolerance and there are shrines that belong to both the Hindus and the Muslims."
29,Sinthan Top,,https://www.holidify.com/places/srinagar/sinthan-top-sightseeing-122962.html,86 km  from city center,,"A mountain pass in the Pir Panjal Mountain Ranges, Sithan Top is found along the National Highway of Kokernag-Sinthan Top-Kishtwar Road. This pathway connects Jammu and Kashmir. The snow-laden hilltop is lately emerging as a new tourist destination owing to the beautiful views and the idyllic setting. It is also popular for mountaineering, trekking and skiing."
30,Charar-i-Sharief,,https://www.holidify.com/places/srinagar/chararisharief-sightseeing-122971.html,25 km  from city center,,"Charar-i-Sharif is a Muslim shrine dedicated to Hazrat Sheikh Noor-ud-din Wali, situated around 30 kms from Srinagar and built around 600 years ago. Sheikh Wali was the first person to preach Rishism in the valley and propagated non-violence, vegetarianism, communal harmony and tolerance. His remains were buried at this shrine and ever since it holds significant religious importance."
31,Chatti Padshahi Gurudwara,,https://www.holidify.com/places/srinagar/chatti-padshahi-gurudwara-sightseeing-122966.html,3 km  from city center,,"Situated right out the Hari Parbat's southern gate in Srinagar, Chatti Padshahi Gurudwara is the most important and probably the largest Sikh gurudwara in all of Kashmir valley. The shrine has a sanctum sanctorum in middle of a large rectangular hall. It also has accomodation facilities and langar food is offered to all visitors every day of the year."
32,Makhdoom Sahib Shrine,,https://www.holidify.com/places/srinagar/makhdoom-sahib-shrine-sightseeing-122968.html,3 km  from city center,,"Located towards the south of Hari Parbat in Srinagar, Makhdoom Sahib Shrine is an Islamic shrine dedicated to Sufi saint Sheikh Hamza Makhdoom aka Makhdoom Saheb aka Hazrat Sultan aka Mehboob-ul-Alam aka Sultan-ul-Arifeen. Built in Mughal style architecture, the sturdy shrine rests on innumerous pillars and is thronged by pilgrims all through the year."
33,Kathi Darwaza,,https://www.holidify.com/places/srinagar/kathi-darwaza-sightseeing-122970.html,3 km  from city center,,"Kathi Darwaza is the main entrance gate of the famous monument Hari Parbat Fort in Srinagar. A rare specimen of Mughal architecture, the high domed gate is flanked by bays and has tiny Mughal and Persian inscriptions etched on the interior walls and ceilings. The gate, no doubt, accentuates the grandeur and splendour of the fort."
34,SPS Museum,,https://www.holidify.com/places/srinagar/sps-museum-sightseeing-122974.html,2 km  from city center,,"SPS Museum is situated at Lal Mandi in Srinagar and is popular for its had crafted products and notable archaeological artefacts collected from across the state. The museum has been divided into separate sections including archaeology, manuscripts, enamel ware, decorative art, natural history, paper mache and the like."
35,Tulip Festival in Srinagar,,https://www.holidify.com/places/srinagar/tulip-festival-sightseeing-1253589.html,36 out of 38  places to visit in Srinagar,,"The Indira Gandhi Memorial Tulip Garden in Srinagar holds South Asia's largest Tulip Festival in the months of April - May near the Dal Lake. Apart from the beauty of flowers, the visitors are also given the option to buy local handicrafts and clothes from the local inhabitants who run their stalls in the garden, during the festival."
36,Floating Vegetable Market,,https://www.holidify.com/places/srinagar/floating-vegetable-market-sightseeing-1254270.html,37 out of 38  places to visit in Srinagar,,"Srinagar is also popular for its floating vegetable markets where vegetable and fruits are sold around in the waters on the Shikara. More than a sell-purchase transaction, it is an interesting place to visit for sightseeing. One of the most unique things to do in Srinagar, these markets are run at the corner of the Dal Lake and besides the regular traders and buyers, they attract a whole lot of tourists."
