,Name,Rating,Link,Distance,Location,About
0,Sri Venkateswara Temple,3.5,https://www.holidify.com/places/tirupati/sri-venkateswara-temple-sightseeing-3807.html,1 km  from city center,,Sri Venkateshwara Temple is the most revered and celebrated temple of the temple town of Tirupati having tourists and pilgrims flooding in all year long.
1,Akasaganga Teertham,3.1,https://www.holidify.com/places/tirupati/akasaganga-teertham-sightseeing-3799.html,12 km  from city center,,"Akasaganga Teertham is a waterfall in Tirupati, located at a distance of 3 km from the main temple. The waterfall has water flowing all throughout the year and holds immense religious significance."
2,Silathoranam,3.1,https://www.holidify.com/places/tirupati/silathoranam-sightseeing-3803.html,11 km  from city center,,"One of the natural marvels that history left behind, the Silathoranam, now, finds itself being an important landmark in archaeology and heritage. This is a natural rock formation, one of the only three of this kind in the world."
3,Swami Pushkarini Lake,3.1,https://www.holidify.com/places/tirupati/swami-pushkarini-lake-sightseeing-3809.html,0 km  from city center,,"Almost neighboring the Sri Venkateshwara Temple, is Swami Pushkarini Lake. According to the legends, the lake belonged to Lord Vishnu and was located in Vaikuntham."
4,City Shopping,2.9,https://www.holidify.com/pages/shopping-in-tirupati-581.html,1 km  from city center,,"While in Tirupati one can shop for religious items such as idols, pendants, paintings and images. Another popular item here are wooden replicas of Lord Tirumala, found in varied sizes."
5,Vedadri Narasimha Swamy Temple,3.1,https://www.holidify.com/places/tirupati/vedadri-narasimha-swamy-temple-sightseeing-3811.html,362 km  from city center,,"This temple lies at a distance of 70 km from Tirupati and was constructed by Sir Krishna Deva Raya. It holds great mythological importance and is believed to be the site where Lord Vishnu battled with Rasksash Somakadu, won and took over the vedas from him."
6,Sri Padmavathi Ammavari Temple,3.1,https://www.holidify.com/places/tirupati/sri-padmavathi-ammavari-temple-sightseeing-3804.html,1 km  from city center,,"At a little distance from the main city area, one finds the Sri Padmavathi Ammavari Temple dedicated to Goddess Padmavathi. One of the many sacred structures of Tirupati, this one is home to many legends and stories about the Goddess."
7,TTD gardens,3.1,https://www.holidify.com/places/tirupati/ttd-gardens-sightseeing-3810.html,4 km  from city center,,"Spreading over an area of 460 acres, the TTD gardens in Tirupati are known for their ornately decorated and manicured flower gardens. Alongside its lush green beauty, the garden also includes Alwar Tank, Mangalabhavi and Ananthapalligunta."
8,Chittoor,3.1,https://www.holidify.com/places/chittoor/,57 km  from city center,,"At around 72 km away from Tirupati, Chittoor or Chittur is a temple town and enshrines many deities. Some of the famous temples include Varasiddi Vinayaka Swamy Temple, Subramanya Swamy Temple, Durgamma Gudi and Sai baba Temple."
9,Sri Venkateswara Dhyana Vignan Mandiram,3.2,https://www.holidify.com/places/tirupati/sri-venkateswara-dhyana-vignan-mandiram-sightseeing-3806.html,56 km  from city center,,"Established in the year 1980, the Sri Venkateswara Dhyana Vignan Mandiram in Tirupati is a museum that houses some of the most traditional articles that are used to perform Puja."
10,Sri Govindarajaswami Temple,,https://www.holidify.com/places/tirupati/sri-govindarajaswami-temple-sightseeing-122697.html,0 km  from city center,,"Sri Govindarajaswami Temple is a 12th century Hindu Vaishnavite shrine built by Saint Ramanujacharya and is one of the biggest temple complexes in the district. The presiding deity is Lord Vishnu, also called Govindarajaswami. The beautiful traditional Dravidian architecture and its rich culture attract tourists in quite a large number every year."
11,Sri Varahaswami Temple,3.1,https://www.holidify.com/places/tirupati/sri-varahaswami-temple-sightseeing-3805.html,10 km  from city center,,"Standing to the north of Sri Venkateswara Temple is the Sri Varahaswami Temple which according to a lot, is said to belong to Sri Adi varahaswami. Various legends surround this temple."
12,Sri Venugopalaswami Temple,3.1,https://www.holidify.com/places/tirupati/sri-venugopalaswami-temple-sightseeing-3808.html,24 km  from city center,,"A little away from the city of Tirupati, this temple is devoted to Lord Venugopalan. With the highlights being an idol of Sri Sita Ramula Pattabhishekam, it's a must visit area, when in Tirupati."
13,Nellore,3.1,https://www.holidify.com/places/nellore/,12 km  from city center,,"Located 130km southwest of Tirupati is the fascinating city of Nellore. Nellore is known for its pristine and clean beaches, the most notable ones being Kodur(You can boat here and catch a fish if lucky! Velangani Maatha Church lies next to the sea shore."
14,ISKCON Tirupati,,https://www.holidify.com/places/tirupati/iskcon-tirupati-sightseeing-122698.html,2 km  from city center,,"Located at the foothills of Tirumala Hills, ISKCON Tirupati is one of the most famous pilgrimages in the city. Srila Prabhupada, during his visit in 1974, suggested the teachings from Bhagwad Geeta be propagated by establishing a centre of Vedic Culture. ISKCON Tirupati was thus established in 1982 to revive the messages of Lord Krishna. It is believed to be the only way to bring about peace and harmony in the world."
15,Tumburu Teertham,,https://www.holidify.com/places/tirupati/tumburu-teertham-sightseeing-122712.html,8 km  from city center,,Tumbhuru Teertham is a sacred lake located amidst dense natural vegetation. The waters are believed to have magical powers and can absolve one's sins and help them attain moksha. The attraction is also famous for its natural beauty and is frequented by nature lovers for nature walks.
16,"Deer Park, Tirupati",,https://www.holidify.com/places/tirupati/deer-park-sightseeing-122700.html,5 km  from city center,,"Located amidst the beautiful natural surroundings, the Deer Park is a splendid escape from the routine for nature and animal lovers. The park houses a large number of deer and other regional flora and fauna. Tourists on their way to Tirumala often take a pit stop here and spend a few hours in the company of the deer, feed them and also watch them thrive in their natural habitat."
17,Kapila Teertham,,https://www.holidify.com/places/tirupati/kapila-teertham-sightseeing-122699.html,2 km  from city center,,"A Shaivite temple, Kapila Teertham is a famous pilgrimage in the city. The temple is located at the entrance of a mountain cave at the foothills of Tirumala Hills and is a marvellous example of Dravidian architecture. The presiding deity is Lord Shiva who is locally known as Lord Kapileshwara. The idol of the deity was installed by Kapila Muni."
