,Name,Rating,Link,Distance,Location,About
0,Lake Pichola,4.6,https://www.holidify.com/places/udaipur/lake-pichola-sightseeing-3844.html,1 km  from city center,,"The oldest and one of the largest lakes of Udaipur, Lake Pichola is enveloped by lofty Palaces, temples, bathing ghats and elevated hills on all its sides."
1,"City Palace, Udaipur",4.5,https://www.holidify.com/places/udaipur/city-palace-sightseeing-3835.html,0 km  from city center,,"One of the best architectural marvels in the state of Rajasthan, the City Palace in Udaipur is located on the banks of Lake Pichola. The grand white City Palace is a heritage building, almost like a fairy-tale, and it showcases the best elements of Rajput Culture and arts."
2,Fateh Sagar Lake,4.4,https://www.holidify.com/places/udaipur/fateh-sagar-lake-sightseeing-3838.html,4 km  from city center,,"Fateh Sagar Lake, placed in the city of Udaipur in Rajasthan, is an artificial lake named after Maharana Fateh Singh of Udaipur and Mewar and built to the north-west of Udaipur, located to the north of Lake Pichola in the 1680s, is one of the four lakes of the Udaipur city, namely the Lake Pichola (within the Udaipur town), Udai Sagar Lake (13 km to the east of Udaipur) and Dhebar Lake or Jaisamand Lake (52 km south east of Udaipur).  During drought conditions, when the rainfall is scarce, water storage in the lake is insufficient to meet the needs. To prevent loss of water due to evaporation, cetyl alcohol (hexadecanol) is sprayed over the lake surface."
3,Sajjangarh Palace,3.7,https://www.holidify.com/places/udaipur/sajjangarh-palace-sightseeing-3848.html,6 km  from city center,,"Also known as Monsoon Palace, Sajjangarh Palace is located at a peak Bansdara Mountain as high as about 944 m above the sea level overlooking the famous Pichola Lake."
4,Eklingji Temple,4.4,https://www.holidify.com/places/udaipur/eklingji-temple-sightseeing-3837.html,20 km  from city center,,"Almost 22km away from Udaipur, Eklingji Temple is dedicated to Lord Shiva. Taking a cab to this temple is the most convenient way to reach it. It is one of the most famous temples of Rajasthan, also known for its remarkable architecture."
5,"Vintage Car Museum, Udaipur",3.6,https://www.holidify.com/places/udaipur/vintage-car-museum-sightseeing-3851.html,1 km  from city center,,Located just a few kilometers away from the magnificent City Palace Vintage Car Museum is an awesome place for automobile and car lovers.
6,Jaisamand Lake,3.9,https://www.holidify.com/places/udaipur/jaisamand-lake-sightseeing-3843.html,47 km  from city center,,"Jaisamand Lake is the second largest artificial lake in Asia. There are seven islands in the lake, one of which is still inhabited by a local tribe, also it has a temple dedicated to Lord Shiva on the dam."
7,Jag Mandir Palace,3.3,https://www.holidify.com/places/udaipur/jag-mandir-palace-sightseeing-3841.html,1 km  from city center,,"An exquisite palace placed in an estuary Island in Pichola Lake, Jag Mandir Palace offer a blissful view of sunset and the spacious courtyard with black and white marble tiles Is a striking feature of this architectural marvel."
8,Doodh Talai Musical Garden,3.4,https://www.holidify.com/places/udaipur/doodh-talai-musical-garden-sightseeing-3836.html,1 km  from city center,,"Doodh Talai Musical garden is a rock and fountain garden which is a great place to enjoy the sunset and one can see the wide expanse of the city. Also, there is an Areal tramway (cable car) connecting a garden of Doodh Talai and the Karni mata Temple."
9,Jagdish Temple,4.4,https://www.holidify.com/places/udaipur/jagdish-temple-sightseeing-3842.html,0 km  from city center,,"Dedicated to the preserver of the universe, Lord Vishnu, the Jagdish Temple stands in the City Palace Complex in the city of Udaipur. Beautiful carvings, numerous appealing statues and an atmosphere of serenity make this place of worship an ideal choice for seekers of solace and faith."
