,Name,Rating,Link,Distance,Location,About
0,Mahakaleshwar Jyotirlinga,4.3,https://www.holidify.com/places/ujjain/mahakaleshwar-temple-sightseeing-6094.html,2 km  from city center,,Mahakaleshwar Temple is another temple in the state of Madhya Pradesh which is dedicated to the largely revered God - Lord Shiva. It is one of the 12 Jyotirlingas in India and is designed just as intricately as the other 11 are.
1,Kal Bhairava Temple,3.5,https://www.holidify.com/places/ujjain/kal-bhairava-temple-sightseeing-6091.html,5 km  from city center,,"Bhairav is a fierce manifestation of Lord Shiva, and Kal Bhairava is the most important among the eight Bhairavas. If ancient scriptures are to be believed, Kal Bhairav temple is said to be related with the Tantra cult, a secret religious sect who thrived upon black magic."
2,Ram Mandir Ghat,3.5,https://www.holidify.com/places/ujjain/ram-mandir-ghat-sightseeing-6098.html,2 km  from city center,,Ram Mandir Ghat is of immense religious significance to Hindus because it is one of the four locations where the Kumbh Mela takes place every 12 years.
3,"Kumbh Mela, Ujjain",4.2,https://www.holidify.com/places/ujjain/kumbh-mela-sightseeing-6093.html,3 km  from city center,,"The Kumbh mela is a sacred mass pilgrimage of the Hindus where devotees gather to take a dip in a holy river. The Kumbh is held every three years in one of the four cities, Haridwar, Allahabad, Nasik and Ujjain. The next Kumbh mela is scheduled to be held in Ujjain in 2016."
4,Harsiddhi Temple,3.2,https://www.holidify.com/places/ujjain/harsiddhi-temple-sightseeing-6089.html,2 km  from city center,,The Harsiddhi Temple boasts of an idol of Annapurna painted in dark red colour between the idols of Mahasaraswati and Mahalaxmi.
5,Kaliadeh Palace,3.2,https://www.holidify.com/places/ujjain/kaliadeh-palace-sightseeing-6092.html,8 km  from city center,,"Situated on an island based in the Shipra River, this Palace holds immense religious significance. It was constructed in 1458 AD. The Palace is flanked on both sides by the waters of the rivers and the technical aptitude of the predecessors can be seen in the man-made tanks and channels."
6,Pir Matsyendranath,3.2,https://www.holidify.com/places/ujjain/pir-matsyendranath-sightseeing-6096.html,5 km  from city center,,"Unlike the other architectural marvels in Ujjain and MP as a whole, Pir Matsyendranath is not a monument that is going to be eye-catchy. It was constructed in remembrance of the greatest leaders of the Natha sect of Saivism-Matsyendranath, very much like all the other monuments."
7,"Jantar Mantar, Ujjain",3.2,https://www.holidify.com/places/ujjain/jantar-mantar-sightseeing-6090.html,2 km  from city center,,"Ujjain has always been an educational hub since ages now, and this place just gives us enough evidence as to why it is considered so. Jantar Mantar (also called the Vedh Shala Observatory) was established in the 17th century was established so as to help the Hindu scholars and astrologers with their research and studies."
8,Bhartrihari Caves,3.2,https://www.holidify.com/places/ujjain/bhartrihari-caves-sightseeing-6087.html,3 km  from city center,,"Legend has it that this is the very place where Bhartrihari, the step brother of Vikramaditya and a very renowned poet used to live and meditate after relinquishing all the luxuries of life."
9,Chaubis Khamba Temple,3.2,https://www.holidify.com/places/ujjain/chaubis-khamba-temple-sightseeing-6088.html,26 km  from city center,,Chaubis Khamba Temple is a captivating historical wonder dated back to the 9th or 10th century. The entrance showcases the images of guardian goddesses of the Temple - Mahalaya and Mahamaya with their names inscribed on the footsteps of the temple.
10,Chintaman Ganesh Temple,3.2,https://www.holidify.com/places/ujjain/chintaman-ganesh-temple-sightseeing-6086.html,6 km  from city center,,Chintaman or Bade Ganeshji Ka Mandir is located close to the tank of the Mahakaleshwar Temple and right in front of you stands a gigantic sculpture of one of the most worshipped Gods in India - Lord Ganesha.
