,Name,Rating,Link,Distance,Location,About
0,Kashi Vishwanath Temple,4.4,https://www.holidify.com/places/varanasi/kashi-vishwanath-temple-sightseeing-3872.html,4 km  from city center,,"Kashi Vishwanath Temple is regarded as one of the most popular Hindu temple dedicated to Lord Shiva. Located in the heart of Varanasi, the temple is a core of faith for millions of Hindus."
1,Dashashwamedh Ghat,3.6,https://www.holidify.com/places/varanasi/dasashwamedh-ghat-sightseeing-3870.html,4 km  from city center,,"As the name suggests, it is believed that this is the place where Lord Brahma performed the Dasa Ashwamedha sacrifice. This ghat is a religious spot and many rituals are performed here."
2,Sankat Mochan Hanuman Temple,3.6,https://www.holidify.com/places/varanasi/sankat-mochan-hanuman-temple-sightseeing-3875.html,4 km  from city center,,The Sankat Mochan Hanuman Temple is situated by the River Assi and was built in the 1900s by the freedom fighter Pandit Madan Mohan Malviya. It is dedicated to Lord Rama and Hanuman.
3,Assi Ghat,4.3,https://www.holidify.com/places/varanasi/assi-ghat-sightseeing-3869.html,5 km  from city center,,The Asi Ghat is placed at the confluence of the Rivers Assi and Ganga and is famous for the large Shiva Lingam installed under a peepal tree. It has immense religious importance and has been mentioned in the Puranas and in various legends as well.
4,"New Vishwanath Temple, BHU",4.3,https://www.holidify.com/places/varanasi/new-vishwanath-temple-bhu-sightseeing-3873.html,6 km  from city center,,"Situated within the campus of the Banaras Hindu University (BHU), this temple is dedicated to Lord Shiva along with the sculptures of multiple Hindu Gods and Goddesses."
5,Tulsi Manasa Temple,3.6,https://www.holidify.com/places/varanasi/tulsi-manasa-temple-sightseeing-3876.html,4 km  from city center,,"Constructed in 1964, this temple is dedicated to Lord Rama and is named after the saint poet Tulsi Das. It displays the Shikhara style of architecture and exhibits various inscriptions from the Ram Charit Manas on the walls of the temple."
6,"Durga Temple, Varanasi",3.6,https://www.holidify.com/places/varanasi/durga-temple-sightseeing-3871.html,4 km  from city center,,"Located near the Durga Ghat on the bank of the River Ganga, Durga Temple was built in the 18th century. It houses an imposing idol of Goddess Durga and is one of the main temples in Varanasi."
7,"Tibetan Temple, Varanasi",,https://www.holidify.com/places/varanasi/tibetan-temple-sightseeing-122649.html,8 km  from city center,,"A shrine with stunning Tibetan Architecture, Tibetan Temple was where Lord Buddha taught his disciples the four truths of life. The edifice has a beautiful statue of Shakyamuni, prayer wheels and is decorated with traditional Buddhist paintings also called Thangksa. The unique feature of the temple is the prayer wheels that release strips of paper with chants written on them when rotated clockwise."
8,Manikarnika Ghat,,https://www.holidify.com/places/varanasi/manikarnika-ghat-sightseeing-122650.html,4 km  from city center,,"Considered as a gateway to the next life, Manikarnika Ghat is a highly sacred riverfront in India. It is believed that spending the last few days of life at the Ghat and completing the rituals of cremation here ensure a painless passing and also a way to attain freedom from the endless cycle of birth and death."
9,Nepali temple,,https://www.holidify.com/places/varanasi/nepali-temple-sightseeing-122651.html,4 km  from city center,,"One of the oldest temples in the city, Nepali Temple is a 19th century shrine dedicated to Lord Shiva. It was established by the King of Nepal and is a spitting image of the Pashupatinath Temple located in Kathmandu. The traditional architecture of the structure made of stone, terracotta and wood carvings attracts visitors in large numbers."
