,Name,Rating,Link,Distance,Location,About
0,Water Sports in Varkala,4.0,https://www.holidify.com/places/varkala/water-sports-in-varkala-sightseeing-8295.html,1 km  from city center,,Varkala is a beautiful coastal town in Thiruvananthapuram district. It lies in the southern part of Kerala. It is the only place in Kerala where the hills come close to the sea. The uniqueness of the place  is the merging of cliffs with the Arabian Sea. Varkala Beach is a popular beach where you can enjoy various water sports activities such as para-sailing and paragliding.
1,Varkala Beach,4.4,https://www.holidify.com/places/varkala/varkala-beach-sightseeing-3884.html,2 km  from city center,,"Set amid a beautiful setting, about 10 km away from the calm and quiet hamlet of Varkala, Varkala Beach is a beautiful beach renowned for its solitude unlike the more commercial beaches of Kerela."
2,Edava Beach,3.2,https://www.holidify.com/places/varkala/edava-beach-sightseeing-3878.html,5 km  from city center,,"Untouched and unspoilt by tourist activities, the Edava beaches are the virgin stretches circling a blue lagoon where sea and backwaters run parallel divided by a more-than-one km of straight road. There is also an estuary that connects the sea with the backwaters here."
3,Thiruvambadi Beach,3.2,https://www.holidify.com/places/varkala/thiruvambadi-beach-sightseeing-3883.html,2 km  from city center,,"Lying 1 km off Thiruvamdabi road, this black sand beach adjacent to the North cliff is an ideal picnic spot amidst lush coconut groves to relax and unwind."
4,Anjengo Fort,3.2,https://www.holidify.com/places/varkala/anjengo-fort-sightseeing-3877.html,9 km  from city center,,"Anjengo Fort, situated 12 km off Varkala at Anjengo, is believed to have been built in 17th century. Presently the fort is protected by the National Heritage monuments."
5,Sivagiri Mutt,3.3,https://www.holidify.com/places/varkala/sivagiri-mutt-sightseeing-3881.html,2 km  from city center,,"Located at Varkala in Thiruvananthapuram district of Kerala is the one of the popular ashrams of Shri Narayana Guru, Sivagiri Mutt. This ashram celebrates Guru Deva Jayanti (in August) and the Guru Deva Samadhi (in September) every year."
6,Ponnumthuruthu,3.2,https://www.holidify.com/places/varkala/ponnumthuruthu-sightseeing-3880.html,5 km  from city center,,"Ponnumthuruthu, also known as Golden Island is located 20 km from Varkala. It is popular for its 100 year old Shiva Parvathi temple situated amidst thick coconut groves stretched over the sandy beaches."
7,Janardhanaswamy Temple,3.2,https://www.holidify.com/places/varkala/janardhanaswamy-temple-sightseeing-3879.html,1 km  from city center,,"Located in Varkala, Janardhanaswamy Temple is 25 km to the north of Thiruvananthapuram. The temple is dedicated to Lord Vishnu and the Arattu festival celebrated here every year is attended by thousands of devotees."
8,Varkala Cliff,,https://www.holidify.com/places/varkala/varkala-cliff-sightseeing-122512.html,1 km  from city center,,Varkala CLIFF is a geologically important site in the region. The cliff is formed by laterite and overlooks the Varkala beach. It has been declared as a Geological monument by the Geological Survey of India but the stunning view of the golden beach and the playful waves that it offers is worth a visit for beach lovers and photographers._
9,Vishnu Temple,3.2,https://www.holidify.com/places/varkala/vishnu-temple-sightseeing-3885.html,8 km  from city center,,Vishnu Temple is an ancient temple dating back to around 2000 years. It is located very close to the Varkala Beach in Thiruvananthapuram.
10,Kaduvayil Juma Masjid,,https://www.holidify.com/places/varkala/kaduvayil-juma-masjid-sightseeing-122522.html,9 km  from city center,,"Kaduvayil Juma Masjid is dedicated to a Muslim Saint, Saint Kaduvayil Thangal who is believed to have magical powers. It is one of the important Sunni Pilgrimage Centres in the region but its beautiful architecture also attracts tourists. The well maintained structure possesses a divine vibe that can put a troubled soul at peace in an instant."
11,Varkala Lighthouse,,https://www.holidify.com/places/varkala/varkala-lighthouse-sightseeing-122514.html,1 km  from city center,,"Varkala Lighthouse was built in 1684 by the British to assist the navigation of ships coming from Britain. It stands 130 feet tall on the Varkala Beach and attracts tourists for a mesmeric bird's eye view it provides of the Arabian sea and the backwaters. It, therefore, is a perfect attraction for photographers, beach lovers and picnickers._"
12,Kappil Lake,,https://www.holidify.com/places/varkala/kappil-lake-sightseeing-122513.html,6 km  from city center,,Kappil Lake is a mesmerising estuary famous for being a tranquil picnic spot surrounded by dense coconut trees. It further becomes a part of the Arabian sea and offers a breath-taking view that can be witnessed clearly from the bridge over the lake. The lake is also famous for pedal boating. The boats can be hired from the boat club located near the water body._
13,Asparagus,,https://www.holidify.com/places/varkala/asparagus-sightseeing-122516.html,1 km  from city center,,Asparagus is a store in Varkala where one can find ecological handicrafts and textiles that are dyed with natural dyes. Tourists can purchase artefacts and fabrics that are unique to the region. The friendly salesmen ensure the customers get the best products they have. They also have an in-house tailor who can sew garments according to specific requirements from the fabrics purchased.
14,Kappil Beach,,https://www.holidify.com/places/varkala/kappil-beach-sightseeing-122518.html,6 km  from city center,,Kappil Beach is a strip of land by the Kappil Lake. The beautiful beach is lined with coconut trees and offers a beautiful view of the backwaters. A bridge used to cross the lake also is a good location to get a stunning view of the backwater including the point where the backwater enters the splendid Arabian sea._
15,Varkala Aquarium,,https://www.holidify.com/places/varkala/varkala-aquarium-sightseeing-122519.html,2 km  from city center,,"Varkala Aquarium has a decent collection of fishes in a number of large sized that can be viewed from a walkway that spirals upwards. One can find a number of species including Karimeen, Pirahnas, Eels etc. The aquarium also has a 3D theatre where information about more species of fishes is given using the 3D technology. The aquarium is a perfect attraction to see over a day-long picnic."
16,Varkala Tunnel,,https://www.holidify.com/places/varkala/varkala-tunnel-sightseeing-122521.html,2 km  from city center,,Varkala Tunnel is an old tunnel built in 1867 by Sir T. Madhava Rao who was also the Dewan of Travancore during that time. This took about 14 years to build the tunnel that runs a little over 900 feet and allowed traders to halt before proceeding with their journey towards Thiruvananthapuram. This historic inland waterway is a great example of the Colonial era architecture in the region.
17,Saint Sebastian's Pilgrim Church Moongode,,https://www.holidify.com/places/varkala/saint-sebastians-pilgrim-church-moongode-sightseeing-122520.html,6 km  from city center,,"Located on the banks of the backwaters of Varkala, Saint Sebastians Pilgrim Church Moongodu is an important pilgrim centre for the Christians. It was built by the Portuguese Missionaries and is famous for Feast procession of Saint Sebastian which is held every year in the month of February when the beautiful church is transformed into a colourful and bustling attraction especially for the followers."
18,Sarkara Devi Temple,,https://www.holidify.com/places/varkala/sarkara-devi-temple-sightseeing-122523.html,12 km  from city center,,Sarkara Devi Temple is dedicated to Goddess Bhadrakali. It is famous for the Kaliyoot festival which is celebrated every year in March (the Malayalam month of Kumbh) and Meenabharani Festival which is held during Attavishesham. Kaliyoot is a presentation of the legendary figures Bhadrakali and Darika who represent good and evil respectively. A procession is held during the 10-day Meenabharani festival wherein the Goddess is taken on five elephants to the Bhagavathy Palace.
19,Chilakoor Beach,,https://www.holidify.com/places/varkala/chilakoor-beach-sightseeing-124824.html,1 km  from city center,,"Chilakoor Beach is located at a distance of about 15 kms from the town of Varkala in Kerala. Lined with gorgeous casuarina groves, the drive to the beach takes you through traditional coastal villages which lets you have a glimpse of the rural Kerala life. The beach is also popular for its serene environment and beautiful sunset views."
20,Arattu Festival in Janardhanaswamy Temple,,https://www.holidify.com/places/varkala/arattu-festival--sightseeing-1253470.html,21 out of 23  places to visit in Varkala,,"One of the most significant festivals in Kerala, the ten-day Arattu festival is celebrated in the Janardhan Swamy temple with elephant processions, ornamental silk umbrellas and all night kathakali dances. The Arattu is more of a ritual than a temple festival. A grand procession, a ceremonial bath and serving of a sweet dish - Palpayasam; marks the festivities of the Arattu. Although it is celebrated twice a year in Kerala; March - April and October - November, it is held from 12th to 21st March 2019 in Janardhana Swamy Temple, Varkala."
21,Darjeeling Cafe,,https://www.holidify.com/places/varkala/darjeeling-cafe-sightseeing-1254470.html,2 km  from city center,,"Darjeeling Cafe is one of the most popular cafes in Varkala, offering amazing food with an amazing view of the seaside. With a simple yet elegant decor, the place stands out from the rest. The meals are served in authentic South Indian style and have similar flavours. You should definitely check out this place if you are in town."
22,InDa Cafe,,https://www.holidify.com/places/varkala/inda-cafe-sightseeing-1254471.html,2 km  from city center,,"InDa Cafe is one of the top places to chill and have amazing food, in Varkala. The USP of the cafe is to produce food which is not just tempting to the tongue but also the eyes. The chef's combine the Indian flavours with the Western style of cooking to create visually gorgeous, mouth watering food. The most recommended dish to try at the place is the Buddha Bowl."
