,Name,Rating,Link,Distance,Location,About
0,Banasura Sagar Dam,4.3,https://www.holidify.com/places/wayanad/banasura-dam-sightseeing-3944.html,16 km  from city center,,"Lying in the lap of the Banasura hills in the Wayanad district is the picturesque Banasura Sagar dam. Banasura Dam is the largest earthen dam in the country and the second-largest in Asia. The view of the sprawling reservoir from the top of the dam is breathtaking. Adventures like speed boating are readily available, and a trek up to the Banasura Peak is filled with streams, diverse flora, fauna, lush tropical green and majestic waterfalls. An earthen dam, also known as an embankment dam is created by placing mounds of clay, sand, rock or soil. The view of Banasura Lake from the top of the hill is mesmerising."
1,Wayanad Wildlife Sanctuary,4.2,https://www.holidify.com/places/wayanad/wayanad-wildlife-sanctuary-sightseeing-3952.html,21 km  from city center,,"Wayanad Wildlife Sanctuary is the second largest wildlife sanctuary in Kerala and comprises of rare as well as endangered species of both flora and fauna. It is surrounded by the protected areas of Mudumalai in Tamil Nadu as well as Nagarhole and Bandipur in Karnataka. Founded in the year 1973, the wildlife sanctuary is an integral part of the Nilgiri Biosphere Reserve which was the first biosphere out of the 14 present in India. The sanctuary is spread over an area of 345 square km and comprises of two parts namely Upper Wayanad and Lower Wayanad. Eucalyptus, as well as bamboo trees, are grown in the region."
2,Chembra Peak,4.2,https://www.holidify.com/places/wayanad/chembra-peak-sightseeing-3946.html,17 km  from city center,,"With a height 2100 m, the Chembara peak is an attractive destination for Campers and Mountaineers. Many guided expeditions are conducted to the tallest summit of Wayanad."
3,Edakkal Caves,4.3,https://www.holidify.com/places/wayanad/edakkal-caves-sightseeing-3947.html,18 km  from city center,,"Famous for its exquisite rock and wall carvings, this pre-historic Edakkal Caves measures 96 ft long and 22 ft wide. You need to trek for one and half hour to hit the cave entrance, and another 45 minutes to reach the mouth of the cave.



Boating cost: Pedal boat (Rs 30/2 people, Rs 50/4 people), Row boat (Rs 50/4 people) and Kayaking (Rs 100/30 minutes)"
4,Stay in a Treehouse,,https://www.holidify.com/places/wayanad/stay-in-a-treehouse-sightseeing-1254711.html,5 out of 34  places to visit in Wayanad,,"One of the best things to do in Kerala is to stay in a treehouse. And there is no better place in the state than Wayanad. You can find several packages in the city where you can stay in the pretty wooden house and as part of the package, you can also enjoy a bonfire and indulge in activities like rock climbing, rappelling, nature walks etc."
5,Soochipara Falls,4.2,https://www.holidify.com/places/wayanad/soochipara-falls-sightseeing-3950.html,23 km  from city center,,"Soochipara Falls is a three-tiered waterfall, which cascades at its best between the months of June and January. The site is also popular with rock climbers apart from picnickers."
6,Vythiri,,https://www.holidify.com/places/vythiri/,7 out of 34  places to visit in Wayanad,,"Vythiri is a small town located in the Wayanad district, surrounded by lush rainforest. It is known for its spice plantations and indigenous tribal communities. It is a tourist favourite for adventure sports, trekking, and relaxing amidst the serene beauty of the town. Vythiri receives the highest rainfall in the district and is recorded as receiving the second-highest amount of rain in the world. The months of June-September receive the highest rainfalls. Because of its height, at 700 meters above sea level, this is one of the colder regions in Wayanad and is an all-weather destination. Vythiri houses the Pookot lake; wherein one can enjoy a relaxing boat ride and kayaking. Trekking a tourist favourite till the top of Lakkidi, a village 5 kms from Vythiri, from where one can enjoy the breathtakingly stunning view of the valley below."
7,Kuruva Dweep,3.5,https://www.holidify.com/places/wayanad/kuruva-dweep-sightseeing-3948.html,13 km  from city center,,Situated on the tributaries of river Kabani is the Kuruva Island surrounded by a picturesque view of enchanting evergreen forests. The site is popular among those seeking a quiet get-away from the hustle bustle of the cities.
8,Sulthan Bathery,4.2,https://www.holidify.com/places/wayanad/sulthan-bathery-sightseeing-3951.html,18 km  from city center,,"Once known as an important strategic location in the Malabar region, Sulthan Bathery is now the largest town in Wayanad district which is known for its tourism and commercial activities. 

The main attractions for the tourists are the pre-historic caves, jungle trails, sparkling streams and rivers and lush greenery of the undulating hills, along with many options to explore the city and its surroundings."
9,Pookode Lake,3.6,https://www.holidify.com/places/wayanad/pookot-lake-sightseeing-3949.html,20 km  from city center,,Lying just 3 km south of Vythiri is a natural fresh water lake unspoiled by human habitation and activities. The Pookode lake tourist resort is famous for its aquarium and green house. Visitors can enjoy a boat ride in its calm waters. Kayaking in the lake is another sought after activity.
