,Name,Rating,Link,Distance,Location,About
0,Ajanta Caves,4.5,https://www.holidify.com/places/ajanta-and-ellora-caves/ajanta-caves-sightseeing-4020.html,80 km  from city center,,"Located around 99 km from the town of Aurangabad, lie the Ajanta Caves, now included in the list of UNESCO World heritage Sites.



Ajanta caves depicts the Buddhist culture and their stories through various sculptures and paintings. It also takes you to the world of Jatakas. Naturally used as a retreat by the Buddhist monks, the caves depicts the serenity of Buddhism through its simple yet breath taking sculpture. The basic designs of the caves are called 'Chaityagrihas' & 'viharas.' There are in total 29 caves."
1,"Grishneshwar Temple, Ellora",3.6,https://www.holidify.com/places/aurangabad/ghrishneshwar-temple-ellora-sightseeing-1232.html,2 km  from city center,,Grishneshwar is an ancient pilgrimage site where one of the twelve Jyotirlinga manifestations of Lord Shiva is found. It is located at a distance of around half a kilometer from Ellora and 11 km from Daulatabad near Aurangabad in Maharashtra.
2,"The Buddhist Caves, Ellora",3.7,https://www.holidify.com/places/aurangabad/the-buddhist-caves-ellora-sightseeing-1246.html,80 km  from city center,,"Shrines and paintings of Buddha, all encompassed in about 12 buddhist caves."
3,"Bibi Ka Makbara, Aurangabad",3.3,https://www.holidify.com/places/aurangabad/bibi-ka-maqbara-sightseeing-1228.html,19 km  from city center,,"Known as Dakkhani Taj (Taj of Deccan), Bibi Ka Maqbara is situated about 5 km from the Aurangabad city ."
4,"Jain Caves, Ellora",3.3,https://www.holidify.com/places/aurangabad/jain-caves-ellora-sightseeing-1235.html,1 km  from city center,,There are in total 5 Jain caves at Ellora and they are dated to the ninth and tenth century AD.
5,Khuldabad,3.3,https://www.holidify.com/places/aurangabad/khuldabad-sightseeing-1238.html,5 km  from city center,,"Khuldabad is a nearby town in Aurangabad and is also known as ""Rauza"", meaning garden of paradise."
6,"Daualatabad fort, Daulatabad",3.3,https://www.holidify.com/places/aurangabad/daulatabad-fort-sightseeing-1231.html,9 km  from city center,,"Daulatabad Fort (14 kilometer away from Aurangabad City), in Daulatabad, or 'the abode of wealth' is situated on an isolated conical hill from a 600 feet high mesa-like flat terrain."
7,"Aurangabad caves, Aurangabad",3.3,https://www.holidify.com/places/aurangabad/aurangabad-caves-sightseeing-1226.html,17 km  from city center,,The marvelous caves of Aurangabad are tucked between the Satara and Sihyachal range of hills in Aurangabad.
8,Shopping In Aurangabad,3.0,https://www.holidify.com/places/ajanta-and-ellora-caves/shopping-in-aurangabad-sightseeing-4022.html,17 km  from city center,,"Aurangabad is famous for shopping where one can stopover to buy Himroo shawls, Paithani sarees or fabric like Mashru and Kimkhab."
9,"Panchakki, Aurangabad",3.3,https://www.holidify.com/places/aurangabad/panchakki-sightseeing-1241.html,20 km  from city center,,"Built about 1700, this is a water mill used for grinding grains. The forethought put into the marvel of architecture is truly amazing."
10,The shopping plaza,3.0,https://www.holidify.com/places/ajanta-and-ellora-caves/the-shopping-plaza-sightseeing-4032.html,25 km  from city center,,Apart from the magnificent caves that exhibit the best of Buddhist religious art the shopping plaza is another major tourist attraction in Ajanta.
11,Shopping in Ajanta and Ellora,3.0,https://www.holidify.com/places/ajanta-and-ellora-caves/shopping-in-ajanta-and-ellora-sightseeing-4030.html,23 km  from city center,,Shopping near Ajanta and Ellora caves is fascinating as the region is rich in the art and culture of several communities.
