,Name,Rating,Link,Distance,Location,About
0,Scuba Diving In Andaman,4.4,https://www.holidify.com/pages/scuba-diving-in-andamans-2337.html,49 km  from city center,,"Andaman and Nicobar Islands is a popular spot for scuba diving among tourists. Most popular island among all the islands for the dives however, is Havelock.



It is an ideal diving destination for everyone, right from a novice to an experienced diver. For non-certified amateur divers, charges start from about INR 3,500 for a 30 minute dive"
1,Havelock Island,4.6,https://www.holidify.com/places/andaman-nicobar-islands/havelock-island-sightseeing-1188.html,46 km  from city center,Havelock Island,Havelock is one of the most popular islands among the 600 in the region and is most developed when it comes to tourism. It is a 2-4 hour ferry ride away from Port Blair.
2,Radhanagar Beach,3.0,https://www.holidify.com/places/andaman-nicobar-islands/radhanagar-beach-sightseeing-120770.html,42 km  from city center,Havelock Island,"With its turquoise blue waters and powdery white sands, Radhanagar Beach repeatedly features on lists of globally ranked beaches, rated Asia's best beach in 2004 by TIME Magazine. This pristine beach finds its place on the much-adored Havelock Island, a tourist’s paradise and the largest of the islands present in this series of water-locked land masses."
3,Cellular Jail,4.5,https://www.holidify.com/places/andaman-nicobar-islands/cellular-jail-sightseeing-1184.html,12 km  from city center,Port Blair,"The Cellular Jail, also known as 'Kala Pani' is an old colonial prison situated in Port Blair, the capital of Andaman and Nicobar islands. Constructed by the Britishers during their colonial rule in India, the jail was used particularly to exile Indian political prisoners. The construction of the jail began in the year 1896 and was completed in 1906, after which it was used to house many notable freedom fighters such as Batukeshwar Dutt, Yogendra Shukla and Vinayak Damodar Savarkar. The jail complex is now owned by the Government of India and it is recognised as the national memorial monument that showcases the life of prisoners during the British era."
4,Snorkeling in Andamans,3.6,https://www.holidify.com/places/andaman-nicobar-islands/snorkeling-sightseeing-1195.html,49 km  from city center,,Snorkeling is another popular water sport among tourists. Sea around Havelock Island serves as one of the best sites for snorkeling.
5,Ross Island,4.4,https://www.holidify.com/places/andaman/ross-island-sightseeing-1192.html,13 km  from city center,Port Blair,"A couple of kilometers away from Port Blair, Ross Islands were the British administrative headquarters of the islands till 1941."
6,Viper Island,3.6,https://www.holidify.com/places/andaman-nicobar-islands/viper-island-sightseeing-1196.html,10 km  from city center,Port Blair,"Years before Cellular Jail was constructed, Viper Island was used by the British to keep the freedom fighters in exile. You can still see the remains of the jail which was built in 1867 by the British."
7,Neil Island,4.4,https://www.holidify.com/places/andaman/neil-island-sightseeing-1191.html,44 km  from city center,Port Blair,Neil Island is a beautiful island which is more peaceful and less crowded than Havelock. It is a long stretch of sandy beaches from where one can admire the crystal blue water.
8,Baratang Island,3.9,https://www.holidify.com/places/andaman-nicobar-islands/baratang-island-sightseeing-1182.html,54 km  from city center,North Middle Andaman,"Baratang Island, also known as Ranchiwalas Island, is a beautiful little island in the North and Middle Andaman Administrative district and is situated about 100 kilometres away from the capital city of Port Blair by road. The island is well-known for its mangroves, mud volcanoes and limestone caves. However, you may need to take permission from the Forest Department at Baratang to explore these caves. India's only Mud Volcano is located on this island. Unlike Havelock Island, Baratang Island is not as developed for urban tourism and mostly serves as a hub for natural sightseeing. You can reach Baratang island via the government ferry service that runs between Port Blair city at the Phoenix Bay Jetty."
9,Rajiv Gandhi Water Sports Complex,,https://www.holidify.com/places/andaman-nicobar-islands/rajiv-gandhi-water-sports-complex-sightseeing-1253610.html,10 out of 66  places to visit in Andaman & Nicobar Islands,,"The picturesque Andaman and Nicobar Islands have a plethora of tourist attractions to ensure a merry time for its tourists. Among these places, for adventure enthusiasts, Rajiv Gandhi Water Sports Complex is a must-visit spot. Also known as the Andaman Water Sports Complex, the place offers a complete fun-package in the form of enthralling water sports activities. Now you must be curious to know the kind of activities Rajiv Gandhi Water Sports Complex hosts – these are paddle boats, row boats, banana boats, parasailing, speed boats, snorkelling, scuba diving, sea walking and much more."
