,Name,Rating,Link,Distance,Location,About
0,Mahabodhi Temple,4.6,https://www.holidify.com/places/bodh/mahabodhi-temple-sightseeing-1467.html,0 km  from city center,,"The Mahabodhi Temple serves to be the main and most important attraction in Bodh Gaya. It was built in the 7th century, surrounding the Bodhi Tree that Buddha sat under whilst he attained enlightenment."
1,Great Buddha Statue,3.7,https://www.holidify.com/places/bodh-gaya/great-buddha-statue-sightseeing-1463.html,1 km  from city center,,"This statue of Lord Buddha is the tallest in India and was instated by the XIV Dalai Lama in 1989. It is a meditating Buddha resting on a giant lotus, constructed using intricately carved sandstone and red granite."
2,Tibetan Refugee Market,3.6,https://www.holidify.com/places/bodh-gaya/tibetan-refugee-market-sightseeing-1473.html,0 km  from city center,,"This market is paradise for shopping lover. It offers a large variety of winter-wears, handicrafts and souvenirs, etc."
3,"Bodhi Tree, Bodh Gaya",4.4,https://www.holidify.com/places/bodh-gaya/bodhi-tree-sightseeing-1459.html,0 km  from city center,,"Bodhi Tree is the tree that Lord Buddha meditated under before he could attain enlightenment. The original Bodhi tree may have been destroyed by many Kings, but the direct descendants flourish even today standing tall at 80 feet."
4,Thai Monastery,3.7,https://www.holidify.com/places/bodh-gaya/thai-monastery-sightseeing-1472.html,0 km  from city center,,"Well known for its curved roof covered with exquisite tiles of gold, the Thai Monastery houses a bronze statue of Buddha and another recently erected 25m high statue in the garden."
5,Mahabodhi Temple Complex Book store,3.7,https://www.holidify.com/places/bodh-gaya/mahabodhi-temple-complex-book-store-sightseeing-1468.html,0 km  from city center,,"This book store offers a wide range of collection of Buddhist books, books on Buddhist culture and history of Mahabodhi Temple."
6,Muchalinda Lake,3.3,https://www.holidify.com/places/bodh-gaya/muchalinda-lake-sightseeing-1470.html,0 km  from city center,,"A popular site at Bodh Gaya, the Muchalinda Lake is located next to the main temple. It is associated with a mythological tale stating that Lord Buddha was protected from the storm by Snake King Muchalinda."
7,Royal Bhutan Monastery,3.4,https://www.holidify.com/places/bodh-gaya/royal-bhutan-monastery-sightseeing-1471.html,1 km  from city center,,"The Royal Bhutan Monastery has been named so, as it was built by the King of Bhutan as a dedication to Lord Buddha. Clay carvings are seen on the interior walls of the monastery that depict different aspects of the Buddhist culture."
8,Brahmayoni Temple,3.3,https://www.holidify.com/places/bodh-gaya/brahmayoni-temple-sightseeing-1460.html,9 km  from city center,,"Devotees who wish to visit this temple must go through a grueling climb of 424 high stone steps to reach the top of the hill, atop which lies this temple."
9,Cankamana,3.3,https://www.holidify.com/places/bodh-gaya/cankamana-sightseeing-1461.html,0 km  from city center,,"Situated along the Bodhi Temple, Cankamana is a holy shrine featuring a carving of Lord Buddha's feet into the black stone lotuses."
10,Chinese Temple,3.3,https://www.holidify.com/places/bodh-gaya/chinese-temple-sightseeing-1462.html,0 km  from city center,,Chinese Temple was constructed by Buddhist monks. It displays beautiful Chinese artwork with a statue of Lord Buddha within the sanctum.
11,Indosan Nippon Japanese Temple,3.4,https://www.holidify.com/places/bodh-gaya/indosan-nippon-japanese-temple-sightseeing-1464.html,1 km  from city center,,"An outstanding example of Buddhist culture and Japanese architecture, this temple was built in 1972 with the help of International Buddhist communities."
12,"Vishnupad Temple, Gaya",3.3,https://www.holidify.com/places/bodh-gaya/vishnupad-temple-gaya-sightseeing-1475.html,9 km  from city center,,"As the name suggests, this temple was built as a dedication to Lord Vishnu and features a 40 cm long footprint of Lord Vishnu that is enclosed by a basin made of silver plates."
13,Vietnamese Temple,3.3,https://www.holidify.com/places/bodh-gaya/vietnamese-temple-sightseeing-1474.html,1 km  from city center,,Vietnamese Temple is the most recently constructed shrine in the area and features a serene looking statue of Buddha which exudes a calming aura and appears to be smiling.
14,Kundan Bazaar,3.3,https://www.holidify.com/places/bodh-gaya/kundan-bazaar-sightseeing-1466.html,2 km  from city center,,"Kundan Bazaar is an ideal place for those looking for souvenirs to back home, books and other handicrafts of the region."
15,"Jama Masjid, Bodh Gaya",3.3,https://www.holidify.com/places/bodh-gaya/jama-masjid-sightseeing-1465.html,12 km  from city center,,Jama Masjid is the largest mosque in the state of Bihar and dates back to around 200 years. It was built by the royal family of Muzaffarpur. The shrine is well known for its festival Shabina when the prayers are offered on the 27th night of Ramadan.
16,Dungeshwari Hills,,https://www.holidify.com/places/bodh-gaya/dungeshwari-hills-sightseeing-122627.html,7 km  from city center,,Dungeshwari Hills is where Lord Buddha spent a few years before travelling to Bodh Gaya in search of enlightenment. The hills are mostly known for the caves that Gautam Buddha used for shelter and meditation. The Stupas/ Buddhist shrines exist even today amidst the beautiful natural surroundings. The picturesque location of the Dungeshwari Hills is also a well-known trekking destination and draws enthusiasts in large numbers.
17,Root Institute for Wisdom Culture,,https://www.holidify.com/places/bodh-gaya/root-institute-for-wisdom-culture-sightseeing-122626.html,2 km  from city center,,Root Institute for Wisdom Culture is a Buddhist Centre that educates and promotes wisdom culture through programmes and social service. It functions as per the Tibetan tradition and is often considered as a spiritual retreat that offers a tranquil atmosphere to study and practise the culture in its true form.
