,Name,Rating,Link,Distance,Location,About
0,Dharamshala Cricket Stadium,4.3,https://www.holidify.com/places/dharamsala/dharamshala-cricket-stadium-sightseeing-4518.html,0 km  from city center,,"Nestled in the lap of the majestic Himalayan mountain range lies the quaint Dharamshala Cricket Stadium, also known as the Himachal Pradesh Cricket Association (HPCA) Stadium. Located at a height of 1,457 masl amidst the Dhauladhar mountain range in Kangra valley, it is one of the highest sports grounds in the world. Operated under the auspices of HPCA, the Cricket Stadium often serves as the practice ground for the Indian Cricket Team, Himachal Pradesh state-level cricket team, as well as Indian Premier League (IPL) team Kings XI Punjab."
1,Library of Tibetan Works and Archives,,https://www.holidify.com/places/dharamsala/library-of-tibetan-works-and-archives-sightseeing-124779.html,1 km  from city center,,"With artifacts and manuscripts that date back to the 12th century, the Library of Tibetan Works and Archives is one the pioneering institutions in the study and research of Buddhism. With as many as 80,000 manuscripts, 600 Buddhist artifacts including beautifully crafted silk applique thangkas and a three dimensional, wood carved mandala of the Avalokiteshwara, one of the most revered and compassionate Bodhisattva in Buddhism. With an air of peace and serenity descending upon people who visit the museum, it is indeed a calming experience to visitors of this offbeat museum in India."
2,St,3.6,https://www.holidify.com/places/dharamsala/st-john-in-the-wilderness-church-sightseeing-4523.html,2 km  from city center,,"This neo-gothic church was built in 1852 and is one of the most important churches in Himachal Pradesh. Located near Dharamshala and on the way to Mcleodganj , this church was built in dedication to John the Baptist."
3,Dharamshala International Film Festival 2020,,https://www.holidify.com/places/dharamshala/dharamshala-international-film-festival-sightseeing-1253790.html,4 out of 22  places to visit in Dharamshala,,"One of the leading independent film festivals of the county is the Dharamshala Film Festival, held every year in November. The festival is for filmmakers, volunteers and travellers from far and wide. Showcasing the best of Indian and international cinema, the DIFF provides a platform for hitherto unknown artists to take centre stage."
4,War Memorial,3.5,https://www.holidify.com/places/dharamsala/war-memorial-sightseeing-4529.html,2 km  from city center,,"The War Memorial in the forests of Dharamshala was created to commemorate the memory of those who fought to save our motherland. During the Indo-China War of 1947-48, 1962, 1965, and 1971, and UN Peace Operations, many brave soldiers of Kangra lost their lives as war heroes. Three huge panels of black stone, each 24 feet in height, preserve their memory in stone."
5,Gyuto Monastery,3.2,https://www.holidify.com/places/dharamsala/gyuto-monastery-sightseeing-4519.html,5 km  from city center,,"Popularly known for the study of Tantric Meditation and Philosophy, the Gyuto Monastery is one of the beautiful and popular monasteries located in Dharamshala. It was founded in India in 1959 and was established for preserving and promoting the tradition of Black Magic, popularly known as Tantric Teachings, of the great teacher Ksongkhapa. The glorious monastery has helped in depicting how, unlike popular belief, black magic can be used for the well-being of the people."
6,Dal Lake,3.2,https://www.holidify.com/places/mcleodganj/dal-lake-sightseeing-2821.html,3 km  from city center,,"Dal lake is located 11 km away from lower Dharamsala and lies in between hills and deodar trees. This is a starting point for treks and excursion around the lake, making for a memorable experience."
7,Tea Garden,3.2,https://www.holidify.com/places/dharamsala/tea-gardens-sightseeing-4524.html,2 km  from city center,,"The smallest tea region of India, Dharamshala has beautifully lined and organized tea gardens across the Kangra Valley. It is known for its good quality tea and is available for purchase in many shops across Dharamshala and Mcleodganj."
8,Triund,3.2,https://www.holidify.com/places/mcleodganj/triund-sightseeing-2833.html,6 km  from city center,,Triund is a 9-km trek away from Mcleodganj. It is situated at a great height and provides a mesmerizing view of the Moon Peak-Indera Pass. This is an ideal spot for picnics and the clean and pristine environment will surely rejuvenate your senses.
9,Jwala Devi Temple,3.2,https://www.holidify.com/places/kangra/jwala-devi-temple-sightseeing-4856.html,38 km  from city center,,"Located in the Kangra district of Himachal Pradesh, Jwala Devi Temple is dedicated to Jwala Ji - a Hindu Goddess depicted by a set of eternal flames. One of the 52 Shakti Peethas in India, it is believed that the tongue of Goddess Sati fell where the Jwala Devi Temple is now situated. A novel temple which does not have an idol, the five aartis conducted at Jwala Devi Temple are the main attraction."
