,Name,Rating,Link,Distance,Location,About
0,Pangong Lake,4.4,https://www.holidify.com/places/ladakh/pangong-lake-sightseeing-2583.html,114 km  from city center,Hemis,"At an altitude of 4350m and a five hour drive away from Leh, the Pangong Lake is an endorheic (landlocked) lake. The prime attraction of Ladakh, it changes colours from azure to light blue to green and grey. It became a tourist hotspot owing to the Bollywood movie ""3 idiots"" that was shot here."
1,Magnetic Hill,4.3,https://www.holidify.com/places/ladakh/magnetic-hill-sightseeing-2579.html,63 km  from city center,Leh,The popular Magnetic Hill of Ladakh is a cyclops hill where vehicles defy the force of gravity and move upwards on the hill when parked at the marked location. The hill lies at a distance of 30 km from the town of Leh on the Leh-Kargil highway.
2,Zanskar Valley,4.0,https://www.holidify.com/places/ladakh/zanskar-valley-sightseeing-8108.html,119 km  from city center,Zanskar,Located in the Kargil district to the east of Ladakh (around 105 km) lies the bewitching Zanskar Valley. The semi-desert region is flanked by snow-capped mountains and sparkling clean rivers along with distinct flora and fauna. The easiest way of reaching Zanskar is from Kargil through Suru Valley.
3,Khardung La,4.3,https://www.holidify.com/places/ladakh/khardung-la-pass-sightseeing-2575.html,49 km  from city center,Leh,"Khardung La, also known as Khardzong La, is a high mountain pass in Ladakh region of Jammu and Kashmir, near Leh. It serves as the gateway to Shyok and Nubra Valley. Khardung La is popular as the highest motorable road in India at an elevation of 5602 metres."
4,Nubra Valley,3.6,https://www.holidify.com/places/nubra-valley/,97 km  from city center,Nubra Valley,"Nubra Valley lies in the union territory of Jammu & Kashmir, at a distance of around 140 Km from Leh. With arid mountains in the backdrop, it is famous for the Bactrian camel rides, orchards and monasteries. Surrounded by snow-dusted Himalayan mountains, it can be reached via Khardung La."
5,Kargil,3.3,https://www.holidify.com/places/kargil/,182 km  from city center,Kargil,"Kargil lies near the Line of Control facing Pakistan-administered Kashmir's Baltistan to the west, and Kashmir valley to the south. Zanskar is part of Kargil district along with Suru, Wakha and Dras valleys. Kargil was at the center of a conflict between India and Pakistan in 1999."
6,Tso Moriri,4.3,https://www.holidify.com/places/ladakh/tso-moriri-lake-sightseeing-2589.html,125 km  from city center,,"Between Ladakh and Tibet, lies Moriri Lake, the largest high altitude lakes in India, at an altitude of 4,595m. Located in the Changtang region, it is a twin to the Pangong Lake. This stretch of sparkling, crystal clear, alkaline water is accessible only during summer months. An inner line permit is required for visiting Tso Moriri."
7,Shanti Stupa Ladakh,4.3,https://www.holidify.com/places/ladakh/shanti-stupa-sightseeing-2585.html,44 km  from city center,Leh,"The Shanti Stupa in Leh is a magnificent white-domed Buddhist monument located atop a steep hilltop at a dizzying height of 11,841 feet. It is a religious place for the Buddhists as it holds the relics of Buddha, consecrated by the 14th Dalai Lama. It is also popular amongst tourists as it offers a sweeping view of Leh and the nearby Changspa village."
8,Hemis National Park,3.3,https://www.holidify.com/places/hemis/hemis-national-park-sightseeing-2027.html,35 km  from city center,Hemis,"At an altitude ranging from 3,300 m to 6,000 m above sea level, this sanctuary is known to be the highest in the world as well as the largest park of South Asia. It is also a habitat to the rare Snow Leopards."
9,Leh Palace,4.3,https://www.holidify.com/places/ladakh/leh-palace-sightseeing-2577.html,42 km  from city center,Leh,"The Leh Palace is a 17th-century former royal palace and one of the central attractions in Leh. Built under the patronage of by King Sengge Namgyal, it used to house his family. The nine-storey dun-coloured palace now houses a museum and a prayer room, while the highlight is the sweeping view of Leh and the surrounding Zanskar mountain from the rooftop."
10,Spituk Monastery,4.2,https://www.holidify.com/places/ladakh/spituk-monastery-sightseeing-2586.html,46 km  from city center,Leh,"Spituk Monastery also called Spituk Gompa, is a Buddhist monastery located about 8 kms from Leh. One of the most dazzling monasteries in India, it houses 100 monks and a giant statue of Kali. It is famous for its collection of Buddhist objects of antique arms, icon, ancient masks and numerous Thangka paintings."
11,Phugtal Monastery,4.2,https://www.holidify.com/places/ladakh/phugtal-monastery-sightseeing-6243.html,111 km  from city center,Zanskar,"The Phugtal (Phuktal) Monastery is a Buddhist monastery situated in the south-east part of Zanskar region in Ladakh. Situated at the mouth of natural cave on a cliff, it is one of the most isolated monasteries in the region, built around 2500 years ago. The Phugtal Monastery looks like a honeycomb from a distance. It is popular amongst trekking enthusiasts."
12,Hemis Monastery,3.5,https://www.holidify.com/places/hemis/hemis-monastery-sightseeing-2028.html,28 km  from city center,Hemis,"Hemis Monastery is a Buddhist monastery located 45 kms south of Leh. Built by the Ladakhi king Sengge Namgyal, it is ranked as one of the wealthiest monasteries in India. Hemis Monastery is most visited during the annual Hemis Festival, held every year in early June."
13,Chadar Trek,4.0,https://www.holidify.com/pages/chadar-trek-frozen-river-trek-1327.html,74 km  from city center,Zanskar,"The Chadar Trek or The Frozen River Expedition is one of the most unique and challenging treks in India. The 6-day chadar trek across the frozen Zanskar River in Ladakh takes place during the latter part of January till the end of February or sometimes even in the first week of March, depending on the weather."
14,Stok Palace,3.6,https://www.holidify.com/places/ladakh/stok-palace-sightseeing-2587.html,42 km  from city center,Leh,"Located around 15km from Leh, the Stok Palace is the summer home to the royal family of Ladakh and descendants of King Sengge Namgyal. It was established in 1820 by King Tsepal Namgyal and was opened to the public in 1980 by the Dalai Lama. The Stok Palace has been converted into a heritage hotel and houses the Stok Palace Museum and Temple."
15,Diskit Monastery,3.2,https://www.holidify.com/places/ladakh/diskit-monastery-sightseeing-6254.html,74 km  from city center,Nubra Valley,"Also known as Deskit/ Diskit Gompa, this is the oldest and largest monastery in Nubra valley, belonging to Gelugpa (yellow hat) sect of Tibetan Buddhism."
16,Alchi Monastery,3.5,https://www.holidify.com/places/ladakh/alchi-monastery-sightseeing-8100.html,80 km  from city center,Lamayuru,"Located in the Alchi Village of Ladakh, Alchi Monastery is a complex of Buddist temples of which Alchi Monastery is the oldest and most famous. Cemented on a flat ground unlike other monasteries in Ladakh, the traditional architecture of the monastery is a monastic complex which has 3 separate temples, known as Dukhang, Sumstek and the Temple of Manjushri."
17,Namgyal Tsemo Monastery,3.5,https://www.holidify.com/places/ladakh/namgyal-tsemo-monastery-sightseeing-2581.html,42 km  from city center,Leh,"Traveling to the Namgyal Tsemo Gompa makes you encounter the steep mountains and submerges you in its serene and spiritual folds. The monastery has long lured travelers seeking Buddhist experience but surprises them with something unexpected- the moon like, quiet and mystic expanse of Ladakh's landscape."
18,Chemrey Monastery,3.2,https://www.holidify.com/places/ladakh/chemrey-monastery-sightseeing-6244.html,20 km  from city center,Hemis,Chemrey Monastery is a 400-year-old yet unexplored Buddhist monastery located approximately 40 kilometres (25 mi) east of Leh in northern India. It is known for housing a staggering statue of Padmasambhava (almost a storey-high)and a collection of ancient scriptures with the text emboldened in gold letters with the titles in silver.
