,Name,Rating,Link,Distance,Location,About
0,Dilwara Temples,4.4,https://www.holidify.com/places/mount-abu/dilwara-temples-sightseeing-2848.html,2 km  from city center,,"The Dilwara temples, located about 3 kms from Mount Abu, were mainly built by Vastupal and Tejpal, between the 11th and 13th centuries AD. Surrounded by lush greenery and located on a height above the surrounding areas, these temples are world famous for their stunning use of marble - many visitors consider these to be architecturally superior to even the Taj Mahal. Everything from the doors to the ceilings and the pillars are extremely intricately designed - at one point, the marble ceiling is so finely that it's actually translucent."
1,Mount Abu Wildlife Sanctuary,3.5,https://www.holidify.com/places/mount-abu/mount-abu-wildlife-sanctuary-sightseeing-2850.html,12 km  from city center,,Mount Abu is a beautiful hill station endowed with variety of flora and fauna in the land of deserts. The mystifying and beautiful city is a scared pilgrimage spot besides being a summer gateway.
2,Nakki Lake,4.3,https://www.holidify.com/places/mount-abu/nakki-lake-sightseeing-2851.html,1 km  from city center,,The beautiful Nakki lake is surrounded by hills on all sides and boating here is a blissful experience. This is the only artificial lake in India to be created at a height of more than 1200m from sea level.
3,Guru Shikhar,4.2,https://www.holidify.com/places/mount-abu/guru-shikhar-sightseeing-2849.html,9 km  from city center,,"This is the highest peak of the Aravali range with an altitude of about 1,722m above sea level. The trek to the top of the mountain is adventurous and fun."
4,Arbuda Devi Temple,3.5,https://www.holidify.com/places/mount-abu/adhar-devi-temple-sightseeing-2847.html,1 km  from city center,,Arbuda Devi Temple is one of the most famous temples of Mount Abu. It is dedicated to Goddess Durga and is located on a peak of the Aravalis. It has a large number of steps devotees need to climb before reaching the temple.
5,Achalgarh Village,3.2,https://www.holidify.com/places/mount-abu/achalgarh-village-sightseeing-2846.html,6 km  from city center,,Achalgarh village is a picturesque village in Mount Abu which is famous for the Achalgarh fort and Achleshwar temple. The fortress Achalgarh is situated at the top of a mountain peak.
6,Trevor's Tank,3.2,https://www.holidify.com/places/mount-abu/trevors-tank-sightseeing-2854.html,3 km  from city center,,"5km from the town, Trevors Tank is a perfect spot for nature lovers. It was actually designed by an engineer named Trevor who used it to breed crocs. It is now a popular picnic spot for both locals and tourists."
7,Toad Rock,3.2,https://www.holidify.com/places/mount-abu/toad-rock-sightseeing-2853.html,1 km  from city center,,"Known as The mascot of Mount Abu, Toad Rock is one of the most frequented point in the itinerary of all visitors. To see the panoramic beauty of the surrounding lake and greenish hilly regions you can climb up the rock and capture the breathtaking scenery."
8,Raghunath Temple,3.2,https://www.holidify.com/places/mount-abu/shri-raghunath-temple-sightseeing-2852.html,1 km  from city center,,The locals hold faith in Lord Raghunath to whom this temple is dedicated. Located close to the Nakki Lake this is a major religious attraction for tourists. The pilgrim is apparently relieved of all pains and pangs after a visit to this temple.
9,Brahma Kumaris Ashram Mount Abu,3.5,https://www.holidify.com/places/mount-abu/brahma-kumaris-ashram-sightseeing-120891.html,1 km  from city center,,"Brahma Kumaris World Spiritual University is an international non-governmental spiritual organization founded by Dada Lekhraj Kripalani in the 1930s with its headquarters located in Mount Abu. The hill station of Mount Abu is also called 'Madhuban' (forest of honey) is a largely self-sufficient community, with a large international family of practising yogis who come each year."
10,Mount Abu Honeymoon Point,3.4,https://www.holidify.com/places/mount-abu/Honeymoon-Point-Sightseeing-120893.html,2 km  from city center,,"The honeymoon point at an elevation of 4000 foot offers an exquisite view of the sun setting down. Also known as Anadara Point, considered an ideal spot to unwind after a long day of travel and sightseeing. The beauty lies in the backdrop of Nakki Lake and Old gateway to Mount Abu."
11,Gaumukh Temple,3.4,https://www.holidify.com/places/mount-abu/Gaumukh-temple-sightseeing-120892.html,1 km  from city center,,"Gaumukh temple has a sacred climb of 700 stairs as it offers both a panoramic view of the surrounding valley and is famous for the religious pilgrimages and meditation throughout the year. The mysterious water stream falling from the mouth of the marble bull is dedicated to Nandi, the divine bull of Lord Shiva in the Hindu mythology."
12,Mount Abu Sunset Point,3.3,https://www.holidify.com/places/mount-abu/Sunset-point-sightseeing-120895.html,2 km  from city center,,"The sunset point has a pleasant climate throughout the year. While nature lovers can sprawl in the last rays of the sun. One will easily be in awe of the setting magic of the coloured sky in hues of red and orange, contrary to the greens Ranges. The climate makes it favourable to enjoy the sunset in peace without any hustle."
13,Shopping in Mount Abu,3.2,https://www.holidify.com/places/mount-abu/Mount-Abu-Bazaars-sightseeing-120897.html,1 km  from city center,,"The summer capital of the Rajputana rulers has marvellous shopping markets which serve as an authentic local experience. Every traveller can find various kinds of goods such as Rajasthani crafts, paintings, leather goods along with a few Gujarati artworks and many other accessories and apparels."
14,Universal Peace Hall,3.2,https://www.holidify.com/places/mount-abu/Universal-Peace-Hall-sightseeing-120896.html,1 km  from city center,,"Universal Peace Hall is also known as Om Shanti Bhavan is the main assembly hall constructed at Brahma Kumari Spiritual University in 1983. The serene white structure has a seating capacity of 5,000 with a facility of translation in 16 languages simultaneously during various events. The attractive hall was declared as a public tourist place after which more than 8,000 people visit on a daily basis."
