,Name,Rating,Link,Distance,Location,About
0,Panchvati,4.3,https://www.holidify.com/places/nasik/panchvati-sightseeing-3058.html,3 km  from city center,,"Nothing short of holy for the ardent belivers of Ramayana, this site gets a lots of visitors in the form of pilgrims and religious travellers. A serene town located near Nasik, the site offers small sightings which would let you glipmse into the ancient world of where the exile of Lord Ram, Sita and Laxman took place, with banyan trees all around and an air of spirituality."
1,Sula Vineyard,4.2,https://www.holidify.com/places/nasik/sula-vineyard-sightseeing-3062.html,11 km  from city center,,"Sula Vineyards is an Indian winery located in Nashik in the state of Maharashtra, India. It was the valley's first commercial winery and was awarded with a silver medal for its 2012 Sauvignon Blanc as the biggest wine maker in India.The vineyard also houses a resort to live amid the winery and a tasting room in which people can taste different samples and varieties of wines produced at the winery. Sula Vineyards is spread over 160 acres of area in Nashik."
2,"Dudhsagar falls, Nasik",3.1,https://www.holidify.com/places/nasik/dudhsagar-falls-sightseeing-3054.html,8 km  from city center,,"Regarded as one of the best falls in the view, Dhudsagar falls offer a panoramic view with a spectacular scenery. The cascade is in full verve during the monsoon season and quiet a sight to behold."
3,Saptashrungi,4.2,https://www.holidify.com/places/nasik/saptashrungi-sightseeing-3060.html,1 km  from city center,,"Situated on a hill range, consisting of seven hills, Saptashrungi is a site of religious significance for Hindus. The drive to the temple is quite scenic, especially during the monsoon season."
4,Trimbakeshwar,4.2,https://www.holidify.com/places/nasik/trimbakeshwar-sightseeing-3063.html,28 km  from city center,,"Trimbakeshwar is about 38 km away from Nashik. Located at the source of river Godavari, perched on top of Brahmagiri hills, Trimbakeshwar enshrines one of the 12 Jyotirlingas in India.



Initially there were alleged to be 64 jyotirlingas even though 12 of them remain and are considered to be holy. Each of the twelve jyotirlinga sites take the name of the governing deity, each considered to be a different manifestation of Shiva."
5,Nasik Caves,4.2,https://www.holidify.com/places/nasik/pandavleni-caves-sightseeing-3059.html,8 km  from city center,,"Pandu Leni, also known as Trirashmi Caves, are a group of 24 caves carved between the 3rd century BC and the 2nd century AD, representing the Hinayana Buddhist beliefs. Out of the twenty-four caves, two caves majorly are the centre of attraction. The many inscriptions on the caves tell us that all the 3 kings, that ruled Nasik at that time, namely, the Kshatrapas, the Satavahanas and the Abhirs fully supported Buddhism,  though they were not Buddhists in the real sense. The inscriptions also confirm that apart from the kings, the local merchants and landlords too supported and donated huge sums for the development of these caves and the belief of Buddhism."
6,Sita Gufa,3.6,https://www.holidify.com/places/nasik/sita-gufa-sightseeing-3061.html,1 km  from city center,,"Nearby to Panchvati is the Sita Gufa, said to be the spot from where Sita was kidnapped by Ravana. A narrow staircase takes on into the caves, where they find idols of Lord Ram, Sita and Lakshmana as well as a Shivlinga, said to be the one, Sita worshipped."
7,Anjaneri Hills,3.1,https://www.holidify.com/places/nasik/anjaneri-hills-sightseeing-3051.html,24 km  from city center,,"Believed to be the birthplace of Lord Hanuman, Anjaneri derives its name from Hanuman's mother Anjani. Perched in the picturesque mountain range of Nashik-Trimbakeshwar, Anjaneri fort is at a distance of ~20 km from Nashik."
8,Kapileshwara Temple,3.2,https://www.holidify.com/places/nasik/kapileshwara-temple-sightseeing-3057.html,1 km  from city center,,"One of the oldest instances of this pilgrim city, this is a Shiva temple surrounded by a hint of mystery due to the absence of a statue of Nandi Bull, usually found in all Shiva Temples. Close to the Kalaram temple, this is one of the most frequented temples in the city."
9,Jain Temple,3.2,https://www.holidify.com/places/nasik/jain-temple-sightseeing-3055.html,10 km  from city center,,A recent addition to the religious sphere in Nasik is a sprawling and elaborate structure called the Jain Temple. The structure consist of three storeys and is built mainly in white marble and pink sand. Find here the 12 ton heavy deity of the 24th of Thirthankara of the Jains.
