,Name,Rating,Link,Distance,Location,About
0,Rameshwaram Temple,4.2,https://www.holidify.com/places/rameswaram/rameshwaram-temple-sightseeing-3375.html,0 km  from city center,,Rameshwaram is an exquisite temple in southern India dedicated to Lord Shiva. It is one for the 12 jyotirlingas. This place has a lot of importance in Hindu mythology and Lord Rama and Sita themselves are believe to have built the two lingams currenlty housed in the temple.
1,Dhanushkodi Temple and Beach,3.5,https://www.holidify.com/places/dhanushkodi/,11 km  from city center,,"Dhanushkodi was until a few years ago a wonderful temple on the southern tip of India. However, due to a natural calamity, the cyclone, it got completely washed away."
2,Jatayu Tirtham,3.2,https://www.holidify.com/places/rameswaram/jatayu-tirtham-sightseeing-3372.html,1 km  from city center,,"Jatayu tirtham is the holy temple constructed in the memory of Jatayu, who was the most loyal eagle of Rama and who helped lord Rama at various instances in getting herbs from the mountains."
3,Agnitheertham,4.2,https://www.holidify.com/places/rameswaram/agnitheertham-sightseeing-3366.html,1 km  from city center,,"One of the 64 sacred baths in Rameshwaram, the Agnitheertham is one of the most important theertham and receives a large number of tourists each day. Located on the beach side of Sri Ramanathaswamy temple, Agnitheertham is the only theertham sited outside the temple complex."
4,Lakshmana Tirtham,3.2,https://www.holidify.com/places/rameswaram/lakshmana-tirtham-sightseeing-3374.html,1 km  from city center,,"Lakshmana Tirtham had been constructed in the loving memory of Lord Lakshman, brother of Lord Rama. In order to offer sacred prayers to lord Lakshmana, this temple has been constructed in Rameshwaram itself which indicates that Lord Lakshman had been given a valuable place in the dynasty of Lord Rama."
5,Villoondi Tirtham,,https://www.holidify.com/places/rameswaram/villoondi-tirtham-sightseeing-122802.html,6 km  from city center,,Villoondi Tirtham is a beach which is also considered a sacred natural water body and a favourite amongst tourists. It also has a spring inside the sea which makes the attraction a unique one and is often associated with the Legend of Ramayana. It is believed that Lord Rama shot an arrow to create this spring to help his people with drinking water.
6,The Five-faced Hanuman Temple,3.5,https://www.holidify.com/places/rameswaram/the-five-faced-hanuman-temple-sightseeing-3376.html,51 km  from city center,,Five-faced Hanuman temple is the most renowned temple in Rameshwara. It has mythological evidence where Hanuman showed his profile with five faces. He is reckoned to be embellished with senthooram at this particular place.
7,Gandhamadhana Parvatham,3.2,https://www.holidify.com/places/rameswaram/gandhamadhana-parvatham-sightseeing-3369.html,2 km  from city center,,"Gandhamadhana Parvatham is the deity of several communities in southern India and the temple of Gandhamadhana is highly revered, renowned and worshiped in the southern India."
8,Ariyaman Beach,,https://www.holidify.com/places/rameswaram/ariyaman-beach-sightseeing-122803.html,27 km  from city center,,"Ariyaman Beach is a long stretch of pristine white sand beach famous for its scenic beauty. The clear waters and the gentle waves create an irresistible environment for the tourists. The beach is also called Khushi Beach and has enough facilities for boating, swimming and water sports. Those who never wish to leave the beach can opt to stay at one of the cottages by the seashore."
9,Silk Shopping,,https://www.holidify.com/places/rameswaram/silk-shopping-sightseeing-1254492.html,10 out of 22  places to visit in Rameshwaram,,"One of the prime things to do in Rameswaram is to shop for silk. It is absolutely essential that you buy some to take back home from here, just fabric or suits or sarees or all of it. The fabric is woven from premium quality silk and is popular worldwide. You absolutely should browse the markets when you are here."
10,Annai Indira Gandhi Road Bridge,3.5,https://www.holidify.com/places/rameswaram/annai-indira-gandhi-road-bridge-sightseeing-3367.html,11 km  from city center,,"It is the longest bridge in southern India. It connects Rameswaram Island to the main land. It's constructed over the bay. It is 7 km away from Rameshwaram and is also called the Pamban Bridge as it is located beside Pamban, the sacred place where Rama could quench the thirst of Sita by throwing an arrow in the place where they could actually retrieve cool water."
11,Sea World Aquarium,,https://www.holidify.com/places/rameswaram/sea-world-aquarium-sightseeing-122806.html,0 km  from city center,,"Sea World Aquarium is a famous attraction with a splendid collection from the sea world. They have a number of aquatic species that thrive in the oceans like the Shark, Rabbit Fish, Lobsters and Octopus. They also sell items made of seashells that tourists can purchase as memorabilia."
12,Kothandaramaswamy Temple,3.2,https://www.holidify.com/places/rameswaram/kothandaramaswamy-temple-sightseeing-3373.html,7 km  from city center,,Kothandaramaswamy temple is situated on the southern most tip of India and is situated on the island near Bay of Bengal. Indian Ocean covers it from all its sides.
13,Jada Tirtham,3.2,https://www.holidify.com/places/rameswaram/jada-tirtham-sightseeing-3371.html,12 km  from city center,,Kaveri tirtham is the holy tirtham in southern India where god Kapardishvara is worshipped. Jada tirtham is a small temple which lies within Kaveri Tirtham and holds its own mythological importance.
14,Glass Boat Ride at Pamban Bridge,3.5,https://www.holidify.com/places/rameswaram/glass-boat-ride-at-pamban-bridge-sightseeing-3370.html,12 km  from city center,,"With exotic fishes and marvelous corals to see, the glass boat ride at Pamban Bridge is a must do."
15,Abdul Kalam House,,https://www.holidify.com/places/rameswaram/abdul-kalam-house-sightseeing-122801.html,0 km  from city center,,"APJ Abdul Kalam House or the House of Kalam is the residence of former President of India, an accomplished scientist and an inspirational figure. This is the place where he was raised by his parents along with his siblings. The house is now turned into a museum where tourists can get a glimpse into Abdul Kalamês life and his achievements."
