,Name,Rating,Link,Distance,Location,About
0,Jog Falls,3.4,https://www.holidify.com/places/jog-falls/,88 km  from city center,,"One of the most sought after attraction and natural wonder in the region, Jog Falls is located nearly 100 km from Shimoga town. Lying in Sagara, it is the 11th highest waterfall in India created by Sharavathi River."
1,Dabbe Falls,3.6,https://www.holidify.com/places/shimoga/dabbe-falls-sightseeing-2185.html,92 km  from city center,,These pristine falls in Shimoga district are not polluted due to them being hidden in the mountains and not warranting much tourist activity. A major trek through a valley leads to these falls.
2,Kodachadri,3.4,https://www.holidify.com/places/maravanthe/kodachadri-hills-sightseeing-5274.html,75 km  from city center,,"Situated about 115 km away from Shimoga town, Kodachadri is a peak in Western Ghats packed full of flora and fauna."
3,Agumbe,4.0,https://www.holidify.com/places/shimoga/agumbe-sightseeing-8109.html,65 km  from city center,,"A one of a kind experience in perhaps one of the most bio-diverse regions in the world, the Sita Nadi river rafting is an unparalleled experience."
4,Tunga Anicut Dam,3.2,https://www.holidify.com/places/jog-falls/tunga-anicut-dam-sightseeing-2191.html,88 km  from city center,,"This is the most popular picnic spot near Jog Falls, with lush green paddy fields surrounding it. One also finds Teak jungles, all around the dam."
5,Mandagadde Bird Sanctuary,3.4,https://www.holidify.com/places/shimoga/mandagadde-bird-sanctuary-sightseeing-5858.html,25 km  from city center,,Mandagadde Bird Sanctuary is a small picturesque island located in the River Tunga nearly 32 km from Shimoga town on the way to Thirthahalli.
6,Kanoor Fort,3.2,https://www.holidify.com/places/jog-falls/kanoor-fort-sightseeing-2187.html,102 km  from city center,,"Also known as the Keladi Kote, this fort is located in Shimoga district and is named after the Keladi dynasty that ruled this place."
7,Linganamakki Dam,3.6,https://www.holidify.com/places/shimoga/linganamakki-dam-sightseeing-5857.html,82 km  from city center,,"Constructed by the Karnataka State Government in 1964, The Linganamakki Dam is a 2.4 km long structure stretching across the Sharavathi river.  Situated about 6 kms from Jog Falls, the Dam is  located in the Sagara taluk of the state. The Dam receives water mainly from rainfall and also from the Chakra and Savahaklu reservoirs, which are linked to the Linganamakki Dam through a canal. When the Dam's sluice gates are closed, the Jog Falls get reduced to a mere trickle. However, they become magnificant once the gates are opened. The Dam, being quite large in size, offers a breathtaking view."
8,Gajanur Dam,3.4,https://www.holidify.com/places/shimoga/gajanur-dam-sightseeing-5850.html,14 km  from city center,,"Located 12 km from Shimoga en-route Thirthahalli, one can witness a perfect picnic spot in a way of Tunga Dam built over River Tunga. An Elephant Camp where elephants are trained can also be enjoyed there by visitors."
9,Kunchikal Falls,,https://www.holidify.com/places/shimoga/kunchikal-falls-sightseeing-1253374.html,65 km  from city center,,"Kunchikal Falls located on the Shimoga- Udupi highway in Karnataka is India's highest waterfalls situated on River Varahi. There is also a hydro-electric plant installed on the waterfalls to generate electricity. Situated amidst the dense lusty woods, the waterfalls are also a popular trekking spot. It ranks 116 in the list of highest waterfalls in the world. Unlike many waterfalls in Shimoga, Kunchikal Falls is accessible by road and visitors just have to walk a few meters from the parking to view the falls."
10,Bhadra Dam,,https://www.holidify.com/places/shimoga/bhadra-river-project-dam-sightseeing-122458.html,26 km  from city center,,"The Bhadra dam is constructed on the river Bhadra, which is a tributary of the River Tungabhadra. The dam is surrounded by lush greenery and is a majestic place to be at. The river has many small islands which are home to migratory birds like the red spurfowl, emerald dove, black woodpecker and green imperial pigeon."
11,Barkana Falls,4.0,https://www.holidify.com/places/shimoga/agumbe-barkana-sightseeing-8228.html,69 km  from city center,,"The Barkana Falls are located between Agumbe and Shimoga and derive their name from ‘Barka’, the mouse deer, a shy creature that inhabits this particular region. The trek route runs through the dense rainforests of the Western Ghats. During monsoons, the regions start buzzing with life as new streams begin to emerge and the canopy of vegetation gets dense enough for any traveller to lose orientation. The best time to visit these falls are in the early days of winter."
12,Unchalli Falls,3.7,https://www.holidify.com/places/jog/unchalli-falls-sightseeing-2192.html,103 km  from city center,,"Unchalli Falls also known as Lushington Falls, is a waterfall created by a 116 metres (381 ft) drop in the Aghanashini river. The fall is located near Siddapur in Uttara Kannada District of Karnataka, India. The falls are named for J. D. Lushington, a District Collector for the British Government, who discovered the falls in 1845."
13,Shivaganga Falls,,https://www.holidify.com/places/shimoga/shivgange-falls-sightseeing-1253373.html,130 km  from city center,,"Shivganga Falls located near Sirsi in Shimoga in the state of Karnataka is a haven for trekkers and adventure enthusiasts. Swimming is allowed here. The water cascading down several cliffs amidst dense woods and plenteous vegetation is also a popular trekking spot. The waterfalls are surrounded by several forests and overlook the valley. Another popular attraction here is the Ganeshpal Island which has a small Ganapathi Temple here. The falls are not accessible by road but rather by trek only, which brings the element of adventure here."
14,Gudavi Bird Sanctuary,3.4,https://www.holidify.com/places/shimoga/gudavi-bird-sanctuary-sightseeing-5852.html,82 km  from city center,,"A paradise for bird watchers, Gudavi Bird Sanctuary is spread across an area of nearly 0.75 sq km. The sanctuary is located in the town of Sorab in the proximity of Shimoga on the banks of Gudvi Lake."
15,Kundadri,3.1,https://www.holidify.com/places/shimoga/kundadari-sightseeing-5856.html,60 km  from city center,,"Kundadari is a place for trekkers, situated about 12 km from Thirthahalli. A paradise for trekking lovers, it offers a good trail with a Kundadri Hill which is huge single rock formation and many protrusions."
16,Jogigundi Falls,4.0,https://www.holidify.com/places/shimoga/agumbe-jogigundi-sightseeing-8230.html,70 km  from city center,,"Tucked away from the prying eyes of the world, the Jogigundi Falls are situated in the midst of the dense forests of Western Ghats. The unique feature of these falls is the point of origin. Unlike traditional waterfalls they do not fall from a height, instead they originate from a cave and run through a hill. The falls are not accessible by road and it requires a trek to reach the falls."
17,Onake Abbi Falls,4.0,https://www.holidify.com/places/shimoga/agumbe-onake-sightseeing-8229.html,71 km  from city center,,The Onake Abbi falls is one of the many waterfalls in Shimoga. The trek to the top of the fall is relatively short covering a distance of about 4-5 kilometres. The trail runs through a dense forest that is rich in flora and fauna. The summit of the trek offers a breathtaking view of the entire waterfall as it cascades from a height of 500 feet.
18,Tyavarekoppa Tiger and Lion Safari,3.1,https://www.holidify.com/places/shimoga/tyavarekoppa-sightseeing-5865.html,9 km  from city center,,"A popular picnic spot rich in fauna, Tyavarekoppa is located about 10 km from Shimoga town. Covering a huge area of 200 hectares, the place is renowned for its Lion and Tiger Safari which commenced in the year 1998."
19,Sigandur Chowdeshwari Temple,4.2,https://www.holidify.com/places/jog/sigandur-sightseeing-2189.html,77 km  from city center,,"Sigandur or Sigandooru is a small village located in Sagara Taluk, Karnataka, India. The village is surrounded on three sides by back waters of the Linganamakki Dam formed on the Sharavathi River. The place is well-known for the Sigandur Chowdeshwari Temple, which attracts many hundreds of people every day, both locals and visitors."
20,Sakrebailu Elephant Camp,3.1,https://www.holidify.com/places/shimoga/sakrebayalu-elephant-camp-sightseeing-5861.html,15 km  from city center,,"Sakrebayalu Elephant Camp is a place where one can see herds of Elephants being trained. Situated at a distance of nearly 14 km from the town of Shimoga, it is a quite popular spot among tourists."
21,Koodli,3.5,https://www.holidify.com/places/shimoga/koodli-sightseeing-8128.html,5 km  from city center,,"The Varanasi of South, Koodli, is amongst the holiest places of Southern India and the site of confluence of two holy rivers Tunga & Bhadra."
22,Shivappa Nayaka Palace Museum,3.1,https://www.holidify.com/places/shimoga/shivappa-nayaka-palace-museum-sightseeing-5862.html,10 km  from city center,,"Lying on the banks of River Tunga, the Shivappanaika Palace is a popular attraction located within the Shimoga town. A very much sought after destination among tourists, the palace was established by Shivappa Naik of Keladi during 16th century and was crafted brilliantly out of rosewood."
23,Keladi,3.1,https://www.holidify.com/places/shimoga/keladi-sightseeing-5854.html,2 km  from city center,,"Keladi is a village in the Shimoga District known for its rich past and culture. Once served as the first capital of the Keladi Nayaka Kingdom, today this prime location is adorned with two popular spots i.e. Rameshwara Temple and Keladi Museum."
24,Sacred Heart Church,3.0,https://www.holidify.com/places/shimoga/sacred-heart-church-sightseeing-5860.html,59 km  from city center,,"The second largest church in India, the sacred Heart Church is a fine example of an architectural marvel of Shimoga. It is a Catholic Church spread over an area of 18000 sq ft."
