,Name,Rating,Link,Distance,Location,About
0,Brahadeshwara Temple,3.7,https://www.holidify.com/places/thanjevur/brahadeshwara-temple-sightseeing-3732.html,0 km  from city center,,"The biggest attraction of Thanjavur - The Brahadeshwara Temple, also known as the Big Temple. Built during the reign of the Great Chola emperor, Raja Raja Chola, this temple is an architectural marvel."
1,Gangaikonda Cholapuram,4.0,https://www.holidify.com/places/thanjevur/gangaikonda-cholapuram-sightseeing-8117.html,59 km  from city center,,"A place which is testimony to the architectural and engineering genius of the region and the pride of one of the greatest empires of India - Chola Empire, Gangaikonda Cholapuram is a place worth exploring."
2,Shiva Ganga Garden,3.2,https://www.holidify.com/places/thanjevur/shiva-ganga-garden-sightseeing-3735.html,1 km  from city center,,This garden lies within the Vijayanagar Fort and is open to the public. This garden is very well maintained and hence a pleasure to visit. A square tank is located in the Siva Ganga Garden built by the 16th century rulers for providing water to the Tanjore Palace is still in use and is well known for its sweet tasting water.
3,Vijayanagar Fort,3.6,https://www.holidify.com/places/thanjevur/vijayanagar-fort-sightseeing-3736.html,1 km  from city center,,This famous tourist spot is located nearly 2 km from the Brahadeeswara temple. This majestic fort was built by Nayaks and partly by Maratha rulers during the early 1550 AD.
4,Thanjai Mamani Koil,,https://www.holidify.com/places/thanjevur/thanjai-mamani-koil-sightseeing-121346.html,1 km  from city center,,"Thanjai Mamani Koil near Thanjavur is a set of three Vishnu temples, together called a Divyadesam. It is among the 108 such more temple premises in India. The temple has a local origin myth that has its roots in one of the many canonical myths about Lord Vishnu. He is worshipped over here chiefly in his Narasimha avatar, which he mainly took to defeat the evil king Hiranyakashipu to save his devotee Prahlad."
5,Alangudi Guru Temple,3.2,https://www.holidify.com/places/thanjevur/alangudi-guru-temple-sightseeing-3731.html,30 km  from city center,,"This temple is believed to be the abode of the Lord Guru. According to legend, Lord Shiva consumed the deadly poison Alavisham in this place and hence the name Aalangudi."
6,Chandra Bagwan Temple,3.2,https://www.holidify.com/places/thanjevur/chandra-bagwan-temple-sightseeing-3733.html,13 km  from city center,,"This temple is dedicated to the Moon God. Located almost 25km from the town, this temple is largely visited by those who believe that they are under the bad effects of the Moon as per their horoscopes."
7,Bangaru Kamakshi Amman Temple,,https://www.holidify.com/places/thanjevur/bangaru-kamakshi-amman-temple-sightseeing-121343.html,1 km  from city center,,"Bangaru Kamakshi Temple is located in a very well-known and crowded locality of Thanjavur. This temple is situated amidst a few others, but it sure holds its own importance. A large part of its popularity lies in the history and legend of the temple. The word Bangaru means 'gold’. This is an obvious reference to the golden body of the deity. But if you visit the temple, you will see that the goddess’s face is black. This once again has a direct connection to its past."
8,Schwartz Church,,https://www.holidify.com/places/thanjevur/schwartz-church-sightseeing-121341.html,0 km  from city center,,"The Schwartz church in Thanjavur is one of the oldest churches of India, though it has not gained much popularity throughout the country. It is because unlike the rest, the cornerstone of this church was laid down by an Indian king, Maratha ruler Sarfoji II."
9,Swami Malai Temple,,https://www.holidify.com/places/thanjevur/swami-malai-temple-sightseeing-121342.html,29 km  from city center,,"Located in Thanjavur, the Swami Malai temple has great religious significance in the Hindu community of south India. It is one of the Arupadaiveedu, the six main abodes of Murugan, each of which marks the six different phases of his life. The temple stands on the ground where Lord Murugan is believed to have passed on profound knowledge of the universe to his own father Lord Shiiva as his Guru. Thus, this particular temple is a commemoration of that."
10,Saraswathi Mahal Library,,https://www.holidify.com/places/thanjevur/saraswathi-mahal-library-sightseeing-121344.html,1 km  from city center,,"The Britannica Encyclopaedia enlists the Serfoji Sarasvati Mahal Library as “the most remarkable library of India”. The library is not only one of the few medieval ones that are still there in the world, but also a well-stocked one. Not just books, the library boasts a large collection of art, paintings, maps and manuscripts as well."
