,Name,About
0,Taj Mahal,"One of the seven wonders of the world, the Taj Mahal stands tall at the south bank of the river Yamuna in Agra. Taj Mahal or the “icon of love” is one of the best places to visit in Agra and the most popular tourist destinations in India.It is also considered to be an epitome of the Mughal Architecture. The ivory-white marble mausoleum was built by Shah Jahan for his favorite wife Mumtaz. The monument is now where the tombs of the king and queen lie.Taj Mahal has also been designated as a UNESCO World Heritage Site for being a masterpiece recognized all across the world. Take a walk inside the Taj Mahal and you will feel as if you’re walking through history. The ornate architecture and alluring designs will transport you to the kingly times and leave you dazed.Location:Dharmapuri, Forest Colony, Tajganj, Agra, Uttar Pradesh 282001.Timing:-6:00 am to 6:30 pm every day except Fridays.-Nighttime views 8:30 pm to 12:30 am (5 days a month- full moon night, two days before the full moon and two days after the full moon night).Entry Fee:-Rs 50 per person for Indians,-Rs 1300 per person for Foreigners."
1,Agra Fort,"Agra Fort was one of the most important forts during the Mughal period and is one of the finest places to see in Agra today. Akbar the great called this fort his home throughout his reign till 1605. Just like the Taj Mahal,Agra Fort is also designated as a UNESCO World Heritage Site. History unfolds in front of your eyes as you walk through the many structures inside the fort, like Diwan-i-Khas, Khaas Mahal, etc.Location:Agra Fort, Rakabganj, Agra, Uttar Pradesh 282003.Timing:6 am to 6 pm every day.Entry Fee:-Rs 40 per person for Indians,-Rs 550 per person for foreigners."
2,Fatehpur Sikri,"Fatehpur Sikri, a town in Agra district was once the capital of the Mughal empire. The town was built and established by Akbar and later abandoned in 1610. Like all the other tourist places in Agra, this was also entirely built with red sandstone.The town has several significant parts to explore. The first thing that one comes across in this town is the enormous Buland Darwaza which is 54 meters in height which is sure to leave you awestruck. The surreal interiors of the town are a visual treat to the eyes and are sure to leave you spellbound.Location:Fatehpur Sikri is a town in the district of Agra in the state of Uttar Pradesh in north India. It lies 37 km away southwest of Agra city.Timing:6:00 am to 6:00 pm every day except Fridays.Entry Fee:-Rs 10 per person for Indians,-Rs 250 per person for Foreigners."
3,Itmad-ud-Daulah's Tomb,"Another Mughal mausoleum on the bank of the river Yamuna, Itmad-Ud-Daulah’s Tomb is one of the best places to visit in Agra. The architecture and interior are known to be inspired by that of Taj Mahal’s as it also has traces of white marble from Rajasthan amidst the red sandstone. And for the same reason, it is also known as the “Baby Taj”.The tomb was built by Nur Jahan in 1628. The delicately designed jali screens from white marble beautifully light up the interior of the tomb. Don’t miss the semi-precious stones engraved in the white marble interiors of the tomb.Location:Moti Bagh, Agra, Uttar Pradesh 282006.Timing:6 am to 6 pm.Entry Fee:-Rs 20 per person for Indians,-Rs 210 per person for Foreigners."
4,Akbar's Tomb,"Akbar’s Tomb was built by Jahangir in 1613. If you’re a history buff, this is one of the best places to visit in Agra for you. The tomb is built in red sandstone and holds some of the most stunning marble designs.As you walk into the building, you’ll find exquisite marble designs on the ceilings and mystical calligraphy towards the real underground tomb of Akbar.The biggest gate around the tomb is the south gate where you will see intricate white marble designs on the panels. The real tomb of Akbar is in a small underground room which has a very transcendent feel to it.Location: Tomb of Akbar The Great Area, Sikandra, Agra, Uttar Pradesh 282007.Timing: 10 am to 6 pm every day except Fridays.Entry Fee:-Rs 15 per person for Indians.-Rs 110 per person for Foreigners."
5,Moti Masjid,"The Moti Masjid or the Pearl Mosque was built by Shah Jahan in 1648 at the bank of river Yamuna. Although lesser known, it is one of the best places to visit in Agra.The mosque is well known for its delicate designs and architecture on shining white marble which gives it the name “pearl mosque”. But what attracts many tourists to visit this mosque is how it stands miraculously on a slope with several arched recessions and side arcades.Location:State Highway 62 Agra Fort, Rakabganj, Agra, Uttar Pradesh 282003.Timing:6 am to 6 pm.Entry Fee:-Rs 20 per person for Indians,-Rs 750 per person for Foreigners."
6,Sikandra Fort,"The Sikandra Fort homes the great emperor Akbar’s Tomb. The fort is known for its magnificent gates, tombs, and red sandstone designs which makes it one of the most visited tourist places in Agra. The fort is also known for its architecture which is a blend of Islamic and Hindu designs.Although the tomb is of Akbar- the greatest Mughal emperor, the architecture of this fort has a strong influence of Hindu architecture. This can be seen with the finials, balconies and window designs. As you will move around the fort, the excellent craftsmanship and intricate stone carvings will leave you astonished.Location:Tomb of Akbar The Great Area, Sikandra, Agra, Uttar Pradesh 282007.Timing:6 am to 6 pm every day.Entry Fee:-Rs 15 per person for Indians.-Rs 110 per person for Foreigners."
7,Jodha Bai ka Rauza,"Jodha Bai ka Rauza or Jodha’s Palace in Agra was built by Akbar for his favorite queen Jodha. The monument stands as a symbol of peaceful Hindu-Muslim relations which makes it one of the most popular tourist attractions in Agra.It is the biggest palace in Fatehpur Sikri made of red sandstone like all the other palaces. Although, what makes it stand out is the blend of Gujrati elements in the architectural designs and the beautifully painted blue ceilings.Location:Dadupura, Fatehpur Sikri, Uttar Pradesh 283110.Timing:7:30 am to 6 pm.Entry Fee:-Rs 35 per person for Indians,-Rs 550 per person for Foreigners."
8,Mehtab Bagh,"Mehtab Bagh in Agra stands at the North of the Taj Mahal and Agra Fort along the bank of river Yamuna. This is one of the many hidden places to visit in Agra. The garden is a char bagh which is a quadrilateral garden layout inspired by the four gardens of paradise mentioned in the Quran. The garden stands perfectly in symmetry with the view of the Taj Mahal.It is also said that the garden had a spot from where Shah Jahan would watch the moonlit Taj Mahal, thus giving the garden the name of Mehtab Bagh. The surreal views and an ideal place for a couple photoshoot have made Mehtab Bagh one of the most popular tourist attractions in Agra.Location: near:Taj Mahal, Dharmapuri, Forest Colony, Nagla Devjit, Agra, Uttar Pradesh 282001.Timing:6 am to 9 pm.Entry Fee:-Rs 15 per person for Indians,-Rs 200 per person for Foreigners."
9,Mother Teresa's Missionaries of Charity,"Mother Teresa’s Missionaries of Charity runs in 123 countries approximately. All of them work to provide homes and care for the homeless, sick and orphans across the world. The one in Agra serves as a home to several nuns caring for orphaned children, elderly and homeless.Visit this place and spend some time with the underprivileged, care for them and donate anything you can. You are sure to realize your privileges and come out a better person filled with gratitude and a heart full of kindness and respect for the nuns.Location:8, Ajmer Rd, Lata Kunj Colony, Shahzadi Mandi, Rakabganj, Agra, Uttar Pradesh 282001.Timing:8 am to 6 pm."
10,Wildlife SOS,"Wildlife SOS is a rescue and conservation organization in Agra. Their campus is located in the Sur Sarovar Bird Sanctuary. The organization also works on rescue operations and conservation of bears and have recently opened the bear rescue facility for visitors.The Education Conservation Walkway in this facility is the first one ever in the country which makes it one of the most popular tourist attractions in Agra. The walkway and the conservation facility is a great way to learn about bears and their conservation. Visit this place to know how they have worked over the years and managed to rescue and conserve so many wild animals.Location:Inde, NH2, Muranda, Uttar Pradesh 283101.Timing:8 am to 6 pm."
11,Taj Nature Walk,"Taj Nature Walk has been developed by the Social Forestry Division of Agra. The trail serves as a great place to enjoy amazing views of the Taj Mahal. It also has many watchtowers along the trail from where you can view the Taj Mahal from different angles. The trail homes some very unique varieties of flowers, shrubs and trees.You might also come across some exotic species of birds like parakeets and kingfishers. With such a pleasant walk, the sight of the Taj Mahal in all its glory is sure to be a treat for your eyes!Location:Taj East Gate Rd, East Gate Of Taj, Paktola, Tajganj, Agra, Uttar Pradesh 282001.Timing:7 am to 6 pm.Entry Fee:-Rs 20 per person for Indians,-Rs 100 per person for Foreigners."
12,Gurudwara Guru Ka Taal,"Gurudwara Guru Ka Taal is not as well known as the other places to see in Agra but is worth visiting. The gurdwara is dedicated to the ninth guru of Sikhs who is Shri Guru Tegh Bahadur Ji. The place where it is built is where Shri Guru Tegh Bahadur Ji voluntarily offered his arrest to Aurangzeb.At the time the place served as a reservoir of rainwater which was used for irrigation purposes. Later, it was constructed into a gurudwara with the beautiful architecture of red sandstone at some places and marble at most.Location:Chennai - Delhi Hwy, Maharishi Puram Colony, Agra, Uttar Pradesh 282007.Timing:24 hours."
13,Jama Masjid,"One of the biggest mosques of India, the Jama Masjid in Agra is known for its intrinsic designs and unique architecture. The mosque is situated right across Agra Fort and is one of the most well-known tourist places in Agra.The gigantic mosque was built by Shah Jahan for his daughter Jahanara Begum. The beautiful designs on the tomb and the red sandstone construction of the mosque will leave you bewildered with the Islamic architecture.Location:Jama Masjid Rd, Subash Bazar, Kinari Bazar, Hing ki Mandi, Mantola, Agra, Uttar Pradesh 282003.Timing:6 am to 6 pm every day."
14,Dolphin Water Park,"If you get tired and saturated with all the Mughal architecture and monuments, this is one of the best places to see in Agra and wind off. Dolphin Water World is north India’s biggest water park. It houses a water park, an amusement park and a fast food plaza as well. With slides like clusters, wave pool, multilane water slides, kids’ train and carousel caterpillar the park is a complete package for a fun-filled day out for the family.Location:NH-2, Mathura Road, Lohamandi, Runkata, Uttar Pradesh, 282007.Timing:11 am to 6:30 pm.Entry Fee:Rs 450 per person."
