,Name,About
0,Murud Janjira Fort,"Murud Janjira fort is around 54 km from Alibaug and is spread in the area of around 22 acres. The fort was originally a wooden structure, which was later renovated by Sidi Sirul Khan in the 17th century.Fort is an architectural masterpiece. The fundamental passage has a stone cutting, delineating six elephants caught by a solitary tiger, an image of the courage of the Siddis. The fortification has 23 tremendous bastions around 30-40 ft high, still in place. Amongst them are the three noteworthy guns, 'Kalal Bangadi', 'Landa Kasam' and ""Chavi"" worked from five metals.The primary door of the fortress confronts Rajapuri on the shore is masking, covered up and exceptionally tremendous. There is a little door towards the untamed ocean for to escape from the adversaries. The 5-storied old royal residence is presently in a demolished condition. There are shrouded ways for crises.Location: Murud, Alibaug.Timings: All day.How to reach: Reaching the Murud Janjira fort is easy. There are various state transport buses run throughout the day from Alibaug, Pune, and Mumbai and take you to the fort.Must Read: Best Homestays in Alibaug for relaxing stay"
1,Alibaug Beach,If you love exploring the beaches and is planning for a trip than Alibaug beach is one of the best tourist places in Alibaug. The best thing about this beach is that you can enjoy the sight of the Colaba Fort. Take a short boat ride to the popular fort which gives a magnificent view.One can also visit the Ganesh temple which is 400 years. Witness the majestic sunset while you are at this beach. The best thing about this beach is the fresh air and the cool sandy beach. Delight in Coconut drink or a Vada pav which is the special dish of Alibaug. One can also find a beach resort where you will find a variety of vegetarian dishes.Location: Alibaug.Timings: All day.How to reach: Alibaug town is 108 km from Mumbai and the fastest way to travel is through a ferry.
2,Kihim Beach,"Dusk, cool wind and is searching for some photography than Kihim Beach is one such beautiful place to see in Alibaug that one should visit. The shoreline is best known for its encompassing with the perfectly clear water and the thick vegetation up and down the shore. Make some noteworthy minutes with your adored one while you visit the calm Kihim goan and appreciate scrumptious Indian cooking.Kihim shoreline is around 12 km from S.T. Stop. This shoreline is additionally popular for the types of uncommon butterfly, feathered creatures and blooms. The beach is also known for its sandy beach and the coconut trees which grow in abundance in this region.Location: Alibaug, Raigad 402201Timings: All day.How to reach: The easiest way to reach Kihim beach is by state transport buses. If you are in Alibaug than it is accessible by autos.Suggested Reads: Amazing Things to do in Alibaug on weekends"
3,Murud Beach,"For beach lovers, Murud Beach is a visual treat with a vast stretch of black sand along the coastline. New-age travellers, who search for exciting tourist places in Alibuag, should add this location in your go-to list. Here too, tourists can delve into various water sports and boat rides and feels the picturesque beach scenery at ease.In order to accentuate the beauty of the beach, a 300-year old fort by name Murud-Janjira Fort is present with traditional architectural design. When it comes to climate, it is mostly warm and humid, but the cool breezes from the sea lessen the temperature and make an ultimate place for nature enthusiasts.Location: Dapoli, Alibaug.Timings: All day.How to reach: You can get a cab, taxi or bus from Alibagh to visit Murad beach.Check Out: Best Scuba Diving Tours in Alibaug"
4,Mandwa Beach,"Located on one of the finest and exceptionally beautiful beaches, Mandwa is a must visit family tourist place in Alibaug. All day long, the visitors can enjoy the enchanting weather and beautiful birds along the Mandwa. The mesmerizing view of Gateway of India from its bay is one of the most unique experiences visitors can have. Moreover, the lively village life and the spell bound beaches have a lot to offer to its visitors. Adding more charm is the gigantic and beautiful orchard of coconut trees.Location: Alibaug.Timings: All day.How to reach: Mandwa is just 14 km from Alibaug and is one of the best places to visit in Alibaug. Reaching Mandwa is easy. There are two ways to reach Mandwa. Either you can take the local transport from Alibaug or you can even hire a commuter ship or boat from Mumbai to Mandwa Jetty.Popular Reads: Comfortable and Affordable stays in Alibaug"
5,Kolaba Fort,"There is no doubt in that exploring the fort is something which everyone loves to try once in a lifetime. The hidden stories of the forts always beckons us to explore these places. One such place in Alibaug which you would love to go is the Kolaba Fort which is located at a distance of 1-2 km from the shores of Alibaug.The average height of the fort walls is 25 feet and has two main entrances one on the seaside and the other towards Alibaug. If you are visiting this fort during the monsoons you will have to wade through water at low tide. Another attraction about this place is Siddhivinayak temple inside the fort.Location: Alibag, Maharashtra 402201Timings: 9 AM to 6 PMEntry fee: INR 5How to reach: Kolaba fort is at an accessible distance of 7 km from Alibaug via Varsoli Road and can be traveled by car."
6,Kashid Beach,"Are you frustrated with the poor maintenance of beaches? Don’t worry. Kashid Beach gives you a clean and healthy ambience to play, enjoy and adore the sea-view. Interestingly, Kashid Beach is considered one of the cleanest places to visit in Alibaug where you can embrace the fresh water and clean air.This alluring beach is covered by shrubs, trees called Casuarina which complements the existing landscape and entices tourists to stay long. It is located 30 km away from Alibuag, and it is heavily crowded during Saturdays and Sundays. However, this 3 km stretched beach promises you an ample amount of water sports to play and create memories.Location: Alibaug.Timings: All day.How to reach: You can get a cab, taxi or bus from Alibagh to visit Kashid Beach.You May Also Like: Best Bungalows in Alibaug"
7,Nagaon Beach,"If you are looking for some adventure water sport activities then this beach is the best option for you. Get amazed with the enchanting beauty of the cypress grove and the sandy beach with its crystal clear water.The beach is around 3 km long and is an ideal place for the tourist where they can indulge in some activities like snorkelling and scuba diving. Dive deep into the clear blue water and witness the coral reefs.Enjoy the amazing sunset with its orange hue as you walk in this beach in the evening. The beach is at a distance of 7 Km from Alibag. This beach is also known as Satad beach. For that ultimate experience, this is one of the best tourist places in Alibaug,Location: Nagaon Village, Alibaug 402201Timings: All day.How to reach: The best way to reach the beach is through Alibag via Panel to Pen which will be around 30 km by car. The nearest railway station is at Pen which is connected with Panvel and to Mumbai.Must Read: Best Watersports in Alibaug for an adventurous experience"
8,Kanakeshwar Forest,"Kanakeshwar Forest stands out as one of the famous tourist places in Alibaug, since it is a dense forest with a collection of rare flora and fauna. In addition to it, the climate is always cool and the place gets enough breezes for it is located on the Konkan coast near to Alibaug.Another attraction of the place that keeps tourists to come there is an old Shiva temple on a small hill near the Mapgaon village and the hill locates at a height of 1200 feet and there are 700 to 750 steps to reach the temple.Location: Kanakeshwar, Alibaug.Timings: Sunrise to sunset.How to reach: From Mumbai International Airport, If one travels by car, it will take 3 hours and 16 minutes to reach Kanakeshwar and the distance covered will be 102 km via Maharashtra State Highway 104.Must Read: Best Cottages in Alibaug for comfortable stay"
9,Khanderi Fort,"Khanderi Fort is an ancient but a famous tourist spot that can be listed out as one of the important places to visit in Alibaug. It is officially called as Kanhoji Angre Island built by Shivaji located 5 km away from the coast of Maharashtra and 20 km south of Mumbai. Underi which is known as the sister fort is termed as another eye catcher built by the Siddis.Location: Alibaug, 4 km from Main Town, Raigad.Timings: Sunrise to sunset.How to reach: You can reach Khanderi Underi Island Port in Thal from Mumbai International Airport via Maharashtra State Highway 104 in a car after traveling for 3 hours and 25 minutes covering 103 km. Then you will get a ferry to reach the island and the travel takes up to 30 minutes."
10,Revdanda Fort,"Revdanda Fort is located in Revdanda village, 17 km away from Alibaug and 125 km away from Mumbai. It overlooks the Revdanda beach and the breezes coming from there keep the fort always a nice location to spend time.Around Revdanda fort there are plenty of coconut tree and beetle nut plantations and the place gets beautified with the fragrance of a rare species of flora which is called Bakuli in the local language.Location: Revdanda, Maharashtra 402202Timings: All day.How to reach: Board a cab from Mumbai International Airport to reach Revdanda fort which will take almost 3 hours and 34 minutes via Maharashtra State Highway 104 and the distance covered will be 115 kmPopular Reads: 20 Best Beach Resorts in Alibaug for the amazing view"
11,Akshi Beach,"Situated close to the town of Alibaug in Raigad district in the Konkan region, accompanied its long stretch of pristine golden beach rowed with suru trees, it one is the most isolated beach in Alibaug and if you are looking for a perfect getaway places to visit in Alibaug, then Akshi shoreline shouts to you!A standout amongst the most segregated shorelines in the country, it lies amongst Nagaon and Alibag shorelines and does not see much inflow of tourists because of its area and isolation. Populated by the locals, it is an ideal spot where you witness the local shoreline culture of the inhabitants.Location: Raigarh District, Alibaug 402201Timings: All day.How to reach: Tourists can easily reach with frequent transport buses to Alibaug from Mumbai Central, Parel and Panvel state transport depots."
12,Varsoli Beach,"Located at a distance of approximately 3km from the main Alibaug Bus Depot, it is a popular tourist destination that is blessed with bountiful natural sights with stunning white sandy beach and the unmistakable sea of joy to watch, the beach is equipped for giving the most shocking perspectives of nature.The view here is pleasant and faultless. The coconut trees and the Casuarina trees influencing in the cool wind leave the guests spellbound. The entire environment is so De-focusing and reinvigorating. The tourists revive themselves and feel relaxed here.Location: Raigad.Timings: All day.How to reach: Tourists can easily reach with frequent transport buses to Alibaug from Mumbai Central, Parel and Panvel state transport depots.Check Out: Best Villas in Alibaug to stay with couples and friends"
13,Rewas Jetty,"Locates just 23 km from Alibaug, the Rewas
Jetty which is a famous for its Mumbai Launch service to utilize the dispatch
administrations of the Rewas jetty to travel. The jetty is most famous for its weekend
retreats where the rich and famous personalities own their bungalows along the
shoreline.The jetty serves as the vital life of transport to the city.
Vacationers swarm along these shorelines in huge numbers to board the ferry and
to witness the confronting shoreline of Uran.Location: 6 km from Kihim Beach, Alibaug.Timings: All day.How to reach: Taxis are another way to get around town. They can be hired from
nearby cities and used for local transport as well."
