,Name,About
0,Kudremukh National Park,"A vacation at the Kudremukh National Park is a different experience from all places to visit in Chikmagalur. This place is located about 96 km from Chikmagalur city. Located in the pristine environs of the Western Ghats, the park is located at an altitude of around 1800 metres above sea level. This high altitude presents multiple benefits. One of them is the climatic condition of this place. The national park has serene and mild weather even during the harshest summers in the state and it is one of the best Chikmagalur tourist spots.     There is a hill here that is shaped like the head of a horse. In Kannada, a horse is called Kudre and the Kannada word for face is Mukha. Hence combining these two words, it becomes Kudremukh or horse’s face. The park is big. There are four sub-ranges here. The entire region is thickly covered with dense forests. There are tea and coffee plantations here in equal measure as well.
This region comes under the aegis of the Global Tiger Conservation Priority-I. Given the impressive wildlife and flora in this place when on a Chikmagalur sightseeing expedition, this comes as no surprise. Three rivers originate at the Kudremukh National Park. They are namely Tunga, Bhadra, and Nethravati. There is an ancient cave in the park that has to be visited by devotees of Goddess Bhagavati. In this cave, her statue has been erected. This cave is visited by hundreds of pilgrims who come here to offer their prayers.When it comes to flora, the park has an impressive boutique of the best species of plants and flowers amongst Chikmagalur tourist places. The medicinal eucalyptus plant is found in abundance here. Grevillea Robusta is yet another flora species found in good numbers in the park. There is no dearth of wildlife too. The park is a complete jungle. Along with tigers, there are several other wild animals such as leopards, bears and gaurs. There are enough numbers of barking deer here. Spotted deer is ubiquitously found too.Location: South Kanada, Udupi, Chikmagalur, KarnatakaBest Time to visit: December to February are the best months to visit Kudremukh National Park Entry fee: INR 200/ USD 3 for Indians and INR 1000/ USD 15 for foreignersTimings: The advisable time to visit here is from 7:00 am to 1:00 pm. Distance from Chikmagalur Bus Stand: It is approximately 130 kilometres away from Chikmagalur Bus StandPlanning a trip to Chikmagalur, Checkout the best tour packages of Chikmagalur"
1,Mullayanagiri,"The highest peak in Karnataka is at Chikmagalur, called the Mullayanagiri. The height of this peak is close to 2000 metres. This peak is supposed to resemble a trekker’s backyard. Mullayanagiri has amazing trekking trails. Nature walks here are among the best in the country. Located 12 km from Chikmagalur, Mullayanagiri is the highest mountain between the Himalayas and the Nilgiris. On top of the peak, there is a small temple. Dedicated to Lord Shiva, hundreds of Shiva devotees trek all the way up to offer their prayers.There is no doubt that trekking in this place is a memorable experience when compared to other places to visit in Chikmagalur. Even if you have done it once, the memories of it reverberate in your consciousness. The mountain beckons you to scale it yet again no matter where you are. The trekking expeditions have all the ingredients of an adventurous outing. Exotic flora characterises these nature trails. There are plenty of points that offer breathtaking views.As you walk diligently on these precarious hills, the cold wind smacks your face with each passing gradient. Although things can become tougher, they don’t become less enjoyable. In fact, you will relish the challenge. You are determined to make your way to the top. More than fulfilling your ego, it is curiosity that drives you. This mountain makes you curious and brings out the explorer in you. So you head to the top wanting to see more and more of the mountain.The best time to trek here is during the spring season. During the summer, the heat could get slightly exasperating although the region has good climatic conditions. During the monsoon, the trails are inundated with water. In Chikmagalur, it rains heavily during the monsoons. You may be blinded by thick sheets of rain. Worse, you might not be able to come out of your camp at all because of the heavy downpour.
Height: Mullayanagiri is at an altitude of 1950 metres above sea level

Location: Baba Budan Giri Range of Western Ghats, Chikmagalur, Karnataka 

Best Time to visit: One can visit here for the best experience from late September till early March.

Entry fee: Free

Timings:  It is open throughout the day. However, it is advised to avoid visiting during the dark hours of the day. 

Distance from Chikmagalur Bus Stand: It is located approximately 20 kilometres away from Chikmagalur Bus Stand"
2,Hebbe Falls,"Hebbe Falls are yet another picturesque chikmagalur tourist places. The falls are accessed from Kemmangundi hill station. It is located 8 km from this hill station. The falls are surrounded by astonishing greenery. Dense forests, thick foliage, rich flora and hills encompass this region. Coffee plantations are sprawled across the expanses around the falls. Descending from a height of 168 metres, the falls are divided into two stages – the Big Falls and the Small Falls. Called Dodda Hebbe and Chikka Hebbe, the waterfall varies in height at these two regions. Moreover, one can enjoy the best homestays in Chikmagalur with family and friends.You reach this waterfall by an 8 km trek from Kemmangundi. The path is narrow and steep. Along the way, you see scenic wonders. But the effort to reach the Hebbe Falls is worth it. From a distance you can hear the sounds of splashing water, heightening your sense of suspense and excitement. Hebbe Falls form an ideal location to experience a calm holiday in the backdrop of nature of all the Chikmagalur tourist places. It is the perfect location to unwind and distress. If you are bored and tired of the daily grinds of the city, visiting these falls every now and then recharges your energies.One of the best features of these falls is that the water is infused with herbs. It is like a natural jacuzzi with exotic herbs mixed into the water. So take a dip in these healthy waters and feel the difference. Become one with your natural surroundings. You will also find various adventurous activities around.  During the monsoon, the waterfall becomes voluminous and makes thunderous sounds that can be heard from afar.The site of the falls is used by people for family picnics. The dense forests and coffee plantations in the surrounding regions present opportunities for trekking and camping in Chikmagalur. The weather is serene and mild throughout the year. This aspect makes it an ideal location to escape from the heat and into a much cooler place.
Location: Chikkamagaluru District, Kesavinamane, Karnataka

Best Time to visit: The winter months from October to January is the best time to visit Hebbe Falls. 

Entry fee: Free 

Timings:  It is open from 6:00 am to 6:00 pm 

Distance from Chikmagalur Bus Stand: It is located at an approximate distance of 70 kilometres.Suggested Read: Activities to do in Chikmagalur for a fun vacay!"
3,Baba Budangiri (Datta Peeta),"Also known as the Chandra Drona Parvatha, Datta Peeta has several high mountain rises. Located in the Baba Budan Giri range, this is a popular tourist destination. The mountain is named after the Muslim saint Baba Budan.  The Baba Budangiri range is very prominent in places to see in Chikmagalur. It is a picturesque destination with rich sightseeing attractions. Mullayanagiri is the highest peak in this region. This place rises to a peak of about 1900 metres.There are three caves here. Three Siddhas are buried here. Siddhas are religious oracles. An annual ceremony is held in these caves. When you are at the Baba Budan Giri mountain range, do try to make it to these caves. The scenery around this region is spectacular. The combination of scenic beauty and the intriguing caves makes this place a frequented one. During the Deepavali or Diwali festival, a beacon is lighted. The beacon is placed here.You can also visit the Sri Guru Dattatreya Bababudanswamy’s Darga. This darga is an ancient institution. It was one of the most important during its time. Hindus and Mohammedans attested the highest accord to this darga.There is a cave in this vicinity which is believed to be made holy by Dattatreyaswamy. It is said that he along with Hazrat Dada Hayath Mir Khalandar lived in this cave. Therefore this cave is a regarded as holy and people come here to offer their prayers.The Datta Peeta as it is known is worshipped ardently. The puja is conducted by an unmarried man. During the peeta, a yearly ceremony called the Urs is held. The time of the Peeta is usually after the holy festival. The Baba Budangiri range has a unique distinction. The first coffee plantation was grown in the Chikmagalur region on this mountain. On these sylvan slopes, there still exist numerous coffee plantations. You can perform various adventurous activities in Chikmagalur that you can indulge in.
Height: It is at a height of 1895 metres.

Location: Baba Budangiri, Nagenahalli, Karnataka

Best Time to visit: It is best to visit here from September to March.

Entry fee: FreeTimings:  It can be visited any time during the day.

Distance from Chikmagalur Bus Stand: The distance between the two places is approximately 35 kilometres.

Also Check: Best Homestays in Chikmagalur ."
4,Kallathigiri Falls,"The Kalhatti Falls is where nature wraps you in its charm. Over here you experience the elements of nature as pure, refreshing and charming as they come. The magnetism of this waterfall is evident when you see it at close quarters. The surrounding regions of the falls are revitalizing. It makes for a refreshing round of nature walks. There is so much possible here and it is one of the best places to visit in Chikmagalur. You are in nature’s most verdant backyard. Located near Kemmanagundi, the Kalhatti Falls have all the blessings of nature. They are located in a pristine environment. The backdrop is numerous mountains and dense foliage.You visit this place to make a pilgrimage of relaxation and fun. This is the best place for such activities amongst places to visit in Chikmagalur. There is a small temple in the vicinity. This temple is sandwiched in the waterfalls. The temple has idols and stone structures. Throughout the year, devotees visit this place and offer their prayers here. Not only are the falls a place for fun and devotion, they are full of trekking trails as well. Trekking in Chikmagalur is a very popular activity.There are impressive trekking trails that meander through dense foliage. Offering plenty of sightseeing attractions, the regions around the falls make for ideal locations for camping too. There is a trail around the cascade that lets you trek all the way up and atop the falls. This is the perch point from where you can see the waters descend at full throttle. There are adjoining attractions around the Kalhatti Falls. Z point is one.Then there is Rock Garden which is yet another scenic place with plenty of things to do and see. Hebbe Falls can be visited as this cascade is in this region. It is 10 km from these falls. You can trek all the way if you are fit or opt for some transportation. The natural beauty of the surroundings never makes you feel tired and you are always asking for more.
Location: Kallathigiri Falls, Kallathgiri, Karnataka

Best Time to visit: Tourists are recommended to visit this place from September to February

Entry fee: Free

Timings:  It remains open from 7:00 am to 6:00 pm every day 

Distance from Chikmagalur Bus Stand: It is located at an approximate distance of 50 kilometres.Must Check: Adventurous Trekking in Chikmagalur"
5,Bhadra Wildlife Sanctuary,"A protected area and Project Tiger area, this wildlife sanctuary is home to a number of wild animals and birds. The flora and fauna that you find here is exotic and worth watching. Every minute at the Bhadra Wildlife Sanctuary is value for time and money and it is one of the best Chikmagalur tourist places. The sanctuary is located between the Chikmagalur and Shimoga districts. It is about 35 km from Chikmagalur town. The sanctuary has a large tiger population. Once inside the sanctuary, you can visit the Kallahathigiri Mountain. This peak is at a height of 1800 metres. Some other hills in the sanctuary are Kemmannugundi and Bababudan Hills. All around you are impressed with unparalleled beauty.The uninterrupted splendour of this place is evident from the lush greenery that pervades the sanctuary. The Bhadra River flows through the sanctuary and hence the name Bhadra Wildlife Sanctuary. Deciduous trees are found in abundance over here. The forests are usually damp at most times. They reverberate with vitality. On location are more than a hundred species of tree. Some of the trees found here are teak, rosewood, mathi and kindal. The lofty hills and unending vegetation never cease to amaze you.Also called the Muthodi Wildlife Sanctuary, this sanctuary is known for its wildlife safari. You can see tigers in their natural habitat on these expeditions. Private jeep safaris can be arranged. In each safari, accompanying the visitors are forest officials. These professionals entertain guests with interesting anecdotes about forest life. They also explain about the behaviour and lifestyle of wild animals. You will be intrigued with the depth of information you get that makes this place a must visit in your Chikmagalur tour.There are close to 250 species of birds at the Bhadra Wildlife Sanctuary. You can go on specialised bird watching expeditions. Ornithologists accompany you. They know which birds are found in which part of the jungle. Although it is difficult to see reptiles you could get lucky and see a king cobra or a pit viper. There are even marsh crocodiles in this sanctuary and you can spot them lying along the banks of small water bodies.
Location: Behind Ranganathaswamy Temple, Tarikere, Lakkavalli, (attn Rivertern Lodge), Chickmagaluru, Karnataka

Best Time to visit: October to March is the best time to visit Bhadra Wildlife Sanctuary

Entry fee: Entry is free

Timings:  It is open from 6:30 am to 8:30 am and the from 4:00 pm to 6:00 pm

Distance from Chikmagalur Bus Stand: Bhadra Wildlife Sanctuary is at an approximate distance of 80 kilometres from Chikmagalur Bus StandCheck out: Resorts in Chikmagalur"
6,Bhadra Dam,"A major landmark in Chikmagalur, Karnataka is the Bhadra Dam built on the river Bhadra, a tributary of the famous Tungabhadra River. The dam became more powerful after people in the region started using the water for irrigation purpose as well as producing electricity to the towns and the villages nearby. The dam was commissioned in 1965. The river originates at Samse in the mighty Western Ghats and then it starts flowing towards east across the Deccan Plateau and it is one of the finest places to see in Chikmagalur.        The major tributaries of it are the Somavahini, Thadabehalla and Odirayanahalla. Bhadra flows through the city of Bhadravathi and the Bhadra Wildlife Sanctuary. Then it meets the Tunga at River at koodli and the combined river flows to the east as Tungabhadra.  The Bhadra Dam constructed on the river is 1.5 kilometres from Lakkavalli village and 50 kilometres upstream of the confluence of the Bhadra and Tungabhadra River.
Shimoga city is located very close to the dam and it drains a catchment area of 1968 square kilometres. The water from the dam helps several industries, urban and rural settlements sustain. Bhadra River basin receives an average rainfall of 2320 mm annually. The tourist attraction near the dam is the river and the wildlife sanctuary that accommodates rare species of fauna like red spurfowl, emerald dove, green imperial pigeon, mesh crocodiles, hill mynahs, gaurs, painted bush quail, black woodpecker, wild boar etc.There are many other tourist locations and destinations are closely located to the dam like Kudremukh, Mullayanagiri and much more. There is no specific timings to visit the dam though there would be some definite timings to enter the wildlife sanctuary. Before you plan to visit the sanctuary, make a quick inquiry about the timings to avoid last minute confusions.No fee is applicable to visit the dam. 
Location: Bhadra Dam, Karnataka

Best Time to visit: The best time to visit here is during the monsoon months of the year 

Timings: It is advised to visit here from 10:00 am to 4:00 pm 

Distance from Chikmagalur Bus Stand: It is at a distance of 70 kilometres from Bhadra Dam"
7,Hanumana Gundi Falls,"Famed as one of the major attractions in Chikmagalur the Hanumana Gundi Falls gives a perfect dose of nature. The fall cascades down from an elevation of 22 meters above the ground and is settled at an altitude of 996 meters. If you are looking for a spot for rejuvenation then this is the best place for you. With dense green forests to the smell of freshwater dropping down here one can witness everything. Apparently, this is one of the best Tourist Places in Chikmagalur that one must not dare to miss out on.Location: Kalasa Main Road, Sheerlu, Karnataka 577142Timings: Monday to Sunday from 9 am to 5 pmTotal height: 22 m (72 ft)Distance from Chikmagalur: Approximately 95 km"
8,Visit a Tea Plantation,"When in Chikmagalur, a beautiful plantation is never too far. You can book a plantation visit through your accommodation or get on the road until you reach one. Some of these plantations date back centuries and were once owned by the British. Today, these are relics of a bygone era and a major part of the area’s culture and it is one of the best Chikmagalur tourist places.A walk through these plantations offers great opportunities to interact with the locals or spend some quiet time surrounded by nature. If you like nature photography, there are not many places that parallel the beauty of these plantations with hidden brooks, streams and waterfalls popping everywhere. The best time to visit these plantations is during the monsoon months when the clouds descend to give a dramatic backdrop. Location: Near Baba Budangiri HillsTiming: Mostly 9:00 AM - 5:00 PM"
9,Experience a Stay at Coffee Estate,"A stay at one of the old coffee estates at Chikmaglur is an experience in itself. Usually, these coffee estates portray old, colonial architecture and follow old interior decor styles to give you a feeling of going back in time. Apart from the rich ambiance, these estates offer excellent opportunities to explore the scenic nature of the area as they are generally situated on quiet hillsides, away from the city traffic and it is one of the best places to see in Chikmagalur.        Apart from the olden villas, you can also choose to stay at one of the many rustic homestays and learn about the local way of life. It is a great way of exploring the lesser-known attractions of Chikmagalur, through the eyes of the locals. 
Location: Depends on the accommodationTiming: Open throughout the dayAlso Read: Astonishing Waterfalls in Chikmagalur"
