,Name,About
0,Madikeri Fort,"The fort is situated in the centre of Madikeri and is one of the famous places to visit in Coorg. The monument dates back to the 17th century when king Muddu Raja had constructed a mud structure as Madikeri Fort. 
Since then, the fort has seen many changes and was captured by many rulers like Tipu Sultan, Dodda Virarajendra etc. In its proud walls, the fort hosts a temple, a prison, a museum and also an Anglican Church. 
The fort is an architectural symbol of the bygone era where right at the entrance, there are two stone replicas of elephants standing huge at the corners, the grand clock tower, a tortoise sculpture, a small sone made a square mantapa etc are few of the prominent designs which draw visitors eyes.Height: 110 feet tall building.Location: Madikeri Fort, Stuart Hill, Madikeri, Karnataka 571201Best Time to visit: Any time of the day is a good time for visiting Madikeri Fort.Entry fee: No entry feeTimings: 9 AM to 5:30 pm on all days of the week except Monday.Average time required to visit the place: 2 hours.Distance from Madikeri Bus Stand: Approximately 700 to 800 M."
1,Abbey Falls,"This refreshing waterfall gushes and pounds on the rock with full force especially during the rains and the roars echoes in the valley. The entire set up is gorgeous and looks right out of a storybook. Abbey falls is a part of river Cauvery or Kaveri in Karnataka that falls from an elevation of 70 feet making an astounding natural scene fro the shutterbugs to capture in the lenses. Trekking trails of Coorg are littered around the falls region. To get a better view of these falls, you can walk over the hanging bridge.The falls is under a private supervision and is amid stretches of the long coffee plantation. The green backdrop and the white foamy fall combine together to attract hordes of tourists every year from all across the country. It is one of the most visited tourist places in Coorg.Height: Falls from a height of 70 feetLocation: Abbey falls Madikeri, 571252, Hoskeri, KarnatakaBest Time to visit: October to February.Entry fee: INR 15 per headTimings: 7:00 AM - 6:00 PM on all seven days of the week.Average time required to visit the place: 1 to 2 hours.Distance from Madikeri Bus Stand: Approximately 10 KMMust Read: 8 Mesmerising Waterfalls in Coorg"
2,Iruppu Falls,"This stunning waterfall does not only captivates the beholder’s eyes but makes one fall in love with its unparalleled beauty. Falling along the Brahmagiri Mountain range of a tributary originating from river Cauvery. Irupu falls is also known as Lakshmana Tirtha Falls and this is the hidden splendour of Coorg, a very famous and picturesque spot. While on your route to Brahmagiri peak, Iruppu fall is one of the major attraction en route along with the trekking routes to Narimale forest camp.Height: 170 Feet.Location: Kurchi, Karnataka 571250Best Time to Visit: Monsoon season and winter season.Entry fee: INR 50 per head.Timings: 6:00 AM - 6:00 PM on all days of the week.Average time required to visit the place: 3 to 4 hours.Distance from Madikeri Bus Stand: Approximately 75 KM.Suggested Read: Coorg to Bangalore Travel Guide"
3,Raja's Seat,"The place has a history of having the king of Coorg to spend his time witnessing the scenic and panoramic vistas of the place. Raja’s Seat is one of the best attractions in Coorg to watch the majestic sunrise or the fiery sunset.  It is a fantastic spot for recreational activities in Coorg.Raja’s seat sets in a glorious garden of seasonal colourful flowers and musical fountain shows. There is also a toy train that runs through the garden entertaining both adults and children. Raja’s Seat has such an unerring location that it overlooks a valley bathing in green and a horizon doused in all shades of blue and orange.Height: Approximately 160 ft above sea level.Location: Stuart Hill, Madikeri, Karnataka 571201Best Time to visit: November to March (winter season)Entry fee: INR 5 per person. INR 20 per head for Toy train ride and INR 40 for parking.Timings: 6 PM to 8 PM on Monday to Friday and 6 PM to 7:30 PM on Saturday and Sunday. The musical fountain show starts at 7:00 PM on weekdays and 6:45 AM to 7:20 PM on weekends.Average time required to visit the place: 1 to 2 hours.Distance from Madikeri Bus Stand: Approximately 1 KM from Madikeri bus stand.Check Out: Recreational activities in Coorg"
4,Tadiandamol Peak,"This highest peak in Coorg, standing at an elevation of over 5,700 feet, is one of the most famous tourist attractions in Coorg. The mountain is popular amongst trekking enthusiasts and nature lovers. The trek to the summit is moderate with sharp slopes but these challenges are compensated by the breathtaking trails dotted with some parts of the lush Shola forests, fragrant coffee plantations, waterfalls, and streams that accompany you on the hike. The trails are full of colourful snails, butterflies, birds, and flower patches. Gorgeous views, enveloped in the crisp mountain air, of vast meadows and valleys backdropped by clear blue skies, welcome you at the summit. The trek starts from the 17th century Nalakand Palace and half of the route is accessible by a vehicle, but only reachable by foot from the ‘Big Rock’ point. The mountain is located 37 kilometres from Madikeri.Height: 1748 mLocation: Tadiandamol, Yevakapadi, Karnataka, 571212, IndiaBest Time to visit: December to MayEntry fee: No entry fee.Timings: 6 AM to 6 PM on all seven days of the week.Average time required to visit the place: The trek takes around 5 to 6 hours.Distance from Madikeri Bus Stand: Approximately 37 KMBook Now: Tadiandamol Trek, Flat 25% Off"
5,Namdroling Monastery Bylakuppe,"Most of the people do not think of Southern India when monastery hits their brains, but this information is incredibly intriguing that the Tibetan-Buddhism influence had reached the southern part of India ages ago. 
Mandroling Monastery in Bylakuppe is also known as the Golden temple. Around 5000 nuns and monks live together in Harmony at Namdroling and It is the second largest Buddhism settlement in India. 
You can even spend some time in the bookstore and the cafe that is inside the Monastery premises. Namdroling is also called Golden temple because of the golden paintings etched on the monastery and the three golden statutes named Buddha, Padmasambhava, and Amitayus.
Photography is allowed inside the monastery and one can even light some incense sticks and sit for some time to soak in the piousness of the place.Location: Arlikumari, P.O. Bylakuppe, Mysore, Karnataka 571104Best Time to visit: Any time of the year.Entry fee: No entry fee.Timings: 7 AM to 6 PM on all the days of the week.Average time required to visit the place: 1 to 2 hours.Distance from Madikeri Bus Stand: Approximately 35 KM."
6,Barapole River,"Barapole is turbulent river full of class 2 and class 4 rapids originating from Kithu Kakathu River further extending to Brahmagiri hills to the Arabian Sea. Whitewater rafting is one recreational activity that Barpole river is famous for. One of the most challenging rafting experience on a different level of rapids. The adrenaline rushing activity is best done in Monsoon. Launch you rafts high in the rapids and click the most adventurous pictures on your trip to Coorg or Kodagu. Barapole is one of the adventurous Coorg tourist places in Karnataka and the best place to try rafting in Coorg. Venture into an off the beaten adventure and indulge in this heart-pumping activity.Location: Barapole River, Coorg, Karnataka 571201, IndiaBest Time to Visit: Monsoon (July to September)Entry fee: An average cost of rafting may range from INR 1200 to 1500.Timings: Best done before 2 to 3 PMAverage time required to visit the place: Rafting is a 1.5 to 2 hours activity.Distance from Madikeri Bus Stand: Approximately 80 KM.Book Now: Experience River Rafting in Coorg"
7,Brahmagiri Hill,"Between Wayanad and Kannur districts in Kerala in the north and the east and Coorg in Karnataka in the south, lies the trekker’s paradise- Brahmagiri hills, the highest peak in the sanctuary that covers an area of 181 KM and derives its name from the Brahmagiri hill. The celestial presence of Thirunelli temple and the adorable Iruppu falls amid the green groves en route makes the trekking experience a lifetime event that states with you for long. It is suggested that you take a guide which will charge around INR 200 but will make your journey informative and more fun.Height: 1,608 mLocation: Border of Mananthavady Taluk, Wayanad district, Kerala and Virajpet Taluk, Kodak district, Karnataka India.Best Time to visit: December to MarchEntry fee: A single charge of around INR 200 for the guide which is mandatory to take on the hike.Timings: Daytime, an evening trek can be tricky.Average time required to visit the place: The trek can be of 6 to 8 hours depending on the route opted.Distance from Madikeri Bus Stand: Approximately 60 KM"
8,Nishani Motte,"When you explore the lesser-known destination, it fills you with euphoria and Nishani Motte peak is one of those places to visit in Coorg. It is a trek of 15 kilometres that brings the uber joy of departing into an unknown land. The trail goes through forest research, long paddy stretches, aromatic coffee states and small rivulets and streams. The unadulterated sight of river Cauvery or Kaveri is so soul-altering that you can sit by the bank of the river and spend some alone time. You can book the Nishani Motte Trek Tour from our platform at the best deals.Height: 4167 ft.Location: Nishanimotte, Bhagamandala Village, KarnatakaBest Time to visit: Winter and AutumnEntry fee: No entry feeTimings: 6 AM to 6 PM.Average time required to visit the place: 2 days (trek)Distance from Madikeri Bus Stand: Around 12 to 15 KMSteal Deal: Nishani Motte Trek, Coorg"
9,Chelavara Falls,"Originating from the river Kaveri, Chelavara falls are one of the most scenic falls in Coorg, famous for their unique appearance. Also known as Embepare (Tortoise) falls locally, the gushing columns of water crash down from a height of 150 ft. on a huge tortoise shaped rock and it is best Coorg sightseeing places.It is a mesmerising sight to see the huge white curtains of water cascading down amidst lush green surroundings. The surroundings of the falls are enveloped in the intoxicating fragrance of coffee from the nearby plantations. They are reachable after a 10-minute easy hike from the end of the Virajpet road. There is a 50 ft. deep plunge pool at the bottom of the fall for a cool refreshing dip. The best time to visit this famous Coorg tourist place is during the monsoons. Height: 150 feetLocation: 2 Km From Choma Kund Hill, Madikeri, IndiaBest Time to Visit: Monsoon is the best time but is equally risky. Winter season is the safest one.Entry fee: No entry fee.Timings: 6 AM to 6 PM on all days of the week.Average time required to visit the place: More than 2 to 3 hours.Distance from Madikeri Bus Stand: Approximately 43 KmKnow More: Camping Tours in Coorg"
