,Name,About
0,Khajjiar,"Also known as the mini Switzerland of India, Khajjar is a beautiful hill station located at a distance of 16 km from Dalhousie. With a small plateau and a freshwater lake, Khajjar is one of the most favored tourist spots in this town. Situated at the foothills of Dhauladhar range of the Western Himalayas, Khajjar is a rare combination of three ecosystems- Lake, Pasture and Forests.Located in a huge grassy landscape and surrounded by evergreen cedar trees, Khajjar Lake offers a breathtaking view to the tourists. Khajjar has a variety of recreational activities to offer which includes Paragliding, Zorbing, and Horse-riding. A challenging 14 km trek gets you through grassy landscapes of deodar and pine trees and offers you beautiful sceneries along the way. It has a 12th-century old Khajji Naga Temple with some ancient snake idols and images depicting the battle of Mahabharata.Location: Khajjiar, Chamba District, Himachal PradeshHow to reach: The public and private transport options to Khajjar are limited and the timing changes according to local demands. You can, however, consider hiring a taxi or a two-wheeler to Khajjar. It gets cold in the evening so a car is the most preferable. There are local buses to Khajjar daily at 7:15 am which charges something around INR 155 and gives you majestic views of the villages and sceneries in the way. Taxis are easily available from the main market.Activities and attractions: Picnic spot, Sightseeing, Photography"
1,Panchpula,"Panchpula is one of the beautiful places to visit in Dalhousie. Located approximately at a distance of 3 km from Dalhousie, this place is a major tourist attraction. It is a mother stream that flows through various parts of Dalhousie, feeding water to several other water bodies. Panchpula that originates from the north of Dayakund, is popular for its mesmeric vista and also holds historical significance. A Samadhi has been built as a tribute to Sardar Ajit Singh, a great revolutionary. When here, do not forget to savour their delectable local cuisine.Location: Pathankot Rd, Chatryara, Himachal Pradesh 176304
Timings: Daily: 7.00 AM - 7.00 PMActivities and attractions: Picnic Spot, Sightseeing"
2,Sach Pass,"Sach Pass is situated in Sach town which is approximately 15 km from Killar, in the Chamba District. Based at around 14500 ft, this Pass interfaces the grand Pangi tribal valley with district headquarters, Chamba. It is an exceptional trekking trail that leads to the Pangi Valley, which is the remotest and the most enthralling valley. It is blessed with a picturesque landscape and rugged terrains and also offers various options for trekking devotees.Sach Pass trekking trail drives you through dense woods, snow clad crests and lush green plantations. So all you adventurers and thrill seekers come and explore the challenging Sach pass in Dalhousie.Location: Chamba District, Himachal PradeshActivities and attractions: Trekking, road trip, photography, sightseeing."
3,Dainkund Peak,"You have heard the birds sing a piece of music; now attend a musical concert at the Dainkund Peak. Melodious is the sound, like a song whispered in your ears, when the breezes swiftly strike the chords of the woods at Dainkund. Based at a height of 2755 M, the Dainkund Peak allures innumerable tourists. The peak offers an enticing panorama of the valley, which has made it an admirable spot. The two major attractions here is the core of the valley which belongs to the Indian Air Force and a temple. This is a Pholani Devi temple and unique because all it showcases is a trident. So visit this charismatic peak and witness the creations of Mother Nature and to admire this exclusive place of worship.
Activities and attractions: Trekking and Sightseeing"
4,Chamera Lake,"Skim through the places to visit in Dalhousie and reach the Chamera Lake. Located in the Chamba district at a height of 763 M from the sea level, the Chamera Lake is a captivating traveller’s destination. It is based approximately at a distance of 30 KM from Dalhousie. This lake was formed because of the Chamera Dam was built on the Ravi River.  It is a great place for all adrenaline junkies as it proffers a plethora of water sports.So if you are looking forward to spending some peaceful time at this quaint location then admire the shimmering sunset here or else feeds your inner thrill seeker by indulging in varied adventurous activities.Location: Located at a distance of 25 km from Dalhousie.
Activities and attractions: Sightseeing, Boating, Fishing and other Watersports"
5,Satdhara Falls,"Being situated at 2035 meters over the ocean level, the Satdhara waterfall proffers a tranquil environment and wonderful climate to all its visitors. The term Satdhara signifies 'a blend of seven streams'. The water from this waterfall is said have medicinal properties and healing powers. The Satdhara falls is based on the Panchpula route and is a beautiful traveller spot to visit with loved ones. It is one of the most prominent places to visit in Dalhousie. One can plan a day picnic with family and friends or just indulge in sightseeing.Location: Near Panchpula, Pathankot Road,Chatryara, Dalhousie, Himachal Pradesh, 176304Activities and attractions: Picnic spot, Photography, Sightseeing."
6,St. Patrick's Church,"Wondering what places to visit in Dalhousie? Just add St. Patrick's Church to your list. Dalhousie is said to be a melange of nature’s beauty and a glimpse of the Victorian era. Approximately at a distance of 2KM from Dalhousie, lies the St. Patrick’s Church. It is a 104 years old church, situated on Mother Nature’s lap. This route showcases the beguiling exquisiteness of Himachal Pradesh. Several devotees, tourists and travellers visit the church every year and our awestruck by its splendour. This is a very apt place for photography. One can visit the church any day between 9 AM to 5 PM.Location: Within a 2 km radius of the main bus stand on military hospital road.
Timings: 7.00 AM - 7.00 PMActivities and attractions:- Sightseeing, Place of worship"
7,Mall Road,"Mall Road is one of the most notable shopping spots in the city, offering a range of merchandise from dolls to Kashmiri shawls. One can find countless eateries, clubs, bars, inns, hotels, banks on the road. Visitors love to spend the day slowly walking along the winding road, taking in pleasing vistas around, shopping for trinkets, and eating their favourite snacks. It is a good spot to meet with friends and explore tiny gift shops, buy unique handmade items and enjoy the local talent.If you are a fan of coffee, visit the hordes of quaint little coffee shops to satisfy and rejuvenate yourself. It is especially refreshing to delight in these activities in the lap of nature, as the road is located in the midst of numerous tiny hills.Location: Gandhi Chowk, Dalhousie
Timings: 10 AM to 9 PM"
8,Laxmi Narayan Temple,"When planning places to visit in Dalhousie, make it a point to add Laxmi Narayan Temple to the list. The fascinating part about this place is that it is an antiquated sanctuary devoted to Lord Vishnu and Lord Shiva. Being built in the Shikhara style by the Kings of Chamba, it is also a major architectural attraction. The Laxmi Narayan Temple is based in the Chamba district and is one of the highly praised vacation destinations in Dalhousie. It is an abode to three different sanctums like Gauri Shanker Temple, Shiva Temple of Chander-Gupta, and Radha Krishna Temple.Location: Sadar Bazaar, Dalhousie, Himachal Pradesh 176304
Timings: 6.00 AM - 7.00 PM.Activities and attractions: Sightseeing, Place of Worship"
9,Bara Pather,"Bara Pather is a very popular destination in the town of Ahla, situated in close proximity of General Post Office, Dalhousie. Take a short break and do visit this place while you are travelling towards the Kalatop Sanctuary. Based amidst the woods, Bara pather is an abode to the pristine Bhulwani Mata Temple.This Temple is approximately 60 M away from Dalhousie waterworks. The tantalizing panorama here attracts innumerable tourists. Here you can appreciate cool wind amid the hot and sticky summers. It also has a Potato Farm, which is an additional traveller spot.Location: 4 KM From Dalhousie, On The Way To Kalatop, Dalhousie 176304
Timings: 7.00 AM - 7.00 PM.Activities and attractions:- Sightseeing"
