,Name,About
0,Chopta-Tungnath Trek,"Chopta Tungnath trek is a relatively unexplored trekking destination, which is known for its mesmerizing scenic beauty. The trek towards Tungnath, the 3 from Tungnath takes you to Chandrashila, which is situated at an altitude of 4,000 meters above sea level.Chopta is blessed with rich flora and fauna as it is located in the midst of dense forests, with a beautiful floor of rhododendrons, interspersed by deodar and pine trees. During the first one and half kilometers, you will pass through a sea of brightly coloured rhododendrons and silver oak forests. Following this the vista opens to green alpine meadows which take you to the Tungnath temple.According to folklore, the arms of Lord Shiva are believed to have emerged here. On trekking a kilometer further ahead, you will reach the Chandrashila peak from where you get spectacular views of the snow capped peaks of the Himalayas glistening in the sun rays. The grassy meadows of the region make it an ideal spot for camping too.Chopta is well-connected by roadways connecting Guptakashi and Gopeshwar. The weather is lovely and the views are simply breathtaking.Best season: May to June and August to SeptemberDuration: 3 DaysAltitude: 3680 m"
1,Rajaji National Park,"Rajaji National Park is both a national park as well as a tiger reserve which ranks high amongst the Places to see in Haridwar. The park was created by the amalgamation of 3 sanctuaries- Rajaji, Motichur and Chilla. The park is located in the Shivalik range of Himalayas and spreads over 820kms. The park is famous for its 600 elephants, 250 leopards, and 11 tigers along with other animals, who have been kept in the natural forest environment. It has now become the second tiger reserve of Uttarakhand after Corbet.Location -Ansari Road, Mohand Range, DehradunTiming- 6 am to 9 am &  3 pm to 6 pm. Visitors booking a full day safari can wait at the rest house inside the forest.Best Time to Visit - Park remains open from 15th November to 15th June. Park is closed during the monsoon season.      Entry Fee - Rs. 150 per head for 3 hours visit. Gypse rate for 3 hrs safari trip is Rs. 2100 and vehicle entry is Rs.250 per vehicle with Indians and Rs. 500 per vehicle with foreigners. The guide cost is Rs. 600 for general guide and Rs.1000-1500 for experience in wildlife.History of Rajaji National ParkThe Rajaji National Park initially started as three separate national parks in Uttarakhand. The pre-existing natural abundance of the area, along with its thriving community of wildlife, flora and fauna and its idyllic weather served as the perfect premise for the establishment of these national parks. In 1964, a stretch of the Dehradun Forest spanning 90 square kilometres was declared as the Motichur wildlife sanctuary. The Rajaji Wildlife sanctuary had existed since 1948 and the Chilla sanctuary since 1977 in Shivalik and Lansdowne respectively.In 1983, these three parks were combined to form the Rajaji National Park as it stands today, which covers an area of over 820 square kilometres. In April 2015, Rajaji National Park received the status of a tiger reserve, making it the second reserve for tigers in Uttarakhand. It remains one of the most picturesque and well-maintained national parks in the country. The government decided to name the park after one of the most renowned freedom fighters of the country- C. Rajagopalachari, who was known as Rajaji. After playing a pivotal role in fighting for India’s independence, he was also the last Governor-General of post-independence India. He was awarded the Bharat Ratna for his services to the nation."
2,Deer Park,"After Rajaji National Par, Malsi Deer Park is the most visited wildlife centre in Dehradun. This is a mini zoological park turned out to be one of the favourite picnic spots or hangout places in the city, ideal for family outings or school excursions. The herds of deer meandering freely in their habitat through the scenic Malsi reserve forest area ensures an amazing sight before the eyes of its visitors, incomparably beautiful. Unlimited number of birds can also be found inside the park together giving a mind blowing views. For kids, there are fun rides and space for games also. The weekend witnesses the flooding of people towards the park. The park is situated just 10 KM away from Dehradun city at Mussoorie Road."
3,Tapkeshwar Temple,"Dehradun houses one of its most visited temples, Tapkeshwar where Lord Shiva is the presiding deity. Blessed by natural extravagant sights abundantly, the prominent feature of this temple is the main Shivlinga that is kept sacredly inside a cave.The temple resides by the side of thick forests and the natural cave drops water from the roof little by little to give away the Shivlinga more beauty and in turn it appears as an amusing spectacle. The temple is existing in a location which is easily accessible, it is hardly six kilometers away from the city. Shivratri is the biggest festival celebrated at the temple when thousands of pilgrims come and pay tribute to the deity. The cool sulphur- water springs are an additional feature the temple proudly possesses within it. The devotees will take a bath in these springs before they enter inside the temple."
4,Asan Barrage,"A barrage located at the confluence of Eastern Yamuna Canal and Asan River is Asan Barrage in Doon Valley, Dehradun. The barrage contributes well in the process of electricity generation and the dam is the reason for the creation of the Asan Reservoir or Dhalipur Lake. An adorning spot for bird lovers, the surrounding acts as a haven for 53 species of native birds and 19 types of migratory birds. Recently this man-made wetland is declared as a bird sanctuary as well. The Asan River also has a prominent significant when we talk about Asan Barrage as the river is a combination of different streams in the Doon valley. GMVN water sports complex near the barrage is quite famous for providing the thrilling water activities like water skiing, rowing, paddle boating, kayaking, double waters skiing, mono-skiing and motor boating."
5,Robber's Cave,"Witness the miracle of Nature at the Robber’s Cave, which
is approximately 8km from Dehradun. Robber’s Cave is a 600 M elongated
naturally formed cave. A river passes through this cave making this place a
perfect picnic spot for family and friends. The weird and wonderful thing about
this place is that a stream of water miraculously appears in the Robbers Cave
and vanishes under the ground and then reappears a few yards further.  It is a very pristine and peaceful place and
hence intrigues several tourists. Robber’s cave is a must-visit place when in
Dehradun.
Timings- 7 AM to 6 PM"
6,Kalsi,"A small village set on the outskirts of Dehradun, Kalsi is known for its calm environment and breathtaking Himalayan views. This charming village is located at a height of 780m and forms its boundary at the confluence of River Yamuna and Tons. The most popular attraction of this village is the Ashokan Rock Edict, a monument that has quite significance in Indian history. Ashoka, the Great Mauryan King was engraved in this Edict in 253 BC.Apart from it, Kalsi is famous for its ancient architecture, beautiful views, picnic spots, and water streams. Dak Pathar is another popular place to visit in this village. One can enjoy popular activities, such as boating, water skiing, sailing, swimming, canoeing, camping, and trekking. One can also go fishing after receiving a permit from the concerned authorities of the village.Location: Dehradun-Chakrata Road, Uttarakhand -248158Best time to visit: Summer is the best time to visit Kalsi.Timings: Anytime.Entry Fee: No Entry Fee."
7,Har ki Dun,"This trek is a delight for the travellers of all seasons. It is nestled below Har ki Dun peak in Uttarakhand and takes you to some of the most spectacular Himalayan trails. Alpine, meadows, lush green hillside, Rhododendrons flowers, pine forests, frozen glaciers, basins, ancient temples, pristine Tamsa river, and quaint hamlets are some of the sites that will leave you mesmerized in wonder and amazement.This is also the only trek where you will get the combined view of Swargarohini – I, II, III, Bandarpoonch, Black peak, and Ruinsara mountain peaks. This cradle-shaped valley is sparsely populated with 3,000-year-old villages. The slow-paced village life will fill your senses with the utmost calm and the sunrise from this valley is just breathtaking.  The valley is spiritually linked the Duryodhana, who is worshipped religiously in these villages. The trek is accessible through Govind National Park, which is itself a perfect site for exotic flora and fauna.Location: Dehradun to SankriBest Season: Round the year except for Monsoon season.Duration: 7 days.Altitude: 12,000 Ft."
8,Maldevta,"Tucked away in the Raipur area of Dehradun, Maldevta is nature in utmost abundance. From an ancient temple to great Himalayan vistas, this gorgeous place is bliss for nature lovers. The untouched trails of this place will lead you to a quaint hamlet which is nestled in the lap of lush green hills and bordered by meandering River Song. It is one of the top places to visit in Dehradun.Maldevta is also known for its recreational activities, such as swimming, sightseeing, biking, cycling, and bird-watching, photography, and camping. The best way to spend your night in Maldevta is by pitching your own tents under the stars, preferably in groups.  Dance around the bonfire during the night and wake up to the sweet chirping of birds and shining light of the sun.Location: Maldevta, Shripur, near Raipur, Uttarakhand- 492001.Best time to Visit: This place has pleasant weather all year long but summer is considered to be the best time to visit Maldevta. Timings: Monday to Sunday – 10 AM to 6 PM.Entry Fee: No Entry Fee"
9,Mindrolling Monastery,"One of the most famous places to visit in Dehradun, Mindrolling Monastery is among the six major monasteries of Tibet’s Nyingma School. Originally constructed in 1676 by Rigzin Terdak Lingpa, the monastery was re-established in 1965 by Khochhen Rinpoche. Highly significant to tourists as well as religious visitors, the place is regarded as an architectural masterpiece.Surrounded by endless gardens, vast spaces, and a striking stupa, the tallest of its kind in Asia, the monastery is known to offer spiritual guidance to hundreds of devotees every day. The paintings and murals around the monastery depict the life of Buddha as well as teaching from Buddhism. Built according to Japanese architectural style, the edifice has five floors dedicated to Lord Buddha and Guru Padmasambhava.On the fourth floor, visitors would find a massive open space that allows them to experience a 360° view of Dehradun Valley. Home to Ngagyur Nyingma College, one of the largest institutes in the world dedicated to Buddhism studies, the monastery provides education to over 300 monks at a time.Location: 3, Buddha Temple Road, New Basti, Clement Town, Dehradun, Uttarakhand 248002.Opening Hours: Tuesday to Sunday – 10:00 AM to 7:00 PM.Entry Fee: No Entry Fee"
