,Name,About
0,Om Beach,"Brace yourself for a scenic getaway with a trip to Om Beach when you are in Gokarna. One of the most picturesque attractions in Gokarna, Om Beach is known for its serene landscape. Om Beach is a wonderful respite for adventure junkies who love to exult in the thrill of various water activities.One of the most splendid features of this beach is that it is shaped like the symbol ‘Om’ and attracts scores of crowds who wish to relax and unwind. Although the beach is unparalleled in natural ch beauty among sightseeing places in Gokarna, it is relatively less crowded and charms the visitors with its rejuvenating ambience. It is also the starting point of the Gokarna Beach trek.For those who are fond of photography and loves to indulge in laid-back strolls, Om Beach is one place that will go down the memory lanes forever.Location: Om Beach, Gokarna, KarnatakaBest Time to visit: October to March is the most preferred time to visit Om Beach.Activities: The most popular activities at Om Beach are banana boat rides, dolphin spotting, fishing, bumper boat ride, jet skiing and beachside trekking.Distance from Gokarna Bus Main Stand, Banglegudda: It is approximately 6 kilometres from the bus station."
1,Kudle Beach,"Shaped like a perfect ‘C’, Kudle Beach is one of the most beautiful Gokarna tourist places that you’l ever come across. Flanked by coconut trees, Kudle Beach is a wonderful retreat for the lovers of peace and quiet. The sheer beauty and simplicity of the beach is a breathtaking surprise and people visit this beach to enjoy the serene surroundings. Kudle Beach is most famous for offering a spectacular sunset and sunrise in Gokarna.Attracting scores of tourists, mostly foreigners and backpackers, Kudle Beach is a beach haven to enjoy a leisurely stroll or indulge in some enterprising ventures like swimming, surfing and beach trekking in Gokarna. There are also many beach shacks and makeshift bamboo huts where people can spend the night on the beach and appreciate the wonder of glistening waters in the light of the moon.Location: Kudle Beach, GokarnaBest Time to visit: November to February is the best time to visit Kudle Beach.Timings: It is advisable to visit the beach from 4 am to 6:30 pm.Activities: Trekking, yoga, surfing etc.Distance from Gokarna Bus Main Stand, Banglegudda: It is about 6 kilometres away from the bus station."
2,Half Moon Beach,"Listed as one of the most attractive sightseeing places in Gokarna, Half Moon Beach boasts of beautiful surroundings. The beach derives its name based on its shape like a half moon. Half Moon Beach is known for its clean sparkling sands against the transparent blue waters. Mostly famous for foreign travellers and backpackers, Half Moon Beach is a great place to relax and unwind.Half Moon Beach can be visited by a hike from Om Beach which is a thrilling enterprise. Away from all the crowds, this beach is a wonderful destination to indulge in some fun activities as well as indulge in enjoying some mouth-watering food available at the beach shacks nearby. This beach is an idyllic escape from the noise of the city or enjoys some classic beach activities like sunbathing or swimming.Location: Half Moon Beach, GokarnaBest Time to visit: The ideal time to pay a visit to the Half Moon Beach is between October and MarchTimings: Tourists can visit here any time from 6 am to 6 pm.Activities: Swimming, canoeing, paddle boats, paintball, camping, and cabinsDistance from Gokarna Bus Main Stand, Banglegudda: Half Moon Beach is located approximately 5 kilometres away from the bus station in Gokarna."
3,Paradise Beach,"Also renowned as the Full Moon Beach, Paradise Beach is a great spot to relax away from all the civilization in the realm of nature. It a splendid place for those interested in camping and relaxing seeing the blue waves of the ocean crash against the rocks on the white sands. Swimming is one of the most surreal activities which you can indulge in after taking due precautions of safety from the strong currents of the ocean.One can reach this beach after a small hiking adventure from the Half Moon Beach in Gokarna. It can also be reached via a motor boat. This beach was once a popular hotspot for trading weed and many foreigners flocked here. However, now all the commercial activities are prohibited here. There are also not much of water sports, but tourists can bask in the serene surroundings and relax and unwind at Paradise Beach.Location: Paradise Beach, Gokarna, KarnatakaBest Time to visit: Paradise Beach is best to visit from the month of October to March for tourists.Timings:  The beach can be visited from the time of sunrise to sunset every day.Activities: Camping, swimming,Distance from Gokarna Bus Main Stand, Banglegudda: It is around 8 kilometres away from the bus station."
4,Namaste Café,"Namaste Café is one of the most eminent attractions in Gokarna located on Om Beach. This beach front restaurant offers an ideal space for tourists who want to dwell on the splendid views of the sea with a spectacular plate of food on their tables. Whether you fancy a quiet stroll to feel the sands on the beach or wish to relax in picturesque vistas, Namaste Café is the place to be. This serene property offers a lot of stay options where you can just relax and unwind in Gokarna. It offers unrestricted access to the beach and is an ideal pick for backpackers and budget travellers. The café also offers exotic dishes to get you in the beach bumming mood along with offering compact rooms to make your stay pleasant in Gokarna.Location: Om Beach, Gokarna, KarnatakaBest Time to visit: Tourists can visit Namaste Café anytime throughout the year.Entry fee: A room at Namaste Café costs INR 1080/ USDTimings: The check in time is 1 pm while the check out time is 11 am.Distance from Gokarna Bus Main Stand, Banglegudda: The distance between the two places is 6.3 kilometres."
5,Mirjan Fort,"Mirjan Fort is a majestic masterpiece of architecture that one can find standing gloriously on the banks of Aghanashini river. The fort has many historical events associated with it which makes it a delight for history buffs in Gokarna. It is believed to be built under the patronage of Queen Chennabharadevi, famously known as pepper queen of India in the 16th century. This fort which was once an important centre the spice trade was later captured by the British who used it for their armoury.It is encompassed by a mesmerising landscape and maintained by the Archaeological Survey of India. This magnificent fort in Mirjan speaks of the great history of the region and housed some intriguing artefacts like Chinese Porcelain, clay tablets with Islamic inscriptions and gold coins attributed to Portuguese Viceroy Conde De Sarzedas that were excavated by ASI in 2001.Location: Mirjan Fort, talluk, Mirjan Fort Road, Mirjan, KarnatakaBest Time to visit: The fort can be visited throughout the year by tourists. However, the monsoon months are preferred to witness the breathtaking greenery around the fort.Timings: 9:00 am to 5:00 pm are the visiting hours at Mirjan FortDistance from Gokarna Bus Main Stand, Banglegudda: It is 22 kilometres away from Gokarna bus station."
6,Koti Tirtha,"One of the most sacred places to visit in Gokarna, Koti Tirtha is a popular man-made tank that holds great reverence among the locals and tourists. This tank is encompassed by beautiful temples all around and used for ritual bathing and immersing idols. As per one popular legend in Gokarna, Koti Tirtha is believed to be the origin of a thousand springs.Koti Tirtha is situated close to the famous Mahabaleshwar Temple and attracts pilgrims who visit the temple to perform rituals and pay respect to the ancestors. This sacred pond is used by devotees to take a bath and offers a quaint spiritual ambience for all those who seek a religious rendezvous.Location: Koti Teertha, Kotiteertha, Gokarna, KarnatakaBest Time to visit: It can be visited throughout the year.Timings: The timings to visit here are from 12:00 am to 12:00 pmDistance from Gokarna Bus Main Stand, Banglegudda: It is just 700 metres from the bus station in Gokarna."
7,Nirvana Beach,"If you’re looking for offbeat places to visit in Gokarna, then you should add Nirvana Beach to your itinerary for the trip. This beach is secluded from the throngs of crowds and offers recluse to those who wish to have some beach time to enjoy the peace and quiet. People here can dive into the cool blue waters and enjoy a refreshing getaway.One of the gorgeous features of this beach is the beautiful stretch that makes it an absolute delight for watching the sunset and sunrise. It is quite isolated and one can look forward to have a great time with friends and family whether it’s for a picnic or other fun activities on the beach. With beautiful surroundings and its tranquil setting, Nirvana Beach is one of the most serene places you will see in Gokarna.Location: Nirvana Beach, Kumta, KarnatakaBest Time to visit: The ideal time to visit this beach in Gokarna is from November to February.Activities: Swimming, picnicking etc.Distance from Gokarna Bus Main Stand, Banglegudda: The distance between the two places is approximately 10 kilometres via a ferry."
8,Bhadrakali Temple,"If you’re looking for the religious places to visit in Gokarna, then Bhadrakali Temple should definitely be on your list. Dedicated to Goddess Uma who is the main deity, this temple is a popular pilgrimage centre. It is a popular legend which says that when a demon known as Vetrasur seized control of the three lokas, the trinity of Lord Vishnu, Lord Brahma and Lord Shiva created a female warrior called Durge. She was given various powers by the gods to defeat the demon and after that Lord Shiva re-christened her as Bhadrakali. She was sent to Gokarna and now believed to be known as the protector of the town. Another legend associated with the temple says that Lord Cishnuto requested the goddess to stay in Gokarna after Ravana abandoned her.Location: Sri Bhadrakali Temple, Main Rd, Gokarna, KarnatakaBest Time to visit: The temple can be visited any time throughout the year in GokarnaTimings: Bhadrakali Temple is open from 5:00 AM - 12:00 PM and 4:00 PM - 9:00 PM Distance from Gokarna Bus Main Stand, Banglegudda: It is just 650 metres (approximately 8 minutes) away from the bus station in Gokarna."
9,Mahabaleshwara Temple,"Showcasing the brilliance of the classic Dravidian architecture, Mahabaleshwara Temple is one of the must visit Gokarna tourist places. The 4th century temple in Gokarna is most famous for its Shiva Linga known as Atma Linga that is worshipped here and also known as Dakshin Kashi, often being paralleled to the Shiva Temple at Varanasi. This major temple in Gokarna has a 1500-year-old deity that is carved stone of Lord Shiva. If you’re seeking a spiritual retreat, Mahabaleshwara Temple in Gokarna will refresh your soul and offer a peaceful retreat with the Almighty. According to one popular legend, it is believed that the deity of the temple will bestow immense blessings to devotees to those who just get a glimpse of it. For fans of art and culture too, Mahabaleshwara Temple is a beautiful masterpiece for the tourists to appreciate.Location: Koti Teertha Road, Kotiteertha, Gokarna, Karnataka Best Time to visit: The temple can be visited anytime throughout the year.Timings: It is open from 6:00 am to 12:30 pm and then from 5:00 pm to 8:00 pmDistance from Gokarna Bus Main Stand, Banglegudda: It is just 600 metres away from the bus station in Gokarna."
