,Name,About
0,Virupaksha Temple,"The temple is so constructed that its main entrance faces east and homes to two courtyards. No sooner you enter the temple, there is a statue of Nandi with three heads. There is a pillared hall in the center which is reckoned as the Ranga Mandapa.In case you are an international traveler, you have to register yourself at a police outpost with all your essential details. Mostly, this temple remains crowded in December; whereas it celebrates its annual festival in February and it is one of the best places to visit in Hampi.Location: South banks of Tungabhadra river, Hampi, Karnataka 583239Timings: Virupaksha temple is open for the visitors from morning 9:00 am to 13:00 pm. After about 4 hours, again the doors are open visitors from 17:00 pm to 21:00 pm.Price: There are no entry fees. However, you can hire a guide to give you complete information about the temple at its footsteps for a nominal charge of 50 INR."
1,Vijaya Vittala Temple,"Vijaya Vittala Temple or Vijaya temple of Hampi amongst the ancient Places to Visit In Hampi worthy of visiting. There are fantastic stone structures all around, and the pillars here appear as if they are playing music.This is true architectural excellence of Hampi as it exemplifies remarkable creativity and the beauty of architecture’s imagination. The architecture of this temple dates back to the Dravidian era and reflects South Indian traits.Three towering gateways are encircling the temple along with high compound walls. Maha Mantapa, Stone chariot, musical pillars are amongst the tourist attractions of this Vijaya Vittala Temple.Location: Hampi, Karnataka 583239Timings: The doors of Vijaya Vittala Temple are open from morning 08:30 am to evening 18:00 pm.Price: There are no entry fees to this templeCheck Out: 10 Best Resorts in Hampi for an amazing stay"
2,Lotus Mahal,"Lotus Mahal or Kamal Mahal exhibits an explicit architectural design amongst all the other Hampi tourist places. It is so called as it more or less resembles the shape of a lotus flower.Central dome of this Mahala resembles the bud of lotus and the balcony and passages as petals. The roof illustrates a multi-layered design reflecting and Indo architectural style. There are around 24 pillars to provide excellent support to the arched windows of this palace.Location: SH 131, Hampi, Karnataka 583239Timings: The Lotus Mahal Hampi is open for visitors from morning 08:00 am to evening 06:00 pm.Price: The entry fees of Lotus Mahal Hampi is fixed at 10 INR per Indian, 250 INR per foreigner and no charges for children below the age group of 15 years.Popular Reads: Best Trekking Tours in Hampi for an adventurous experience"
3,Yantrodharaka Hanuman Temple,"Yantrodharaka Hanuman Temple is present at a distance of around 2km from the famous Virupaksha temple. This temple is a part of a cave standing at the peak of a hill and is dedicated to the Hindu deity Lord Hanuman.Also, the Tungabhadra river flows through the steps of this hill. Here, you can find Lord Hanuman indulged in a state of deep meditation. Within a distance of five minutes from here, you can find another temple dedicated to Lord Srinivasa. In case you feel hungry, you can approach small stalls nearby selling either mangoes, biscuits or cucumbers.It is best if you plan on your itinerary to this place in between October to March.Location: Hampi, Karnataka 583239Timings: You can visit this temple at any point during the daytime. It takes around one hour to cover your entire visit here.Price: There are no entry fees here. Also, you can easily take in your cameras here to capture some beautiful pictures of this place."
4,Hampi Bazaar,"When you have a day reserved at leisure, do not forget to try a shopping hand at the Hampi Bazaar. It spreads more than a kilometer and the road that passes through this market exhibits pavilions on both roadsides.Alternatively, this shoppers stop is known as Virupaksha Bazaar which is one of the best Places to Visit In Hampi,  Towards the eastern side, you can find a street to be occupied by the local villagers. There is a large Nandi bull statue at the east end of this Hampi Bazaar street. Nearby pavilion exhibits photos of Hampi right from the ancient times.Location: Hampi Bazaar St, Karnataka 583239Timings: You can stop and shop at any time from morning 06:00 am to night 11:00 pm.Price: No one is going to charge you any expense for your visit to Hampi Bazaar. However, if you are a shopaholic, do not forget to carry a reasonable sum as the place has many things to attract your tender heart."
5,Hippie Island,"Another area which is amongst the most visited Places to Visit In Hampi is Hippie Island, named after its vibrant culture. Virapapur Gadde is a small island located across the Tungabhadra River. Known to be a backpacker’s delight, this island is stunning and is popular amongst the locals as well as tourists for its laid back ambience and cosy lodges. Tourists can spend their time relaxing at one of the many cafes and shacks, like Green Garden Restaurant, Laughing Buddha Café, etc. while gorging on great food, and soaking in the view of beautiful rice paddies. This location is also known to be a centre for people to conduct sunset jam sessions with musical instruments for a fun party-like atmosphere. Location: Virupapurgaddi, Hampi Island, Sanapur post, HampiTimings: Daily 7:00 a.m. to 8:30 p.m. Price: Around INR 1,000 per day"
6,Enjoy the Coracle Ride,"Coracles are circular boats which are native to this region. Also known as a country boat here, it can carry around six to eight people at a time. It is an activity you should enjoy at least once in your lifetime. For an experience like no other, you must enjoy the Coracle Ride when you are in the historical city of Hampi. The Tungabhadra River region is one of the best Hampi Tourist places. And whilst you are here, you can rent a coracle at really affordable prices and cross the river in it. These have been an important means of transportation in Hampi ever since the early 15th century. Location: Tungabhadra River, HampiTimings: Daily 6:00 a.m. to 6:00 p.m. (between January to March, October to December) Price: INR 50 to INR 100 per personPopular Reads: Best Camping Tours in Hampi for adventure"
7,Queen's Bath,"Reckoned as a large bath of Hampi, Queen’s Bath exemplifies the Vijayanagara's architectural excellence. It lies close to one of the most awful places to visit in Hampi- the Royal Enclosure.Although built around 500 years ago, this magnificent structure still remains intact in its construction. It’s simplest exterior perfectly blends with an ornate interior to embrace its overall appearance.It a rectangular building admeasuring around 30 square meters and has a large sunken bath at its center. It may interest you to find arched corridors all around this Royal bath.Location: Karnataka 583239Timings: Queen’s bath is open for visitors from morning 08:30 am to evening 06:00 pm.Price: Entry to the Queen’s bath is free from all charges.Suggested Read: 11 Best Things to Do in Hampi to experience adventure"
8,Matanga Hill,"Out of all the places to visit in Hampi, Matanga Hill is the one which is most talked about. It represents the highest point of Hampi, and it’s a picturesque destination for the travel photographers to capture some aerial vies of Hampi.North portion of this hill terminates into Tungabhadra river where you have another religious place to visit-Kodanda Rama temple. Towards the south of this hill, you have a twisting valley with a zigzag Turthu canal. Low-lying Northern section exhibits a trekking trail that connects straightaway to Hampi bazaar.Location: Hampi, KarnatakaTimings: There are no specific timings to climb on the Matanga Hills. However, tourists make it a point to climb this hill early in the morning to capture the allure of sunrise and carry ahead with their downward journey in the evening after sunset.Price: Climbing Matanga Hill is absolutely free of cost."
9,Elephant Stables,"Elephant Stables is amongst the significant tourist places to visit in Hampi to witness a little to absolutely no destruction. It is a long building homing to a series of dome-shaped chambers which once were used for the parking of royal elephants.These chambers are around 11 in their total count; some of which are interconnected. The whole building gives a symmetrical appearance, and the central hall tower reflects the shape of most of the temples here. This central hall has five domes on either side of it which reflects an Islamic style of architecture.Location: Hampi, Karnataka 583239Timings: The doors of this Elephant Stables are open from early morning 08:30 am to evening 05:30 pm. It takes around an hour to complete your visit here.Price: There is an entry fee of 10 INR for Indians and 250 INR for foreigners. Entry for children up to the age group of 15 years is absolutely free of cost."
10,Monolithic Bull,"Situated at the east end of the Hampi Bazaar, the Monolith Bull or Nandi is a grand piece of ancient architecture that is housed in a two-story pavilion. This huge structure, which mythologically is the vehicle of Lord Shiva, is placed just opposite to the famous Virupaksha Temple. This Monolithic Bull, although partially mutilated, exhibits a coarse style of carving. The statue is so beautiful that it attracts a large number of visitors every day. It is also one of the frequently visited historical Tourist Places in Hampi. It is also surrounded by huge boulders and rock pillars. Location: Nimbapura, HampiTimings: One can visit the Monolithic Bull at any given time of the day. Price: No entry fee or photography charges"
11,Badavilinga Temple,"Badavilinga Temple is a beautiful temple of Lord Shiva and one of the most visited Hampi tourist places. It lies close to the Lakshmi Narasimha temple and homes to a beautiful Linga carved out of a black stone.The linga is around 3 meters high and dates back to the era of the Vijayanagar Empire. This linga lies within a small stone chamber of this temple with only a single narrow opening and is without a ceiling. The pedestal is circular in shape and reflects as the Yone Pitha of Lord Shiva Linga.Location: Hampi, Karnataka 583239Timings: Badavilinga Temple doors are open for the devotees from morning 05:00 am to night 09:00 pm.Price: There are no entry fees to make your visit here."
12,Zanana Enclosure,"Once reckoned as a secluded area for the Vijayanagara Kingdom’s royal ladies, Zanana Enclosure reflects a sprawling compound with tall walls. Lotus Mahal is the center of attraction of this place.You can either step in through its northern entrance or through its north-eastern entrance. Zanana Enclosure homes to three watchtowers each standing at eastern, south-eastern and northern ends of this magnificent structure.The entire architecture here reflects an Indo-Islamic style. Lotus Mahal, queen’s palace’s basement, treasure building, and water pavilion are some key attractions of this place.Location: Hampi, Karnataka 583239Timings: This place is open from morning 06:00 am to evening 06:00 pmPrice: Entry fee here is 10 INR per Indian, and for foreigners, it is 250 INR."
13,Lakshmi Narasimha Temple,"Most significant of all the religious statues in Hampi, Lakshmi Narasimha Temple is the amongst the next best Hampi tourist places to visit. Here, the figure of Lord Narasimha sits on a coil of a snake with seven heads in a Yoga position.This statue has an image of Goddess Lakshmi on his lap. It takes around one to one and a half hour to complete your visit here. The best time to visit this temple is in between October to February.Location: Southern end of Hemakuta group of temples, Hampi, IndiaTimings: You can easily make your way inside Lakshmi Narasimha Temple from morning 06:00 am to evening 06:00 pm.Price: There are no entry fees here. You can click photographs of the temple without any charges."
14,Daroji Sloth Bear Sanctuary,"You are going to find a lot of Indian Sloth Bears here at Daroji Sloth bear Sanctuary. Hillocks here are rough enough and are dotted with a lot of boulders. The Sloth bear count here goes to around 120. However, the sanctuary also accounts for other species.Tiger, Leopard, Mongoose, Pangolins, Star Tortoise, and Spotted Deer are some other animal species found here. This sanctuary alone exhibits around 90 bird species, 27 butterfly species, and a watch tower at the center.Location: Seetharama Tanda, Karnataka 583215Timings: Daroji Sloth Bear Sanctuary is open from 04:00 pm to 06:00 pm on all days.Price: For Indian tourists, the entry fee is 25 INR while the foreigners need to pay a sum of 100 INR. If you are eager to bring in your own two or four wheelers, you will have to pay additional charges accordingly."
