,Name,About
0,Amber Fort and Palace,"Located amidst the picturesque and rocky Aravalli Hills, Amber Palace is a not-to-be-missed place to in Jaipur. The foundation stone of this palace was laid by Raja Man Singh I and was completed by Mirja Raja Jai Singh. The beguiling beauty of the red sandstone and white marble adds to the magnificence.While the high formidable walls defended its residents from enemy attacks, the main building of the citadel served its people with all the luxuries and amenities.The scenic backdrop of the Maota Lake and panoramic views of sunrise and sunset contribute to the eternal beauty of this palace. Intricate wall paintings, frescos and the use of precious gems and jewels in these paintings add to its timeless beauty.Sheesh Mahal or the ‘Palace of Mirror’ is also one of the captivating halls to visit within Amber Palace. Decorated with numerous pieces of mirror tiles, this hall was designed in such a way, even a single ray entering into it can illuminate the entire hall.Location: Devisinghpura, Amer, Jaipur, Rajasthan 302001Timing: 8:00 a.m. to 5:30 p.m.Price:              -For Indians: 25Rs. (Inclusive of Entry & Camera )          -Foreign Nationals: 150 Rs. (Inclusive of Entry & Camera)How to Book: Jaipur City Sightseeing Tour-flat 30% off"
1,Nahargarh Fort,"To get a panoramic view of Jaipur city, Nahargarh Fort is the ideal place to visit. Built by Jai Singh II, Nahargarh Fort was originally named Sudarshangarh and was later renamed as Nahargarh or the Abode of Tigers. The then Maharaja of Jaipur constructed this fort in order to tighten the security of the region. It also served as a safety shelter to the British wives during the Sepoy Mutiny of 1857.Located on the rocky ridge of Aravalli Hills, Nahargarh Fort offers the most striking view of Jaipur’s scenic landscape. During the night, when the entire Jaipur city gets lit up, Nahargarh Fort offers the most sparkling view of the entire city.Rooms in this fort are connected through common corridors and are well decorated with delicate wall and ceiling paintings. The royal families also used this fort as a popular destination for their summer excursions and as one of their picnic spots in Jaipur. Jungles around Nahargarh Fort served as popular hunting places for the Maharajas of Jaipur.Location: Krishna Nagar, Brahampuri, Jaipur, Rajasthan 302002Timing 9:30 a.m. to 5:30 p.m.Price:          - For Indians: 10Rs (Adults)          - For Foreign Nationals: 50 Rs (Adults)How to Book: Nahargarh Cycling Expedition in Jaipur Flat 42% off"
2,"Hawa Mahal, Palace of the Winds","Hawa Mahal or Palace of the Winds, or also called Palace of the Breeze, is one of the important places to visit in Jaipur. Built by Maharaja Sawai Pratap Singh in 1798, Hawa Mahal is a five-storey extension in the form of a honeycomb. This unique building has 953 small windows, called jharokhas, decorated with intricate latticework. The entire palace represents the crown of the Hindu God, Lord Krishna.Even though this palace was built during ancient times, it reflects the scientific vision of Maharaja Sawai Pratap Singh in a distinct way. The windows of this palace have been designed in such a way that irrespective of the time or season of the year, cool breeze always persists inside the palace. Due to this reason, Hawa Mahal was the favourite summer holiday destination of the Rajput family and is today a popular place to visit in Jaipur.Another purpose of this palace was to prevent outsiders from catching a glimpse of the royal women. The incredible lattice of windows were designed in a way that it allowed a clear view of the outside world to the insiders, yet restricted outsiders from being able to stare inside the palace.Location: Hawa Mahal Rd, Badi Choupad, J.D.A. Market, Pink City, Jaipur, Rajasthan 302002Timing: 9:00 a.m. to 4:30 p.m.Price:           - For Indians: 10 Rs.           - For Foreign Nationals: 50 Rs           - Entry is Free on Monday and Closed on Friday"
3,Jal Mahal,"It was during the Rajput era that India has seen some of the glorious forts and palaces. Jal Mahal or the Water Palace is one of the classic names in the list of Rajputana architecture.Located in the middle of the Man Sagar Lake, this palace is also a fusion of Mughal and Rajput styles of architecture. Built in red sandstone, Jal Mahal is a five-storey building, of which four storeys remain underwater when the lake is filled. This, in turn, offers a breathtaking view of the palace and makes it one of the important Jaipur tourist places so if you are in Jaipur, Jal Mahal is one of the must-visit places in the tour list.Since the palace is located in the middle of the lake, traditional boats are used to reach the palace. The clear water of the lake and the scenic Aravalli mountain range dotting this palace, offer a splendid view of Jal Mahal.The location of Jal Mahal makes it an indigenous home to some of the colourful migratory birds, several species of fish and rich flora and fauna. Flamingo, Great Crested Grebe, Pintail, Kestrel, Coot and Grey Wagtail are some of the migratory birds that can be found around Jal Mahal.Location:  Amer Rd, Jal Mahal, Amer, Jaipur, Rajasthan 302002Timing: 6:00 a.m. - 6:00 p.m.Price: Free"
4,Jaigarh Fort,"Each of the palaces and forts in Jaipur is unique in its own way. Amongst all the forts and palaces in Rajasthan, Jaigarh Fort is the most spectacular in the list of places to visit in Jaipur. This fort is situated on the rugged promontory of the Aravalli Hills, called the Cheel ka Teela or the Hill of Eagles. If the majestic appearance of Jaigarh Fort has to be compared with other forts and palaces in Jaipur, it will surely stand ahead of most.Built-in the year 1726 by Jai Singh II, Jaigarh Fort is also known as the Fort of Victory. The thick walls of this fort are of red sandstone, run about 3 km, and are dominated by watchtowers. The granaries, water reserves and storage systems in this fort are the finest examples of ancient science and technology.Some of the best places to visit here are the Ram Harihar Temple, Kal Bhairav Temple and a museum that showcases primitive arms and ammunition. Once a popular cannon foundry of the Mughals and Rajputs, Jaigarh Fort is also home to Jaivana, the world's largest cannon-on-wheels.Location: Devisinghpura, Amer, Rajasthan 302028Timing: 9:00 a.m. to 4:30 p.m.Price:         - For Indians: 25 Rs (Adults)         -For Foreign Nationals: 75 Rs (Adults)"
5,Jantar Mantar Observatory,"Maharaja Sawai Jai Singh, the ruler of Jaipur was one of the best theorists of ancient India. After achieving the milestones of constructing the planned city Jaipur, as well as several other scientific and architectural epitomes, the Maharaja built five astronomical instruments to study space. These instruments were called Jantar Mantar, which means Calculating Instrument. The largest of these instruments is located in Jaipur and has been declared as a World Heritage Site by UNESCO.Jantar Mantar consists of fourteen geometric devices that measure time, predict eclipses, track the location of stars and the Earth’s movement around the sun. Samrat Yantra is the largest instrument in this observatory and it was used to forecast time. Plotting the shadow of Samrat Yantra, the time for eclipses and the arrival of monsoons can be calculated. Samrat Yantra is also the largest sundial in the world.Jantar Mantar now serves as one of the major Jaipur tourist places and a pioneering source to amateur astronomy students.Location: Gangori Bazaar, J.D.A. Market, Pink City, Jaipur, Rajasthan 302002Timing: 9:30 a.m. to 4:30 p.mPrice:             - For Indians: 50 Rs (Adults)            - For Foreign Nationals: 200 Rs (Adults)"
6,Chokhi Dhani,"While travelling across various places in Jaipur, you might miss out the chance to enjoy certain festive celebrations of Jaipur. If that is the case, you do not have to worry anymore! Just visit Chokhi Dhani and witness the liveliness of Jaipur's celebrations, as the celebration never stops in Chokhi Dhani! Chokhi Dhani is one of the best village resorts in Jaipur.Chokhi Dhani, the only five-star rated ethnic village resort in India, is one of the best places to visit in Jaipur.  Located in the neighbourhood of Jaipur, Chokhi Dhani is the replica of a traditional Rajasthani village. Chokhi Dhani opened its cultural door to tourists in 1989 and since then, it has been entertaining its visitors with all the colours of Rajasthan’s ethnicities.Restaurants in Chokhi Dhani serves traditional Rajasthani foods that can make your appetite grow larger than you can ever imagine. While the folk music and traditional dancers will make your feet tap to their rhythm, health club, swimming pool and spas in Chokhi Dhani will help you relax your mind. While in Chokhi Dhani, you can also witness the popular puppet shows of Rajasthan.Location: 12 Miles Tonk Road, Goner Mod Flyover, Sitapura, Jaipur, Rajasthan 303905Timing: 5:30 pm to 11 pmPrice:            - Rs. 750 / person Standard package.           - Rs. 950 / person Royal package           - Rs. 1200 / person for multi cuisine restaurant."
7,Birla Mandir,"The world-famous Birla Mandir temples are located at different cities of India which are quite prominent in all sorts. Birla Mandir in Jaipur also has significant place among the beliefs and traditions of the locals and recently, it has gained more power as a superior tourist destination as well. The Birla family is the reason behind the existence of multiple Hindu temples made of white marble or in red sandstone at different locations in India. It is located on an elevated platform at the base of Moti Dungari Hill in Jaipur. The construction of the Jaipur temple was started in 1977 and it was concluded in the year 1985 and after some months, the deity was invoked and the temple was opened for the public to visit. The temple is adorned with white shining marbles and the three huge domes represent three different approaches to the religion. At night the temple brightens more and exhibits its complete glory to the onlookers. It has several stained glass windows that show us the various scenes from Hindu scriptures. Lord Ganesh is sitting above the lintel and the images of Lakshmi and Narayan are highly attractive as they are made of fine quality marble.Location: Jawahar Lal Nehru Marg, Tilak Nagar, Jaipur, Rajasthan 302004Timings: 06:00 am to 12:00 pm and 03:00 pm to 09:00 pm on all days of the week.Price: No entry fee is applicable."
8,Jhalana Leopard Safari,"There are abundant places to see in Jaipur that offers you wildlife adventure. One is this one. Wildlife lovers can revel into a thrilling journey at Jhalana Leopard Safari, which houses more than 20 leopards.Thus, spotting a leopard is easy here. It's an open gipsy safari where you get to witness the most elusive cats in the wild. In fact, if you are fortunate enough, you may view a leopard within 5 minutes of your entry to the park.  Apart from Leopards, you can also view a large number of other animals as well as birds. The park is located in the center of the Pink city that will give you a real jungle adventure. Location: Malviya Nagar industrial area, Apex Circle, Malviya Nagar, Jaipur, Rajasthan 302017Price: INR 2100 (Approx)Timing: 2 hr 30 min activityHow to Book: Safari in Jhalana Leopard Conservation Reserve, Jaipur Flat 30% off"
9,Albert Hall Museum,"After the foundation stone of this museum was laid in 1876 to commemorate the visit of the Prince of Wales, there arose confusion about the usage of this hall. Plenty of suggestions came in asking for using this hall for educational or political use, none of which held good!In the year 1880, one of the local surgeons of Jaipur, Dr Thomas Holbein Hendley suggested to the then ruler of Jaipur, Maharaja Sawai Madho Singh II to open a museum within this hall. The Maharaja liked this suggestion and thus the Albert Hall Museum took shape.In the beginning stage, Albert Hall Museum displayed the products of local artists and craftsmen. With passing centuries, collections in this museum have increased to a great extent and have brought this museum to international level.This museum is also home to one of the six ‘Egyptian Mummies’ in India. This Mummy was gifted as a souvenir to the museum by the Brugsch Bey of the Museum of Cairo.Location: Museum Road, Ram Niwas Garden, Kailash Puri, Adarsh Nagar, Jaipur, Rajasthan 302004Timing: 9:00 a.m. to 5:00 p.mPrice:            - For Indians: 20 Rs (Adults)           - For Foreign Nationals: 150 Rs (Adults)"
10,Elefantastic,"Willing to take an elephant ride to feel all royal? Your visit to Elefantastic Elephant Farm will serve you well. This place houses one male elephant and 23 female elephants. It's an informative and exciting farm trip offers visitors recreational activities along with the awareness program on these giants. You will be able to appreciate an enjoyable elephant safari, shower with these animals, and also feed them. An ideal destination to make the most of your family holidays.Further, there is also an assortment of other small animals and birds at this attraction of Jaipur. Additionally, the farm has a provision for camping facilities. So, those who are searching for Jaipur sightseeing places where they can come face to face with natural wonders will like to invest the time at this farm.Location: 90, Delhi - Jaipur Expy, Chandra Mahal Colony, Amer, Jaipur, Rajasthan 302028Price: INR 4500Timing: Daily 9 am - 5 pm"
11,City Palace,"Located in the heart of Jaipur, City Palace is the most remarkable monument in the list of places to visit in Jaipur. Guarded by huge impounding walls, this palace is a fusion of Rajput and Mughal architecture.  Whether with its everlasting architecture or the enchanting decorations, City Palace has kept the amplitude of the Rajputs alive.Constructed during 1729-1732, under the supervision of Maharaja Sawai Jai Singh II, the City Palace boasts of very minute detailing. Chandra Mahal and Mubarak Mahal comprise the major portion of this palace. Udai Pol, Jaleb Chowk, Tripolia Gate and Virendra Pol are the entrances to this palace. Embossed with fine artworks and engravings, every corner of this palace is filled with immemorial imprints from the past.The entrance to Chandra Mahal is adorned with enticing peacock gates, which depict the four seasons and Hindu Gods through its splendid artworks. Diwan-i-Khas and Diwan-i-Aam of Mubarak Mahal served as gathering places of the Royals. Both of these halls are ornamented with crystal chandeliers.A portion of this palace has been converted into a museum, depicting the elegance of the Rajputs and is open to the public. Maharani Palace and Baggi Khana are the two most striking museums among these. Maharani Palace, which was once the royal hall of the Rajput queens, now displays the weapons and ammunition used by the Royal Family. Baggi Khana showcases the different carriages used by the Royal Families of Jaipur.Location: Tulsi Marg, Gangori Bazaar, J.D.A. Market, Pink City, Jaipur, Rajasthan 302002Timing: 9.30 a.m to 5 p.mPrice for Indians:                             - Adults: 40 Rs                             - Children (5 -12 yrs): 25 RsFor Foreign Nationals:                                       -  Adults: 300Rs                                       - Children (5 -12 yrs): 200 Rs"
12,Rambagh Palace,"One of the best places to visit in Jaipur, an outstanding attraction and a luxurious accommodation spot in Jaipur is Rambagh Palace, the former residence of the Maharaja of Jaipur and now it is reestablished as a hotel by Taj. The palace is located 8 kilometres away from the city of Jaipur on Bhawani Singh Road. It is a marvellous example of architectural brilliance and fine artistic values. The palace depicts the unique blend of Mughal and Rajput architecture. The first building on the site was a garden house came into existence in 1835 and in 1887, it was converted into a royal hunting lodge as it was surrounded by thick green forests during that time. But in early 20th century, the building took transformation again and became an astounding palace as per the designs of Sir Samuel Swinton Jacob. Then, Maharaj Sawai Man Singh II made the palace as his principal residence and started adding a number of royal suites to it in 1931. The opulent palace meets luxury at every nook and corner of it and the visitors come to stay at the palace cum hotel now will definitely get a chance to travel back to the glorified days of the kings and their families stayed at the palace for more than two eras.Location: Bhawani Singh Rd, Rambagh, Jaipur, Rajasthan 302005Timings: Since it is a hotel right now, you can go and book the rooms to stay there at any time.Price: Starts from 29,041 Rs"
