,Name,About
0,Pangong Lake,"Rather, the most sought after tourist destination is Pangong Tso in Ladakh region. It is the highest among the high altitude lakes in India which is filled with saline water but provides some awe-struck moments to the visitors with the unbelievable phenomenon of changing colours quite a number of times a day.
The reflections of the towering Himalayan peaks in the water add more charm to the lake. Currently, Pangong Tso is the favourite location for tourists as the banks of the lake give soothing bed to relax and the nearby places are enhanced by the beauty of this particular lake. The quiet lake is 134 km in length and 5 km in width is situated at an altitude of 14270 meters. But the major share of the lake lies in the area of China. Now, its recognition is spread everywhere in the world because it is termed as a wetland of international importance under the Ramsar Convention.
The highly saline water does not accommodate any water species not even micro-organisms. But the banks of the lake give space for several birds and animals very rarely seen in the other parts of India. It is an important breeding ground for many migratory birds as well.
Height: The lake is located at an altitude of 4250 meters above sea level.
Location: Pangong Tso is easily accessible as it can be reached after a five-hour drive from Leh and the travel would be on a rough and dramatic mountain road. You will cross the villages of Shey and Gya during the tour and go through Chang La as well.
Best time to visit: The months from May to September are the ideal time to visit the lake as the other seasons may cause challenges due to the heavy snowfall."
1,Nubra Valley,"Something divine makes Nubra Valley close to heart and it is not an exaggeration but a fact that experienced and shared by the countless tourists visited the paradisiacal location in Jammu and Kashmir. Without touching the spectacular roads of Nubra Valley, a Ladakh tour will not be complete. The tri-armed valley has Diskit Village as its capital. Ldumra, a magnificent name is the original name of the valley as the local scholars insist. Ldumra means Valley of Flowers. The large valley is formed after the merging of Shyok River with Nubra or Siachen River causing the separation of the Ladakh and the Karakoram Ranges. The valley is located 10000 feet that is 3048 meters above mean sea level and those who cross the Khardung La Pass can easily come to Nubra Valley from Leh.Except for the river beds, every other place in the valley shows scant vegetation and low precipitation levels. Most of the villages in the valley are occupied by Nubra skat speakers and in the villages, one can find lush greenery and farming which happen through the regular irrigation. Diskit is the place where native people are seen in abundance and Diskit Monastery is the centre of attraction as well. The Shyok River flowing on one side of Diskit has a captivating effect on the visitors. Nubra Valley unwinds a lot of surprising sights when you visit it and an unbelievable fact is that the valley was open to the public till Hunder until 2010. Beyond Hunder, it was the greener region in the lower altitude where the Turtuk village exists. Till 2010, the Government did not allow tourists to mesmerize themselves in the magnificent beauty of Turtuk where numerous apricot trees and other vegetation along with the tribal community were preserved as a virgin.Height: 3048 meters above the sea levelLocation: The paradisiacal Nubra Valley is located at a distance of 140 km from Leh and the main road access to the valley is through Khardung La pass where you have to show the photocopies of your travel permit to the soldiers camping.Best time to visit: The months from June to September is the perfect period to visit Nubra ValleyTo see the pure, rugged face of nature, One must visit Ladakh once in their lifetime."
2,Khardung La,"Controversies regarding the proclamation that Khardung La is the highest motorable pass in the world is not yet diminished but Ladakh travelers still believe that it is the highest and most adventurous pass in the world. Despite the controversies, Khardung La keeps on attracting hundreds of adventure seekers every year, be it bikers, trekkers or visitors. Nestled amidst the most reverberating surrounding, the ‘Pass of Lower Castle’ is located at an altitude of 17582 feet. Near to the pass, the collection of awesome valleys will lure you and along with the natural extravaganzas, the Tibetan prayer flags are an additional charm.
The pass was constructed in the year of 1976 and later in 1988, it was opened to public and from then on, the pass was inviting uncountable bikers, trekkers and tourists. It is maintained by the Border roads Organization as the pass is highly significant and important to India because it was once used to carry supplies to the Siachen Glacier. Recently, Khardung La became the hot potato of the town with a happy news that a ten member team of visually impaired people is going to conquer the pass through cycling in 2017.

Height: Khardung La is located at an altitude of 5359 meters. But there is an incorrect proclamation on the signboards appear here saying that the height of the pass is 18379 feet.
Location: The highest motorable pass in Ladakh is lying about 39 kms away from Leh. By road, one can reach the pass. The first 24 kms of the road are paved and from there to the North Pullu check post, the 15 kms of the road are filled with loose rock, dirt and occasional rivulets formed after the melting of snow.
Best time to visit: The season between May to October is the best time to visit Khardung La."
3,Tso Moriri Lake,"It won’t be exceeding at all how much you describe the beauty of Tso Moriri in Ladakh, a highly protected lake in Changthang Region and a significant portion of Tso Moriri Wetland Conservation Reserve.  It is the largest of all high altitude lakes in India especially in Ladakh and is located at an altitude of 4522 meters above the sea level. The length comes to 26 km north to south and 3 to 5 km is the width and the water is wholly brackish. 
The water to feed the lake comes from the springs and melted snow from the nearby mountains. There are two major stream systems to lead the water to the lake. One in the north part of the lake and the other comes in the southwest part. Huge, extensive marshes are seen at both the entrances of the lake. Rupshu Valley, a breathtaking area is the guardian of Tso Moriri along with an array of the lofty Himalayan Mountains in the surrounding.
The number of people come to witness the beauty of this splendid lake is lesser when compared to that of Pangong Lake. It is because of the secluded location of the lake. Hence, it is a favorite home town for many migratory birds. They come to breed here especially birds like great- crested grebe, the brown-headed gull and the Brahmin duck. The rare Himalayan hares are also abundantly seen near the lake. Thus, the declaration of the lake as a reserved area is a right option to protect these species from extinction. Less human interference would keep their lives strong.
Height: The lake is situated at an altitude of 4522 meters.
Location: You can reach Tso Moriri via road from Leh. It is 150 kms away from Leh Airport. Kalka Railway station is the nearest one to the lake. You will get buses and taxis from the station as well.
Best time to visit: May, June, July and August are the peak season when tourists come to Tso Moriri in large numbers and other months will be filled with snow and have extreme cold conditions."
4,Magnetic Hill,"Magnetic Hill is still a mystery yet a famed attraction that pulls the adventure lovers on a large scale toward it. A mystifying phenomenon which stunts the science and fiction together and exists as a magic to the normal people visiting here. Magnetic Hill is a trump card of every Ladakh tour because of the awe-struck moments it would promise the travelers. There is a sign board placed which says that the hill defies gravity completely and inviting everyone to experience the magical phenomenon.
 If you keep your vehicle in neutral at a position marked on the road and wait, you will be surprised to see the vehicle starts moving uphill at 10-20 km per hour. And this is the unexplainable feature of Magnetic Hill that confuses the world of science. It is located on Leh-Kargil-Baltic Highway and on the east, the beautiful Sindhu River is flowing calmly. Near the hill there is a Sikh Gurudwara maintained by the Indian Army. Due to the natural attraction as well as the human architectural brilliance, the hill has gained popularity in a short term. 
Not just the vehicles hitting the road but the aircrafts and helicopters crossing the radius which Magnetic Hill comes in would feel the same magnetic effect. If the aircrafts are going on a slow pace, then it starts jerking while they are in the circumference of the hill. So the only solution to escape from the clutches of this phenomenon is that the crafts should move at a greater speed.
Height: Magnetic Hill is located at an elevation of 14000 feet above the sea level.
Location: To reach the hill, you can hit the Leh-Kargil-Baltic National Highway and it is situated at a distance of just 30 kms from Leh town.
Best time to visit: The best time to visit the Magnetic Hill is from June to October."
5,Alchi Monastery,"After the endless mountain peaks, green valleys, high passes, monasteries in Ladakh are the prime factors behind the huge number of visitors to the paradise every year. Alchi Monastery, a group of Buddhist shrines is now a remarkable landmark and a must visit tourist attraction in Leh. The rugged valleys, uneven mountain terrains etc are creating a flamboyant view from the monastery and make the travelers feel elevated. Alchi is a part of the three villages that together constitute to the Alchi Group of Monuments.
History
Alchi Monastery and its current guardians are grateful the great translator Rinchen Zangpo who was the reason behind the construction of the monastery. He built it in the AD 1000 and there were 32 wood carvers and sculptors from Kashmir to help him. But when the Gelug sect decided to shift the activities to Likir Monastery permanently, it turned to be the administrative shrine of the Alchi Gompa, officially.
Structure of the monastery
Alchi Monastic Complex has three principal shrines named the Dukhang or Assembly Hall, the Sumtseng and the temple of Manjushri. Chortens have a special space inside the complex. The wall paintings seen inside are dating back to the spiritual and artistic nuances found in Buddhism and Hindu Kingdoms. Like we seen in other monasteries, here also, you will find the huge statues of Buddha and several wood carvings and art works appearing in Baroque style.
Location: The monastery is located in Alchi Village in the Leh District, 70 km from Leh.
Timing: May to September on all days: from 10:00 am to 01:00 pm and from 02:00 pm to 06:00 pm.
Entry Fee: For Indians: INR 25, For Foreigners: INR 50
Highlights: The views from the monastery have attracted a lot of film production sets. Good photographic location as well."
6,Royal Leh Palace,"A nine storey high building displays the influence of Potala Palace in Lhasa is the famed Royal Leh Palace that stands with its head high on a cliff top overlooking the ravishing Leh town. Leh Palace is a must visit during anyone’s tour of Ladakh region as it has been standing there as a symbol of the old glorious days of the royal family lived here. The top floors accommodated the members of the regal community and the low floors were occupied by stables and stores.HistoryIn the 17th century, King Sengge Namgyal led the construction of Leh Palace and it gained fame in a short span of time. Later, it was termed as an architectural icon and the symbol of pride and glory of Leh. The history says that during the time when Dogra forces took control of Ladakh, Leh Palace was abandoned and the members of the family were asked to move to Stok Palace. The Archeological Survey of India has restored the valuable ruins of the palace and opened to the public as a remarkable tourist attraction.Structure of the palaceThere is a monastery behind the palace which is a part of the palace and there you will find the statue of a seating Buddha in there in the monastery behind the palace. On the walls of the palace, you will see the old pictures and paintings including Tibetan thangka.Timings: The palace is open to the public on all days from 07:00 am to 04:00 pmEntry fee: For Indians: INR 20 and for Foreigners: INR 100Location: Leh Palace is closely located to the town. Visitors can reach the palace by walking from Leh town as it is about 5 kms away from there."
7,Hemis National Park,"Around 4400 sq.km is the area the prime attraction of Ladakh spreads into. We are talking about the renowned Hemis National Park named after the popular monastery in the region that is Hemis Monastery. The very rare species of wildlife is the reason behind its global recognition. Bharal and snow leopards are examples for the unseen animal collection found in Hemis National Park. The park is located on the west bank of the Indus River. 
The animals, the flora, the birds and the nature in the park and its vicinity are coming under the highly protected areas and this is the only place in India where the protected snow leopards are seen in abundance. The Rumbak and Markha catchments were found to be protected with the discovery of the park in 1981 and it grew into 4400 sq.km in 1990 and becomes the largest national park in South Asia. Argali or the Great Tibetan Sheep, Shapu etc are the supporters of the prey base for the predators in Hemis. Asiatic Ibex, the Tibetan Wolf, the Eurasian brown bear and red fox are some of the endangered species found before and some are still present in the park. The crucial problem faced by the park is the regular animal-human conflicts because over 1600 people are living inside the park boundaries, mainly pastoralists living with poultry farming, goats and sheep.
Height: The elevation at which the park exists is 3000-6000 meters above the sea level.
Location: The park is located about 5 kms from Leh and Leh Airport is the closest airport to the park.
Best time to visit: To reach the park there are a number of trekking routes opened from Mid-June to Mid-October. But the best season to spot snow leopards is of course, in late winter."
8,Spituk Monastery,"Spituk Monastery in Ladakh has another name that is Pethup Gompa, very famous among the locals. It is located at a distance of 8 km from Leh and there are 100 monks inside the gompa. The major attraction at the monastery is the giant statue of Goddess Kali. The Buddhist monastery is at a site which was blessed earlier by Arhat Nyimagung.History     	Spituk Monastery was founded by Od-de. He was the elder brother of Lha Lama Changchub Od. When he came to Maryul, he built the monastery and introduced the monastic community. But Lotsewa Rinchen Zangpo on his arrival said that an exemplary religious sect should be there and thus the name of the monastery was changed to Spituk which meant exemplary.Structure of the monasteryThere are three chapels in the gompa with numerous statues of Buddha and several thankas as well. The Dukhang Hall is the highlight and the two rows of seats running to a throne at the end are also something unique found here. Visitors will come across the beautiful sculptors and chortens.Location: The monastery is perched on a thrilling hill top near Indus and about 8 kms away from Leh on Srinagar road. It is at an elevation of 3307 meters.Timings: It is open on all days from 08:00 am to 01:00 pm.Entry fee: INR 20 per personHighlights: Gustor Festival held from the 27th to 29th day in the eleventh month of the Tibetan Calendar and it is for two days with mask dance and prayers. Usually, the festival falls on winter time which guarantees the presence of natives in large but the number of tourists would be comparatively lesser."
9,Visit to the Hall of Fame,"Hall of Fame is a proud displayer of Indian Army simultaneously acts as the symbol of those dark days of India’s war against Pakistan. The museum that showcases seized arms and weapons of Pakistan army is located in Ladakh, the paradise of adventure lovers lying in the beautiful Himalayas. Moreover, the museum is considered to be a tribute to the brave soldiers who lost their lives during the war. To make it more appealing, the Indian Army has kept the photos and the things of those soldiers inside the museum. Also, the arranged items related to the history and culture of Ladakh, wildlife and vegetation have importance and amuses the visitors definitely. 
There are things which enhance every Indian’s patriotic feelings as well as they let us appreciate the bravery shown by every Indian soldier during the wars, from the heart. Different quotes, letters written by the soldiers, the tools, aircrafts, weapons, tents and what all the soldiers have used during the period are preserved which give every visitor a minute to think and pay tribute to those brave hearts who lost their lives to help every one of us sleep in peace. Located next to Leh Airfield, the museum is opened on all days. Every day, visitors will be able to watch a detailed documentary on Operation Vijai or Kargil War screened.
Entry fee:  For Indians: INR 10, for Foreigners: INR 50
Timings: 09:00 am to 01:00 pm and 03:00 pm to 07:00 pm
Highlight: Evening parade or march is a major event happening here 
Location: 4 kms from the main town, on the way to Magnetic hill via Leh Srinagar Highway.
Tips: Camera and video are allowed inside but at an additional cost."
