,Name,About
0,Marine Drive (22 km from Mumbai Airport),"Popularly referred to as the Queen’s Necklace, Marine Drive is a 4 km long promenade located in South Bombay. One of the most beautiful roads in Mumbai, a birds-eye view of this stretch looks magnificent at night with the lights making the entirety resemble a queen’s necklace. This beautiful place in Mumbai comes alive in the evenings when people relax and admire the brilliant view or take a walk on the promenade overlooking the Arabian Sea that is surprisingly therapeutic to the soul. Chai-wallas, chat-wallas are added bonuses to the place making it another must-visit tourist place as well as an important part of the Mumbai nightlife.Large groups of people are seen crowding the place to walk along the lovely walkway and to witness the dazzling sight of the setting sun at nightfall. The splendidly lined palm trees offer its guests an exciting background. Marine Drive is also alluded to as ‘Queen's necklace', due to the streetlights that make the road look like a string of pearls and create an illusion of a necklace. Marine Drive is considered as the best pathway for a night walk.Highlights: Witness the shining waters of the Arabian Sea and the astonishing frosty breeze stroking your hair alongside a long cluster of restaurants offering scrumptious snacks and beverages will definitely make your evening special. For the elderly one can visit Nana-Nani Park which is one of the popular Mumbai tourist attractions these days. The 3 km long Marine Drive is a characteristic cove and furthermore frames a bit of the well-known horizon of Mumbai. It approaches a portion of the major corporate focuses, diversion exercises and furthermore places of excitement.Distance from Mumbai Airport: 22 kmEntrance fee: The entry is free of cost.Location: Mumbai, Maharashtra, 400004, IndiaTiming: Always OpenInsider Tips: Marine drive is also one of the best places to explore in Mumbai. This place is known as an inspiration for artists, musicians and poets who come here. Spend some time along with your friends while sipping a cup of tea and staring at the distant sea.Must read: Best Activities to Do in Mumbai"
1,Gateway of India (25 km from Mumbai Airport),"One of the most distinguishing landmarks that signify the city, the Gateway of India came into existence in the year 1924 during the British Raj to celebrate the arrival of King George V and Queen Mary to Bombay. The structure marks the area as one of India’s major ports which formally symbolised elements of British grandeur. Located in the waterfront area of Apollo Bunder, today it is one of the most popular tourist places in Mumbai for people from all over the globe who flock just for a glance at this monument. The Gateway of India is a landmark that denotes India's main ports and is a noteworthy vacation destination for guests who touch base in India surprisingly. At a certain point in time, this landmark spoke to the greatness of the British Raj in India. A most loved spot for visitors, these days, and this landmark pulls in vendors, food stalls and also the photography buffs. The passing of the First Battalion of the Somerset Light Infantry; was recorded as the primary headliner that occurred at the Gateway of India. The design plan of the Gateway of India is constituted of a vast curve, with tallness of 26m. The landmark is worked in yellow basalt and insoluble cement. The basic arrangement of Gateway of India is outlined in the Indo-Saracenic style.Highlights: One can also discover hints of Muslim building styles joined in the structure of the pretentious building. The focal arch of the landmark is around 48 feet in the distance across, with an aggregate stature of 83 feet. Planned with multifaceted latticework, the 4 turrets are the noticeable components of the whole structure of the Gateway of India.There are steps developed behind the curve of the Gateway that prompts the Arabian Sea. The landmark is organized such that one can witness the vast breadth of the blue blanket right ahead, welcoming and sending off ships and visitors.Distance from Mumbai Airport: 25 kmEntrance fee: The entry is free of cost.Location: Gateway of India is located at Apollo Bandar, Colaba, Mumbai, Maharashtra 400001Timing: 7:00 AM to 5:30 PM on all days of the weekInsider Tips: This time, while you visit and explore the amazing picnic spot in Mumbai, don’t miss your chance to taste from the local street food which is very popular here. Head out for a stroll near the tall amazing gate and click some memorable pictures with the stunning background as the sunset.Check out: Best Spots for Paragliding in Mumbai"
2,Colaba Causeway Market (26 km from Mumbai Airport),"From cheap road garments to in vogue boutiques, this path, which houses old structures from the British Raj, has it all. Colaba Causeway, also known as Shahid Bhagat Singh Road, is one of the best places in Mumbai for shopping and is a business road, and a noteworthy thoroughfare or land connect amongst Colaba and the Old Woman's Island in the city of Mumbai, India. While you can walk around the trails and search for garments, shoes, totes, and even gems in the most recent plans, you can likewise venture into one of the boutiques and take a gander at stunning decorations, garments, and so forth. The road merchants offer the most recent form at disposable costs, which can be expected all things considered. It is constantly great to invest some energy here; you never realise what take you will discover.  You may locate the ""fixed rate"" board composed of the city side shops yet one should know how to deal and cut down the cost. It resembles an extremely normal Indian Road bazaar. In the event that you investigate more, you can likewise get your name composed of a rice grain or, can get it engraved on a memento.Highlights:With the Gateway adjacent and the ocean holding your back, one can take a day away from work for trinket shopping and shabby Indian antiques, the whole mess of urban Indian lifestyle.Distance from Mumbai Airport: 26 km from Mumbai AirportEntrance Fee: No feeTimings: Opens from 10:00 AM – 10:00 PM.Location: Colaba Causeway market is located at Bakery Ln, Army Area, Nofra, Navy Nagar, Colaba, Mumbai, Maharashtra 400005Insider Tips: If you are looking for some good shopping spot in Mumbai then Colaba Causeway Market is the perfect place for you. Show your shopping skills while bargaining here at the market and buy some of the amazing stuffs here. You can also taste parsi, sindhi and european food here.Explore: 10 Best Waterparks in Navi Mumbai"
3,Juhu Beach (6 Km from Mumbai Airport),"Juhu can be defined as one of the largest and most sought after beaches in India. It is a hot-spot for elite celebrity homes and film personality sightings located in the suburbs of the city making it one of the most eminent tourist places to visit in Mumbai. Visitors all over the country love the beach for it is also a gastronomic paradise hosting stalls that serve up platters of lip-smacking street food. The sandy delight is most crowded during weekends where people can get entertained by horse and donkey rides, dancing monkeys, toy sellers and other kinds of amusement. Sightseers visit this shoreline in view of its serene climate and its grand excellence. Juhu Beach is additionally well known for its nearby indulgences and road nourishment. The sustenance slows down to set up here offer incredible cooking styles and nibbles things. Individuals in Mumbai visit this shoreline to unwind and appreciate the dreary day. This is one of the most famous Mumbai tourist places.Highlights: Soak in the dreamy sunset during the evening the huge Arabian Sea, is a fantasy like the vision for any individual who visits the shoreline. The road nourishments, like 'Pani Puri', 'Bhel Puri' and 'Pav Bhaji' are quite recently a portion of the numerous delights offered at the shoreline slows down. One can also visit the celebrated Italian restaurants here like Little Italy, Mangi Ferra, Don Giovanni, Penne, et cetera. Prominent ocean bottom claims to fame are served at these quality eateries sited close to the Juhu Beach. Here, one can visit bars and discotheques that are the adolescent joints of the zone.  The 'Gandhi Gram' is situated at the north end of the shoreline, which is a place where youngsters regularly make the most of their late spring excursions playing sports like b-ball, cricket, and football.Distance from Mumbai: Juhu Beach is around 5.9 km from Mumbai Airport.Entrance Fee: No Entry FeeLocation:  Juhu Tara Road, Juhu, Mumbai, Maharashtra, 400049, IndiaTimings: Always OpenInsider Tips: There is no doubt that Juhu beach is indeed a great hangout spot in Mumbai. While you are spending some awesome time with your friends at this beachhead out to the nearby beach stalls here. Try the exotic ‘Pani Puri', 'Bhel Puri' and 'Pav Bhaji' once and you will definitely go for a second time again.  Also, explore the statues of freedom fighters and other important figures here. What’s more, you can always jog along the sand to burn those extra calories.Must read: Beautiful Beach Resorts near Mumbai"
4,Siddhivinayak Temple (11 km from Mumbai Airport),"A Hindu temple dedicated to the Lord Shri Ganesh is a standing testament to beauty and architecture. Constructed in 1801, the temple entertains thousands of devotees every single day. Even Bollywood celebrities, as well as other prominent figures, climb up to the temple to seek blessings and offer prayers to Lord Ganesha that is its magnetism. In all, the temple is definitely among the popular tourist places to visit in Mumbai.The Siddhivinayak Mandir evolved from a little place of worship to the Grand Temple that stands today in the later 50% of the twentieth century. Temple glory was purchased not just by the lawmakers who frequented the sanctuary additionally Bollywood film stars who ceaselessly visit to look for the gifts of Lord Ganesha. Siddhivinayak is notable as ""Navasacha Ganapati"" or ""Navasala Pavanara Ganapati"" among devotees.It was Constructed on 19 November 1801, the first structure of the Siddhivinayak Temple was a little 3.6 m x 3.6 m square block structure with an arch molded block shikhara. The sanctuary was worked by the temporary worker Laxman Vithu Patil. The building was financed by a rich Agri lady named Deubai Patil. Childless, Deaubai manufactured the sanctuary so that the Lord should concede youngsters to other infertile ladies. Ramakrishna Jambhekar Maharaj, a supporter of the Hindu holy person Akkalkot Swami Samarth, covered two divine idols in the front of the directing god of the temple on the requests on his master.Highlights: As forecasted by Swami Samarth, following 21 years after the internment of the symbols, a Mandar tree developed at that spot with a svayambhu Ganesha in its branches. The 2550 temple complex had two 3.6 m Deepamalas, a rest house and living quarters for the overseer. It had a bordering lake 30 x 40 sq. m. in the measure on the eastern and southern sides of the sanctuary.The lake, dug by Nardulla in the mid-nineteenth century to counter the shortage of water, was topped off in the later years and the land is currently not some portion of the sanctuary complex. Around 1952, a little Hanuman place of worship was worked in the temple complex for the Hanuman symbol that was found amid the street expansion venture of Sayani Road close Elphinstone Road.Distance from Mumbai Airport :  11 km from Mumbai AirportEntrance fee: There are no entrance fees for entering the temple. The devotees can pay something of their own.Location: Siddhivinayak Temple is located at S.K.Bole Marg, Prabhadevi, Mumbai, Maharashtra 400028Insider Tips: The very well known Siddhivinayak Temple is another Mumbai tourist attractions that attracts a lot of people. If you are visiting the temple try to reach the temple by 4.30 AM for Morning Arti so that you avoid long queues. There is also another special queue for senior citizens.  Try to visit the temple during weekdays and also be careful with the children.You may also like: Mumbai Darshan"
5,Haji Ali (17 km from Mumbai Airport),"A paramount religious site and one of the best places for sightseeing in Mumbai, Haji Ali is situated 500 yards from the shoreline in the middle of the Arabian Sea that houses the tomb of Muslim Saint Pir Haji Ali Shah Bukhari. This 400-year-old structure is not just marveled at for its intricate Indo-Islamic architecture; it is also a popular place of worship for people. Moreover, the local stalls outside the dynamic complex house some of the most delectable cuisines and specialties you can gorge on. It is a prominent stop on the Western line of the Mumbai local train hence making it easily accessible to the public. The structure of Haji Ali was on an arrangement of high rising rocks and was given its present day shape in the mid-nineteenth century after the Trust was lawfully framed as an element in 1916. Haji Ali Dargah is the complex that holds the tomb of the Muslim Saint Pir Haji Ali Shah Bukhari (R.A.). Alongside the tomb, there is likewise a Masjid at Haji Ali. This landmark has been the sentinel to the shores of Mumbai for quite a while. The structure has white vaults and minarets reminiscent of the Mughal architecture of the period and is a prominent historical monument of MumbaiHighlights: The Dargah is a renowned pilgrimage site of the Muslims. Non-Muslims are additionally permitted to visit the Dargah. The white-hued structure draws in guests in huge numbers. Around 10-15 thousand individuals visit the Dargah day by day. The number of devotees increases to 20-30 thousand, on Thursdays, Fridays, and Sundays. Lakhs of devotees visit the Dargah on the second day of Ramadhan Eid and Bakri (Eid-ul- Uzha), and amid which the pathway prompting the Dargah Complex resembles a Sea of Humanity.Distance from Mumbai Airport: 17 km from Mumbai AirportEntrance  Fee: No entry feeLocation: Haji Ali is located at Dargah Rd, Haji Ali, Mumbai, MaharashtraTimings: 5:30 am to 10:00 pmInsider Tips: Mumbai city has been always a fascination for all. While you are in Mumbai and visiting Haji Ali you will see the Dargah Complex. Lure your taste buds with some Kebabs, Mughlai Biryani, Hyderabadi fast food. Also, don’t miss your chance to witness the stunning sunset from Haji Ali Dargah.Suggested reads: Popular Places for Trekking near Mumbai"
6,Chowpatty Beach (20 km from Mumbai Airport),"Towards the northern end of Marine Drive lies one of the most seasoned seafronts called Chowpatty Beach, which is acclaimed for its bazaars and dinners.  Here one can find hundreds of salesmen are seen walking over the shoreline to sell various items of things, particularly on Sunday nighttimes.One can see stalls highlighting fast food and snacks, like Bhel Puri, Pav Bhaji, and so forth are set up in the territory each and every day. Going further down the path, is Walkeshwar, an exceptionally well-off and elegant range that gets its name from the popular and very loved Walkeshwar Temple. Keeping in mind the end goal to see the most extreme festival soul of the Mumbai's group on this shoreline, the ideal time to visit is amid Ganesh Chathurthi, the greatest occasion of just for the city and state by and large. One can discover beach vendors selling toys and local dishes like spicy raw mango, roasted peanuts and Mumbai fast-food (or chaats).Travellers who visit Mumbai make it a point to visit this shoreline to encounter the quiet and peaceful climate. People come here with their loved ones to spend a few hours on this unwinding spot. A walk around Mumbai's Chowpatty Beach will promise you an affair of a lifetime.Highlights: While at the beach one can also see snake-charmers who entertain the crowds with their antics. A few of you who are interested to know about your fortune can reach the fortune-tellers there. Also, the people who head to the beach enjoy the horse ride, camel ride by the seashore. The beaches in Mumbai are an ideal place to perform Yoga ""Asanas"" and to go for runs. The merry-go-rounds, ferry wheels, Beebee weapon shooting exhibitions on the shoreline are fun open doors for the kids to invest incredible energy. One may even witness a film shooting or a road play being performed in this awesome shoreline.Distance from Mumbai Airport: 20 KmEntrance fee: The entry is free of cost.Location: Northern end of Marine Drive, South MumbaiTiming: Always OpenInsider Tips: Another favourite place in Mumbai which is visited by a lot of people is Chowpatty Beach. Known for as the favourite shooting spot, one can also get a chance to enjoy a street play here. One can also head out for horse and camel rides here. Don’t forget to taste the local dishes like spicy raw mango, roasted peanuts and Mumbai fast-food.You may also like: Best Places for River Rafting near Mumbai"
7,Worli Seaface (14 km from Mumbai Airport),"A favourite hangout situated south of the picturesque Sea link from Bandra, Worli Seaface is another one of Bombay’s promenades. It is one of the top places in the city for one to experience the epic monsoons that offer a remarkable view of the angry waves rising up onto the road. The magnificent view of the Bandra Worli Sea Link is another beautiful places in Mumbai that must not be missed. The Worli-Bandra Sealink which is generally called the Rajiv Gandhi Sagar Setu is found on Worli Sea Face. It interfaces the island of Worli to Bandra over the Arabian Sea. This place is an outright shocker on the off chance that you are searching for the places to see and is a famous place to visit in Mumbai for couples  The Worli Sea confront is the favoured place to remain of the Rich and Famous of Mumbai. The territory extends from Worli Fort in the north to Narayan Pujari in the south. Worli Seaface has been an astoundingly beautiful purpose of enthusiasm for a considerable length of time and is an extremely well-known shooting area for Indian Movies.Highlights: One of the busiest out of all the Mumbai tourist attractions is the promenade at the Seaface. It is ideal for Morning or Evening walks. Amid a tempest, the waves will surge into the terrain making an exciting environment that makes hundreds of people visit this place even during bad weather.Distance from Mumbai: Worli Seaface is located at a distance of 13.4 km from Mumbai Airport.Entrance Fee: No Entry FeeLocation: Worli, Mumbai, Maharashtra, 400030, IndiaTimings: Always open.Insider Tips: If you are looking for some refreshing jog in the morning then head out to Worli Seaface. This whole place can be best enjoyed during the monsoons.Must read: Amazing Monsoon Things to Do around Mumbai"
8,Chhatrapati Shivaji Terminus (25 km from Mumbai Airport),"Chhatrapati Shivaji Maharaj Terminus is one of the UNESCO World Heritage site. It is a historic railway station and headquarters to the Central Railways. Built in May 1888, the place is popular for its wonderful architecture.  This Place is Mumbai's point of interest among youngster.Highlights: The site is a fine illustration of Victorian Gothic Revival architecture in the country. It is operated by Central Railway Zone of India having 18 platforms in total. The main highlight of this station was the filming of the song ‘Jai Ho’ from the movie “Slumdog Millionaire” in 2015 and also in the movie “Ra-One”. It was also featured in, World’s Busiest Railway 2015, a show aired on BBC Two.Distance from Mumbai Airport: It is 25 km from Mumbai AirportEntrance Fee: No Entry FeeLocation: It is located at D.N Road, Mumbai.Timings: Always OpenInsider Tips: It is one of the most Busiest Railway, Therefore expect a huge rush on anytime you visit"
9,Goregaon Film City (14 km from Mumbai Airport),"The Film City is one of the main highlights of Mumbai thus making it one of the most favorite tourist places to visit in Mumbai. Well-equipped with a multitude of studios that house artificial mountains, lakes, gardens, cities, and villages, which make it difficult to distinguish real from fake, the film city is a dream world for tourists everywhere.Built by Dada Saheb Phalke under the renowned veteran actor, director V. Shantaram, the film city dating back to the early 20th century resides in the outskirts of Goregaon near the Borivali National Park. The Film City is built by the Maharashtra Government which gives an extensive variety of concessions and offices to the film businessIt is accepted to be one of the biggest on the planet and a fascination in itself. Its contamination-free foundation, tranquil condition, and enormous open space give individuals of all age gatherings to meander around in peace and respect and welcome every most recent improvement and advancements place congruously in one place. While you are visiting the film city there will be various full day as well as half-day Bollywood tours which will be given to you.All the tours show different clippings from Bollywood motion pictures, dubbing acts, light and sound experience and so on. Diversely evaluated tickets are charged for various visits and Indian and remote nationals.Highlights: There are various tours available to visit Film City like Dream Tour, Studio Tour, and Live Show Tour.Distance From Mumbai Airport: 14 Km from Mumbai AirportEntrance Fee: The entrance to the film city is free of cost.Timings: Opens from 10:00 AM–11:15 PMLocation: Film city is located Inside Dadasaheb Phalke Chitranagri Main gate, Post Aarey Milk Colony, Goregaon East, Mumbai, Maharashtra 400065Timings: Always OpenInsider Tips: Most of you might have already heard about the amazing Film city in Goregaon.  Get a chance to explore the amazing fake lakes and the scenic mountains. Also, you can head out for a picnic along with your loved ones and trek through the nearby villages there. Also, catch a glimpse of your favorite Bollywood Star while exploring the film city.Suggested Read: Best Homestays in Mumbai"
