,Name,About
0,Mysore Palace,"The second most famous attraction in India, first being the Taj Mahal, Mysore Palace is easily one of the most imposing architectural buildings in the country. It is amazing that the palace was only built in the 20th century and is the fourth structure to be constructed on the same location.Also known as Amba Vilas Palace, it is one of the seven palaces in the City of Palaces. Often mistaken for a Gothic structure, the Palace is, in fact, an exemplary showcase of Indo-Saracenic architecture with a blend of Gothic, Rajput, Hindu and Muslim styles and it is one of the famous places to visit in Mysore.There are four awe-inspiring arched gates to enter the massive garden area that engulfs the Palace. Some of the important places to visit here are the Ambavilasa, the Durbar Hall, and the Royal Howdah. The Palace is a spectacle come every evening when it is lit with approximately 97,000 lights. Location: Sayyaji Rao Road, Agrahara, Chamrajpura, Mysuru, Karnataka 570001, IndiaTimings: 10:00 AM to 5:30 PMSuggested Read: Fun Things to Do in Mysore."
1,Brindavan Gardens,"The Brindavan Gardens are located just a level below the Krishna Raja Sagara dam. It is a major tourist attraction for all the Mysore and KRS dam visitors. It is also regarded as one of the most beautiful gardens in the state of Karnataka.The most popular and exciting experience at this garden is the musical fountain that is scheduled in the eveningsBeing one of its kind, Brindavan Garden attracts tourists from across the world.Distance from Mysore: 19.9 Kms"
2,Sri Chamarajendra Zoological Gardens,"Treat the animal lover in you, visit Sri Chamarajendra Zoological Gardens at Mysore. Popularly known as Mysore zoo, this place makes it to the best of places to visit in Mysore. A number of school and college students visit this place periodically making it a popular educational trip location.While you are busy taking trips of various palaces, museums and temples in this city, Mysore zoo is an offbeat and enthralling destination that can engage you for an entire day.Location: Zoo, Main Rd, Indira Nagar, Mysuru, Karnataka 570010Timings: 8:30am–5:30pm"
3,Sri Chamundeshwari Temple,"Located on the top of the peak this is not only a sacred place but also caters to the 360-degree view of the city and one of the famous places to visit in Mysore. Homing the deity of Goddess Durga, devotees from all over the map come here to seek her blessings.The structure of the temple is adorned with intriguing pillars and the walls are carved with the sayings. Build back at the time of Maharaja’s this place is of utmost importance and is one of the most revered places to visit near Mysore. Temple opens from 7:30 am to 9:00 pm.Location: Sri Chamundeshwari Temple, Chamundi Hill, Mysuru - 570010 Karnataka, IndiaTiming: 7:30 AM to 2:00 PM, 3:30 PM to 6:00 PM, 7:30 PM to 9:00 PM"
4,Shuka Vana,"Established by the highly revered Dr. Sri Ganapathy Sachchidananda Swamiji, Shuka Vana is among the one-of-a-kind tourist places in Mysore and is aimed to be a rehabilitation center for birds. A great place for bird lovers and ornithologists, the park houses endless colourful and rare species of Parrots from all over the world.Shuka Vana also serves as a shelter for birds who are injured or uncared for. Interestingly, the park and Swamiji believe that parrots represent our planet according to our birth date. This place is the only one of its kind where you can experience a distinctive opportunity to being in the presence of so many astonishing bird species.Location: Avadhoota Datta Peetham, SGS Ashrama, Ooty Road, Datta Nagar, Mysuru, Karnataka 570025, IndiaTimings: 9:30 AM to 12:30 PM; 3:30 AM to 5:30 PM                closed on WednesdayRecommended Read: Amazing Places to Visit near Mysore"
5,Kishkindha Moolika Bonsai Garden,"One of the most famous gardens in Mysore, the Kishkindha Moolika Bonsai Garden has been made popular through the many varieties of bonsai plants that it houses. Regarded as one of the most peaceful places to visit in Mysore, the garden is a very popular spot for families traveling with children as it offers an extensive educational opportunity for kids to know about the many bonsai plant species.Established by HH Dr. Sri Ganapathy Sachchidananda Swamiji, the garden is spread across 4 acres of unbelievable natural beauty and approximately 100 species of bonsai trees.Location: Sri Ganapati Sachchidananda Ashrama, Mysore - Ooty Rd, Gundurao Nagar, Datta Nagar, Mysuru, Karnataka 570025, IndiaTimings: 9:30 AM to 12:30 PM; 3:30 AM to 5:30 PM, closed on Wednesday"
6,Karanji Lake,"Holding the meaning of a ‘fountain’- Karanji Lake is another place of extreme tourist attraction in this city of palaces. It is situated at the foot of Chamundi hills and was constructed by one of the kings of Mysore.It is the largest lake in the state of Karnataka with the total area of about 90 acres.It qualifies as one of the best tourist places in Mysore because of its scenic beauty. It is also a home for different birds that make your visit to this lake all the more blissful and exciting.Location: Chamundipuram, Mysore, IndiaTimings: 08.30 am to 05.30 pm                 Closed on TuesdaysAlso Check: Amazing Resorts in Mysore"
7,GRS Fantasy Park,"One of its kind in the city of palaces, GRS Fantasy Park becomes the most exciting and enthralling tourist destinations to be visited in Mysore. With a number of land and water rides, it is a hub that will surely excite kids and satisfy their adventure levels beyond delight.It is a one stop destination that will occupy your entire day and make it a fun filled experience. This awesome fantasy park is a bridge between the modern and historical Mysore that we all know off.Location: KRS Rd, Metagalli, Mysuru, Karnataka 570016Timings: 10:30am–6pm"
8,St. Philomena's Cathedral,"With a history of over 200 years, St Philomena’s church is one of the most popular tourist places in Mysore. Not just in Mysore but this church is a well-known tourist spot in the entire state of Karnataka. Take a break from exploring the history, sooth your mind at this divine tourist spot in Mysore.Initially built as a small church was then reconstructed by Maharaja Krishnaraja Wodeyar. It is one among the largest Cathedrals in the whole of South Asia.Location: Lourdes Nagar, Ashoka Road, Lashkar Mohalla, Mysuru, Karnataka 570001Timings: 5:00 AM to 6:00 PM"
9,Jaganmohan Palace Art Gallery and Auditorium,"Once famous as a home to the kings of Mysore, Jaganmohan Palace Art Gallery and Auditorium is housed within the Jaganmohan Palace which was established in 1861. It is one of the seven palaces in the city. Regarded as one of the most impeccable contributions of Wodeyar Kings, the palace, one of the most important Mysore tourist places, is now an art gallery as well as a function hall.The gallery boasts of one of the largest artefacts collections in southern India which makes it one of the significant tourist places in Mysore. There are over 2,000 paintings in the gallery denoting different styles of painting, including Shantiniketan and some Mysore style paintings.Location: Deshika Rd, opp. City Bus Stand, Devaraja Mohalla, Chamrajpura, Mysuru, Karnataka 570024, IndiaTimings: 8:30 AM to 5:30 PM"
