,Name,About
0,Nainital Lake,"One of the most beautiful lakes of the country, Nainital lakes is known for its exquisiteness. It is one of the four lakes of Kumaun Hills which includes the Sattal Lake, Bhimtal Lake and the Naukuchiyatal Lake besides the Nainital Lake. The famous lake finds its mentions in ancient scriptures and many poems by prominent writers. Naina Devi Temple is situated on this lake where it is believed that Sati’s eye’s fell to earth after her act of self-immolation.
The lake is surrounded by the green hills which give the town a mesmerizing landscape. Being a natural freshwater lake, all nature lovers find the lake a charming site to sit, relax and spend some quality time either by oneself or with their loved ones. Lately, environmentalists have cited worries regarding the health of this lake and preservation measures are gaining momentum to save this natural treasure.
Your visit to Nainital Lake will be incomplete if you do not try out the famous boat rides. The activity will give you a picturesque view of the Lake District and an opportunity to click great pictures. If you’re a morning person, we say you go for a walk around this beautiful lake with fresh air and rays of sun pouring through the clouds before you embark upon the day adventures in Nainital. And if you don’t like mornings, an evening stroll by the lake is equally charming with all the bright lights across the night sky.
The price of boating in the lake: Starting INR 150(30 minutes) Location: It is located in the city of Nainital which lies in Uttarakhand. The Sukhatal and Tallital bustands are nearby and thus you can choose to opt for roadways while travelling to the place in public transport."
1,Tiffin Top (Dorothy's Seat),"One of the popular picnic spots in Nainital, the Tiffin Top is a place where you can get enjoy the spectacular scenery of Nainital from its highest point. Also called the Dorothy’s Seat, it is located on the Ayarpatta Hills, offering a gorgeous 360 degree view of the Lake District. It was named Dorothy’s Seat by a British Army Officer in the memory of her wife Dorothy Kellet who died from septicemia.
The Kumaun Hills which surround this location give the place calm and serene scenery making it a delight for all visitors. If you love hiking, the Tiffin Top makes for an exemplary 4 km ride from the main city where you can go by foot or hire a pony that are easily available from the Mall Road. The horse riding up the hill is full of adventure and fun if you go with your friends and family. Other activities like Rapelling and Rock Climbing are also conducted in the Tiffin Top. However, most activities are recommended to be undertaken during the day to enjoy the experience.
The magnificent views and the panoramic landscapes offer an opportunity for photographers to capture one of the most amazing lakes and hills of the country. Nature lovers are sure to enjoy the beauty of this place which resonates with tranquility and exquisiteness.
Price:    -Free Entry.    -Round Trip Pony (Horse Riding) will cost between INR 500 to INR 700
Location: Ayarpatta, Nainital, Uttarakhand Best time to visit: You can visit the place any time you want as it has no time restrictions. You must consider the climatic conditions before going to the place."
2,Snow View Point,"If we check out the most visited tourist spots in Nainital, Snow view point is surely the most visited and loved spot by people all over. The mountain also has a temple to which residents worship. While you move in the cable rope, you can have a great view of the Nainital lake.  Location: The point is around 3 Km from the town of Nainital and you can travel there through either cable rope or your car. If you are comfortable, you can also visit Snow view point by walking there or book a taxi if you prefer it.  Highlights: From the top of the mountain, you can have a full view of the city which looks just marvelous. If you notice, there will be a place which says The highest mountain in the British empire. Before Sikkim became a part of India, Naina Devi was India's highest peak."
3,High Altitude Zoo,"The High Altitude Zoo, officially known as GB Pant High Altitude Zoo, is a one-of-a-kind zoo that is known for its intriguing location at 2,100 meters above sea level. Expanded across 4.6 acres of lush greenery, the zoo was built in 1984 and is one among the only three high altitude zoos in India. Home to numerous endangered and rare species of birds and animals, the zoo allows you to spot Royal Bengal tigers, Tibetan Wolves, the Himalayan Bear, Hill Partridge, Kalij Pheasant, and Red Junglefowl. Most of the inhabitants of the zoo are either adopted by animal organizations or individuals. Located between the Great Himalayas and the Shivalik Range, the zoo provides its visitors a spectacular landscape to admire and be lost in. Location: Tallital, Nainital, Uttarakhand 263002, IndiaHighlight: FaunaPrice: INR 50  for adults, INR 20 for children, INR 25 for still camera, INR 200 for professional video camera, Entry free for senior citizens and people with special needs"
4,The Mall Road,"Constructed during the British colonial rule, Mall Road is the primary road which goes through the core of the Nainital town parallel to the lake, interfacing the two closures of the town. It is now named as the Govind Ballabh Pant Marg. The road is one of the most vibrant places to visit in Nainital.
Mall Road has a number of hotels, travel agencies, banks, showrooms, department stores, shops, restaurants and cafes. You will find some of the best hotels and restaurants of Nainital located on the Mall Road.It is one of the busiest and crowded during the day time. Parking is prohibited and the road is closed for vehicles during the peak seasons so that the tourists can easily walk besides the lake on this famous road in Nainital.
With the cool wind blowing over the lake through the road, a night walk around the mall has its own particular appeal. It is a famous shopping center among tourists and provides a splendid view of the Nainital Lake. Some specialties which you can find here include unique candles in different shapes and sizes. Wooden artifacts and locally produced handloom products are also popular among the tourists.
Handicraft and gift items adore the shops here and a delight for tourists looking for shopping on a holiday.Also an interesting fact about this place is that many popular Bollywood movies like Kati Patang and Koi Mil Gaya were shot here.
Location: Mall Road, Nainital, Uttarakhand"
5,Eco Cave Gardens,"Situated within proximity of Nainital's famous Mall Road, Eco Cave Garden is one of those tourist places in Nainital which have gained importance in the recent past. A cluster of natural caves transformed into a cave garden, Eco Cave Gardens is home to 6 intriguing animal-shaped caves that offers children as well as adults an opportunity to experience several animals in an almost-natural habitat. Adorned with a musical fountain with audio-visual effects, the caves also have a series of exquisite hanging gardens along the caved pathways. Dedicated to the wildlife species of the Kumaon region, the Eco Cave Gardens is of high importance to Nainital tourism. Location: Sukhatal, Mallital, Nainital, Uttarakhand 263001, IndiaHighlight: Cave Gardens and children entertainmentPrice: INR 60 for adults, INR 25 for children, INR 25 for camera"
6,Naina Peak,"Situated at an altitude of 2,615 km, Naina Peak is known for its breathtaking bird's eye perspective of the town, the Himalayas and furthermore, the immense breadths of the Terai areas of Kumaon. The Nanda Devi Peak and the mountains of the Tibet border are visible from the top of this peak. Also known as the China Peak (before the 1962 Indo-China war), it is situated at a 10 km distance from the Tallital Bus Stand of Nainital. The famous place is one of the most recommended places to visit in Nainital on a vacation.
It is a delight for individuals who adore strolling. One can go for long strolls, breath fresh air and appreciate the picturesque excellence. Because of high elevation and rich green forest path, Naina Peak is likewise a most loved place in Nainital for trekking. The trek to Naina could be a little tricky, covering a length of 6 km from Mallital. One can reach the place by t riding a horse or by navigating the sloping ways. From Snow View Point or Mallital, one can hire pony or horses to visit this peak. 
No shops are accessible on the peak. In this way, it is best recommended for you to carry your own eateries and drinking water for your picnic. Enjoy a photography session as the place offers some of the best perspectives of the snow-clad pinnacles of Himalayas. The place is well-known among the travelers for its sentimental nightfall and dawn.
Location: Naina Peak, Nainital"
7,Lands End,"If you want to have a stunning view from a mountain top, Lands end is probably one of the best places to head. The best part about this spot is that visitors don’t need to climb much and can reach the place which is rightly named as Lands end.  Location: Lands end is at a distance of around 4 KM from the town. Transportation and reaching there is not a hassle and you can easily get to the place. You can walk up to the top or simply ride on a horse back to reach the Lands end.  Highlights: The view is something which people visit the place for. The top view from the mountain is exhilarating and lets you view the plains and the Khurpa Tal. Overall, the mountain is surrounded by beautiful villages and pine forests all over. The place will get you a nice touch with nature if you haven't had it lately."
8,Bhimtal Lake,"It is a famous lake located in the town of Bhimtal. The reason why it is so famous is because of the masonry dam built in the year 1883 which enabled a good storage facility. It has a catchment area of around 17.12 sq km which is quite large.  Location: The lake is located in Bhimtal, which is a famous town in Nainital. It is more than 22 km away from Nainital. If you want to reach a railway station from here, the nearest one is Kathgodam which is at a distance of 20 km from the lake.  Highlights: The Bhimtal lake is the largest lake in the region of Kumaon, which is popularly known as the lake district of India owing to the density of lakes present here. This lake helps in providing drinking water as well as makes sure that the different species of fishes are habitable here."
9,Sattal,"Sattal as the name says is a body of 7 freshwater lakes in the lower Himalayan range. The place is near Bhimtal which is a popular town in the district of Nainital. As the pollution level has grown in the recent times, Sattal is one of the few unpolluted and unspoiled freshwater biomes in our country.  Location: The river of the bodies is situated at and height of 1370 meters and it is right below the lush orchards of the Mehragaon village.  Highlights: The lake has oak and pine trees surrounding it which make the whole experience of visiting the lake better. If you are an avid birdwatcher, this place shall not disappoint you, you will find a lot of migrated birds in the vicinity.  Best time to visit: The best time to visit Sattal is probably during early mornings or just before dusk, it is the time when you will spot a lot of birds and find the calm."
10,Kilbury Bird Sanctuary,"Kilbury bird sanctuary is the ultimate destination for anyone who loves watching birds. Due to this reason, it is also called as the bird watcher's paradise.Most of the people who visit the place are frequent visitors who take time out of their lives to watch birds and fulfil their desires. This sanctuary is placed in midst of the reserved forest of Nainital.  Location: Kilbury Bird Sanctuary is at a distance of 12 KM from Nainital. You can choose to reach here through any convenient public transport or your private vehicle. Many affordable options like taxis are available from Nainital to bring you here.  Highlights: The bird sanctuary has more than 580 different species of birds which is a delight for all the bird lovers. Some of the most famous birds which are a part of this sanctuary include Brown wood owls, white throated laughing thrushes, forktails and many other birds."
11,Kainchi Dham,"One more religiously significant sites in the list of famous places to visit in Nainital, Kainchi Dham was built in 1962 by Neem Karoli Baba, the founder of Hanuman Garhi. A temple and an ashram, Kainchi Dam is engulfed by lush greenery and marvelous hills. Set alongside a glistening river, the temple is dedicated to Lord Hanuman and is visited by several believers and worshippers regularly. Made famous to the world by Ex-Apple CEO, Steve Jobs’ visit in the 1970s and followed by Facebook’s CEO, Mark Zuckerberg, the temple hosts a massive fair every year on June 15th which is attended by locals and visitors alike. Location: 17 kilometers from NainitalHighlight: Religious temple visited by Steve Jobs in 1970s."
12,Gurney House,"The former summer house of Jim Corbett, the British naturalist, tracker, and hunter, Gurney House is a heritage site and one of the most important places to visit in Nainital, especially for architecture enthusiasts. A short walk from the famous Mall Road, the 18th-century British house is surrounded by lush gardens and has been preserved to give its visitors a feel of how Jim Corbett lived here during the 1800s. Walking around the house, you can see some of Corbett’s prized possessions such as his books, furniture, fishing rod, trophies, and an African drum. Though there is no entry fee to the house, you must have an appointment to visit this colonial marvel.Location: Ayarpatta, Nainital, Uttarakhand 263002, IndiaHighlight: 18th-century architecture and furnishing."
13,St John's Church,"One of the most visited tourist places in Nainital, St John Church, also known as St John’s the Wilderness, is a breathtaking church constructed in the 1800s. Named by a bishop from Kolkata, the church takes you back to a historical era while giving you all the time to compose yourself and reflect within. A place of religious importance, the site is best enjoyed during a prayer service, especially for those seeking the Almighty. Built within the church grounds, the cemetery stands as an ode to those who lost their lives due to a catastrophic landslide. Photography may not be allowed inside the church itself, but the serene landscape surrounding the church is just as beautiful to capture and should not be missed.  Location: Nainital - Kaladungi Rd, Sherwani, Nainital, Uttarakhand 263002, IndiaHighlight: History and religion."
14,Jeolikote,"A quaint hill station within Nainital, Jeolikote is among the most peaceful sightseeing places in Nainital for travellers wanting to take a break from the hustle and bustle of the city and unwind themselves. Commonly known as the ‘Gateway to Naini Lake’, the area serves as a pitstop for tourists heading towards Nainital but it also makes for a great detour if you wish to explore the surrounding areas. Particularly a haven during hot, strong northern summers, Jeolikote offers stunning natural surroundings, butterfly spotting, and a chance to witness floriculture. The enchanting ambience and surreal beauty of this place also make it extremely popular among meditation practitioners.Location: 18 kilometres from Kathgodam on NH 87 towards NainitalHighlight: Hill station."
15,Nainital Ropeway,"One of the primary tourist places in Nainital, specifically for family vacationers, Nainital Ropeway sees hundreds of visitors daily. A three-minute ride over the spellbinding landscape of Nainital, the aerial ropeway takes you from Mallital, near Mall Road, to Snow View Point which offers one of the most astonishing views in Nainital. Constructed with Swiss technology, the ropeway offers a steep climb up and down the hill and can carry a maximum of 11 passengers in each of its two-cabin cars. While the market at the starting point of the ropeway offers an amazing opportunity to shop for candles and pinewood souvenirs, the Snow View Point, at 2270 meters above sea level, presents you with an unadulterated view of the Great Himalayas. Location: Ropeway Rd, Mallital, Nainital, Uttarakhand 263002, IndiaHighlight: Cable car and viewsPrice: INR300 return for Adults, INR 200 return for children aged 3 to 12"
16,Binayak,"Binayak is a beautiful retreat for all trekker out there and you must try it when you are on your vacation in Nainital. One can go for a trekking trip that lasts for about 3-5 days and enjoy the amazing landscapes with the scenic Himalayas in the backdrop.
If you like to experience adventurous hikes, Binayak is the place for you to get the adrenaline rush. It offers one of the most spectacular trails and the beautiful trees on the hills which will take your breath away.
Location: Binayak, Nainital"
17,Raj Bhawan- Governor’s House,"Built by the British as a residence for the Governor of then North West Province of India, the Raj Bhawan is one of the most recommended places to visit in Nainital. Raj Bhawan was built as a replica of Buckingham Palace built in Victorian Gothic style designed by the architect F.W Stevens.
Spread over 200 acres of land, this place is famous for its Golf Course which is counted as one of the vintage golf courses of India and many golf tournaments are organized here. Some other great places in the complex include a swimming pool, garden, Jhandidhar Modi Heights and Munshi heights.The lush green area is decorated by Deodhar and oak trees which give the place a serene landscape. The charm of British architecture and the calm and splendid scenery around the place makes Raj Bhawan one of the most famous tourist attractions of Nainital.The Raj Bhawan remains closed on Sundays and all other national holidays. The timings for visiting are 8 am to 5 pm/4 pm and 6 pm. It is located 3 km from Mall Road of the city. One can easily reach the place by walking or taking a rickshaw from Nainital Bus Stand.
Some facts include, it is the only Raj Bhawan open for tourists in India and post-independence, Sarojini Naidu was the first occupant of the place.
Price: Entry ticket of Rs. 20 per person
Location: Amghari, Nainital, Uttarakhand"
