,Name,About
0,Baga Beach,"Baga Beach in Goa looks as though it has come straight out of a work of art. Lofty white waves hurrying to wipe out the prints of feet left by you on the white sand while the breeze keeps on playing with the palm trees is a sight to behold at this majestic beach in Goa. 
It is a decent place to appreciate some moments and abide in a serene consideration with oneself. It is counted as one of the best beaches in Goa where you can see wonderful sunsets and at the same time appreciate the cool morning breeze. The shacks become animated in the late night with music impacting and astounding client service at the party places in Baga Beach. It is also a center point to experience daring water sports and famed for drawing in a huge number of sightseers every year.

Water Sports: Banana Ride, Dolphin Trip, Water scooter, windsurfing, Jet skiing, Motor boat ride, scuba diving etc. 
Nightlife: Club Tito’s, Cavala, Britto’s, Zanzibar etc
Location: Baga Beach, North Goa
Distance from Panaji: From Panaji the Baga Beach is located 19 kilometers away. 
How to reach from Panaji: The Baga beach is just half an hour drive away from Panaji and 15 minutes from Mapusa. There are frequent buses available to Baga from Mapusa and Panaji throughout the day and the journey takes about half an hour from Panaji."
1,Chapora Fort,"If you are looking for amazing places to visit in North Goa, it will make you land at Chapora fort which is lying in a little ruin state at the edge of Chapora river. The fort stood at its position long back for a military significance during a fight between Portuguese and Marathas, which later lost the value. Surrounded by steep walls, it gives breathtaking views from all the sides including Vagator beach, Chapora river and of course, deep blue ocean. This fort will take you on a memory lane of Bollywood movies for sure. Take a trip to this place with friends and family and get clicked to make memories for life.Location: 22 km from PanajiTimings: Everyday, 9.00 AM to 7.00 PMEntry Fees: None!"
2,Anjuna Beach,"Situated on the west coast of Goa by the Arabian Sea, Anjuna Beach is one of the best beaches in Goa. The hippies were the first people to come here in the 1950s and since then Anjuna Beach is a hotspot in Goa for local and international tourists. Anjuna Beach grows on you as you take a stroll along the glowing white sands and enjoy the sight of gently swaying palms in front of you. This beach is also famous for its Wednesday Flea Markets where you can shop for souvenirs, sarongs, traditional handicrafts etc. 

Water Sports: Snorkeling, Scuba Diving, Paragliding, Windsurfing, Bungee Jumping, Banana Ride, Dolphin sighting trip, Go karting, Water scooter, Water skiing etc.
Nightlife: Curlies, Purple Martini, Café Lilliput, Shiva Valley and UV Bar are popular spots for enjoying nightlife at Anjuna Beach.
Location : Anjuna Beach, North Goa 
Distance from Panaji: Anjuna Beach is at a distance of 21.5 kilometers from Panaji. 

How to reach from Panaji: There are buses available every hour if you wish to travel to Anjuna Beach from Panaji via Mapusa. Motorcycle taxis and auto rickshaws are also available from Mapusa.  The nearest railway station is at Karmali 11 km away from Panaji and 29 km from Anjuna."
3,Calangute Beach,"Deserving every reason to be called the ‘Queen of Beaches’ in Goa, Calangute Beach is a paradise for nature lovers holding the spectacular beauty and charm. The beach reflects the unique Goan culture with a glorious view of the landscape serving as a perfect retreat for visitors. Here you can find the effervescent markets selling everything from beer, trinkets to pawns. It is also the biggest beach of North Goa and ideal for witnessing the beauty of palm and coconut trees against the locale of the magnificent Arabian Sea.
This beach is often crowded with people swelling towards the sea, lazing around, taking sunbath and children making sand castles. Another spectacular features of Calangute Beach is its sunsets and sunrise. 

Water Sports: Parasailing, Speed Boat Rides, Water Skiing, Water Scooter, Jet Skiing, Banana Ride, Wind surfing etc. 
Nightlife: Cantare, Revolution Pub, Club Antoos
Location: Calangute Beach, North Goa 
Distance from Panaji: The Calangute Beach is 16 kilometers away from the city of Panaji. 
How to reach from Panaji:  There is a regular bus service which runs from Panaji to the Calangute Beach. If one is driving then it takes half an hour to forty minutes to cover the distance."
4,Titos,"If you ever ask anyone the best party place in Goa, no wonder he will shout out the name ‘Titos'. This place is also known as the one where you can party like crazy, enjoy some drinks and dance the floor till the breath lasts. Having more than 1 branch in Goa, Titos is rushing the minds with Bollywood disco, original classic style, cool lounging place and delicious food one just imagines. Tito’s clubs get a good number of guests and hence it remains full almost all the time of the year. So pick up the scooter and ride towards the party place, dance the floor hard and make your nightlife rocking.Entry Fees: It only wants you to pay for the food and drinks you consume here! No entry fees required.Location: Titos original at Baga Calangute, Titos Bollywood at Santa Vaddo and Titos club at Calangute."
5,The Church of Our Lady of Immaculate Conception,"‘Wow' is the one word that describes the church at first sight. Built-in 16th century, Portuguese style architecture speaks with a blow right here. Leading the main entry is the flight of stairs that rise like a floor above the floor. As the name is, the facade of the church is tarnished in immaculate, sparkling white colour and it is also one of the best places to visit in North GoaTo your surprise, the interiors are decorated in a very calm manner, without any intricate or coloured details as seen in many other pilgrimage centres. Yet, the skills of the craftsmen could be seen at the graceful altar and sub-altar. Again, this location gives you a trivia of Bollywood that used this church as the background of various shots. A must visit a location, this is indeed not to miss tourist places in North Goa.Location: Within the main city of PanajiTimings: Every day from 9.00 AM – 12.30 PM and 3.30 PM – 7.30 PMEntry Fees: None!"
6,Anjuna Market,"Let us give you a glimpse of why Anjuna Market is one of the utmost amazing tourist places in North Goa? Wednesday flea market that sells everything at a dirt cheap rate will bring one closer to this place. This place is so much livelier to chill at that you never want to leave it but alas, it's just a day in the week that it gains its prominence on. One can find here handmade clothing, jewellery, beach clothes, hammocks, Buddha or Shiva statues and anything that trance magic can provide you. Grab a drink, have some stall food, wear hippie jewellery and dive in a completely new era at Anjuna flea market.Timings: Wednesday, 8.00 AM to 8.00 PMLocation: South end of Anjuna beach."
7,Casino Pride,"Another amazing casino life could be experienced at Casino Pride which has its anchor tied down in Mandovi river. The casino boat has the best of the facilities and services having well-trained staff, delicious meals and a good range of drinks making it one of the best places to visit in North Goa in 1 day.Moreover, the charm of the boat gets an upgradation with the performance of skilled dancers, acts by celebrities, people counting their winning amount while enjoying offers on unlimited drinks.Entry Fees: Rs 1500 on Monday-Thursday and Rs 2000 on Friday-SaturdayTimings: Open 24x7 to all its guests."
8,Curlies,"What to say about Curlies shack that proudly gains tourists like anything at its service on Anjuna beach. Known for not only its glowing ambience but also the huge space it offers in form of a lounge, garden restaurant, bar, club zone, and open sea view platform. Travellers love to visit here for the heart throbbing parties and delicacies they serve with yummy cocktails. Curlies also provide stay options to its guests and water sports activities so you may call it all in one and one for all.Location: Very close to Anjuna flea market, you can find Curlies!Timings: Everyday 8.30 AM to 2.30 AM, all ready for your breakfast to party timeEntry Fees: It only wants you to pay for the food and drinks you consume here! No entry fees required."
9,Candolim Beach,"This beach has won the hearts of tourists for its tranquil ambience, adventure sports and other amusement options. The enchanting Candolim Beach is particularly famous for its nightlife which ensures fun and some crazy moments to remember for a lifetime. Interesting adventure sports, spellbinding scenery and a unique festivity makes Candolim Beach one of the best beaches in Goa. The Sunburn Festival is held here for three days every year attracting hordes of tourists. Also, the water activities at Candolim Beach are must try to get the adrenaline rush with adventure.
This beach is the perfect place for all the individuals who search for restoration, fun and quietness. Its peaceful and serene air enchants numerous voyagers. On the highest point of it, when you come to realize that it's a home to a lot of water sports and different exercises, at that point you'll wish to never go back home. 

Water Sports: Banana Ride, Dolphin Sighting Trip, Jet Skiing, Speed Boat Rides, Water Scooter etc. 
Nightlife: Club LPK-Love Passion and Karma, SinQ, Drift Bar, Pharaos etc. 
Location: Candolim Beach, Bardez Taluka, North Goa 
Distance from Panaji: This beach is located at a distance of 14 kilometers from Panaji. 
How to reach from Panaji: The best way to reach Candolim Beach from Panaji is via a bus or your private car. There is no air or rail connectivity between Candolim Beach and Panaji."
