,Name,About
0,Appu Ghar,"Appu Ghar, popularly known as “The Mini Disneyland”, is one of the best amusement parks in the state of Maharashtra. Situated at Nigdi in Pune at the foothills of the Shri Durga Devi Tekadi, it offers a plethora of opportunities for thrill and entertainment. Also known as Indira Gandhi Udyan, the main purpose of creating the park was to gift an eco-friendly atmosphere to people of all ages.The construction of Appu Ghar Pune started in 1989 and continued till 1992. Since 2005, the maintenance of the park is entrusted with the Pushpak Amusements group. The name of the park was derived from the famous mascot of the 1982 Asian Games held in Delhi, Appu the elephant. Operating for more than 40 years now, the park is one of the favorite destinations for both Indians and international travelers.The rides of Appu Ghar Pune have all been imported from Italy with high quality and safety standards. There are water pools too for both kids and adults to enjoy a cool soothing day out in the park. Along with the numerous fun and exciting rides, the park has a beautiful lake in its premises to sit and relax. You can also witness the stunning views of the hills adjacent to the park."
1,Aga Khan Palace,"Aga Khan Palace in Pune is a wonderful landmark of India’s history and has many great events and personalities associated with it. It was constructed in the year 1892 by Sultan Mohammad Shah Aga Khan III. It was in Aga Khan Palace where Mahatma Gandhi and Kasturba Gandhi imprisoned and now it is famous as the Gandhi National Memorial Society.
It is one of the prominent attractions in Pune and people here can enjoy a fascinating visit seeing the personal belongings of Mahatma Gandhi in the room where he stayed. One can also see the collection of pictures of many other freedom fighters associated with Indian Freedom Movement against the British at the museum here. It is now hailed as a monument of national importance and also boasts of interesting architecture.

Location: Gandhi National Memorial Society, Aga Khan Palace Road, Pune, Maharashtra 
Best Time to visit: Tourists should plan a trip here during the months from October to March
Entry fee: The entrance fee for Indians is INR 5/ 0.07 USD and for the foreigners, it is INR 100/ USD 1.54
Timings: The visiting time at Aga Khan Palace is from 9:00 am to 5:30 pm"
2,Panshet Dam,"Also famous as Tanaji Sagar Dam, Panshet Dam is one of the top places to visit in Pune for adventure enthusiasts.  Perched beautifully in the Sahyadri Ranges, Panshet Dam is a visual delight with a surreal landscape that offers a soothing retreat. Panshet Dam is encompassed by luxuriant hills and a number of thundering waterfalls that makes it a perfect place for nature lovers too.
Tourists here can look forward to savouring an adrenaline rush by partaking in a number of water sports. Some of the popular water sports enjoyed here are kayaking, boating and few rides like the banana ride and water scooters. Other activities which you can enjoy here are trekking and camping in the midst of nature.

Location: Panshet Dam, Ambi River, Pune District, Maharashtra
Best Time to visit:  The best time to make a visit to Panshet Dam is during the monsoon days or in the evenings of the winter season
Entry fee: During the weekdays the entry fees for an adult is INR 250/USD 3.75 and for a child is INR 170/ USD 2.62. For the weekends the entry fees for a child in INR 230/ USD 3.54 and for an adult is INR 300/ USD 4.62
Timings: Tourists can visit here from 10:00 am in the morning to 6:00 pm in the evening."
3,Shinde Chhatri,"Dedicated to the Maratha leader Mahadji Shinde, this place is a popular tourist attraction in Pune. Being an important reminder of the Maratha rule in India’s history, this place is hailed as a significant landmark. There is a memorial devoted to the great ruler Shinde and the place also houses a temple which is dedicated to Lord Shiva and built by Shinde himself.
It boasts of an interesting architecture replete with intricate carvings and beautifully aligns Rajasthani design with Anglo style. The splendid designs have withstood the passage of time and still considered to be one of the gorgeous pieces of architecture in Pune. The place was constructed following the Vaastu Hara rules and represent a fine amalgamation of two beautiful cultures. Shinde Chhatri is now maintained by Shinde Devasthan Trust, Gwalior and attracts many lovers of art and history in Pune.

Location: Shinde Chhatri is located in Wanawadi in Pune
Best Time to visit: The months from July to February are the most preferred time to visit here
Entry fee: The entry fees at Shinde Chhatri is INR 5/ USD 0.07
Timings: The timings to visit here from 6:00 am to 9:00 pm"
4,Saras Baug,"One of the most scenic attractions in Pune, Saras Baug is a great place to plan a visit with your friends and family. This place is popular its beautiful 25-acre park and the famous Talyatla Ganpati temple. Dedicated to Lord Ganesha, this temple attracts a number of devotees who come here to pay their respects and seek God’s blessings. It is one of the ideal Pune tourist places if you are visiting with children or looking for a relaxed spot for picnicking in the city.
Saras Baug offers a refreshing experience as you are surrounded by a lush green landscape and indulge in various rides like giant wheels to bring out the kid in you. Another attraction of this place is the presence of a wide array of eateries which are just a delight for foodies in Pune. One can look forward to enjoying some lip-smacking dishes outside Saras Baug like pav bhaji, bhelpuri, panipuri etc.

Location: Saras Baug is located within a radius of one kilometre from Swargate bus station and 3.6 km from Pune Railway Station.
Best Time to visit: Anytime throughout the year is great for visiting Saras Baug in Pune.
Entry fee: There are no entry charges to enter Saras Baug in Pune.
Timings: The garden remains open for tourists from 9 am to 6 pm every day."
5,Vishrambaug Wada,"A resonating reminder of Pune’s rich cultural heritage, Vishrambaug Wada was built in 1807 as a mansion for Peshwa Bajirao of Pune. It boasts of its majestic design and architecture with cypress-shaped columns, decorated ceilings and imposing verandahs. The place can be visited during a heritage walk in Pune that is organised every Sunday and offers an entertaining musical performance to the public. 
The place is replete with its historical charm and leaves a lasting impression on everyone’s mind. It is one of the most interesting Pune tourist places that will take you back to the times of Peshwa rule in the erstwhile Maratha kingdom. The place has been undergoing constant renovations and houses a post office and some other offices of Pune Municipal Corporation. 


Location: RB Kumthekar Rd, Perugate, Sadashiv Peth, Pune, Maharashtra
Best Time to visit: Anytime throughout the year is great for planning a trip to Vishrambaug Wada
Entry fee: The entry fee at Vishrambaug Wada is INR 5/ USD 0.07 Per Person
Timings: Vishrambaug Wada can be visited by the tourists from 10:00 am to 5:00 pm"
6,Krushnai Water Park,"A quaint little amusement centre at the heart of Pune, Krushnai Water Park is one of the best-known water parks in Maharashtra. Set amidst 15 acres of verdant green landscape, this adventure park is one of the best entertainment options in the city. The park has a number of different water-based attractions and rides, for adults and children alike. The park prides in a variety of pools, adventure rides, and slides of different sizes and heights, making this a popular spot  for thrill-seekers and leisure-mongers alike. Have gala time in the Wave Pool and the Rain Dance Centre, or test your courage at the daring Turnpikes and Black Hole RIde- one is spoilt for choice at the Krushnai Water Park.  Apart from the water area, the park also has an entertainment arena, with fun ride options like the Dashing Cars, the Bull Ride and a Gaming Zone for young visitors. The Water Park also accommodates vast green lawns which provide a perfect spot for picnics with family or groups of friends.Krushnai Water Park provides its guests with locker room facilities against an extra charge. The Park also provides swimming costumes on rent for those who need one, against a slight added charge. The swimsuits here are available in all sizes, for men, women and children alike. The water park also has medical and first aid facilities available in case of medical emergencies at any point of the day. It has parking facilities as well, allowing free parking for its visitors.Experiences at Krushnai Water Park:1. Twister: Twister is a unique one-person ride that allows one to enjoy unique whirlwind sensations. One has to only slide into it and experience fun water whirls around the circular platform.2. Black Hole: The Black Hole is a two-person ride, where one can, with his or her partner, enjoy a steep slide along the dark tunnel on a rubber float. The Black Hole slide, carefully designed to maximize the adrenalin rush in its riders, is perfect for thrill-seekers and is bound to elicit a scream or two from the riders. The experience is further heightened by the rapidity of the descent down the slope and the echoes that reverberate through the darkness of the tunnel.3. Turnpikes: If you are brave-hearted and are looking for an adventure, Turnpikes is the ride to go to. This multilane ride, spread across three adjoining slides, allows one to ride down its descending slopes on a mat. The sharp bends and angles of the Turnpikes ride only adds to the thrill factor. One can decide to fly solo on it, or even race with their friends on the adjoining slides. The rapidity of the ride, however, makes it unsuitable for those who are not comfortable with extreme speed or steep drops.4. Pirate Island: A perfect haven for little adventurers, Pirate Island is an elaborately equipped adventure pool restricted for the use of children only. The pool is designed to occupy kids with various short and long slides. Each slide descends from a different level and caters to the thrill-requirement of children of various heights and ages. Each level is connected by stairs and elaborate passages for navigation. Atop the slide monument is a giant water bucket, which empties every ten minutes upon those on the ride.5. Wave Pool: The Wave Pool is a family pool, and one of the most popular attractions at Krushnai Water Park. Here one can experience the slow swelling of waves against a bank of faux sand, recreating the experience of a beach. The waves are often directed to rise and fall to the rhythm of music, and the proceedings are directed by the presiding DJ, playing catchy tunes to go along with the swell of the water. If one is looking to enjoy a dance or to simply relax, the Wave Pool is the place to go to.6. Crazy Cruise: Crazy Cruise is an adventure water slide catering to those looking for thrill and adventure only. It is a water slide, where one must ride down a daunting 30 feet on solo, to land in the swimming pool at the bottom.Rides & Attractions at Krushnai Water Park:-Aqua Trail: Aqua Trail is a two-person ride, where riders must travel down an open slide on water tube rafts to descend into the pool below.-Rain Dance: The Rain Dance is a secluded dance area, where one can groove to the tunes of the DJ with their friends or family, amidst showers of sprinklers emerging from all directions. -Turnpikes: In this multilane ride spreading across three adjoining slides, one must brave steep angles and bends on their stomachs, hurling headlong down the rollers.-Crazy Cruise: An adventure water slide where one must brave a 30 feet descent into the swimming pool down below.-Magic Sway: Magic Sway is a special swing-like attraction, in which riders must sit in a group on a tube, which sways back and forth across the length of the ride.-Twister: A one-person ride unique to Krushnai Water Park, where one can enjoy water whirlwinds on a circular structure.-Black Hole: A duet ride, where riders must, with their partner, descend through a dark tunnel of a steep descent.-Tunnel Funnel: A fun water slide which requires two to four riders seated on a water tube. The tube emerges out of a funnel, oscillates around the main element of the ride, which is a funnel-shaped structure, and then drops into a splash pool.-Pirate Island: Pirate Island is a pool catering specifically to kids, with rides of multiple levels and lengths, allowing little ones to get into the skins of pirates and enjoy the wonders of water and navigation.-Little Champs: Little Champs is a specially designed pool for toddlers, offering fun rides and slides while catering to the safety of the children.-Family Slide: The Family Slide is a wide-body slide, designed for multiple riders to ride down its fairly gentle slope. Although open to all, this ride is specifically designed for little children who are afraid to face the thrill of descent without parents or friends alongside. -Mushroom: An attraction made especially for children, Mushroom recreates the waterfall experience for young ones, with sheets of water continuously flowing down from a mushroom-shaped roof on those standing below.-Wave Pool: A family pool, recreating the typical beach experience through slow- swelling waves rising and falling with accompanying music.The water park also has an entertainment centre on dry land, including a Bull Ride, a Video Game centre, Dashing Cars Zone and a Play Zone for children."
7,Pataleshwar Cave Temple,"One of the fascinating sightseeing places in Pune, Pataleshwar Cave Temple is an important temple in Pune dedicated to Lord Pataleshwar who is the God of the Underworld. Dating back to the 8th century, Pataleshwar Cave Temple is renowned for being carved out of a single rock and been announced by the government as a protected monument in Pune. Along with its architectural brilliance, Pataleshwar Cave Temple is also known for its unique sound of bells.
Pataleshwar Cave Temple offers an interesting glimpse of rock-cut architecture in India and dedicated to Lord Shiva and Nandi. At the main shrine of the temple, pilgrims pay their respect to the imposing Shiva lingam which is built there. One of the astounding features of Pataleshvar Cave Temple is that its construction was never completed and thus one can witness that there is no specific entrance to the temple. Pataleshwar Cave Temple is a great visit both for spiritual reasons and appreciating the art and culture the region.

Location: Jangali Maharaj Road, Revenue Colony, Shivajinagar, Pune, Maharashtra 
Best Time to visit: The best time to visit here is from the month of June to February
Entry fee: You are not needed to pay any entrance fees at Pataleshwar Cave Temple
Timings: The timings at this temple are from 8:00 am to 5:30 pm"
8,Osho Ashram,"Savour a slice and peace and rejuvenation when you visit the Osho Ashram in Pune. If you are seeking a place to get away from the worries of life and discover your inner peace, Osho Ashram is a perfect place for you to visit in Pune. Osho Ashram was founded by Bhagwan Shree Rajneesh, a popular spiritual leader, and a famous public speaker. The place has been renowned as a meditative retreat where people can appreciate the serene atmosphere and enjoy a peaceful stay with luxury resort facilities. The place boasts of many facilities like a swimming pool, jacuzzi, tennis courts and a spa. People here can indulge in various meditation activities and therapies and look forward to an exciting visit as there are a number of activities to keep you engaged all the time. Osho Ashram in Pune offers an awesome retreat to channel your inner energies and make a meaning of your life.

Location: 17, Koregaon Park Road, Koregaon Park, Pune, Maharashtra 
Best Time to visit: It can be visited throughout the year
Entry fee: The entry fees at Osho Ashram is INR 870/ USD per person for a day
Timings: Osho Ashram is best visited between 6:00 am to 10:30 pm"
9,Khadakwasla Dam,"Known as one of the most renowned places for group outings in Pune, Khadakwasla Dam offers a relaxing getaway. It draws in a number of tourists who wish to indulge in some adventurous activities or just relax and unwind in the company of nature. The place boasts of great vibes and always packed with crowds. It is built across the Mutha river and one of the integral sources of water supplied to the city of Pune. Some of the other famous attractions near Khadakwasla Dam are Kudje Village, Peacock Bay and Neelkanteshwar Hill. 
People here come with their loved ones to enjoy the natural scenery and indulge in some gastronomy with the help of food chowpaty serving lip-smacking bhelpuri and bhutta here. The monsoons offer the best experience at Khadakwasla Dam as it makes the landscape look mesmerising.  The place boasts of many interesting activities and keeps the tourists abuzz with its exuberant ambience.

Location: Khadakwasla Dam, near Khadakwasla Village, off Sinhagad Road, Pune, Maharashtra
Best Time to visit: Monsoon season is the best time to visit the dam.
Entry fee: No entry fees are required to visit here
Timings: The timings for tourists at Khadakwasla Dam is from 6 am to 6 pm"
