,Name,About
0,Lakshman Jhula,"Rishikesh is not only about religious beliefs, ghats or temples; within this ancient city, you can also witness some of the architectural marvels and structures as well! One such structure, the Lakshman Jhula, which is also one of the not to be missed places to visit in Rishikesh, is a suspension bridge that connects Tehri and Pauri districts of Uttarakhand.
The existence of this bridge dates back to the age of Ramayana. According to the legends, Lakshman; brother of Lord Rama, crossed the holy Ganga River at this spot over a jute bridge. Centuries after this pious incident, a 284ft hanging bridge was built in the same spot by Rai Bahadur Surajmal Jhunjhunwala.However, the bridge got washed away during the epidemic flood of 1924, and later, a pillar-less suspension bridge was erected at the same spot. The architecture brilliance of Lakshman Jhula and its proximity to several sacred places make it one of the most visited tourist places in Rishikesh.Also check the detailed guide of rafting through the Ganges !"
1,Ram Jhula,"Another architectural marvel in the yoga capital of India, Ram Jhula is an important landmark of the city and is also one of the sought after Rishikesh tourist places. Located only 3km from the heart of the city, this 450ft suspension bridge connects the banks of the Ganges with Shivananda and Swarga ashrams at both of its end.
Also known as the 'Shivananda Jhula', this magnificent bridge was built during the late 80s by the regional government; the contribution of Shivananda Ashram Divine Life Society is very significant in the construction of Ram Jhula.
Like the Lakshman Jhula, it was also once a jute bridge and serves as an important name in the list of places to visit in Rishikesh. While crossing the bridge, you can enjoy the panoramic views of the Ganges and for the nature photographers, it serves as an ideal destination to click some amazing pictures!"
2,Rafting In Rishikesh,"Adventurers know Rishikesh as the land of river rafting as it is one of the most popular destinations for this activity anywhere in India. So if you are planning a trip to Rishikesh, make sure not to skip this adrenaline-pumping adventure of rafting through the blustery waters of River Ganga. As your raft glides along with the swift river, you will also have a chance to catch the undiluted charm of the Himalayan foothills.Three different stretches of the river, ranging from 9 km to 26 km, are open for rafting. These stretches feature grade 3, grade 4, and grade 5 rapids, so whether you are seeking hardcore adventure or you are a beginner, rafting in Rishikesh is ideal for all. To give a boost to your adrenaline rush, the rafting experience also offers opportunities for cliff jumping and body surfing.Highlights: Long stretches, various rapid grades, and beautiful scenery.Timings: 7 am to 10 pmPrice: INR 600 per person"
3,Parmarth Niketan Ashram,"Parmarth Niketan Ashram, located in the lap of the verdant Himalayas, along the banks of the Ganges, is one of the most popular ashrams in Rishikesh. The ashram specialises in traditional ayurvedic practice treatment, yoga, meditation and various other natural healing techniques. The ashram was founded in 1942 by Pujya Swami Shukdevanandji Maharaj. With over 1000 rooms, lush gardens, clean and pure ambience, the ashram provides a calm and serene refuge to devotees and patients alike. The ashram keeps its doors open for people of all religions, gender, caste, class and nationalities. The ashram is the home to a 14-feet statue of Lord Shiva that has been placed along the river bank. The divine or holy tree, Kalpavriksha, also boosts the sense of spirituality on the ashram campus.  Various activities of the ashram include different healing yogas, universal prayers and meditation classes, kirtan, daily satsang, spiritual talks and seminars among other events. The ashram with its various activities aims to help people connect with their inner self and rejuvenate their senses. During your stay at the ashram, you can feel being associated with the peaceful surrounding of the ashram as well as nature.Location: Rishikesh, Pauri district, Uttarakhand, IndiaTimings: The ashram remains open every day from 7am to 8pm. Price: Entry is free to the ashram. Rs 800 for basic rooms. Rs 1200 or Rs 1500 for rooms with air conditioning and a view of mountains and rivers"
4,Triveni Ghat,"Situated on the banks of the holy Ganges, Triveni Ghat is among the most magnetic places to visit in Rishikesh. The confluence point of three of the most sacred rivers in Hindu mythology: Ganga, Yamuna and Saraswathi, this ghat is considered as the most pious among all the other ghats within the vicinity.
According to the legends, the water of this ghat has the magical power of purifying one's heart and soul, and make it free from all the sins. Devotes from every corner of the country throngs Triveni Ghat and takes a dip with utmost devotion and faith. Come morning, you can witness them offering milk to the river, performing 'Surya Namaskar' and feeding the fishes around the ghat.
By evening, this auspicious ghat turns into a riot of colours as it is time of the 'Maha Aarti' or the aarti to Mother Ganga. Priest and the devotees perform several rituals during this sacred event, and offers lamps clad with flowers and incense stick to the Goddess as mark of their gratitude and devotion. The melodious hymns of the temple bells and the shanks can be heard everywhere, and the entire vicinity turns into a plethora of colour during this time. The peace and devotion that exists during the aarti makes Triveni Ghar one of the must visit Rishikesh tourist places."
5,Camping in Rishikesh,"When you are in Rishikesh, there can be no adventure more fascinating than hiking in the foothills of the Himalayas and camping on the bank of River Ganga. A perfect combination of thrilling and rejuvenating experiences, camping and hiking in Rishikesh is a matchless treat for anyone seeking a holistic healing over the weekend. River Ganga is the major attraction in Rishikesh, and camping on the white sand by its blue water stream is surely going to have a soothing effect on your senses.To add some action and movement to the affair, Rishikesh gives you an opportunity to partake in river rafting and hiking. So if you are planning a quick getaway with your friends, nothing can beat the company of River Ganga and Shivaliks. Highlights: Riverside camping, river rafting, hiking, and picturesque surroundings.Price: INR 899 per person"
6,Beatles Ashram,"Most of your teenage or college days might have passes admiring the songs of the favourite band called 'Beatles', but do you know your favourite band once visited a quaint ashram in Rishikesh to attend a special meditation programme? Yes, it was in the year 1968, the entire group of Beatle flew down to India to meet a saint called Maharishi Mahesh Yogi and practice some advanced meditation programme under his flagship. Following this phenomenal visit, the ashram gained instant popularity and was named as the 'Beatles Ashram'; the visit also made it one of the renowned places to visit in Rishikesh.
Located in the foothills of the Himalayas, though the ashram was abandoned in 1997, the complex buildings and the stone-huts can still be found standing strong in their place. It is one of the very few places in Rishikesh that are pretty tough to find.According to the recent plans of the regional government, the ashram will soon reopen as a museum that will showcase its delightful history and contribution to the society.
To add more, one should know that the span of time Beatles group stayed in this ashram, is considered as one of the most productive periods for the band!"
7,Gita Bhavan,"Another not to be missed places to visit in Rishikesh, Gita Bhawan is also located on the banks of the Ganga River and is adorned by the enchanting charm of the Himalayas. Comprising of a large complex, it serves as an institute where a devotee can learn about Hinduism to a large extent along with participating in many religious and cultural events as well.
The institute offers free food, stay and education to the pilgrims. People living within the bhawan participates in daily prayers and sadhana along with mediation and other necessary activities. Visitors to Gita Bhawan can also participate in all the activities and can also enjoy pure-vegetarian meals and other facilities at a minimal price.
It also offers free boat rides and has a dispensary that offers free ayurvedic treatments and medicines made according to the religious scriptures with the holy water from the Ganges. With ample of meditation places and bathing ghats, it offers a pleasant and soothing ambience to indulge in Ganga dip and other religious activities."
8,Bungee Jumping Rishikesh,"A highly popular tourist attraction in Rishikesh, Bungee Jumping is recommended for every adventure freak visiting the town. With a height of 83 metres, this makes for the highest bungee jumping platform in India. Stand on a platform built on a rocky cliff, soak up the majestic scenery of lush green forests and River Hall, muster the courage, and jump as your heart starts to thump loudly. Whether or not you have tried bungee jumping before, this exhilarating jump is a fantastic way to challenge your fear of heights. To make the adventure all the more memorable, get the jump recorded and post it on your social media profile to inspire your followers to try it out as well.Highlights: India’s highest bungee jumping, scenic location, and trained instructorsTimings: 9:30 am to 4 pmPrice: INR 3550 per person"
9,Neelkanth Mahadev Temple,"One of the not to be missed places to visit near Rishikesh, Neelkanth Mahadev Temple is around 32km from the city limits and is located at a height of 1,330m above the sea level in the Pauri Garhwal district of Uttarakhand. Among all the temples dedicated to Lord Shiva, this temple holds a major prominence among the devotees.Tucked between the pictorial valleys of Manikot, Brahmakot and Vishnukot, the heart-warming surrounding of this sacred temple owes to its popularity among all the Rishikesh tourist places.
With Lord Shiva, who is also known as 'Neelkanth' or the 'Blue Throated One' as the main deity, the peak of the temple is adorned with sculptures of both the Gods and the Asuras. It is said that during 'samudramanthan'; or while both the Gods and Asuras were churning out the ocean bed to obtain the holy 'amrita' or the 'nectar of immortality, Lord Shiva drank the poison that evolved from the sea. This turned his throat blue, and thus he was named as Neelkanth, and is worshipped in this temple in the form of a 'shivalinga'. Devotees visit this sacred temple throughout the day and takes a bath in the natural spring in the main complex before offering puja to the main deity."
