,Name,About
0,Palolem Beach,"Palolem Beach is probably one of the most gorgeous beaches of South Goa and generally famous among foreign tourists who flock here often. The tranquil surroundings makes an ecstatic setting for indulging in an occasional stroll or just appreciate this amazing landscape. The beach remains packed with shacks, hawkers, restaurants, and eating outlets occupying the one mile long shore in crescent shape.
Dolphins are also sighted here, so just keep your fingers crossed to witness this spectacular mammal playing amidst the blue waves of Arabian Sea.
Quick Fact: The famous Matt Damon’s movie The Bourne Supremacy had some scenes filmed at this beautiful beach.

Water Sports: Wind surfing, Banana Ride, Dolphin Sighting Trip, Water scooter, Paragliding, kayaking, paddling etc.
Nightlife: Silent Noise, Found Things, Neptune’s Point etc
Location: Palolem Beach is situated in Canacona in South Goa.
Distance from Panaji: The Palolem Beach is located at a distance of 70 kilometers from the city of Panaji.
How to reach from Panaji: You can either take a bus or travel via your own car from Panaji to Palolem Beach. The closest train station is Canacona Rail Junction which connects the place to the city of Panaji."
1,Dudhsagar Falls,"This enticing waterfall magnetizes tourists from different verticals of the world as it has a breathtaking charm which in turn makes it one of the most visited tourist places in South Goa. The literal meaning “ Sea of Milk”, this waterfall is a treat to the eyes. It lies in the proximity of the Panaji city which is about 60 km. The waterfall is located inside the Bhagwan Mahavir wildlife sanctuary and has a height of 1,000 feet. The gushing water sprawling down through the tropical forest gives captivating views.If you are an adventure enthusiast then you can even trek to the waterfalls and explore the bewildering paths which lead to it. You can even stay near the waterfall, at the forest guesthouse that is taken care of by the Karnataka Tourism Development Corporation.Location: Sonaulim, Goa 403410Timings: 9:00 AM – 6:00 PMEntry Fee: Rs.400/- per person for Jeep drive from Castle Rock to Dudhsagar Falls                  Rs. 20/- per person                  Rs.300/- for Still Camera                  Rs.5000/- for Professional Camera"
2,Colva Beach,"It is one of the most popular beaches in South Goa and attracts a lot of Indian visitors. The beach is an ideal destination to enjoy a range of activities from sunbathing, water sports to other leisure activities. Adventure freaks particularly flock here to get the adrenaline rush with adventure sports. You can find many shacks here selling street food and drinks to satiate your hunger and and its one of the best places to visit in South Goa in 1 dayThe Colva Beach is also a famous shopping destination where you can explore some colorful clothes, jewelry and other fashion accessories. Colva Beach is popular for its nightlife with happening late night spots becoming the most preferred party places in Goa for young party goers. 
Water Sports:  water scooter rides, jet skiing, speed boat rides, snorkeling, swimming, banana boat rides, motorboat rides
Nightlife: Temptations, The Alcove, Ziggy’s and Johnny Cool’s 
Location : Colva Beach, Salcete , South Goa
Distance from Panaji: Colva Beach is located at a distance of 33.5 kilometers from Panaji.
How to reach from Panaji: The best way to commute within Goa is through a rental vehicle such as a scooter or motor cycles. You can also travel by local transportation such as taxi or auto-rickshaw. On reaching the destination, exploration on foot is the best option."
3,Johnny Cool,"This place gives a new dimension to the dining style, which is a combination of beach, exotic cuisine, and serene aura. This deadly combination can be experienced at the Johnny Cool Beach Bar which lies on the Dover Beach, famed as one of the most alluring beaches of Goa.Here, one can savor mind-blowing Caribbean delicacies with excellent ambiance accompanied by soft jazz music to make every part of your body move on the soothing beats. It is one of the most visited tourist places in South Goa with an unbelievable quality of service.Apart from these, one can even enjoy varieties of cocktails, beer and other liquors along the beachside bar. It is undoubtedly the best place to explore in southern Goa and enjoy meals in the relaxing environment coupled with striking sandy beaches.Location: Dover Beach, Below Dover Playing Field, Dover, Barbados."
4,Agonda Beach,"Agonda Beach in Goa is ideal for individuals searching for an energizing time in the water. The cool wind and warm summer sun help you alleviate the anxieties brought by the everyday routine. This shoreline is long and desolate, bordered with palms and casuarinas and overwhelmed by an expansive slope toward the south. In the event that you are searching for some tranquil minutes, Agonda Beach is the place to be. 
Some tourists also prefer to bring a tent and set an overnight camp for getting a real thrill of living by the sea. If you are fan of seafood you will be able to enjoy some mouth watering dishes available at nearby restaurants. Due to the strong undercurrents, we advise you to abstain from indulging in swimming at Agonda Beach. 

Water Sports: Surfing, Water Skiing, Swimming
Nightlife: Duck & Chill
Location : Agonda Beach, Agonda, South Goa
Distance from Panaji: It is located at a distance of 70 km from Panaji. 
How to reach from Panaji: One can easily go via a bus from Panaji to Agonda Beach. Private cabs/taxis are also available, otherwise you can also take your own vehicle and drive to Agonda Beach."
5,Cabo de Rama Fort,"This decrypted structure with towers and rustic cannons was claimed by the Portuguese monarchs. It was a well-equipped fort with 21 guns and several military barracks and a chapel but, when the Portuguese left India, the place was abandoned and, later used as the government prison. Now, the fort is housed only by the ruins but is a popular tourist place in South Goa. The Fort also has a church of Santo Antonio which is in great condition and still visited by his followers. The mystical atmosphere, steep cliffs, and majestic views make it a frequently visited place. It is a perfect place for you whether you are an adventure buff, photo fanatic or a nature lover.Location: Taluka Cabo da Rama, Canacona, Goa 403702Timings: 9:00 AM - 5:30 AMEntry Fee: Free"
6,Benaulim Beach,"Benaulim Beach is one of the evergreen beaches of Goa and a popular tourist spot. It has everything ideal from captivating shorelines, extravagant gleaming sands, superb convenience, to nightlife and late night vibrant parties. Far from the clamor and busyness of the city, the shoreline is an ideal place for beach lovers to unwind and recover their spirits. 
Additionally, an expansive number of globetrotters rush at this place generally at ends of the week and holidays. If you are visiting Goa and wishing to invest some noteworthy energy with your friends and family, companions or relatives for collecting some unforgettable memories, then Benaulim is the ideal place for you as it brings you bundle of pleasure.

Watersports:  Dolphin and crocodile spotting ,  Para sailing or jet-skiing, Wind surfing, boating, banana boat rides, skiing and rowing
Nightlife: Fiplees Pub and Disco, Adega Camoens Nightclub Art Escape Jacks Corner, Bebdeanchem Arxia Bar ,Whole Family Beer Bar Restaurant, Swastik Beer Bar And Restaurant, Muali Bar Restaurant, Johnny's Bar And Restaurant
Location : Benaulim Beach, South Goa
Distance from Panjim: Benaulim Beach is located at a distance of 35.8 kilometers from Panaji.
How to reach from Panaji: It's well-connected by road to other cities in Goa and so it is easily reachable by bus or rental car from Panaji."
7,Mobor Beach,"Mobor Beach is vibrant with tourists and always bustling with parties and activities that go one here perpetually. The beach is beautified with natural creations with blooming lilies in ponds, sandy dunes and coconut palms which adore the landscape. This place is ideal for the individuals who need to make their vacation a more offbeat experience or just feel the light of common life in Goa. 
In Mobor, you can engage in enjoying delectable dishes at the beach shacks or have the thrill of adventure with water sports. Fisherman’s Wharf, Golden Eye restaurant, Mike’s Palace and Joe’s River Cove are some famous restaurants near the beach where tourists can enjoy tasty food. Underwater fishing or oysters catching are also some activities that are coming in vogue at the Mobor Beach. 

Water Sports: Jet Skiing, Speed boat Rides, Water Skiing, Banana Boat Ride, Parasailing, Ringo Ride etc. 
Nightlife: Aqua Night Club, Club Tito’s
Location : Mobor Beach,  Salcette, South Goa
Distance from Panaji: The distance between Mobor Beach and Panaji is 54 kilometers. 
How to reach from Panaji: The best way to reach Mobor Beach from Panaji is via private taxis and autos available at the airport and railway station. If you are going by your car, you can drive yourself."
8,Bogmalo Beach,"Nestled amidst the coconut palms and fishing villages, this sea side is a definitive destination to enjoy lovely moments with friends or family members. It's an excellent place to enjoy a long stroll with your friends and family or a plunge in the Arabian Sea. Bogmalo is also famous for its nightlife and luxury accommodations which make it a strong contender to be one of the best beaches in Goa.
Aside from water sports and other intriguing activities, there are various top of the line shops that are known for exquisite handicrafts. This shoreline is an ideal mix of clamor and peacefulness, spotted with basic magnificence where one can feel loose and lose every one of the stresses in the wake of getting the beautiful view. 

Water Sports:  Swimming, Diving, Windsurfing, Parasailing, Jet-skiing etc.
Nightlife: Full Moon Bar, Gazebo, Sunset Bar, Ruby Bar, Lobby Label etc.
Location: Bogmalo Beach, South Goa
Distance from Panaji: The distance between Bogmalo Beach and Panaji is about 30 kilometers.
How to reach from Panaji: Buses are available from Panaji at regular intervals. If one wishes, they opt for self driving or hiring a cab from Panaji."
9,Varca Beach,"Varca Beach is fundamentally acclaimed for its incredible environment of quietness and placidness. The Varca Beach in Goa is known to its delicate white sands and its cleanliness. It is one of the cleanest shorelines in Goa that enables the travelers to invest some energy in solitude. Moreover, the beach has various beach shacks where vacationers can appreciate the wide assortment of treats, including sea food in traditional cuisines.
Some interesting activities you can partake in at the Varca Beach include the boat trips to watch the rare species of dolphins, more known as Indo-Pacific bottlenose dolphin on the river Sal. These trips also offer the most brilliant vistas of sunset, best if you are looking to go on a romantic date and it one of best places to visit in South Goa in 1 day
Water Sports: water-skiing, windsurfing, jet skiing, parasailing, boating, diving, banana boating, fishing.
Nightlife: Atrium Bar, Blue Lagoon, Sunset Bar, Tangerine Island Bar, Sol Bar
Location: Varca Beach, South Goa
Distance from Panaji: Varca Beach is located at a distance of 38.8 kilometers from Panaji
How to reach from Panaji: Buses are available from Panaji to Varca Beach. People also arrange a private taxi or go via their own vehicle. The nearest railway station is Madgaon about 10 kilometers away from where buses, rickshaws and taxis are available."
10,Se Cathedral Church,"One of the most striking churches in India is the “Se Cathedral” located in the Southern part of Goa. This magnificent church exhibits excellent artistry of the Portuguese-Manueline style with beautifully arched interior and an impressive courtyard. Previously, the cathedral had two towers but one of them collapsed in late 17th Century and was never rebuilt.This cathedral is dedicated to St.Catherine, who belonged to Alexandria and there are six panels where her life scenes are beautifully carved. The most prominent feature of this cathedral is the huge “golden bell” which is one of the best bells in the world. This 250 feet high cathedral is a frequented spot and is visited by the tourists as well as locals. The tranquility and serene aura of the cathedral makes it a must visit spot in the list of places to visit in South Goa.Location: Velha, Goa 403402Timings: 7:00 AM - 6:30 PMEntry Fee: Free"
11,Bhagwan Mahaveer Wildlife Sanctuary,"This wildlife century came into existence in the year 1999 under the Wildlife Act. The Sanctuary lies on the Western Ghats in the northern part of the Panjim city. Sprawling over an area of 240 sq km, it has rich flora and fauna which attracts the tourists. One can witness bewitching scenic views at this splendid Sanctuary which is the largest protected wildlife. Here at this sanctuary, you can come across numerous variant of animals like Pythons, Cobras, Slender Toris, Jungle Cats, Elephants, avian Birds, and many more rare species. One can even hire a jeep to explore every nook and corner of the diverse sanctuary.Location: NH 4A, Caranzol, Goa, 403410, IndiaTimings: 8:00 AM - 5:30 PMEntry Fee: Rs. 20 per person for Adults                  Rs. 10 per person for Children                  Rs 30 per Still Camera                  Rs 150 per Camcorder"
12,St Xavier’s Church,"This is one of the most frequented sightseeing places in Goa famed as the prominent landmark for the Catholics. This extrusive church holds the incorrupt body of Saint Francis Xavier and, was built in the year 1605. After a few years of being built in 1622, the body of Saint Xavier was brought here and laid in a glass mausoleum. It is one of the most charming places to visit in South Goa which has showcased modern art in the gallery and, the structure exhibits a jaw-dropping baroque style of architecture.The best time to visit Bom Jesus Basilica is December, as in this month you can experience the traditions, cultures and a lot more at Christmas time.Location: Off National Highway 4, Velha Goa, Goa 403110Timings: 9:00 AM - 6:30 PMEntry Fee: Free"
13,Polem Beach,"This is the last beach along the Goan coastline and perfectly suited for tourists who are planning to have a complete privacy and relaxation in the easiest on the pocket conditions. Polem Beach is ideal for a laid back retreat on the deserted sands with a breathtaking view to behold. 
Sunbathing and swimming in the warm blue waters are the most popular activities for tourists here. Polem Beach is for the most part an isolated beach, so there is a gigantic probability that aside from anglers you won't meet anybody and be the just a single guest at the incredible and calm resort. In any case, in a couple of shacks which you will effectively discover new fish dishes, sodas and diverse refreshments. 

Water Sports: Kayaking, Paddling, Dolphin Rides, Water Scooters 
Nightlife: Cafe Del Mar Cocktails & Dreams Euphoria Multicuisine Veg Restaurant & Juice/Cocktail Bar
Location : Polem Beach, Canacona, South Goa
Distance from Panaji: Polem Beach is located at a distance of 92 kilometers from Panaji.
How to reach from Panaji:  You can reach Polem Beach resort in Goa by municipal buses from Panaji to reach the Polem Beach."
14,Shantadurga Temple,"“Pious Aura” this is what you will witness at this magnificent temple situated at the foot of Kavlem village in Ponda Taluka. This temple is devoted to goddess “Shantadurga” who is worshiped as the “Goddess of Peace” and, it is one of the most prominent and, large temples in entire Goa.The divine shrine was initially situated at, Cavelossim but during the demolition period of the Portuguese in the mid 15th century, the celestial being was relocated to Kavlem. The vibrant combination of the maroon, white and peach give the temple an enchanting old-charm look.Apart from these, Nayan Manohar Deepstambh is another point of attraction which is beautifully lit during the festivals and at that time, the beauty has no boundaries.Location: Kapileswari - Kavlem Rd, Donshiwado, Ponda, Goa 403401Timings: 5:00 AM - 10:00  PMEntry Fee: Free"
15,Patnem Beach,"Patnem Beach is known one the calmest places among all the beaches of south Goa. This beach will fulfill your dream of relaxing yourself by discovering a quiet place on the beach and appreciate the most lavish and fascinating seafood that one would ever have. You'll discover travelers lying in the sun throughout the day with sellers offering eatables, spending their days perusing parts, dusks with seashells and nighttimes being flocked with various tourists appreciating the great sunset. 
The cool sea breeze and the slamming sound of waves milieu gives generate the genuine feelings of serenity in your heart free from all stresses. Resting under a cool shack in this relaxed ambience is a definitive getaway that each one of us wishes to have. Make the most out of each minute in Goa in order to restate later as a major aspect of a memorable retreat at the Patnem Beach. 

Water Sports:  Scuba Diving, Surfing, Swimming
Location: Patnem Beach, Canacona, South Goa 
Distance from Panaji: It is located at a distance of 70.4 km from Panaji."
16,Naval Aviation Museum,"Get awestruck by the amazing collection of The Naval Aviation Museum where you can witness the true essence of Military. This amazing museum is a must visit tourist place in Goa and lies in the vicinity of Vasco da Gama.Here, one can see real Helicopters, Aircraft, Fighter Jets and learn about their history. The museum is a combination of two parts, one is the outdoor regions which exhibits the evolution of the Indian Naval Air Arms and, another is the double-storey indoor gallery. The Naval Aviation Museum is the only of its kind in Asia. The outer region is a large park which has 13 aircraft in total namely, Sea Harrier, HAL Chetak, Westland Sea King and many more such decommissioned aircraft.Location: Bogmalo Road, Dabolim AP Vasco da Gama, Mormugao, Goa 403806Timings: Tuesday - Sunday(9:30 AM - 5 PM)               Monday(Remains Closed)Entry Fee: Rs. 20"
