,Name,About
0,The Lake Palace,"The Lake Palace in Udaipur is located on the Jag Niwas Island on a sprawling 1.5-hectare land. This magnificent structure was built on the Lake Pichola by Maharana Jagat Singh in 1734. Once a summer palace for the royalty of Udaipur, it has now been converted into a heritage hotel.Still retaining the grandeur, it resembles a fairy tale kingdom. Enhancing the magical aura are the rippling waves and the beautiful sunset. The intricate craftsmanship and aesthetic handicrafts and textiles add to the beauty this place. The elegant white marble palace is a fantasy as it arises softly from the blue waters. 4 acres of rock have been used to lay the foundation of this palace and was known as Jag Niwas after its founder. The palace highlights include fountains, gardens, pillared terraces, painted mirrors, pink stone work, lotus leaves and cusped arches. Dhola Mahal, Bada Mahal, Phool Mahal, Ajjan Niwas and Kush Mahal are some of the apartments in here.There are various facilities available in the palace for the guests like the swimming pool, bar, restaurants, café and conference hall. There is also a 24-hour business center and 8 meeting rooms with fully updated equipment for corporate meetings and conferences. In here are 12 banquet halls for cocktail parties, wedding and other related functions. Distance from the City:2 kmsLocation: Pichola, Udaipur, Rajasthan 313001"
1,City palace,"The City Palace in Udaipur in the state of Rajasthan has a lot in its store to reveal the age-old history it possesses. The royal building is a huge complex with plenty of rooms and pillars inside. It took more than 300 years to complete the structure properly. Started during the time of Maharana Udai Singh II. The lake Pichola nearby is the highlight when you get ready for a tour of the greatest places to visit in Udaipur. Since it is the biggest building in Udaipur it is considered as one of the best sightseeing destinations.  The flamboyant structure with a blend of Mughal and Rajasthani architectural style dominates other famous palaces and buildings around the city very authentically. It is located on a hilltop where you can enjoy a real panoramic view of lake Pichola and the Lake Palace on the banks of this particular lake.
Distance from the City: 3kmsLocation: Udaipur, Rajasthan, India"
2,Lake Pichola,"This is one of the most important places to visit in Udaipur. Lake Pichola is the reason we call Udaipur the ‘City of Lakes’. Built in 1362, and extending 3 miles in length and 2 miles in breadth, this lake is an essential part of Udaipur and far by its best feature. Astonished and amazed by the beauty of Lake Pichola, Rudyard Kipling once wrote: ""If the Venetian owned the Pichola Lake, he might say with justice, `see it and die'"".
Take Kipling at his word and visit Lake Pichola when in Udaipur, both in the day and at night. the lake takes on a whole new character depending on the time of the day. In the morning, lake and palaces are quiet. The lake is speckled with tourist boats and people clicking selfies line the shores. As night creeps in, all the Palaces around the lake light up and illuminate the lake. No boats, no birds, nothing to see except the lit-up palaces as they stand impressively around the lake. It is an awe-imposing spectacle.
The iconic sites around the lake include Udaipur City Palace, Mohan Mandir, Eklinggarh Fort, Jag Mandir, Pichola Palace etc. The Sitamata Game Sanctuary is located on its western shore.Distance from the City: 5 kmsLocation: Udaipur, Rajasthan"
3,Jagdish Temple,"Built by Maharana Jagat Singh in 1651, Jagdish Temple, situated within the Udaipur City Palace is another one of the great works of architecture from the olden days. It has finely carved pillars, beautifully decorated ceilings, gorgeously painted walls, and spacious halls and corridors. Apart from this, the architectural expertise also extends itself to the pyramidal spire, mandap (prayer hall) and the porch. There are 50 finely carved pillars, each on the first and the second floors of the three storey temple.
The main shrine, dedicated to Lord Vishnu, is reached by climbing 32 marble steps and it is encircled by minor shrines of Lord Ganesha, Sun God, Goddess Shakti and Lord Shiva respectively. All the fine details of the palatial temple are built in accordance with the Vedic Vaastushastra, which speaks of the science of building. The entire structure today serves not only as a place of worship but also as an initiation into the culture of the people of the past.
It shows how highly they regarded architecture as a means of expression of sentiments; the construction of this temple cost Jagat Singh 1.5 million rupees. It is a magnificent temple and a must see when in Udaipur. Do include a visit to this temple on your visit to the City Palace. It is open practically all day- from 5.30 am to 10pm.Distance from the City: 3.3 kmsLocation: City Palace, Udaipur"
4,Monsoon Palace,"Sitting on a hill just outside the main Udaipur city is the Monsoon Palace, undisputedly one of the best places to visit in Udaipur. The palace was built in 1884 by Maharana Sajjan Singh in order to be able to monitor the approaching monsoon clouds better. Monsoon Palace is a majestic piece of architecture. It is built with white marble and has light, wide corridors and rooms within. But the best thing about the palace is the view from its windows.
Monsoon Palace looks down at Lake Pichola and beyond the lake is a panoramic, birds-eye view of the city of Udaipur embraced by the Aravalli range. Words cannot describe the beauty of this scene adequately enough. The view is enhanced multi-folds s during the monsoon season. During the rainy season, Monsoon Palace is uniquely suited to present to the visitor the majesty of Udaipur as dark clouds descend upon it.
It is truly a scene to remember. But on the other hand, sunsets here are also absolutely fantastic. Try to include at least one sighting on your visit. The palace is circled by the Sajjangarh Wildlife Sanctuary, so you can stroll through the sanctuary inhabited by Tiger, Nilgai, Sambhar Deer and various other animals.
Distance from the City: 5km from the main town
Location: Outskirts of Udaipur
Open: 9.40am to 6.30pm"
5,Fateh Sagar Lake,"The Fateh Sagar Lake is known to be the second largest lake in this city, is located on the northern side of Lake Pichola and is just opposite the entrance to Moti Magri Mahal. This artificial lake was built by Maharana Jai Singh in 1678 and got its name from Maharana Fateh Singh. This water body has a depth of 11.5 metres and extends 2.4 km in length and 1.6 km in breadth.There are three intake channels and one overflow channel in the lake that actually comes in play during the monsoon season. The three small islands on the lake can be easily reached by a boat. The large island on the lake has a garden and a boat shaped restaurant named Nehru Park. This island also has a small zoo and is a favourite picnic place for the local people. The second island on the lake has been converted into a beautiful garden with a lot of water jet fountains and is looked after by the government of the state. The third island is managed by the Udaipur Solar Observatory which is known as the best solar observing site in Asia.This is a quiet place and one can enjoy a boat ride here. The beautiful lake is encircled by hills on all the three sides and offers a stunning view which is considered to be places to visit in Udaipur.
Distance from the City: 6 kms"
6,Vintage Car Museum,"The vintage car museum in Udaipur was unveiled for the general public on 15th February 2000 and is one of the places to visit in Udaipur. This inauguration has allowed the local and foreign visitors to appreciate the collection of cars of the Maharanas of Mewar. The vehicles in the museum are more than 70 years old but each have been beautifully restored and live in to tell the story.
The vintage car collection is placed in the Mewar State Motor Garage. This place is also home to a famous garden restaurant, The Bougainvillea. This motor garage is semi-circular in shape and with its forecourt is housed inside a bigger courtyard. There is an old Shell petrol pump inside the garage which is still in working condition. This garage was built during a time when only the Maharanas of Mewar had owned the cars.Location: Near By The Garden Hotel, Gulab Bagh Rd, Shakti Nagar, Udaipur, Rajasthan 313001Distance from the City: 3.2 kmsTimings: 9 am to 8 pm"
7,Jaisamand Lake,"Lake, also popular as Jaisamand Lake. This is the second largest artificial lake in Asia with an area of 87 square kilometres. The lake is surrounded by the Jaisamand Wildlife Sanctuary. As a result, the entire location is very scenic and peaceful. The huge lake was built in the 17th century by Rana Jal Singh, who constructed a marble dam across the Gomti River, thereby creating this lake. There are three islands in this lake which are home to the tribes of Bhil Minas.
Thanks to the nearby sanctuary, the aquatic life of the Jaisamand Lake is fertile too. The whole lake is a magnificent structure but its bund is perhaps its most striking feature. It is no exaggeration to call it gigantic at 202 feet long, 116 feet high and 70 feet broad (at the base). All along the marble dam are quaint little attractions like the Shiva temple, the elephant statue made of marble, and six exotic cenotaphs (marble chattris).
And crowning the lake stands the grand palaces of the Queens of Udaipur. The lake is a marvellous example of riverine architecture and a place to behold. Visit it in the winter months for the best possible experience. You can take boat rides on the lake for as little as 30/- INR. And then you can stop by the Jaisamand Wildlife Sanctuary and experience the wildlife there.Distance from Udaipur: 75 kmsLocation: South of Udaipur, Udaipur District"
8,Jagmandir,"Known as Lake Garden Palace, Jag Mandir has been built on the island of Lake Pichola. The construction of this structure has been credited to the three Maharanas of Mewar. This palace was started by the Maharana Amar Singh in the year of 1551 and was later carried on by Maharana Karan Singh and completed by Maharana Jagat Singh. Hence it is called Jagat Mandir or Jag Mandir.
Serving as a summer resort and pleasure area for the royal family of Mewar, this place is also famous for holding parties and wedding functions. In here you will find Gul Mahal, Darikhana, Garden Courtyard, Bara Patharon ka Mahal, Zenana Mahal, and Kunwar Pada ka Mahal.   
Jag Mandir is the main palace and it includes the Gul Mahal. The towers at the corner are octagonal in shape and have cupolas on the top. Residential suites, reception halls and internal courts adorn the palace.
The architecture of the building reflects Mughal and Rajput style. The Zenana Mahal is constructed adjoining to the main temple and the Kunwar Pada ka Mahal is located at the western end of the structure. The Gul Mahal was built by Maharana Amar Singh and it was developed by Maharana Jagat Singh for housing the Mughal prince Khurram. The palace has been built with sandstone, black marble, and has a crescent of Islam fixed on the dome of the structure.Location: Pichola, Udaipur, Rajasthan 313001Distance from the City: 1.2 Kms"
9,Maharana Pratap Memorial,"This is one of the famous, low-key sites in Udaipur. The Maharana Pratap Memorial was built by Maharana Bhagwat Singh Mewar in memory of the legendary Maharana Pratap. The central figure of the memorial site is that of Maharana Pratap mounted on his horse and loyal friend, Chetak. The statue is symbolic because it tells a story of courage and faithfulness and deep love between humans and animals. Both Maharana Pratap and Chetak are the heroes of this story.Apart from this statue, the memorial also has statues of other members of Pratap’s court like Hakim Khan Sur, Bhamashah, Bhilu Raja, and Jhalaman. The memorials are set in the landscaped Japanese Rock Garden. You can take a pleasant stroll around the entire garden, stretch your legs, and look down from Moti Magri to the city around you. The remains of an old Udaipur Fort nearby are an added attraction to the already picturesque landscape.Photographers, make sure your batteries are charged and your focus is set because you are going to take a lot of pictures out here. The place just calls for them. Early morning or evening is a good time to visit the memorial. Avoid scorching afternoon heat and if you go in the evening, you get to watch the light and sound show too. A win-win situation.Location: Moti Magri, Udaipur
Distance from the City: 2 Km"
