,City,Link
0,Delhi City,/delhi/delhi-city
1,Agra,/uttar-pradesh/agra
2,Panjim (Goa),/goa/panjim
3,Varanasi,/uttar-pradesh/varanasi
4,Shimla,/himachal/shimla
5,Haridwar,/uttarakhand/haridwar
6,Ooty,/tamilnadu/ooty
7,Jaipur,/rajasthan/jaipur
8,Tirupati,/andhra/tirupati
9,Andaman Islands,/andaman-nicobar/andaman-islands
10,Munnar,/kerala/munnar
11,Shirdi,/maharashtra/shirdi
12,Manali,/himachal/manali
13,Alleppey,/kerala/alleppey
14,Somnath,/gujarat/somnath
15,Ajanta Caves,/maharashtra/ajanta-caves
16,Nainital,/uttarakhand/nainital
17,Amritsar,/punjab/amritsar
18,Darjeeling,/west-bengal/darjeeling
19,Rameshwaram,/tamilnadu/rameshwaram
20,Pondicherry,/pondicherry/pondicherry
21,Mysore,/karnataka/mysore
22,Rishikesh,/uttarakhand/rishikesh
23,Puri,/orissa/puri
24,Mumbai,/maharashtra/mumbai
25,Hampi,/karnataka/hampi
26,Kumarakom,/kerala/kumarakom
27,Madurai,/tamilnadu/madurai
28,Coorg,/karnataka/coorg
29,Udaipur,/rajasthan/udaipur
30,Kanchipuram,/tamilnadu/kanchipuram
31,Jim Corbett National Park,/uttarakhand/jim-corbett-national-park
32,Mussoorie,/uttarakhand/mussoorie
33,Hyderabad,/telangana/hyderabad
34,Mahabaleshwar,/maharashtra/mahabaleshwar
35,Kovalam,/kerala/kovalam
36,Jodhpur,/rajasthan/jodhpur
37,Ahmedabad,/gujarat/ahmedabad
38,Kodaikanal,/tamilnadu/kodaikanal
39,Thekkady,/kerala/thekkady
40,Ellora Caves,/maharashtra/ellora-caves
41,Khajuraho,/madhya-pradesh/khajuraho
42,Kaziranga National Park,/assam/kaziranga-national-park
43,Chikmagalur,/karnataka/chikmagalur
44,Sabarimala,/kerala/sabarimala
45,Konark,/orissa/konark
46,Gir National Park,/gujarat/gir-national-park
47,Mahabalipuram,/tamilnadu/mahabalipuram
48,Gangtok,/sikkim/gangtok
49,Jaisalmer,/rajasthan/jaisalmer
50,Bandhavgarh National Park,/madhya-pradesh/bandhavgarh-national-park
51,Athirapally Waterfalls,/kerala/athirapally-waterfalls
52,Wayanad,/kerala/wayanad
53,Nagarhole National Park,/karnataka/nagarhole-national-park
54,Kanyakumari,/tamilnadu/kanyakumari
55,Dharamshala,/himachal/dharamshala
56,Ranthambore National Park,/rajasthan/ranthambore-national-park
57,Shillong,//shillong
58,Thanjavur,/tamilnadu/thanjavur
59,Ganpatipule,/maharashtra/ganpatipule
60,Bandipur National Park,/karnataka/bandipur-national-park
61,Cherrapunji,//cherrapunji
62,Hogenakkal,/tamilnadu/hogenakkal
63,Dwarka,/gujarat/dwarka
64,Kullu,/himachal/kullu
65,Mathura,/uttar-pradesh/mathura
66,Bangalore,/karnataka/bangalore
67,Rann Of Kutch,/gujarat/rann-of-kutch
68,Tiruchirappalli,/tamilnadu/tiruchirappalli
69,Gokarna,/karnataka/gokarna
70,Alibaug,/maharashtra/alibaug
71,Ajmer,/rajasthan/ajmer
72,Kochi,/kerala/kochi
73,Kedarnath,/uttarakhand/kedarnath
74,Shivanasamudra Falls,/karnataka/shivanasamudra-falls
75,Bhubaneswar,/orissa/bhubaneswar
76,Lonavala,/maharashtra/lonavala
77,Tadoba National Park,/maharashtra/tadoba-national-park
78,Valley Of Flowers,/uttarakhand/valley-of-flowers
79,Vizag,/andhra/vizag
80,Pelling,/sikkim/pelling
81,Dandeli,/karnataka/dandeli
82,Badrinath,/uttarakhand/badrinath
83,Bikaner,/rajasthan/bikaner
84,Chidambaram,/tamilnadu/chidambaram
85,Guwahati,/assam/guwahati
86,Dalhousie,/himachal/dalhousie
87,Shravanabelagola,/karnataka/shravanabelagola
88,Pune,/maharashtra/pune
89,Vrindavan,/uttar-pradesh/vrindavan
90,Almora,/uttarakhand/almora
91,Srisailam,/andhra/srisailam
92,Murudeshwar,/karnataka/murudeshwar
93,Trivandrum,/kerala/trivandrum
94,Udupi,/karnataka/udupi
95,Nashik,/maharashtra/nashik
96,Gwalior,/madhya-pradesh/gwalior
97,Chittorgarh,/rajasthan/chittorgarh
98,Lachung,/sikkim/lachung
99,Kumbakonam,/tamilnadu/kumbakonam
