,City,Link
0,Taj Mahal,/uttar-pradesh/agra/taj-mahal
1,Agra Fort / Agra Red Fort,/uttar-pradesh/agra/agra-fort-agra-red-fort
2,Tomb Of Itimad-ud-Daulah / Baby Taj,/uttar-pradesh/agra/tomb-of-itimad-ud-daulah-baby-taj
3,Akbar's Tomb - Sikandra,/uttar-pradesh/agra/akbars-tomb-sikandra
4,Fatehpur Sikri,/uttar-pradesh/fatehpur-sikri
5,Jahangiri Mahal - Agra Fort,/uttar-pradesh/agra/jahangiri-mahal-agra-fort
6,Khas Mahal - Agra Fort,/uttar-pradesh/agra/khas-mahal-agra-fort
7,Diwan-i-Am - Agra Fort,/uttar-pradesh/agra/diwan-i-am-agra-fort
8,Diwan-i-Khas - Agra Fort,/uttar-pradesh/agra/diwan-i-khas-agra-fort
9,Moti Masjid / Pearl Mosque - Agra Fort,/uttar-pradesh/agra/moti-masjid-pearl-mosque-agra-fort
10,Akbari Mahal - Agra Fort,/uttar-pradesh/agra/akbari-mahal-agra-fort
11,Nagina Masjid - Agra Fort,/uttar-pradesh/agra/nagina-masjid-agra-fort
12,Macchi Bhawan - Agra Fort,/uttar-pradesh/agra/macchi-bhawan-agra-fort
13,Jama Masjid,/uttar-pradesh/agra/jama-masjid
14,Mathura,/uttar-pradesh/mathura
15,Vrindavan,/uttar-pradesh/vrindavan
16,Mariam-uz-Zamani Tomb,/uttar-pradesh/agra/mariam-uz-zamani-tomb
17,Chini Ka Rauza,/uttar-pradesh/agra/chini-ka-rauza
18,Soami Bagh Temple / Radha Soami Samadhi,/uttar-pradesh/agra/soami-bagh-temple-radha-soami-samadhi
19,Mehtab Bagh,/uttar-pradesh/agra/mehtab-bagh
20,Ram Bagh Garden,/uttar-pradesh/agra/ram-bagh-garden
21,Taj Museum,/uttar-pradesh/agra/taj-museum
22,Jaswant Singh Ki Chhatri,/uttar-pradesh/agra/jaswant-singh-ki-chhatri
23,Mankameshwar Temple,/uttar-pradesh/agra/mankameshwar-temple
24,Bateshwar,/uttar-pradesh/agra/bateshwar
25,"Keoladeo National Park / Bharatpur Bird Sanctuary, Near Fatehpur Sikri",/uttar-pradesh/fatehpur-sikri/keoladeo-national-park-bharatpur-bird-sanctuary
