,City,Link
0,Sabarmati Ashram,/gujarat/ahmedabad/sabarmati-ashram
1,Swaminarayan Akshardham Temple,/gujarat/ahmedabad/swaminarayan-akshardham-temple
2,Adalaj Stepwell,/gujarat/ahmedabad/adalaj-stepwell
3,Jama Masjid,/gujarat/ahmedabad/jama-masjid
4,Sabarmati Riverfront,/gujarat/ahmedabad/sabarmati-riverfront
5,Kankaria Lake,/gujarat/ahmedabad/kankaria-lake
6,Bhadra Fort,/gujarat/ahmedabad/bhadra-fort
7,Kalupur Swaminarayan Temple,/gujarat/ahmedabad/kalupur-swaminarayan-temple
8,ISKCON Radha Krishna Temple,/gujarat/ahmedabad/iskcon-radha-krishna-temple
9,Sardar Vallabhbhai Patel National Memorial,/gujarat/ahmedabad/sardar-vallabhbhai-patel-national-memorial
10,Jhulta Minar / Shaking Minarets,/gujarat/ahmedabad/jhulta-minar-shaking-minarets
11,Calico Museum Of Textiles,/gujarat/ahmedabad/calico-museum-of-textiles
12,Hutheesing Jain Temple,/gujarat/ahmedabad/hutheesing-jain-temple
13,Auto World Vintage Car Museum,/gujarat/ahmedabad/auto-world-vintage-car-museum
14,Sidi Sayed Jali Mosque,/gujarat/ahmedabad/sidi-sayed-jali-mosque
15,Sarkhej Roza,/gujarat/ahmedabad/sarkhej-roza
16,Vaishnodevi Temple,/gujarat/ahmedabad/vaishnodevi-temple
17,Shree Camp Hanumanji Mandir,/gujarat/ahmedabad/shree-camp-hanumanji-mandir
18,Dada Harir Vav,/gujarat/ahmedabad/dada-harir-vav
19,Science City,/gujarat/ahmedabad/science-city
20,Manek Chowk,/gujarat/ahmedabad/manek-chowk
21,Nalsarovar Bird Sanctuary,/gujarat/ahmedabad/nalsarovar-bird-sanctuary
22,Lothal,/gujarat/ahmedabad/lothal
