,City,Link
0,Cave 1,/maharashtra/ajanta-caves/cave-1
1,Cave 2,/maharashtra/ajanta-caves/cave-2
2,Cave 4,/maharashtra/ajanta-caves/cave-4
3,Cave 16,/maharashtra/ajanta-caves/cave-16
4,Cave 17 & 18,/maharashtra/ajanta-caves/cave-17-18
5,Cave 19,/maharashtra/ajanta-caves/cave-19
6,Cave 26,/maharashtra/ajanta-caves/cave-26
7,Cave 5 To 8,/maharashtra/ajanta-caves/cave-5-to-8
8,Cave 9 To 11,/maharashtra/ajanta-caves/cave-9-to-11
9,Cave 12 To 15,/maharashtra/ajanta-caves/cave-12-to-15
10,Cave 20 To 25,/maharashtra/ajanta-caves/cave-20-to-25
11,Cave 27 To 29,/maharashtra/ajanta-caves/cave-27-to-29
12,Ellora Caves,/maharashtra/ellora-caves
13,Aurangabad,/maharashtra/aurangabad
