,City,Link
0,Ajmer Dargah Sharif,/rajasthan/ajmer/ajmer-dargah-sharif
1,Anasagar Lake & Daulat Bagh,/rajasthan/ajmer/anasagar-lake-daulat-bagh
2,Adhai Din Ka Jhopra,/rajasthan/ajmer/adhai-din-ka-jhopra
3,Nasiyan Jain Temple / Soni Ji Ki Nasiyan,/rajasthan/ajmer/nasiyan-jain-temple-soni-ji-ki-nasiyan
4,Nareli Jain Temple,/rajasthan/ajmer/nareli-jain-temple
5,Mayo College & Museum,/rajasthan/ajmer/mayo-college-museum
6,Taragarh Fort,/rajasthan/ajmer/taragarh-fort
7,Akbar Palace & Museum,/rajasthan/ajmer/akbar-palace-museum
8,Foy Sagar Lake,/rajasthan/ajmer/foy-sagar-lake
9,Kishangarh,/rajasthan/ajmer/kishangarh
10,Jaipur,/rajasthan/jaipur
