,City,Link
0,Alibaug Beach,/maharashtra/alibaug/alibaug-beach
1,Kolaba Fort / Alibaug Fort,/maharashtra/alibaug/kolaba-fort-alibaug-fort
2,Nagaon Beach,/maharashtra/alibaug/nagaon-beach
3,Murud - Janjira Fort,/maharashtra/alibaug/murud-janjira-fort
4,Kashid Beach,/maharashtra/alibaug/kashid-beach
5,Revdanda Fort & Beach,/maharashtra/alibaug/revdanda-fort-beach
6,Varsoli Beach,/maharashtra/alibaug/varsoli-beach
7,Akshi Beach,/maharashtra/alibaug/akshi-beach
8,Mandwa Beach,/maharashtra/alibaug/mandwa-beach
9,Kelshi Beach,/maharashtra/alibaug/kelshi-beach
10,Anjarle Beach & Ganesh Temple,/maharashtra/alibaug/anjarle-beach-ganesh-temple
11,Velas Beach,/maharashtra/alibaug/velas-beach
12,Kihim Beach,/maharashtra/alibaug/kihim-beach
13,Korlai Fort & Lighthouse,/maharashtra/alibaug/korlai-fort-lighthouse
14,Murud Beach,/maharashtra/alibaug/murud-beach
15,Diveagar Beach,/maharashtra/alibaug/diveagar-beach
16,Harihareshwar Beach & Temple,/maharashtra/alibaug/harihareshwar-beach-temple
17,Shrivardhan Beach,/maharashtra/alibaug/shrivardhan-beach
18,Kondivli Beach,/maharashtra/alibaug/kondivli-beach
