,City,Link
0,Alleppey Backwater Cruises,/kerala/alleppey/alleppey-backwater-cruises
1,Alappuzha Beach,/kerala/alleppey/alappuzha-beach
2,Sri Krishna Temple - Ambalapuzha,/kerala/alleppey/sri-krishna-temple-ambalapuzha
3,Kuttanad,/kerala/alleppey/kuttanad
4,Nehru Trophy Boat Race,/kerala/alleppey/nehru-trophy-boat-race
5,Bhagawathy Temple - Chettikulangara,/kerala/alleppey/bhagawathy-temple-chettikulangara
6,Arthunkal Church,/kerala/alleppey/arthunkal-church
7,Mullakkal Raja Rajeswari Temple,/kerala/alleppey/mullakkal-raja-rajeswari-temple
8,Krishnapuram Palace,/kerala/alleppey/krishnapuram-palace
9,Champakulam,/kerala/alleppey/champakulam
10,Mararikulam Beach,/kerala/alleppey/mararikulam-beach
11,"Pathiramanal Island, Near Kumarakom",/kerala/kumarakom/pathiramanal-island
12,Kumarakom,/kerala/kumarakom
13,Nagaraja Temple - Mannarsala,/kerala/alleppey/nagaraja-temple-mannarsala
14,"Sri Vallabha Temple - Thiruvalla, Near Kottayam",/kerala/kottayam/sri-vallabha-temple-thiruvalla
15,"Aranmula, Near Pathanamthitta",/kerala/pathanamthitta/aranmula
