,City,Link
0,Katarmal Sun Temple,/uttarakhand/almora/katarmal-sun-temple
1,Jageshwar Dham,/uttarakhand/almora/jageshwar-dham
2,Chitai Golu Devta Temple,/uttarakhand/almora/chitai-golu-devta-temple
3,Nanda Devi Temple,/uttarakhand/almora/nanda-devi-temple
4,Binsar Wildlife Sanctuary,/uttarakhand/almora/binsar-wildlife-sanctuary
5,Govind Ballabh Pant Government Museum,/uttarakhand/almora/govind-ballabh-pant-government-museum
6,Kasar Devi Temple,/uttarakhand/almora/kasar-devi-temple
7,Bright End Corner,/uttarakhand/almora/bright-end-corner
8,Mrig Vihar Zoo / Deer Park,/uttarakhand/almora/mrig-vihar-zoo-deer-park
9,"Dwarahat, Near Ranikhet",/uttarakhand/ranikhet/dwarahat
10,"Dunagiri Temple, Near Ranikhet",/uttarakhand/ranikhet/dunagiri-temple
