,City,Link
0,Golden Temple / Harmandir Sahib,/punjab/amritsar/golden-temple-harmandir-sahib
1,Jallianwala Bagh,/punjab/amritsar/jallianwala-bagh
2,Wagah Border,/punjab/amritsar/wagah-border
3,Durgiana Temple,/punjab/amritsar/durgiana-temple
4,Tarn Taran,/punjab/amritsar/tarn-taran
5,Maharaja Ranjit Singh Museum,/punjab/amritsar/maharaja-ranjit-singh-museum
6,Gobindgarh Fort,/punjab/amritsar/gobindgarh-fort
7,Punjab State War Heroes Memorial & Museum,/punjab/amritsar/punjab-state-war-heroes-memorial-museum
8,Harike Wetland & Sanctuary,/punjab/amritsar/harike-wetland-sanctuary
9,Pul Kanjari,/punjab/amritsar/pul-kanjari
10,Gurudwara Goindwal & Baoli Sahib,/punjab/amritsar/gurudwara-goindwal-baoli-sahib
11,Iskcon Temple,/punjab/amritsar/iskcon-temple
12,Khalsa College,/punjab/amritsar/khalsa-college
13,Mata Lal Devi Mandir,/punjab/amritsar/mata-lal-devi-mandir
14,Gurudwara Bir Baba Budha Sahib,/punjab/amritsar/gurudwara-bir-baba-budha-sahib
15,Dera Baba Jaimal Singhji,/punjab/amritsar/dera-baba-jaimal-singhji
16,Khairuddin Masjid,/punjab/amritsar/khairuddin-masjid
17,Gurudwara Guru Ka Mahal,/punjab/amritsar/gurudwara-guru-ka-mahal
18,Gurudwara Mata Kaulan,/punjab/amritsar/gurudwara-mata-kaulan
