,City,Link
0,Radhanagar Beach - Havelock Island,/andaman-nicobar/andaman-islands/radhanagar-beach-havelock-island
1,Elephant Beach - Havelock Island,/andaman-nicobar/andaman-islands/elephant-beach-havelock-island
2,Cellular Jail - Port Blair,/andaman-nicobar/andaman-islands/cellular-jail-port-blair
3,Mahatma Gandhi Marine National Park,/andaman-nicobar/andaman-islands/mahatma-gandhi-marine-national-park
4,Chidiya Tapu - Port Blair,/andaman-nicobar/andaman-islands/chidiya-tapu-port-blair
5,Ross Island - Port Blair,/andaman-nicobar/andaman-islands/ross-island-port-blair
6,Bharatpur Beach - Neil Island,/andaman-nicobar/andaman-islands/bharatpur-beach-neil-island
7,Laxmanpur Beach - Neil Island,/andaman-nicobar/andaman-islands/laxmanpur-beach-neil-island
8,Water Sports Complex - Port Blair,/andaman-nicobar/andaman-islands/water-sports-complex-port-blair
9,Sea Walk - Havelock Island,/andaman-nicobar/andaman-islands/sea-walk-havelock-island
10,Scuba Diving & Snorkeling - Havelock Island,/andaman-nicobar/andaman-islands/scuba-diving-snorkeling-havelock-island
11,Scuba Diving & Snorkeling - Neil Island,/andaman-nicobar/andaman-islands/scuba-diving-snorkeling-neil-island
12,Samudrika Marine Museum - Port Blair,/andaman-nicobar/andaman-islands/samudrika-marine-museum-port-blair
13,Mount Harriet National Park - Port Blair,/andaman-nicobar/andaman-islands/mount-harriet-national-park-port-blair
14,Neil Island,/andaman-nicobar/andaman-islands/neil-island
15,Sitapur Beach - Neil Island,/andaman-nicobar/andaman-islands/sitapur-beach-neil-island
16,North Bay Island,/andaman-nicobar/andaman-islands/north-bay-island
17,Little Andaman Island,/andaman-nicobar/andaman-islands/little-andaman-island
18,Long Island,/andaman-nicobar/andaman-islands/long-island
19,Ross & Smith Islands - Diglipur,/andaman-nicobar/andaman-islands/ross-smith-islands-diglipur
20,Viper Island - Port Blair,/andaman-nicobar/andaman-islands/viper-island-port-blair
21,Cinque Island,/andaman-nicobar/andaman-islands/cinque-island
22,Corbyn's Cove Beach - Port Blair,/andaman-nicobar/andaman-islands/corbyns-cove-beach-port-blair
23,Anthropological Museum - Port Blair,/andaman-nicobar/andaman-islands/anthropological-museum-port-blair
24,Baratang Island,/andaman-nicobar/andaman-islands/baratang-island
25,Sea Walk & Snorkeling - North Bay Island,/andaman-nicobar/andaman-islands/sea-walk-snorkeling-north-bay-island
26,Scuba Diving - Marine National Park,/andaman-nicobar/andaman-islands/scuba-diving-marine-national-park
27,Chatham Saw Mill - Port Blair,/andaman-nicobar/andaman-islands/chatham-saw-mill-port-blair
28,Kalapathar Beach - Havelock Island,/andaman-nicobar/andaman-islands/kalapathar-beach-havelock-island
29,Wandoor Beach,/andaman-nicobar/andaman-islands/wandoor-beach
30,Havelock Island,/andaman-nicobar/andaman-islands/havelock-island
