,City,Link
0,Badrinath Temple,/uttarakhand/badrinath/badrinath-temple
1,Brahma Kapal,/uttarakhand/badrinath/brahma-kapal
2,Vyas Gufa / Vyas Cave,/uttarakhand/badrinath/vyas-gufa-vyas-cave
3,Charan Paduka,/uttarakhand/badrinath/charan-paduka
4,Tapt Kund,/uttarakhand/badrinath/tapt-kund
5,Mana Village,/uttarakhand/badrinath/mana-village
6,Vasudhara Falls,/uttarakhand/badrinath/vasudhara-falls
7,Satopanth Lake,/uttarakhand/badrinath/satopanth-lake
8,Swargarohini,/uttarakhand/badrinath/swargarohini
9,Nilkantha Peak,/uttarakhand/badrinath/nilkantha-peak
10,Mata Murti Temple,/uttarakhand/badrinath/mata-murti-temple
11,Sheshnetra,/uttarakhand/badrinath/sheshnetra
12,Pandukeshwar,/uttarakhand/badrinath/pandukeshwar
13,Hemkund Sahib / Gurudwara Sri Hemkunt Sahib,/uttarakhand/badrinath/hemkund-sahib-gurudwara-sri-hemkunt-sahib
14,Joshimath,/uttarakhand/badrinath/joshimath
15,Vishnuprayag,/uttarakhand/badrinath/vishnuprayag
