,City,Link
0,Visweswaraiah Industrial & Technological Museum,/karnataka/bangalore/visweswaraiah-industrial-technological-museum
1,Lalbagh Botanical Gardens,/karnataka/bangalore/lalbagh-botanical-gardens
2,ISKCON Temple,/karnataka/bangalore/iskcon-temple
3,Bangalore Palace,/karnataka/bangalore/bangalore-palace
4,Tipu Sulthan's Palace,/karnataka/bangalore/tipu-sulthans-palace
5,Dodda Ganapathi Temple,/karnataka/bangalore/dodda-ganapathi-temple
6,Bull Temple / Basavanagudi Nandi Temple,/karnataka/bangalore/bull-temple-basavanagudi-nandi-temple
7,Vidhan Soudha,/karnataka/bangalore/vidhan-soudha
8,Bilikal Rangaswamy Betta,/karnataka/bangalore/bilikal-rangaswamy-betta
9,Skandagiri / Kalavara Durga,/karnataka/bangalore/skandagiri-kalavara-durga
10,Avani,/karnataka/bangalore/avani
11,Ranganatha Swamy Temple - Magadi,/karnataka/bangalore/ranganatha-swamy-temple-magadi
12,Someshwara Temple - Magadi,/karnataka/bangalore/someshwara-temple-magadi
13,"Kaigal Falls / Dumukurallu Waterfalls, Near Kanipakam",/andhra/kanipakam/kaigal-falls-dumukurallu-waterfalls
14,Lepakshi,/andhra/lepakshi
15,Attara Kacheri (High Court),/karnataka/bangalore/attara-kacheri
16,Cubbon Park,/karnataka/bangalore/cubbon-park
17,The Govt. Museum,/karnataka/bangalore/the-govt-museum
18,Venkatappa Art Gallery,/karnataka/bangalore/venkatappa-art-gallery
19,Kemp Fort Shiva Temple,/karnataka/bangalore/kemp-fort-shiva-temple
20,Banashankari Temple,/karnataka/bangalore/banashankari-temple
21,The Tipu's Fort,/karnataka/bangalore/the-tipus-fort
22,Jawaharlal Nehru Planetarium,/karnataka/bangalore/jawaharlal-nehru-planetarium
23,Sri Gavi Gangadhareswara Temple,/karnataka/bangalore/sri-gavi-gangadhareswara-temple
24,St. Mary's Basilica,/karnataka/bangalore/st-marys-basilica
25,Ulsoor Lake,/karnataka/bangalore/ulsoor-lake
26,Bannerghatta National Park,/karnataka/bangalore/bannerghatta-national-park
27,Janapada Loka / Folk Art Museum,/karnataka/bangalore/janapada-loka-folk-art-museum
28,St Mark's Cathedral,/karnataka/bangalore/st-marks-cathedral
29,Gandhi Bhavan,/karnataka/bangalore/gandhi-bhavan
30,Sangama & Mekedatu,/karnataka/bangalore/sangama-mekedatu
31,Nandi Hills,/karnataka/bangalore/nandi-hills
32,Shivaganga Hill,/karnataka/bangalore/shivaganga-hill
33,Devarayanadurga,/karnataka/bangalore/devarayanadurga
34,Muthyala Maduvu,/karnataka/bangalore/muthyala-maduvu
35,Lumbini Gardens,/karnataka/bangalore/lumbini-gardens
36,Chunchi Falls,/karnataka/bangalore/chunchi-falls
37,Madhugiri,/karnataka/bangalore/madhugiri
38,"Kokkare Bellur Bird Sanctuary, Near Mysore",/karnataka/mysore/kokkare-bellur-bird-sanctuary
39,Bhoga Nandeeshwara Temple - Nandi,/karnataka/bangalore/bhoga-nandeeshwara-temple-nandi
40,Srirangapatna,/karnataka/srirangapatna
41,Shivanasamudra Falls,/karnataka/shivanasamudra-falls
42,Mysore,/karnataka/mysore
43,Shravanabelagola,/karnataka/shravanabelagola
44,Nrityagram,/karnataka/bangalore/nrityagram
45,Kotilingeshwara,/karnataka/bangalore/kotilingeshwara
46,Anthargange,/karnataka/bangalore/anthargange
47,Kolar,/karnataka/bangalore/kolar
48,Kurudumale,/karnataka/bangalore/kurudumale
49,Big Banyan Tree / Dodda Alada Mara,/karnataka/bangalore/big-banyan-tree-dodda-alada-mara
50,Ramanagara,/karnataka/bangalore/ramanagara
51,Ghati Subramanya Temple,/karnataka/bangalore/ghati-subramanya-temple
52,Bheemeshwari,/karnataka/bangalore/bheemeshwari
53,Savandurga Hills,/karnataka/bangalore/savandurga-hills
54,Makalidurga,/karnataka/bangalore/makalidurga
