,City,Link
0,Lingaraja Temple,/orissa/bhubaneswar/lingaraja-temple
1,Brahmeswara Temple,/orissa/bhubaneswar/brahmeswara-temple
2,Ananta Vasudeva Temple,/orissa/bhubaneswar/ananta-vasudeva-temple
3,Udayagiri & Khandagiri Caves,/orissa/bhubaneswar/udayagiri-khandagiri-caves
4,Mukteswara Temple,/orissa/bhubaneswar/mukteswara-temple
5,Rajarani Temple,/orissa/bhubaneswar/rajarani-temple
6,Shri Ram Mandir,/orissa/bhubaneswar/shri-ram-mandir
7,Puri,/orissa/puri
8,Konark,/orissa/konark
9,Bhaskareswara Temple,/orissa/bhubaneswar/bhaskareswara-temple
10,Kedar Gauri Temple,/orissa/bhubaneswar/kedar-gauri-temple
11,Regional Museum Of Natural History,/orissa/bhubaneswar/regional-museum-of-natural-history
12,Bindu Sagar Lake / Bindu Sarovar,/orissa/bhubaneswar/bindu-sagar-lake-bindu-sarovar
13,Nandankanan Zoological Park,/orissa/bhubaneswar/nandankanan-zoological-park
14,Dhauligiri Hills,/orissa/bhubaneswar/dhauligiri-hills
15,Parashurameswara Temple,/orissa/bhubaneswar/parashurameswara-temple
16,ISKCON Temple,/orissa/bhubaneswar/iskcon-temple
17,Vaital Deula Temple,/orissa/bhubaneswar/vaital-deula-temple
18,Mohini Temple,/orissa/bhubaneswar/mohini-temple
19,Odisha State Museum,/orissa/bhubaneswar/odisha-state-museum
20,Museum Of Tribal Arts & Artifacts,/orissa/bhubaneswar/museum-of-tribal-arts-artifacts
21,Chausath Yogini Temple - Haripur,/orissa/bhubaneswar/chausath-yogini-temple-haripur
