,City,Link
0,Junagarh Fort,/rajasthan/bikaner/junagarh-fort
1,Lalgarh Palace & Museum,/rajasthan/bikaner/lalgarh-palace-museum
2,Bhandasar Jain Temple,/rajasthan/bikaner/bhandasar-jain-temple
3,Laxmi Niwas Palace,/rajasthan/bikaner/laxmi-niwas-palace
4,Ganga Singh Museum,/rajasthan/bikaner/ganga-singh-museum
5,Rampuria Group Of Havelis,/rajasthan/bikaner/rampuria-group-of-havelis
6,Desert Camel Safari,/rajasthan/bikaner/desert-camel-safari
7,Gajner Palace & Lake,/rajasthan/bikaner/gajner-palace-lake
8,Gajner Wildlife Sanctuary,/rajasthan/bikaner/gajner-wildlife-sanctuary
9,Karni Mata Temple - Deshnok,/rajasthan/bikaner/karni-mata-temple-deshnok
10,National Research Centre On Camel,/rajasthan/bikaner/national-research-centre-on-camel
11,Shri Laxminath Temple,/rajasthan/bikaner/shri-laxminath-temple
12,Kodamdesar Bhairu Ji Temple,/rajasthan/bikaner/kodamdesar-bhairu-ji-temple
13,Shiv Bari Temple,/rajasthan/bikaner/shiv-bari-temple
14,Devi Kund Sagar,/rajasthan/bikaner/devi-kund-sagar
