,City,Link
0,Nataraja Temple,/tamilnadu/chidambaram/nataraja-temple
1,Pichavaram,/tamilnadu/chidambaram/pichavaram
2,Gangai Konda Cholapuram,/tamilnadu/chidambaram/gangai-konda-cholapuram
3,Thirukkadaiyur,/tamilnadu/chidambaram/thirukkadaiyur
4,Mayiladuthurai,/tamilnadu/chidambaram/mayiladuthurai
5,Vaitheeswaran Koil,/tamilnadu/chidambaram/vaitheeswaran-koil
6,Poompuhar,/tamilnadu/chidambaram/poompuhar
7,Sirkazhi,/tamilnadu/chidambaram/sirkazhi
8,Thillai Kaliamman Temple,/tamilnadu/chidambaram/thillai-kaliamman-temple
9,Sillappathikara Art Gallery,/tamilnadu/chidambaram/sillappathikara-art-gallery
10,Kalvarayan Hills,/tamilnadu/chidambaram/kalvarayan-hills
11,Kumbakonam,/tamilnadu/kumbakonam
