,City,Link
0,Mullayanagiri,/karnataka/chikmagalur/mullayanagiri
1,Baba Budangiri,/karnataka/chikmagalur/baba-budangiri
2,Belur,/karnataka/belur
3,Kavikal Gandi Viewpoint,/karnataka/chikmagalur/kavikal-gandi-viewpoint
4,Hirekolale Lake,/karnataka/chikmagalur/hirekolale-lake
5,Jhari Falls / Buttermilk Falls,/karnataka/chikmagalur/jhari-falls-buttermilk-falls
6,Ayyanakere Lake,/karnataka/chikmagalur/ayyanakere-lake
7,Bhadra Wildlife Sanctuary,/karnataka/chikmagalur/bhadra-wildlife-sanctuary
8,Seethalayanagiri,/karnataka/chikmagalur/seethalayanagiri
9,"Yagachi Dam, Near Belur",/karnataka/belur/yagachi-dam
10,Manikyadhara Falls,/karnataka/chikmagalur/manikyadhara-falls
11,Kodanda Rama Temple - Hiremagalur,/karnataka/chikmagalur/kodanda-rama-temple-hiremagalur
12,Halebidu,/karnataka/halebidu
13,"Belavadi, Near Halebidu",/karnataka/halebidu/belavadi
14,"Amruthapura, Near Kemmanagundi",/karnataka/kemmanagundi/amruthapura
15,Charmady Ghat,/karnataka/chikmagalur/charmady-ghat
16,Devaramane,/karnataka/chikmagalur/devaramane
17,Kemmanagundi,/karnataka/kemmanagundi
18,"Horanadu Annapoorneswari Temple, Near Sringeri",/karnataka/sringeri/horanadu-annapoorneswari-temple
19,"Bhadra Dam, Near Shimoga",/karnataka/shimoga/bhadra-dam
