,City,Link
0,Dandeli Wildlife Sanctuary,/karnataka/dandeli/dandeli-wildlife-sanctuary
1,Syntheri Rock,/karnataka/dandeli/syntheri-rock
2,Kavala Caves,/karnataka/dandeli/kavala-caves
3,Jeep Safari,/karnataka/dandeli/jeep-safari
4,Water Rafting,/karnataka/dandeli/water-rafting
5,Trekking,/karnataka/dandeli/trekking
6,River Crossing,/karnataka/dandeli/river-crossing
7,Ulavi,/karnataka/dandeli/ulavi
8,Sathodi Falls,/karnataka/dandeli/sathodi-falls
9,Magod Falls,/karnataka/dandeli/magod-falls
10,Sykes Point,/karnataka/dandeli/sykes-point
11,Supa Dam,/karnataka/dandeli/supa-dam
12,Kayaking,/karnataka/dandeli/kayaking
13,Bird Watching,/karnataka/dandeli/bird-watching
14,Coracle Ride,/karnataka/dandeli/coracle-ride
15,Zorbing,/karnataka/dandeli/zorbing
16,Canyoning,/karnataka/dandeli/canyoning
