,City,Link
0,Darjeeling Himalayan Railway / Toy Train,/west-bengal/darjeeling/darjeeling-himalayan-railway-toy-train
1,Padmaja Naidu Himalayan Zoological Park,/west-bengal/darjeeling/padmaja-naidu-himalayan-zoological-park
2,Tiger Hill Sunrise Observatory,/west-bengal/darjeeling/tiger-hill-sunrise-observatory
3,Batasia Loop,/west-bengal/darjeeling/batasia-loop
4,Peace Pagoda & Japanese Temple,/west-bengal/darjeeling/peace-pagoda-japanese-temple
5,Observatory Hill & Mahakal Temple,/west-bengal/darjeeling/observatory-hill-mahakal-temple
6,Darjeeling Rangeet Valley Passenger Ropeway,/west-bengal/darjeeling/darjeeling-rangeet-valley-passenger-ropeway
7,Bengal Natural History Museum,/west-bengal/darjeeling/bengal-natural-history-museum
8,Bhutia Busty Monastery,/west-bengal/darjeeling/bhutia-busty-monastery
9,Dali Monastery,/west-bengal/darjeeling/dali-monastery
10,Lloyd's Botanical Garden,/west-bengal/darjeeling/lloyds-botanical-garden
11,Chowrasta Or Darjeeling Mall,/west-bengal/darjeeling/chowrasta-or-darjeeling-mall
12,Mirik,/west-bengal/mirik
13,Teesta Valley Tea Estate,/west-bengal/darjeeling/teesta-valley-tea-estate
14,Singalila National Park,/west-bengal/darjeeling/singalila-national-park
15,Shrubbery Nightingale Park,/west-bengal/darjeeling/shrubbery-nightingale-park
16,Sandakphu & Phalut Trek,/west-bengal/darjeeling/sandakphu-phalut-trek
17,Old Ghoom Monastery / Yiga Choeling Monastery,/west-bengal/darjeeling/old-ghoom-monastery-yiga-choeling-monastery
18,Barbotey Rock Garden,/west-bengal/darjeeling/barbotey-rock-garden
19,Happy Valley Tea Estate,/west-bengal/darjeeling/happy-valley-tea-estate
20,Magdhog Yolmowa Monastery,/west-bengal/darjeeling/magdhog-yolmowa-monastery
21,Dhirdham Temple,/west-bengal/darjeeling/dhirdham-temple
22,Senchal Lake & Wildlife Sanctuary,/west-bengal/darjeeling/senchal-lake-wildlife-sanctuary
23,Neora Valley National Park,/west-bengal/darjeeling/neora-valley-national-park
24,Chapramari Wildlife Sanctuary,/west-bengal/darjeeling/chapramari-wildlife-sanctuary
25,Jhandi Dara Sunrise Point,/west-bengal/darjeeling/jhandi-dara-sunrise-point
26,St. Andrew's Church,/west-bengal/darjeeling/st-andrews-church
27,Tibetan Refugee Self Help Centre,/west-bengal/darjeeling/tibetan-refugee-self-help-centre
