,City,Link
0,Red Fort,/delhi/delhi-city/red-fort
1,Qutub Minar,/delhi/delhi-city/qutub-minar
2,Humayun's Tomb,/delhi/delhi-city/humayuns-tomb
3,Jantar Mantar,/delhi/delhi-city/jantar-mantar
4,Akshardham Temple / Swaminarayan Temple,/delhi/delhi-city/akshardham-temple-swaminarayan-temple
5,Lotus Temple / Bahai Temple,/delhi/delhi-city/lotus-temple-bahai-temple
6,Jama Masjid,/delhi/delhi-city/jama-masjid
7,Raj Ghat,/delhi/delhi-city/raj-ghat
8,Safdarjung Tomb,/delhi/delhi-city/safdarjung-tomb
9,India Gate,/delhi/delhi-city/india-gate
10,Dargah Hazrat Nizamuddin,/delhi/delhi-city/dargah-hazrat-nizamuddin
11,Lodi Garden,/delhi/delhi-city/lodi-garden
12,Birla Mandir / Laksminarayan Temple,/delhi/delhi-city/birla-mandir-laksminarayan-temple
13,Aadya Katyayani Shakti Peeth Mandir - Chhatarpur,/delhi/delhi-city/aadya-katyayani-shakti-peeth-mandir-chhatarpur
14,ISKON Temple,/delhi/delhi-city/iskon-temple
15,National Museum,/delhi/delhi-city/national-museum
16,Mehrauli Archaeological Park,/delhi/delhi-city/mehrauli-archaeological-park
17,National Zoological Park,/delhi/delhi-city/national-zoological-park
18,National Museum Of Natural History,/delhi/delhi-city/national-museum-of-natural-history
19,National Science Centre,/delhi/delhi-city/national-science-centre
20,National Gallery Of Modern Art,/delhi/delhi-city/national-gallery-of-modern-art
21,Alai Minar,/delhi/delhi-city/alai-minar
22,Alai Darwaza,/delhi/delhi-city/alai-darwaza
23,Alauddin Khilji Tomb And Madrasa,/delhi/delhi-city/alauddin-khilji-tomb-and-madrasa
24,Tomb Of Iltutmish,/delhi/delhi-city/tomb-of-iltutmish
25,Isa Khan's Tomb And Mosque,/delhi/delhi-city/isa-khans-tomb-and-mosque
26,Chausath Khamba / Chaunsath Khamba,/delhi/delhi-city/chausath-khamba-chaunsath-khamba
27,Barakhamba,/delhi/delhi-city/barakhamba
28,Old Fort / Purana Qila,/delhi/delhi-city/old-fort-purana-qila
29,Tughlaqabad Fort,/delhi/delhi-city/tughlaqabad-fort
30,Jahaz Mahal,/delhi/delhi-city/jahaz-mahal
31,Sri Digambar Jain Lal Temple / Lal Mandir,/delhi/delhi-city/sri-digambar-jain-lal-temple-lal-mandir
32,Mughal Garden,/delhi/delhi-city/mughal-garden
33,Iron Pillar,/delhi/delhi-city/iron-pillar
