,City,Link
0,Namgyalma Stupa,/himachal/dharamshala/namgyalma-stupa
1,Gyuto Karmapa Temple / Gyuto Monastery,/himachal/dharamshala/gyuto-karmapa-temple-gyuto-monastery
2,Chamunda Nandikeshwar Temple,/himachal/dharamshala/chamunda-nandikeshwar-temple
3,Norbulingka Institute / Norbulingka Monastery,/himachal/dharamshala/norbulingka-institute-norbulingka-monastery
4,"Triund Hill, Near Mcleod Ganj",/himachal/mcleod-ganj/triund-hill
5,"Bhagsunag Waterfall / Bhagsu Falls, Near Mcleod Ganj",/himachal/mcleod-ganj/bhagsunag-waterfall-bhagsu-falls
6,"Bhagsunath Temple, Near Mcleod Ganj",/himachal/mcleod-ganj/bhagsunath-temple
7,"Tsuglagkhang / Dalai Lama Temple Complex, Near Mcleod Ganj",/himachal/mcleod-ganj/tsuglagkhang-dalai-lama-temple-complex
8,"Tsechokling Gompa, Near Mcleod Ganj",/himachal/mcleod-ganj/tsechokling-gompa
9,"St. John Church, Near Mcleod Ganj",/himachal/mcleod-ganj/st-john-church
10,Indru Nag Temple,/himachal/dharamshala/indru-nag-temple
11,Nechung Monastery,/himachal/dharamshala/nechung-monastery
12,Aghanjar Mahadev Temple,/himachal/dharamshala/aghanjar-mahadev-temple
13,Kunal Pathri Temple,/himachal/dharamshala/kunal-pathri-temple
14,Kareri Lake,/himachal/dharamshala/kareri-lake
15,Kotla Fort,/himachal/dharamshala/kotla-fort
16,"Dal Lake, Near Mcleod Ganj",/himachal/mcleod-ganj/dal-lake
17,"Illaqa / Lahesh Cave Trek, Near Mcleod Ganj",/himachal/mcleod-ganj/illaqa-lahesh-cave-trek
18,"Indrahar Pass Trek, Near Mcleod Ganj",/himachal/mcleod-ganj/indrahar-pass-trek
