,City,Link
0,Dwarkadhish Temple,/gujarat/dwarka/dwarkadhish-temple
1,Nageshwar Jyotirlinga Temple,/gujarat/dwarka/nageshwar-jyotirlinga-temple
2,Dwarka Beach,/gujarat/dwarka/dwarka-beach
3,Gomati Ghat,/gujarat/dwarka/gomati-ghat
4,Shivrajpur Beach & Lighthouse,/gujarat/dwarka/shivrajpur-beach-lighthouse
5,Beyt Dwarka,/gujarat/dwarka/beyt-dwarka
6,Samudra Narayana Temple,/gujarat/dwarka/samudra-narayana-temple
7,Bhadkeshwar Mahadev Mandir,/gujarat/dwarka/bhadkeshwar-mahadev-mandir
8,Sudama Setu,/gujarat/dwarka/sudama-setu
9,Rukmini Temple,/gujarat/dwarka/rukmini-temple
10,Geeta Mandir,/gujarat/dwarka/geeta-mandir
11,Shri Swaminarayan Mandir,/gujarat/dwarka/shri-swaminarayan-mandir
12,ISKCON Temple,/gujarat/dwarka/iskcon-temple
13,Gopi Talav,/gujarat/dwarka/gopi-talav
14,Okha Madhi Beach / Nexon Beach,/gujarat/dwarka/okha-madhi-beach-nexon-beach
15,Somnath,/gujarat/somnath
