,City,Link
0,Kailasa Temple / Kailasanath Temple / Cave 16,/maharashtra/ellora-caves/kailasa-temple-kailasanath-temple-cave-16
1,Cave 14 / Ravana Ka Khai,/maharashtra/ellora-caves/cave-14-ravana-ka-khai
2,Cave 10 / Viswakarma Cave,/maharashtra/ellora-caves/cave-10-viswakarma-cave
3,Cave 32 / Indra Sabha,/maharashtra/ellora-caves/cave-32-indra-sabha
4,Cave 33 & Cave 34,/maharashtra/ellora-caves/cave-33-cave-34
5,Cave 11 / Dho Tal,/maharashtra/ellora-caves/cave-11-dho-tal
6,Cave 12 / Teen Tal,/maharashtra/ellora-caves/cave-12-teen-tal
7,Cave 29 / Dumar Lena,/maharashtra/ellora-caves/cave-29-dumar-lena
8,Cave 21 / Rameshwara Cave,/maharashtra/ellora-caves/cave-21-rameshwara-cave
9,Ghrushneshwar / Grishneshwar Jyotirlinga Temple,/maharashtra/ellora-caves/ghrushneshwar-grishneshwar-jyotirlinga-temple
10,Aurangabad,/maharashtra/aurangabad
11,"Devagiri / Daulatabad Fort, Near Aurangabad",/maharashtra/aurangabad/devagiri-daulatabad-fort
12,Cave 15 / Dashavatara Cave,/maharashtra/ellora-caves/cave-15-dashavatara-cave
13,Cave 1 To 5,/maharashtra/ellora-caves/cave-1-to-5
14,Cave 6 To 9,/maharashtra/ellora-caves/cave-6-to-9
15,Cave 17 To 20,/maharashtra/ellora-caves/cave-17-to-20
16,Cave 22 To 28,/maharashtra/ellora-caves/cave-22-to-28
17,Cave 30 / Chhota Kailash,/maharashtra/ellora-caves/cave-30-chhota-kailash
18,Tomb Of Aurangzeb,/maharashtra/ellora-caves/tomb-of-aurangzeb
19,Sri Bhadra Maruti Temple,/maharashtra/ellora-caves/sri-bhadra-maruti-temple
20,Khuldabad,/maharashtra/ellora-caves/khuldabad
